detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
ghz_purity_lepton_massless_unpolarized_proton_Tx_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_Tx,enhanced_region_0,0,4.8271327262801988e-01,5.0001246110842434e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},T_{x,p})$","electron h=-1, proton Tx",5.0000000000000000e-01,0,-1,-1,-1,1.1680467334046489e-01,6.2065946553213924e-01,6.3155483045323424e-01,1.3847775861193030e+00,3.9886150386881347e-01,1.9943075193440674e-01,4.8271327262801994e-01,1,9.6542654525603977e-01
ghz_purity_lepton_massless_unpolarized_proton_Tx_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_Tx,enhanced_region_0,0,4.8271327262801988e-01,5.0001246110842434e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},T_{x,p})$","electron h=+1, proton Tx",5.0000000000000000e-01,7,1,1,1,1.1680468924285625e-01,-6.2065946253939697e-01,6.3155483045323413e-01,-1.3847775604975372e+00,3.9886150386881331e-01,1.9943075193440665e-01,4.8271327262801977e-01,2,9.6542654525603977e-01
ghz_purity_lepton_massless_unpolarized_proton_Tx_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_Tx,enhanced_region_1,1,4.8246317453909260e-01,5.0000018480583086e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},T_{x,p})$","electron h=-1, proton Tx",5.0000000000000000e-01,0,-1,-1,-1,2.6673575718328020e-03,-1.2935960827803562e-02,1.3208098990940444e-02,-1.3674491828165241e+00,1.7445387895448198e-04,8.7226939477240992e-05,4.8246317453909260e-01,1,9.6492634907818520e-01
ghz_purity_lepton_massless_unpolarized_proton_Tx_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_Tx,enhanced_region_1,1,4.8246317453909260e-01,5.0000018480583086e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},T_{x,p})$","electron h=+1, proton Tx",5.0000000000000000e-01,7,1,1,1,2.6673535221193650e-03,1.2935961662842055e-02,1.3208098990940444e-02,1.3674494958750869e+00,1.7445387895448198e-04,8.7226939477240992e-05,4.8246317453909260e-01,2,9.6492634907818520e-01
ghz_purity_low_egamma_tx_proton_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_Tx,low_Egamma_lepton_massless_unpolarized_proton_Tx_region_0,0,2.7970964946997778e-01,5.0030516806668313e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},T_{x,p})$","electron h=-1, proton Tx",5.0000000000000000e-01,0,-1,-1,-1,3.6820160530769510e-03,2.3396410293180212e-02,2.3684367351101975e-02,1.4147013354186662e+00,5.6094925682194515e-04,2.8047462841097258e-04,2.8601558332905469e-01,1,9.9976042429995748e-01
ghz_purity_low_egamma_tx_proton_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_Tx,low_Egamma_lepton_massless_unpolarized_proton_Tx_region_0,0,2.7970964946997778e-01,5.0030516806668313e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},T_{x,p})$","electron h=+1, proton Tx",5.0000000000000000e-01,7,1,1,1,3.6507247734278180e-03,-2.2866709147538817e-02,2.3156298897048618e-02,-1.4124800160030098e+00,5.3621417860945505e-04,2.6810708930472753e-04,2.7340371561090071e-01,2,9.9976042429995748e-01
ghz_purity_low_egamma_tx_proton_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_Tx,low_Egamma_lepton_massless_unpolarized_proton_Tx_region_0,0,2.7970964946997778e-01,5.0030516806668313e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},T_{x,p})$","electron h=-1, proton Tx",5.0000000000000000e-01,1,-1,-1,1,-3.2698570765402361e-03,-2.0812305590116598e-02,2.1067606159158161e-02,-1.7266341388394761e+00,4.4384402927739891e-04,2.2192201463869945e-04,2.2630622537964817e-01,3,9.9976042429995748e-01
ghz_purity_low_egamma_tx_proton_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_Tx,low_Egamma_lepton_massless_unpolarized_proton_Tx_region_0,0,2.7970964946997778e-01,5.0030516806668313e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},T_{x,p})$","electron h=+1, proton Tx",5.0000000000000000e-01,6,1,1,-1,-3.2355382715126349e-03,2.0231365085010895e-02,2.0488456289077049e-02,1.7293802535707423e+00,4.1977684110942090e-04,2.0988842055471045e-04,2.1403489998035397e-01,4,9.9976042429995748e-01
ghz_purity_low_egamma_tx_proton_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_Tx,low_Egamma_lepton_massless_unpolarized_proton_Tx_region_1,1,2.7970964946997767e-01,5.0030516806668324e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},T_{x,p})$","electron h=+1, proton Tx",5.0000000000000000e-01,7,1,1,1,3.6820160530769584e-03,2.3396410293180191e-02,2.3684367351101958e-02,1.4147013354186657e+00,5.6094925682194439e-04,2.8047462841097220e-04,2.8601558332905469e-01,1,9.9976042429995760e-01
ghz_purity_low_egamma_tx_proton_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_Tx,low_Egamma_lepton_massless_unpolarized_proton_Tx_region_1,1,2.7970964946997767e-01,5.0030516806668324e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},T_{x,p})$","electron h=-1, proton Tx",5.0000000000000000e-01,0,-1,-1,-1,3.6507247734278254e-03,-2.2866709147538800e-02,2.3156298897048601e-02,-1.4124800160030093e+00,5.3621417860945429e-04,2.6810708930472715e-04,2.7340371561090071e-01,2,9.9976042429995760e-01
