selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,size,max_concurrence,best_purity,best_kinematic_point,best_pair_delta_xy,s_min,s_max,theta_in_min,theta_in_max,phi_in_lepton_min,phi_in_lepton_max,qOut_min,qOut_max,phiOut_min,phiOut_max,Q2_min,Q2_max,xB_min,xB_max,t_min,t_max,W2_min,W2_max,y_min,y_max,theta_lepton_gamma_deg_min,theta_lepton_gamma_deg_max,pair_delta_xy_min,pair_delta_xy_max,abs_k_dot_qout_min,abs_k_dot_qout_max,abs_kp_dot_qout_min,abs_kp_dot_qout_max,best_lepton,best_s_regime,best_theta_in_regime,best_qOut_regime,best_lepton_mass,best_s,best_sqrt_s,best_pIn,best_pOut,best_theta_in,best_phi_in_lepton,best_phi_in,best_qOut,best_phiOut,best_Q2,best_xB,best_t,best_W2,best_y,best_theta_lepton_gamma_deg,best_k_dot_qout,best_kp_dot_qout,best_abs_k_dot_qout,best_abs_kp_dot_qout
W_purity,P_W,lepton_massless_unpolarized_proton_Tx,enhanced_region_0,0,16,4.3465434335948072e-01,5.8183615527132881e-01,high_s_high_theta_in_low_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,2.5000000000000000e-01,2.5000000000000000e-01,0.0000000000000000e+00,6.1850105367549055e+00,5.9180363098092778e-03,6.6402976974393749e-02,2.6054881018965532e-03,6.3531614943211412e-02,-4.2953475192353532e-03,-5.9979809237101003e-06,1.8110345142066169e+00,3.1452993411013157e+00,4.8185892099997574e-02,1.1006849086117108e-01,1.8975250868623640e+01,1.0787892109669082e+02,,,2.3945669176408970e-02,6.6459499796351740e-01,2.6901688340848509e-02,6.9403410178827185e-01,massless,high_s,high_theta_in,low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2072318877843426e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,2.5000000000000000e-01,5.2032628325080950e+00,1.5536185768422648e-02,7.1007132147868062e-03,-4.4883803969272602e-05,3.0522832046570745e+00,1.0602710750268936e-01,3.1519666054946086e+01,6.5664105578296078e-02,7.3409756560529976e-02,6.5664105578296078e-02,7.3409756560529976e-02
W_purity,P_W,lepton_massless_unpolarized_proton_Tx,enhanced_region_1,1,16,4.1265711321857718e-01,5.5270920541248814e-01,high_s_high_theta_in_mid_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.0000000000000000e+00,1.8000000000000000e+00,0.0000000000000000e+00,6.1850105367549055e+00,6.8645973580276326e-02,1.3415386565429270e+00,7.4683368092730530e-03,2.6770629121752010e-01,-9.5363249344971118e-02,-4.9451545730006823e-05,4.4853380951143569e+00,1.7378183938550212e+01,2.3859094996767555e-01,8.0733603017502509e-01,2.0294457163713783e+01,1.2300624435380308e+02,,,1.9280122067440449e-02,2.2244176384674761e+00,7.7039822208439579e-02,2.8357703880040765e+00,massless,high_s,high_theta_in,mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1843589876120753e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.0069132916587327e+00,1.5063386442010973e-01,1.6579196625040236e-02,-2.4602248732847286e-04,9.8149256757768875e+00,4.4028472282404546e-01,3.0180977105176982e+01,9.5782676705635880e-02,1.7097659767202894e-01,9.5782676705635880e-02,1.7097659767202894e-01
W_purity,P_W,lepton_massless_unpolarized_proton_Tx,enhanced_region_2,2,12,3.6732847869790081e-01,5.0561809937429003e-01,high_s_high_theta_in_low_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,2.5000000000000000e-01,2.5000000000000000e-01,2.9452431127404310e-01,1.3744467859455345e+00,2.3935609417910530e-03,5.9818287477285015e-02,1.8778339931165382e-02,7.5191841763655995e-02,-1.1252066642607384e-02,-4.9776924758955701e-03,1.0049143656121520e+00,1.7091961254129395e+00,6.1767748863124517e-03,4.3088312312959211e-02,1.1330866948543148e+02,1.7001403017263385e+02,,,7.1753299868214304e-01,1.1015234289359428e+00,7.4495329618289441e-01,1.0970941760853923e+00,massless,high_s,high_theta_in,low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0490022325935162e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,2.5000000000000000e-01,2.9452431127404310e-01,5.9818287477285015e-02,6.7274266676111250e-02,-4.9776924758955701e-03,1.7091961254129395e+00,4.3088312312959211e-02,1.1330866948543148e+02,7.1753299868214304e-01,7.4495329618289441e-01,7.1753299868214304e-01,7.4495329618289441e-01
W_purity,P_W,lepton_massless_unpolarized_proton_Tx,enhanced_region_3,3,36,3.6528438207090341e-01,5.0526332129255069e-01,high_s_high_theta_in_mid_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.6142142099600090e+00,4.8105637508093704e+00,1.0000000000000000e+00,1.8000000000000000e+00,9.8174770424681035e-02,1.3744467859455345e+00,3.9495703691769364e-02,4.4561749044901031e+00,5.2778406844856997e-02,5.8332599288917386e-01,-2.3429504395324807e+00,-1.1158811384348749e-01,1.5886790257269416e+00,4.1124136862564065e+00,3.6263361572916840e-02,3.7019059452282843e-01,1.2766363674108872e+02,1.7881579679303823e+02,,,2.4424486942885006e+00,7.7031208195251466e+00,3.0222325924329425e+00,6.8210966840090972e+00,massless,high_s,high_theta_in,mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4922241131736853e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,9.8174770424681035e-02,1.2711559101327499e+00,2.8224541725008601e-01,-1.1158811384348749e-01,4.1124136862564065e+00,2.1824605526212235e-01,1.2766363674108872e+02,2.4424486942885006e+00,3.0222325924329425e+00,2.4424486942885006e+00,3.0222325924329425e+00
W_purity,P_W,lepton_massless_Tx_proton_Tx,enhanced_region_0,0,29,4.0258660789199296e-01,1.0000000000000004e+00,high_s_high_theta_in_mid_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.5160394395353274e+00,4.6142142099600090e+00,1.0000000000000000e+00,1.0000000000000000e+00,9.8174770424681035e-02,2.1598449493429825e+00,2.4946519045276292e-04,8.7126027394462147e-01,3.5181306832703563e-04,3.7005371160011652e-01,-3.8518252584640061e-01,-1.4355507278649576e-01,1.5467670137681346e+00,4.1124136862564065e+00,3.3466849270381516e-02,1.9886751115531254e-01,1.2766363674108872e+02,1.8000000000000000e+02,,,2.6583799918540691e+00,4.4488352769329937e+00,3.0222325924329425e+00,4.3050559286769827e+00,massless,high_s,high_theta_in,mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2246188704132006e+00,1.5707949999999999e+00,4.6142142099600090e+00,1.4726215563702159e+00,1.0000000000000000e+00,8.8357293382212931e-01,2.0354114366862547e-01,1.4586545888057800e-01,-2.6627505551095926e-01,2.0717061631229230e+00,6.7619853982920669e-02,1.5824344661936499e+02,4.0739533099213432e+00,4.0425863539998135e+00,4.0739533099213432e+00,4.0425863539998135e+00
W_purity,P_W,lepton_massless_Tx_proton_Tx,enhanced_region_1,1,3,3.8231316910734953e-01,9.9999999999999967e-01,high_s_high_theta_in_low_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.8105637508093704e+00,5.0069132916587327e+00,2.5000000000000000e-01,2.5000000000000000e-01,4.8105637508093704e+00,5.0069132916587327e+00,5.3669036827950364e-02,4.7872472040683950e-01,2.2674861096350012e-02,1.7445091418080641e-01,-4.2492134372611490e-01,-4.7637229234422457e-02,3.1452993411013157e+00,3.1930709101813792e+00,1.1469741941312903e-01,1.3298023170712142e-01,6.3358759095448072e+00,1.8975250868623640e+01,,,4.8948865793985163e-13,4.8953896492065496e-13,3.0159037972540379e-03,2.6901688340848509e-02,massless,high_s,high_theta_in,low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2237119913327503e+00,1.5707949999999999e+00,4.8105637508093704e+00,1.6689710972195773e+00,2.5000000000000000e-01,4.8105637508093704e+00,5.3669036827950364e-02,2.2674861096350012e-02,-4.7637229234422457e-02,3.1930709101813792e+00,1.1469741941312903e-01,6.3358759095448072e+00,4.8948865793985163e-13,3.0159037972540379e-03,4.8948865793985163e-13,3.0159037972540379e-03
W_purity,P_W,lepton_massless_Tx_proton_Tx,enhanced_region_2,2,5,3.7137911729107426e-01,9.9999999999999978e-01,high_s_high_theta_in_mid_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.5160394395353274e+00,4.6142142099600090e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.5707963267948966e+00,2.4543692606170260e+00,1.8400481140700492e-01,1.0484669600682639e+00,2.1624020976060179e-01,4.0393175285707061e-01,-3.8608038554006047e-01,-2.3909458505432724e-01,1.5467670137681346e+00,2.4270307677020773e+00,4.1235114614030823e-02,1.2578279355351538e-01,1.5144121629695607e+02,1.8000000000000000e+02,,,3.4602378642026776e+00,4.4060937157437703e+00,3.8649240517096279e+00,4.3050559286769827e+00,massless,high_s,high_theta_in,mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2246188704132006e+00,1.5707949999999999e+00,4.6142142099600090e+00,1.4726215563702159e+00,1.0000000000000000e+00,2.2580197197676637e+00,7.5681089387649103e-01,3.8837243177253938e-01,-2.6627505551095926e-01,2.0717061631229226e+00,9.4430754845872059e-02,1.5824344661936499e+02,3.7973184348174107e+00,4.0425863539998144e+00,3.7973184348174107e+00,4.0425863539998144e+00
W_purity,P_W,lepton_massless_Tx_proton_Tx,enhanced_region_3,3,43,3.7012527483809893e-01,1.0000000000000002e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.0251655874119221e+00,4.5160394395353274e+00,1.8000000000000000e+00,1.8000000000000000e+00,6.8722339297276724e-01,1.6689710972195777e+00,4.2253793885711419e-04,9.9581083126859915e-01,1.3845026374016784e-04,2.4613613947389626e-01,-2.4336650444798096e+00,-2.2770076695487140e+00,3.9298056968822634e+00,3.9781218431789021e+00,1.4789258598786409e-01,1.9605410584177488e-01,1.7676908622751165e+02,1.8000000000000000e+02,,,7.5351219383191816e+00,8.0079034984793900e+00,6.8001924624194139e+00,6.8243505355684739e+00,massless,high_s,high_theta_in,high_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,4.3196898986859651e+00,1.1780972450961720e+00,1.8000000000000000e+00,1.1780972450961724e+00,1.8005540313524478e-03,5.8874921390747567e-04,-2.3754141829730315e+00,3.9363133999993840e+00,1.4820071496562981e-01,1.7881579679303823e+02,8.0079034984793900e+00,6.8210966840090972e+00,8.0079034984793900e+00,6.8210966840090972e+00
W_purity,P_W,lepton_massless_unpolarized_proton_unpolarized,enhanced_region_0,0,30,2.8015568328171214e-01,3.3118933194844591e-01,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.6142142099600090e+00,4.9087385212340520e+00,1.8000000000000000e+00,1.8000000000000000e+00,4.8105637508093704e+00,6.1850105367549055e+00,1.6184638014159536e-01,8.8220295545946250e+00,9.7145600322616210e-03,6.8817480978280243e-01,-1.3569306193539397e+00,-8.3794805066113320e-05,4.7378268179287764e+00,1.7378183938550212e+01,4.8558040554266735e-01,8.0733603017502509e-01,2.8926844580454450e+01,1.6646182642879580e+02,,,1.9280122067440449e-02,4.0039517492414562e+00,1.0016141473569001e-01,6.4203399750453851e+00,massless,high_s,high_theta_in,high_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2009640628902405e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.8105637508093704e+00,1.6184638014159536e-01,9.7145600322616210e-03,-8.3794805066113320e-05,1.7378183938550212e+01,8.0733603017502509e-01,2.8926844580454450e+01,1.9280122067440449e-02,1.0016141473569001e-01,1.9280122067440449e-02,1.0016141473569001e-01
W_purity,P_W,lepton_massless_unpolarized_proton_unpolarized,enhanced_region_1,1,15,2.6954199904352283e-01,2.9511353962955533e-01,high_s_high_theta_in_mid_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.8105637508093704e+00,6.1850105367549055e+00,1.7422119671087970e-02,1.3415386565429270e+00,1.8823296423404684e-03,2.5102477098872678e-01,-7.9986398690266761e-02,-3.1234365396962438e-06,4.8825534479725183e+00,1.0118037517038267e+01,2.5897693857896142e-01,4.4851791222666010e-01,1.0200877014772592e+01,1.1808938852317331e+02,,,1.0711178926355707e-02,2.0063865826464520e+00,1.9420677043626152e-02,2.6371627115731573e+00,massless,high_s,high_theta_in,mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2063815355333003e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.9087385212340520e+00,6.8645973580276326e-02,7.4683368092730530e-03,-4.9451545730006823e-05,1.0002799226708669e+01,4.4541583641640581e-01,2.0294457163713783e+01,4.2741561191181297e-02,7.7039822208439579e-02,4.2741561191181297e-02,7.7039822208439579e-02
