detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
w_purity_L_lepton_region_0,enhanced_cluster,W_purity,P_W,lepton_massless_L_proton_unpolarized,enhanced_region_0,0,1.3236774456835435e-01,5.3902546335617663e-01,nan,high_s_high_theta_in_mid_Egamma,k,2.2244176384674761e+00,-1.3620629704568556e-16,-2.2244176384655181e+00,-2.9513459707981364e-06,2.2244176384674761e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2198730855936204e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.8105637508093704e+00,1.7422119671087970e-02,1.8823296423404684e-03,-3.1234365396962438e-06,1.0118037517038267e+01,4.4851791222666010e-01
w_purity_L_lepton_region_0,enhanced_cluster,W_purity,P_W,lepton_massless_L_proton_unpolarized,enhanced_region_0,0,1.3236774456835435e-01,5.3902546335617663e-01,nan,high_s_high_theta_in_mid_Egamma,p,2.4140997970931570e+00,1.3620629704568556e-16,2.2244176384655181e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2198730855936204e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.8105637508093704e+00,1.7422119671087970e-02,1.8823296423404684e-03,-3.1234365396962438e-06,1.0118037517038267e+01,4.4851791222666010e-01
w_purity_L_lepton_region_0,enhanced_cluster,W_purity,P_W,lepton_massless_L_proton_unpolarized,enhanced_region_0,0,1.3236774456835435e-01,5.3902546335617663e-01,nan,high_s_high_theta_in_mid_Egamma,kp,1.2286044669770797e+00,-9.8017140329560090e-02,-1.2246883589214235e+00,0.0000000000000000e+00,1.2286044669770797e+00,4.6325248603105775e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2198730855936204e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.8105637508093704e+00,1.7422119671087970e-02,1.8823296423404684e-03,-3.1234365396962438e-06,1.0118037517038267e+01,4.4851791222666010e-01
w_purity_L_lepton_region_0,enhanced_cluster,W_purity,P_W,lepton_massless_L_proton_unpolarized,enhanced_region_0,0,1.3236774456835435e-01,5.3902546335617663e-01,nan,high_s_high_theta_in_mid_Egamma,pp,2.4099129685826708e+00,0.0000000000000000e+00,2.2198730855936204e+00,0.0000000000000000e+00,2.2198730855936204e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2198730855936204e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.8105637508093704e+00,1.7422119671087970e-02,1.8823296423404684e-03,-3.1234365396962438e-06,1.0118037517038267e+01,4.4851791222666010e-01
w_purity_L_lepton_region_0,enhanced_cluster,W_purity,P_W,lepton_massless_L_proton_unpolarized,enhanced_region_0,0,1.3236774456835435e-01,5.3902546335617663e-01,nan,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,9.8017140329560090e-02,-9.9518472667219693e-01,0.0000000000000000e+00,1.0000000000000000e+00,4.8105637508093704e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2198730855936204e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.8105637508093704e+00,1.7422119671087970e-02,1.8823296423404684e-03,-3.1234365396962438e-06,1.0118037517038267e+01,4.4851791222666010e-01
w_purity_L_lepton_region_1,enhanced_cluster,W_purity,P_W,lepton_massless_L_proton_unpolarized,enhanced_region_1,1,1.0807841719015887e-01,5.0608292261415611e-01,nan,high_s_high_theta_in_mid_Egamma,k,2.2244176384674761e+00,1.4111556110176811e+00,-1.7194980871782986e+00,-2.9513459707981364e-06,2.2244176384674761e+00,5.3996123733574573e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2470044701630458e+00,1.5707949999999999e+00,2.2580197197676641e+00,1.0000000000000000e+00,2.3561944901923448e+00,5.2932284314111733e-01,2.8056935979284736e-01,-1.4858157804555199e+00,2.2371236124225686e+00,9.1422875342299259e-02
w_purity_L_lepton_region_1,enhanced_cluster,W_purity,P_W,lepton_massless_L_proton_unpolarized,enhanced_region_1,1,1.0807841719015887e-01,5.0608292261415611e-01,nan,high_s_high_theta_in_mid_Egamma,p,2.4140997970931570e+00,-1.4111556110176811e+00,1.7194980871782986e+00,2.9513459707981364e-06,2.2244176384674761e+00,2.2580197197676641e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2470044701630458e+00,1.5707949999999999e+00,2.2580197197676641e+00,1.0000000000000000e+00,2.3561944901923448e+00,5.2932284314111733e-01,2.8056935979284736e-01,-1.4858157804555199e+00,2.2371236124225686e+00,9.1422875342299259e-02
w_purity_L_lepton_region_1,enhanced_cluster,W_purity,P_W,lepton_massless_L_proton_unpolarized,enhanced_region_1,1,1.0807841719015887e-01,5.0608292261415611e-01,nan,high_s_high_theta_in_mid_Egamma,kp,2.0781123123284440e+00,7.0710678118654746e-01,-1.9541112513495933e+00,0.0000000000000000e+00,2.0781123123284440e+00,5.0595866025325522e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2470044701630458e+00,1.5707949999999999e+00,2.2580197197676641e+00,1.0000000000000000e+00,2.3561944901923448e+00,5.2932284314111733e-01,2.8056935979284736e-01,-1.4858157804555199e+00,2.2371236124225686e+00,9.1422875342299259e-02
w_purity_L_lepton_region_1,enhanced_cluster,W_purity,P_W,lepton_massless_L_proton_unpolarized,enhanced_region_1,1,1.0807841719015887e-01,5.0608292261415611e-01,nan,high_s_high_theta_in_mid_Egamma,pp,1.5604051232313416e+00,0.0000000000000000e+00,1.2470044701630458e+00,0.0000000000000000e+00,1.2470044701630458e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2470044701630458e+00,1.5707949999999999e+00,2.2580197197676641e+00,1.0000000000000000e+00,2.3561944901923448e+00,5.2932284314111733e-01,2.8056935979284736e-01,-1.4858157804555199e+00,2.2371236124225686e+00,9.1422875342299259e-02
w_purity_L_lepton_region_1,enhanced_cluster,W_purity,P_W,lepton_massless_L_proton_unpolarized,enhanced_region_1,1,1.0807841719015887e-01,5.0608292261415611e-01,nan,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,-7.0710678118654746e-01,7.0710678118654757e-01,0.0000000000000000e+00,1.0000000000000000e+00,2.3561944901923448e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2470044701630458e+00,1.5707949999999999e+00,2.2580197197676641e+00,1.0000000000000000e+00,2.3561944901923448e+00,5.2932284314111733e-01,2.8056935979284736e-01,-1.4858157804555199e+00,2.2371236124225686e+00,9.1422875342299259e-02
