detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{mup},L_proton,enhanced_region_0,0,3.1675490103668125e-01,5.5460460072439832e-01,2.7287704147386620e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","muon h=+1, proton L",5.0000000000000000e-01,5,1,-1,1,2.6674901395323434e+02,-1.2740021408784439e+03,1.3016283998929500e+03,-1.3643991881943451e+00,1.6942364914078815e+06,8.4711824570394075e+05,3.6227008337410066e-01,1,9.4297968572950219e-01
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{mup},L_proton,enhanced_region_0,0,3.1675490103668125e-01,5.5460460072439832e-01,2.7287704147386620e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","muon h=-1, proton L",5.0000000000000000e-01,3,-1,1,1,-1.7259250586044797e+02,-8.1259301616739890e+02,8.3071991850636368e+02,-1.7800833880273925e+00,6.9009558300321957e+05,3.4504779150160978e+05,1.4755967402338763e-01,2,9.4297968572950219e-01
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{mup},L_proton,enhanced_region_0,0,3.1675490103668125e-01,5.5460460072439832e-01,2.7287704147386620e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","muon h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,-1.7254426359664623e+02,8.1260312042975715e+02,8.3071978081196994e+02,1.7800240552995372e+00,6.9009535423228738e+05,3.4504767711614369e+05,1.4755962510644768e-01,3,9.4297968572950219e-01
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{mup},L_proton,enhanced_region_0,0,3.1675490103668125e-01,5.5460460072439832e-01,2.7287704147386620e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","muon h=-1, proton L",5.0000000000000000e-01,6,1,1,-1,1.2463660700110644e+02,-5.9310182769565336e+02,6.0605615401600596e+02,-1.3636665150165024e+00,3.6730406182067277e+05,1.8365203091033638e+05,7.8538783560757594e-02,4,9.4297968572950219e-01
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{mup},L_proton,enhanced_region_0,0,3.1675490103668125e-01,5.5460460072439832e-01,2.7287704147386620e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","muon h=+1, proton L",5.0000000000000000e-01,3,-1,1,1,-1.2438770881062811e+02,-5.9315394786630270e+02,6.0605602709034929e+02,-1.7775065459095341e+00,3.6730390797253820e+05,1.8365195398626910e+05,7.8538750664183338e-02,5,9.4297968572950219e-01
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{mup},L_proton,enhanced_region_0,0,3.1675490103668125e-01,5.5460460072439832e-01,2.7287704147386620e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","muon h=-1, proton L",5.0000000000000000e-01,4,1,-1,-1,-1.0464642318456137e+02,4.9974695943946705e+02,5.1058583740083765e+02,1.7772126628821643e+00,2.6069789735431463e+05,1.3034894867715731e+05,5.5743722608358963e-02,6,9.4297968572950219e-01
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{mup},L_proton,enhanced_region_0,0,3.1675490103668125e-01,5.5460460072439832e-01,2.7287704147386620e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","muon h=+1, proton L",5.0000000000000000e-01,1,-1,-1,1,9.6711399340300190e+01,4.6183081425777777e+02,4.7184827620789400e+02,1.3643705064639071e+00,2.2264079576036104e+05,1.1132039788018052e+05,4.7606163632774944e-02,7,9.4297968572950219e-01
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{mup},L_proton,enhanced_region_0,0,3.1675490103668125e-01,5.5460460072439832e-01,2.7287704147386620e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","muon h=+1, proton L",5.0000000000000000e-01,7,1,1,1,5.8179189021010345e+01,-3.3807542193409620e+02,3.4304490806752926e+02,-1.4003761823575815e+00,1.1767980895105960e+05,5.8839904475529802e+04,2.5162882759491412e-02,8,9.4297968572950219e-01
c_ep_L_proton_region_1,enhanced_cluster,C_e_p,C_{mup},L_proton,enhanced_region_1,1,6.5109700114890229e-02,5.1907335625081152e-01,2.9834378766067626e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","muon h=+1, proton L",5.0000000000000000e-01,5,1,-1,1,-1.0635568071740913e+02,-1.3422732059775462e+03,1.3464801856344206e+03,-1.6498666223266705e+00,1.8130088903061040e+06,9.0650444515305199e+05,2.7851443977807488e-01,1,9.6811965451679183e-01
c_ep_L_proton_region_1,enhanced_cluster,C_e_p,C_{mup},L_proton,enhanced_region_1,1,6.5109700114890229e-02,5.1907335625081152e-01,2.9834378766067626e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","muon h=-1, proton L",5.0000000000000000e-01,3,-1,1,1,-1.1693294692890609e+02,1.2958773560279087e+03,1.3011423580620844e+03,1.6607871897275506e+00,1.6929714359433616e+06,8.4648571797168080e+05,2.6007428510868397e-01,2,9.6811965451679183e-01
