detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_mu_gamma_lepton_muon_Tx_proton_Ty_region_0,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_Tx_proton_Ty,enhanced_region_0,0,9.9654761879193599e-01,1.0000000000000000e+00,8.8817841970012523e-16,high_s_high_theta_in_high_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,1,-1,-1,1,1.4480862432869557e+02,5.9633917729781913e+01,1.5660696607677349e+02,3.9064741315786666e-01,2.4525741823771681e+04,2.4525741823771681e+04,3.0539014641538814e-01,1,9.6238490554933454e-01
c_mu_gamma_lepton_muon_Tx_proton_Ty_region_0,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_Tx_proton_Ty,enhanced_region_0,0,9.9654761879193599e-01,1.0000000000000000e+00,8.8817841970012523e-16,high_s_high_theta_in_high_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,4,1,-1,-1,1.1976076805708259e+02,9.3728740569387611e+01,1.5207800095459532e+02,6.6406129427515337e-01,2.3127718374345895e+04,2.3127718374345895e+04,2.8798220870732377e-01,2,9.6238490554933454e-01
c_mu_gamma_lepton_muon_Tx_proton_Ty_region_0,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_Tx_proton_Ty,enhanced_region_0,0,9.9654761879193599e-01,1.0000000000000000e+00,8.8817841970012523e-16,high_s_high_theta_in_high_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,3,-1,1,1,2.2698342170473609e+01,-1.2699031921005525e+02,1.2900292985184339e+02,-1.3939234073514046e+00,1.6641755910359625e+04,1.6641755910359625e+04,2.0722016526928883e-01,3,9.6238490554933454e-01
c_mu_gamma_lepton_muon_Tx_proton_Ty_region_0,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_Tx_proton_Ty,enhanced_region_0,0,9.9654761879193599e-01,1.0000000000000000e+00,8.8817841970012523e-16,high_s_high_theta_in_high_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,6,1,1,-1,5.5251658393533376e+01,-9.9703189938816422e+01,1.1398891103616795e+02,-1.0647638053053328e+00,1.2993471839211412e+04,1.2993471839211412e+04,1.6179238515733371e-01,4,9.6238490554933454e-01
c_mu_gamma_lepton_muon_Tx_proton_Ty_region_1,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_Tx_proton_Ty,enhanced_region_1,1,9.8382785893966906e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,1,-1,-1,1,2.2488615083140054e+01,1.0074081390697440e+01,2.4641934263040934e+01,4.2115917982575884e-01,6.0722492422403070e+02,6.0722492422403070e+02,3.8293844344568195e-01,1,9.7090009940146349e-01
c_mu_gamma_lepton_muon_Tx_proton_Ty_region_1,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_Tx_proton_Ty,enhanced_region_1,1,9.8382785893966906e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,4,1,-1,-1,1.3342747560067250e+01,1.9032196990723374e+01,2.3243352485073672e+01,9.5935805529076446e-01,5.4025343474538045e+02,5.4025343474538045e+02,3.4070375097325745e-01,2,9.7090009940146349e-01
c_mu_gamma_lepton_muon_Tx_proton_Ty_region_1,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_Tx_proton_Ty,enhanced_region_1,1,9.8382785893966906e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,3,-1,1,1,3.4997443767009173e-01,-1.5898023224599513e+01,1.5901874875527351e+01,-1.5487861739455440e+00,2.5286962455692802e+02,2.5286962455692802e+02,1.5946891598079080e-01,3,9.7090009940146349e-01
c_mu_gamma_lepton_muon_Tx_proton_Ty_region_1,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_Tx_proton_Ty,enhanced_region_1,1,9.8382785893966906e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,6,1,1,-1,8.2150061313719434e+00,-8.4687982895580518e+00,1.1798596111728717e+01,-8.0060887784463164e-01,1.3920687020770001e+02,1.3920687020770001e+02,8.7788989001733223e-02,4,9.7090009940146349e-01
c_mu_gamma_lepton_muon_Tx_proton_Ty_region_2,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_Tx_proton_Ty,enhanced_region_2,2,9.6356410384034674e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,4,1,-1,-1,4.0714950071007001e+00,-6.4466534677335758e+00,7.6247237671857508e+00,-1.0074884488757718e+00,5.8136412525887266e+01,5.8136412525887266e+01,4.9459107395351981e-01,1,9.8397087576852671e-01
c_mu_gamma_lepton_muon_Tx_proton_Ty_region_2,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_Tx_proton_Ty,enhanced_region_2,2,9.6356410384034674e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,1,-1,-1,1,5.6119652905878663e+00,-1.3446921112990291e+00,5.7708189450850726e+00,-2.3517772348739385e-01,3.3302351296952793e+01,3.3302351296952793e+01,2.8331720134610933e-01,2,9.8397087576852671e-01
