detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_mu_gamma_lepton_muon_unpolarized_proton_L_region_0,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_unpolarized_proton_L,enhanced_region_0,0,2.3954493022735437e-01,7.2471375484735268e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,3,-1,1,1,-4.0149058082666422e-01,3.9543370740301190e-02,4.0343322206040133e-01,3.0434178831651120e+00,1.6275836466203708e-01,8.1379182331018540e-02,7.3761560613396837e-01,1,9.8802391130391765e-01
c_mu_gamma_lepton_muon_unpolarized_proton_L_region_0,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_unpolarized_proton_L,enhanced_region_0,0,2.3954493022735437e-01,7.2471375484735268e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","electron h=-1, proton L",5.0000000000000000e-01,6,1,1,-1,2.3142409504419958e-07,-1.5808816786433316e-01,1.5808816786450255e-01,-1.5707948629023221e+00,2.4991868818755137e-02,1.2495934409377569e-02,1.1326233527502665e-01,2,9.8802391130391765e-01
c_mu_gamma_lepton_muon_unpolarized_proton_L_region_0,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_unpolarized_proton_L,enhanced_region_0,0,2.3954493022735437e-01,7.2471375484735268e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,1,-1,-1,1,9.6525530228181042e-02,-9.5070648695970462e-03,9.6992588728552959e-02,-9.8176103639369003e-02,9.4075622682662178e-03,4.7037811341331089e-03,4.2634765710255235e-02,3,9.8802391130391765e-01
c_mu_gamma_lepton_muon_unpolarized_proton_L_region_0,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_unpolarized_proton_L,enhanced_region_0,0,2.3954493022735437e-01,7.2471375484735268e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","electron h=-1, proton L",5.0000000000000000e-01,4,1,-1,-1,-1.2674366590171469e-08,9.6989373092473644e-02,9.6989373092474476e-02,1.5707964574727862e+00,9.4069384928712127e-03,4.7034692464356063e-03,4.2631938780487086e-02,4,9.8802391130391765e-01
c_mu_gamma_lepton_muon_unpolarized_proton_L_region_0,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_unpolarized_proton_L,enhanced_region_0,0,2.3954493022735437e-01,7.2471375484735268e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,-7.6972216911030164e-02,7.5812052790537937e-03,7.7344662709729561e-02,3.0434165499504915e+00,5.9821968496818305e-03,2.9910984248409152e-03,2.7111121228413256e-02,5,9.8802391130391765e-01
c_mu_gamma_lepton_muon_unpolarized_proton_L_region_0,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_unpolarized_proton_L,enhanced_region_0,0,2.3954493022735437e-01,7.2471375484735268e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,7.3571075213822126e-02,-7.2460194067946373e-03,7.3927044478739420e-02,-9.8173437210047607e-02,5.4652079053615164e-03,2.7326039526807582e-03,2.4768144175766969e-02,6,9.8802391130391765e-01
c_mu_gamma_lepton_muon_unpolarized_proton_L_region_1,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_unpolarized_proton_L,enhanced_region_1,1,2.3954493022385523e-01,7.2471375484735212e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,3,-1,1,1,4.0149058082666444e-01,3.9543370740301294e-02,4.0343322206040161e-01,9.8174770424681354e-02,1.6275836466203730e-01,8.1379182331018651e-02,7.3761560613399757e-01,1,9.8802391130392508e-01
c_mu_gamma_lepton_muon_unpolarized_proton_L_region_1,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_unpolarized_proton_L,enhanced_region_1,1,2.3954493022385523e-01,7.2471375484735212e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","electron h=-1, proton L",5.0000000000000000e-01,6,1,1,-1,-2.3142409504931462e-07,-1.5808816786433341e-01,1.5808816786450280e-01,-1.5707977906874711e+00,2.4991868818755217e-02,1.2495934409377608e-02,1.1326233527503134e-01,2,9.8802391130392508e-01
c_mu_gamma_lepton_muon_unpolarized_proton_L_region_1,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_unpolarized_proton_L,enhanced_region_1,1,2.3954493022385523e-01,7.2471375484735212e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,1,-1,-1,1,9.6525530228181125e-02,9.5070648695970688e-03,9.6992588728553042e-02,9.8176103639369156e-02,9.4075622682662351e-03,4.7037811341331176e-03,4.2634765710256949e-02,3,9.8802391130392508e-01
c_mu_gamma_lepton_muon_unpolarized_proton_L_region_1,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_unpolarized_proton_L,enhanced_region_1,1,2.3954493022385523e-01,7.2471375484735212e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","electron h=-1, proton L",5.0000000000000000e-01,4,1,-1,-1,-1.2674366606314461e-08,-9.6989373092473727e-02,9.6989373092474560e-02,-1.5707964574727864e+00,9.4069384928712283e-03,4.7034692464356142e-03,4.2631938780488793e-02,4,9.8802391130392508e-01
c_mu_gamma_lepton_muon_unpolarized_proton_L_region_1,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_unpolarized_proton_L,enhanced_region_1,1,2.3954493022385523e-01,7.2471375484735212e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,-7.6972216911005531e-02,-7.5812052790513781e-03,7.7344662709704817e-02,-3.0434165499504915e+00,5.9821968496780028e-03,2.9910984248390014e-03,2.7111121228396946e-02,5,9.8802391130392508e-01
c_mu_gamma_lepton_muon_unpolarized_proton_L_region_1,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_unpolarized_proton_L,enhanced_region_1,1,2.3954493022385523e-01,7.2471375484735212e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,7.3571075213800616e-02,7.2460194067925313e-03,7.3927044478717813e-02,9.8173437210047773e-02,5.4652079053583219e-03,2.7326039526791609e-03,2.4768144175753438e-02,6,9.8802391130392508e-01
c_mu_gamma_lepton_muon_unpolarized_proton_L_region_2,enhanced_cluster,C_mu_gamma,C_{mu\gamma},lepton_muon_unpolarized_proton_L,enhanced_region_2,2,1.7870247709498605e-01,9.9701885241986954e-01,1.7819302176857388e-01,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,-1.2312776020201647e-02,-4.7328245534641128e-02,4.8903653020106082e-02,-1.8253114711345348e+00,2.3915672787109309e-03,1.1957836393554654e-03,7.3952620933430380e-01,1,9.9727319592266539e-01
