detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_mu_p_lepton_muon_unpolarized_proton_Ty_region_0,enhanced_cluster,C_mu_p,C_{mup},lepton_muon_unpolarized_proton_Ty,enhanced_region_0,0,1.3994796001516882e-01,5.8269350648793106e-01,2.7287704147386620e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,5,1,-1,1,4.2763747097213400e+02,-8.5953521380271002e+02,9.6003884835266592e+02,-1.1091332757622605e+00,9.2167459034631308e+05,4.6083729517315654e+05,1.9707705056635100e-01,1,8.3066538155084524e-01
c_mu_p_lepton_muon_unpolarized_proton_Ty_region_0,enhanced_cluster,C_mu_p,C_{mup},lepton_muon_unpolarized_proton_Ty,enhanced_region_0,0,1.3994796001516882e-01,5.8269350648793106e-01,2.7287704147386620e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},T_{y,p})$","electron h=-1, proton Ty",5.0000000000000000e-01,2,-1,1,-1,9.4217589231995385e+02,5.0397397689820849e+01,9.4352281888823825e+02,5.3439505642702931e-02,8.9023530976280721e+05,4.4511765488140361e+05,1.9035454703395224e-01,2,8.3066538155084524e-01
c_mu_p_lepton_muon_unpolarized_proton_Ty_region_0,enhanced_cluster,C_mu_p,C_{mup},lepton_muon_unpolarized_proton_Ty,enhanced_region_0,0,1.3994796001516882e-01,5.8269350648793106e-01,2.7287704147386620e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},T_{y,p})$","electron h=-1, proton Ty",5.0000000000000000e-01,1,-1,-1,1,5.3868235063965653e+02,-2.9349766915860283e+02,6.1344890308174695e+02,-4.9887579906861751e-01,3.7631955669219856e+05,1.8815977834609928e+05,8.0466521568603303e-02,3,8.3066538155084524e-01
c_mu_p_lepton_muon_unpolarized_proton_Ty_region_0,enhanced_cluster,C_mu_p,C_{mup},lepton_muon_unpolarized_proton_Ty,enhanced_region_0,0,1.3994796001516882e-01,5.8269350648793106e-01,2.7287704147386620e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,6,1,1,-1,4.9483231470548517e+01,6.1051200309880403e+02,6.1251407830716994e+02,1.4899210983577196e+00,3.7517349612448190e+05,1.8758674806224095e+05,8.0221465190981847e-02,4,8.3066538155084524e-01
c_mu_p_lepton_muon_unpolarized_proton_Ty_region_0,enhanced_cluster,C_mu_p,C_{mup},lepton_muon_unpolarized_proton_Ty,enhanced_region_0,0,1.3994796001516882e-01,5.8269350648793106e-01,2.7287704147386620e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,4,1,-1,-1,-5.6627795211679529e+02,-1.6174393598672998e+02,5.8892429045002962e+02,-2.8633742442000347e+00,3.4683181988207082e+05,1.7341590994103541e+05,7.4161306843921332e-02,5,8.3066538155084524e-01
c_mu_p_lepton_muon_unpolarized_proton_Ty_region_0,enhanced_cluster,C_mu_p,C_{mup},lepton_muon_unpolarized_proton_Ty,enhanced_region_0,0,1.3994796001516882e-01,5.8269350648793106e-01,2.7287704147386620e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},T_{y,p})$","electron h=-1, proton Ty",5.0000000000000000e-01,3,-1,1,1,-8.2338726565073841e+01,-5.8290211203679928e+02,5.8868882961146744e+02,-1.7111244252740010e+00,3.4655453810931934e+05,1.7327726905465967e+05,7.4102017074492904e-02,6,8.3066538155084524e-01
c_mu_p_lepton_muon_unpolarized_proton_Ty_region_0,enhanced_cluster,C_mu_p,C_{mup},lepton_muon_unpolarized_proton_Ty,enhanced_region_0,0,1.3994796001516882e-01,5.8269350648793106e-01,2.7287704147386620e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},T_{y,p})$","electron h=-1, proton Ty",5.0000000000000000e-01,4,1,-1,-1,3.4542698336311958e+02,4.4132985629325765e+02,5.6043897338708723e+02,9.0669620567310749e-01,3.1409184289117227e+05,1.5704592144558614e+05,6.7160681928622235e-02,7,8.3066538155084524e-01
c_mu_p_lepton_muon_unpolarized_proton_Ty_region_0,enhanced_cluster,C_mu_p,C_{mup},lepton_muon_unpolarized_proton_Ty,enhanced_region_0,0,1.3994796001516882e-01,5.8269350648793106e-01,2.7287704147386620e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,3,-1,1,1,2.6541907150075292e+02,-4.9341937428455475e+02,5.6027668382298691e+02,-1.0772765642344311e+00,3.1390996243568324e+05,1.5695498121784162e+05,6.7121791343920351e-02,8,8.3066538155084524e-01
c_mu_p_lepton_muon_unpolarized_proton_Ty_region_1,enhanced_cluster,C_mu_p,C_{mup},lepton_muon_unpolarized_proton_Ty,enhanced_region_1,1,9.7208050091483807e-03,5.0114853315360275e-01,1.8280245741873840e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},T_{y,p})$","electron h=-1, proton Ty",5.0000000000000000e-01,0,-1,-1,-1,-6.9746784748514501e-01,1.1057843962963962e+00,1.3073716110456686e+00,2.1335161301883971e+00,1.7092205293681468e+00,8.5461026468407342e-01,3.3019114666932975e-01,1,9.3235676132665124e-01
c_mu_p_lepton_muon_unpolarized_proton_Ty_region_1,enhanced_cluster,C_mu_p,C_{mup},lepton_muon_unpolarized_proton_Ty,enhanced_region_1,1,9.7208050091483807e-03,5.0114853315360275e-01,1.8280245741873840e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,7,1,1,1,1.0187842897946533e+00,-6.3039491835938133e-01,1.1980480717507653e+00,-5.5410801797601172e-01,1.4353191822257270e+00,7.1765959111286348e-01,2.7727825548105051e-01,2,9.3235676132665124e-01
c_mu_p_lepton_muon_unpolarized_proton_Ty_region_1,enhanced_cluster,C_mu_p,C_{mup},lepton_muon_unpolarized_proton_Ty,enhanced_region_1,1,9.7208050091483807e-03,5.0114853315360275e-01,1.8280245741873840e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\mu}}\rho(h_{\mu},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,5,1,-1,1,-7.7857740158606137e-01,4.8675632046389239e-01,9.1821265825082732e-01,2.5828590156953948e+00,8.4311448577205061e-01,4.2155724288602531e-01,1.6287479236720181e-01,3,9.3235676132665124e-01
