detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_p_gamma_TxTy_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_0,0,9.9998662267384753e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","muon Tx, proton Ty",1.0000000000000000e+00,5,1,-1,1,-5.6256494646458182e-07,-3.5705098467869135e+01,3.5705098467869142e+01,-1.5707963425507683e+00,1.2748540566002314e+03,1.2748540566002314e+03,2.5132696552371825e-01,1,9.9999999105479598e-01
c_p_gamma_TxTy_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_0,0,9.9998662267384753e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","muon Tx, proton Ty",1.0000000000000000e+00,2,-1,1,-1,3.5700224423804571e+01,-5.6248564209296178e-07,3.5700224423804571e+01,-1.5755801291767277e-08,1.2745060239100123e+03,1.2745060239100123e+03,2.5125835374852484e-01,2,9.9999999105479598e-01
c_p_gamma_TxTy_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_0,0,9.9998662267384753e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","muon Tx, proton Ty",1.0000000000000000e+00,1,-1,-1,1,-5.3386741537847205e-07,-3.5520986402620863e+01,3.5520986402620871e+01,-1.5707963418245303e+00,1.2617404750151768e+03,1.2617404750151768e+03,2.4874173104149941e-01,3,9.9999999105479598e-01
c_p_gamma_TxTy_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_0,0,9.9998662267384753e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","muon Tx, proton Ty",1.0000000000000000e+00,6,1,1,-1,3.5516074343274731e+01,-5.3378457548363668e-07,3.5516074343274731e+01,-1.5029379945667145e-08,1.2613915367570175e+03,1.2613915367570175e+03,2.4867294074105342e-01,4,9.9999999105479598e-01
c_p_gamma_TxTy_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_1,1,9.9945886381572724e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","muon Tx, proton Ty",1.0000000000000000e+00,5,1,-1,1,-5.9517105616097990e-08,-3.7774639235378031e+00,3.7774639235378036e+00,-1.5707963425507336e+00,1.4269233693629618e+01,1.4269233693629618e+01,2.5822379634820986e-01,1,9.9999999997547517e-01
c_p_gamma_TxTy_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_1,1,9.9945886381572724e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","muon Tx, proton Ty",1.0000000000000000e+00,2,-1,1,-1,3.7774576037247192e+00,-5.9516991452148268e-08,3.7774576037247196e+00,-1.5755833074992610e-08,1.4269185947937700e+01,1.4269185947937700e+01,2.5822293231625892e-01,2,9.9999999997547517e-01
c_p_gamma_TxTy_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_1,1,9.9945886381572724e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","muon Tx, proton Ty",1.0000000000000000e+00,1,-1,-1,1,-5.3307624320214158e-08,-3.6551888196298177e+00,3.6551888196298181e+00,-1.5707963413789925e+00,1.3360405307146824e+01,1.3360405307146824e+01,2.4177714467613184e-01,3,9.9999999997547517e-01
c_p_gamma_TxTy_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_1,1,9.9945886381572724e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","muon Tx, proton Ty",1.0000000000000000e+00,6,1,1,-1,3.6551811242437551e+00,-5.3307455109725566e-08,3.6551811242437555e+00,-1.4584080322628253e-08,1.3360349051027844e+01,1.3360349051027844e+01,2.4177612663487452e-01,4,9.9999999997547517e-01
c_p_gamma_TxTy_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_2,2,9.8912330850955754e-01,1.0000000000000004e+00,1.3744467859455345e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","muon Tx, proton Ty",1.0000000000000000e+00,2,-1,1,-1,6.0856837945820786e+01,-3.3952852117716388e+00,6.0951478131651314e+01,-5.5733572176501524e-02,3.7150826864331684e+03,3.7150826864331684e+03,2.5906056935561778e-01,1,9.9253170278469915e-01
c_p_gamma_TxTy_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_2,2,9.8912330850955754e-01,1.0000000000000004e+00,1.3744467859455345e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,\mu}\rangle\otimes|T_{y,p}\rangle$","muon Tx, proton Ty",1.0000000000000000e+00,5,1,-1,1,3.6278445591816042e+00,-6.0700429592479978e+01,6.0808744509792362e+01,-1.5111009631765278e+00,3.6977034088572027e+03,3.6977034088572027e+03,2.5784867559070629e-01,2,9.9253170278469915e-01
