selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,size,max_concurrence,best_purity,best_kinematic_point,best_pair_delta_xy,s_min,s_max,theta_in_min,theta_in_max,phi_in_electron_min,phi_in_electron_max,qOut_min,qOut_max,phiOut_min,phiOut_max,Q2_min,Q2_max,xB_min,xB_max,t_min,t_max,W2_min,W2_max,y_min,y_max,theta_e_gamma_deg_min,theta_e_gamma_deg_max,pair_delta_xy_min,pair_delta_xy_max,abs_k_dot_qout_min,abs_k_dot_qout_max,abs_kp_dot_qout_min,abs_kp_dot_qout_max,best_lepton,best_s_regime,best_theta_in_regime,best_qOut_regime,best_electron_mass,best_s,best_sqrt_s,best_pIn,best_pOut,best_theta_in,best_phi_in_electron,best_phi_in_lepton,best_phi_in,best_qOut,best_phiOut,best_Q2,best_xB,best_t,best_W2,best_y,best_theta_e_gamma_deg,best_k_dot_qout,best_kp_dot_qout,best_abs_k_dot_qout,best_abs_kp_dot_qout
F3,F_3,TxTy,enhanced_region_0,0,9,9.9999957135233197e-01,1.0000000000000002e+00,high_s_high_theta_in_low_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.0799224746714913e+00,1.8653206380689404e+00,2.5000000000000000e-01,2.5000000000000000e-01,1.0799224746714913e+00,1.8653206380689396e+00,1.8635619131336405e+01,1.9666830500587160e+01,9.8821069283575025e-01,9.9462078589620373e-01,-1.7455190735678457e+01,-1.6539937179562909e+01,9.8620824806907958e-01,1.1021660612042203e+00,9.1433167813857663e-01,9.5870796032872951e-01,1.5494690991651635e+02,1.8000000000000000e+02,,,6.2735240092366695e-04,6.2735240092377798e-04,1.0484683282877079e+00,1.1064472348553092e+00,muon,high_s,high_theta_in,low_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9616332604136879e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.5707963267948966e+00,4.7123889803846897e+00,2.5000000000000000e-01,1.5707963267948966e+00,1.9666830500587160e+01,9.9462078589620373e-01,-1.7455190735678457e+01,9.8620824806907958e-01,9.5870796032872951e-01,1.8000000000000000e+02,6.2735240092370859e-04,1.1064472348553092e+00,6.2735240092370859e-04,1.1064472348553092e+00
F3,F_3,TxTy,enhanced_region_1,1,12,9.9999954690360782e-01,1.0000000000000002e+00,high_s_high_theta_in_mid_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,9.8174770424681057e-01,2.0616701789183018e+00,1.0000000000000000e+00,1.0000000000000000e+00,9.8174770424681035e-01,2.0616701789183018e+00,1.8277112866093535e+01,1.9128262273161621e+01,9.4565504903000774e-01,9.6627679765144792e-01,-1.0523825387781129e+01,-1.0055446837267292e+01,1.5474231665305920e+00,1.9301940230868544e+00,9.3709654713609591e-01,9.5980599042691428e-01,1.6151797152597101e+02,1.8000000000000000e+02,,,2.5094096036946678e-03,2.5094096036952229e-03,4.1133424240169596e+00,4.3047278522944801e+00,muon,high_s,high_theta_in,mid_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.1510672480880975e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.0000000000000000e+00,1.5707963267948966e+00,1.9128262273161621e+01,9.6627679765144792e-01,-1.0523825387781129e+01,1.5474231665305920e+00,9.5980599042691428e-01,1.8000000000000000e+02,2.5094096036948343e-03,4.3047278522944801e+00,2.5094096036948343e-03,4.3047278522944801e+00
F3,F_3,TxTy,enhanced_region_2,2,27,9.9999946152015340e-01,9.9999999999999989e-01,high_s_high_theta_in_low_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.1780972450961720e+00,1.9634954084936211e+00,2.5000000000000000e-01,1.8000000000000000e+00,4.7123889803846897e+00,4.7123889803846897e+00,3.6102206830886940e+00,1.7544477320454678e+01,1.7818125252109057e-01,8.8330442528688669e-01,-1.9767430038877183e+01,-1.8969074081384559e+01,3.1976891339544449e+00,1.7531130248800043e+01,9.3065376652938037e-01,9.8923607604907937e-01,0.0000000000000000e+00,0.0000000000000000e+00,,,1.0698770776053179e+00,8.0077186880973912e+00,7.0679191338363090e-04,2.3688259610352438e-02,muon,high_s,high_theta_in,low_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.2229462139273282e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.5707963267948966e+00,4.7123889803846897e+00,2.5000000000000000e-01,4.7123889803846897e+00,1.7544477320454678e+01,8.8330442528688669e-01,-1.9767430038877183e+01,3.1976891339544484e+00,9.6302933793499301e-01,0.0000000000000000e+00,1.1121831511246376e+00,7.0679191338363090e-04,1.1121831511246376e+00,7.0679191338363090e-04
F3,F_3,TxTy,enhanced_region_3,3,32,9.9999941513337409e-01,1.0000000000000004e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,9.8174770424680702e-02,3.1415926535897931e+00,1.8000000000000000e+00,1.8000000000000000e+00,9.8174770424681035e-02,3.1415926535897931e+00,1.6157639616377288e+01,1.6833462298753105e+01,8.1756038717020918e-01,8.4623849555046238e-01,-3.2024729044138036e+00,-3.0736080122715883e+00,3.9384834991014683e+00,4.4854412893430542e+00,9.5822515199089131e-01,9.6447319634924622e-01,1.6896286372468515e+02,1.8000000000000000e+02,,,4.5169372866502577e-03,4.5169372866515900e-03,6.5465327393383976e+00,6.8200116344575843e+00,muon,high_s,high_theta_in,high_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,9.2974464223269479e-02,1.5707949999999999e+00,1.5707963267948966e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.5707963267948966e+00,1.6833462298753105e+01,8.4623849555046238e-01,-3.2024729044138036e+00,3.9384834991014683e+00,9.6447319634924622e-01,1.8000000000000000e+02,4.5169372866507808e-03,6.8200116344575843e+00,4.5169372866507808e-03,6.8200116344575843e+00
F3,F_3,TxTx,enhanced_region_0,0,5,9.9999957135220341e-01,9.9999999999999989e-01,high_s_high_theta_in_low_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.3744467859455343e+00,1.7671458676442597e+00,2.5000000000000000e-01,2.5000000000000000e-01,1.3744467859455345e+00,1.7671458676442586e+00,1.9500014698949720e+01,1.9666830500587160e+01,9.9362438202280379e-01,9.9462078589620373e-01,-1.7455190735678457e+01,-1.7307133062714595e+01,9.8620824806907958e-01,1.0049663767447359e+00,9.5152934951441714e-01,9.5870796032872951e-01,1.7001478940011066e+02,1.8000000000000000e+02,,,6.2735240092368170e-04,6.2735240092377798e-04,1.0970681705184180e+00,1.1064472348553092e+00,muon,high_s,high_theta_in,low_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9616332604136879e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.5707963267948966e+00,4.7123889803846897e+00,2.5000000000000000e-01,1.5707963267948966e+00,1.9666830500587160e+01,9.9462078589620373e-01,-1.7455190735678457e+01,9.8620824806907958e-01,9.5870796032872951e-01,1.8000000000000000e+02,6.2735240092370859e-04,1.1064472348553092e+00,6.2735240092370859e-04,1.1064472348553092e+00
F3,F_3,TxTx,enhanced_region_1,1,11,9.9999954690367754e-01,9.9999999999999978e-01,high_s_high_theta_in_mid_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.0799224746714913e+00,2.0616701789183018e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0799224746714913e+00,2.0616701789183018e+00,1.8540357297003624e+01,1.9128262273161621e+01,9.5213893054007515e-01,9.6627679765144792e-01,-1.0523825387781129e+01,-1.0200307473901880e+01,1.5474231665305920e+00,1.8118102288153488e+00,9.4412014889843310e-01,9.5980599042691428e-01,1.6470691005677065e+02,1.8000000000000000e+02,,,2.5094096036946678e-03,2.5094096036952229e-03,4.1725343211539681e+00,4.3047278522944801e+00,muon,high_s,high_theta_in,mid_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.1510672480880975e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.0000000000000000e+00,1.5707963267948966e+00,1.9128262273161621e+01,9.6627679765144792e-01,-1.0523825387781129e+01,1.5474231665305920e+00,9.5980599042691428e-01,1.8000000000000000e+02,2.5094096036948343e-03,4.3047278522944801e+00,2.5094096036948343e-03,4.3047278522944801e+00
F3,F_3,TxTx,enhanced_region_2,2,27,9.9999946152025199e-01,1.0000000000000000e+00,high_s_high_theta_in_low_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.1780972450961720e+00,1.9634954084936211e+00,2.5000000000000000e-01,1.8000000000000000e+00,4.7123889803846897e+00,4.7123889803846897e+00,3.6102206830886940e+00,1.7544477320454678e+01,1.7818125252109057e-01,8.8330442528688669e-01,-1.9767430038877183e+01,-1.8969074081384559e+01,3.1976891339544449e+00,1.7531130248800043e+01,9.3065376652938037e-01,9.8923607604907937e-01,0.0000000000000000e+00,0.0000000000000000e+00,,,1.0698770776053179e+00,8.0077186880973912e+00,7.0679191338363090e-04,2.3688259610352438e-02,muon,high_s,high_theta_in,low_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.2229462139273282e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.5707963267948966e+00,4.7123889803846897e+00,2.5000000000000000e-01,4.7123889803846897e+00,1.7544477320454678e+01,8.8330442528688669e-01,-1.9767430038877183e+01,3.1976891339544484e+00,9.6302933793499301e-01,0.0000000000000000e+00,1.1121831511246376e+00,7.0679191338363090e-04,1.1121831511246376e+00,7.0679191338363090e-04
F3,F_3,TxTx,enhanced_region_3,3,37,9.9999941513350254e-01,1.0000000000000000e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,0.0000000000000000e+00,6.1850105367549055e+00,1.8000000000000000e+00,1.8000000000000000e+00,0.0000000000000000e+00,6.1850105367549055e+00,1.5446671996721214e+01,1.6833462298753105e+01,7.8698447154939133e-01,8.4623849555046238e-01,-3.2024729044138036e+00,-2.9380417342994924e+00,3.9384834991014683e+00,5.0608426310235357e+00,9.5165218937663443e-01,9.6447319634924622e-01,1.6388728746841613e+02,1.8000000000000000e+02,,,4.5169372866502577e-03,4.5169372866515900e-03,6.2588320684974335e+00,6.8200116344575843e+00,muon,high_s,high_theta_in,high_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,9.2974464223269479e-02,1.5707949999999999e+00,1.5707963267948966e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.5707963267948966e+00,1.6833462298753105e+01,8.4623849555046238e-01,-3.2024729044138036e+00,3.9384834991014683e+00,9.6447319634924622e-01,1.8000000000000000e+02,4.5169372866507808e-03,6.8200116344575843e+00,4.5169372866507808e-03,6.8200116344575843e+00
F3,F_3,LL,enhanced_region_0,0,42,7.3052198014525271e-01,9.9999999999999978e-01,high_s_high_theta_in_low_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,0.0000000000000000e+00,6.1850105367549055e+00,2.5000000000000000e-01,1.8000000000000000e+00,0.0000000000000000e+00,6.1850105367549055e+00,6.6063012584328256e+00,1.9625061856175225e+01,8.0748816980754190e-01,9.9437270149472690e-01,-1.7418118898156123e+01,-3.2016843555542978e+00,9.9090505495770465e-01,3.9418304381582452e+00,3.9667213674807750e-01,9.6446912230700366e-01,7.3959245145081738e+01,1.7972300805626125e+02,,,6.2735240092365308e-04,4.5169372866512569e-03,3.7213104398119878e-01,6.8198333123230537e+00,muon,high_s,high_theta_in,low_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9621944323473888e+00,1.5707949999999999e+00,1.4726215563702159e+00,1.4726215563702159e+00,4.6142142099600090e+00,2.5000000000000000e-01,1.4726215563702154e+00,1.9625061856175225e+01,9.9437270149472690e-01,-1.7418118898156123e+01,9.9090505495770465e-01,9.5691052363782625e-01,1.7500997991608625e+02,6.2735240092371553e-04,1.1040988314105580e+00,6.2735240092371553e-04,1.1040988314105580e+00
F3,F_3,LL,enhanced_region_1,1,4,6.8559152655553501e-01,1.0000000000000000e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.8000000000000000e+00,4.5160394395353274e+00,4.9087385212340520e+00,1.9984494154614071e-01,6.6328315742876232e-01,1.2001820173745039e-02,4.0108261232112717e-02,-1.4705533532571751e-03,-1.2816328810561129e-04,1.6753881011856063e+01,1.7331218511259678e+01,8.0181582644229321e-01,8.0733825977566920e-01,2.9277971975311395e+01,5.5467321066897235e+01,,,2.3785739250503753e-02,8.1406576045753062e-02,1.2364412837951877e-01,4.1231287808341704e-01,muon,high_s,high_theta_in,high_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1941512209945722e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.6142142099600090e+00,1.9984494154614238e-01,1.2001820173745140e-02,-1.2816328810561129e-04,1.7331218511259671e+01,8.0733825977566920e-01,2.9277971975311505e+01,2.3785739250503753e-02,1.2364412837951944e-01,2.3785739250503753e-02,1.2364412837951944e-01
