detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_LTx_region_0,enhanced_cluster,F3,F_3,LTx,enhanced_region_0,0,6.4797238787373956e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,"$|L_{\mu}\rangle\otimes|T_{x,p}\rangle$","muon L, proton Tx",1.0000000000000000e+00,6,1,1,-1,-1.5792204507353784e+02,-7.4608762718334560e+02,7.6261793826022961e+02,-1.7793844662230875e+00,5.8158611975628335e+05,5.8158611975628335e+05,2.8744454017615600e-01,1,9.9668898909457915e-01
f3_LTx_region_0,enhanced_cluster,F3,F_3,LTx,enhanced_region_0,0,6.4797238787373956e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,"$|L_{\mu}\rangle\otimes|T_{x,p}\rangle$","muon L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,1.5651667628621453e+02,-7.4595002482116774e+02,7.6219348559692139e+02,-1.3639746844050140e+00,5.8093890948638436e+05,5.8093890948638436e+05,2.8712466139619758e-01,2,9.9668898909457915e-01
f3_LTx_region_0,enhanced_cluster,F3,F_3,LTx,enhanced_region_0,0,6.4797238787373956e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,"$|L_{\mu}\rangle\otimes|T_{x,p}\rangle$","muon L, proton Tx",1.0000000000000000e+00,5,1,-1,1,-1.4729969738311934e+02,-6.6183811873278819e+02,6.7803163366978299e+02,-1.7897885797961237e+00,4.5972689625691483e+05,4.5972689625691483e+05,2.2721654078772840e-01,3,9.9668898909457915e-01
f3_LTx_region_0,enhanced_cluster,F3,F_3,LTx,enhanced_region_0,0,6.4797238787373956e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,"$|L_{\mu}\rangle\otimes|T_{x,p}\rangle$","muon L, proton Tx",1.0000000000000000e+00,4,1,-1,-1,-1.3035341123584078e+02,-6.1429263678716995e+02,6.2797090333211622e+02,-1.7798954640543401e+00,3.9434745543175406e+05,3.9434745543175406e+05,1.9490324673449716e-01,4,9.9668898909457915e-01
f3_LTx_region_1,enhanced_cluster,F3,F_3,LTx,enhanced_region_1,1,3.9383486105571752e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_{\mu}\rangle\otimes|T_{x,p}\rangle$","muon L, proton Tx",1.0000000000000000e+00,6,1,1,-1,-1.2418043083923766e+02,-1.4423574091295986e+03,1.4476932254709445e+03,-1.6566800067068097e+00,2.0958156750744670e+06,2.0958156750744670e+06,5.4020752864604293e-01,1,9.7619938786120219e-01
f3_LTx_region_1,enhanced_cluster,F3,F_3,LTx,enhanced_region_1,1,3.9383486105571752e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_{\mu}\rangle\otimes|T_{x,p}\rangle$","muon L, proton Tx",1.0000000000000000e+00,4,1,-1,-1,-8.5094518174482246e+01,-9.4676709068489617e+02,9.5058350555187394e+02,-1.6604345125992357e+00,9.0360900102728955e+05,9.0360900102728955e+05,2.3290997920889567e-01,2,9.7619938786120219e-01
f3_LTx_region_1,enhanced_cluster,F3,F_3,LTx,enhanced_region_1,1,3.9383486105571752e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_{\mu}\rangle\otimes|T_{x,p}\rangle$","muon L, proton Tx",1.0000000000000000e+00,5,1,-1,1,-7.7196852869486477e+01,-7.4982329198866933e+02,7.5378665635687560e+02,-1.6733882686952222e+00,5.6819432330167841e+05,5.6819432330167841e+05,1.4645507943851233e-01,3,9.7619938786120219e-01
f3_LTx_region_1,enhanced_cluster,F3,F_3,LTx,enhanced_region_1,1,3.9383486105571752e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_{\mu}\rangle\otimes|T_{x,p}\rangle$","muon L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,3.7130297355508517e+01,-4.6724025860531049e+02,4.6871325801951230e+02,-1.4914957278426442e+00,2.1969211824326590e+05,2.1969211824326590e+05,5.6626800567751302e-02,4,9.7619938786120219e-01
f3_LTx_region_2,enhanced_cluster,F3,F_3,LTx,enhanced_region_2,2,1.8212737466860743e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_{\mu}\rangle\otimes|T_{x,p}\rangle$","muon L, proton Tx",1.0000000000000000e+00,3,-1,1,1,1.2292165987434389e+00,1.7399008575579167e+00,2.1303118177293112e+00,9.5573020941123266e-01,4.5382284407571625e+00,4.5382284407571625e+00,4.0094613165858817e-01,1,9.8445967610686802e-01
f3_LTx_region_2,enhanced_cluster,F3,F_3,LTx,enhanced_region_2,2,1.8212737466860743e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_{\mu}\rangle\otimes|T_{x,p}\rangle$","muon L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-9.4565432448555609e-01,1.8971934449425230e+00,2.1198125079711909e+00,2.0332024290910602e+00,4.4936050689511102e+00,4.4936050689511102e+00,3.9700371920827648e-01,2,9.8445967610686802e-01
