detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
ghz_purity_Ty_lepton_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_muon_Ty_proton_unpolarized,enhanced_region_0,0,4.8244638565613601e-01,5.0003981222794869e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\mu},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,7,1,1,1,1.1138705774094144e-01,-3.9892210115274018e-01,4.1418102252553884e-01,-1.2985109972225815e+00,1.7154591942030092e-01,8.5772959710150462e-02,4.8054074976499267e-01,1,9.6108147154787815e-01
ghz_purity_Ty_lepton_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_muon_Ty_proton_unpolarized,enhanced_region_0,0,4.8244638565613601e-01,5.0003981222794869e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\mu},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,0,-1,-1,-1,-3.9749132815259425e-01,1.1638966223247828e-01,4.1418101046656369e-01,2.8567446478236174e+00,1.7154590943110373e-01,8.5772954715551866e-02,4.8054072178288543e-01,2,9.6108147154787815e-01
ghz_purity_Ty_lepton_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_muon_Ty_proton_unpolarized,enhanced_region_1,1,4.8079486963133061e-01,5.0003592669806918e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\mu},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,7,1,1,1,8.9368501889995289e-02,3.3009487963648604e-01,3.4197859390945556e-01,1.3063988129522128e+00,1.1694935869228831e-01,5.8474679346144157e-02,4.7992176838315498e-01,1,9.5852387272489170e-01
ghz_purity_Ty_lepton_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_muon_Ty_proton_unpolarized,enhanced_region_1,1,4.8079486963133061e-01,5.0003592669806918e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\mu},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,0,-1,-1,-1,3.2836102253459309e-01,9.3844639049048384e-02,3.4150809272725841e-01,2.7837625260775795e-01,1.1662777739820973e-01,5.8313888699104865e-02,4.7860210434173678e-01,2,9.5852387272489170e-01
ghz_purity_Ty_lepton_region_2,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_muon_Ty_proton_unpolarized,enhanced_region_2,2,4.7882598349067174e-01,5.0000790766384839e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\mu},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,7,1,1,1,1.9052232011335228e-03,5.6641248378593110e-03,5.9759673380125021e-03,1.2463181962007950e+00,3.5712185624992231e-05,1.7856092812496115e-05,4.8138551715307365e-01,1,9.5717908911553173e-01
ghz_purity_Ty_lepton_region_2,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_muon_Ty_proton_unpolarized,enhanced_region_2,2,4.7882598349067174e-01,5.0000790766384839e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\mu},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,0,-1,-1,-1,5.5936068677575074e-03,2.0022243625943772e-03,5.9411564690041970e-03,3.4373845095901806e-01,3.5297340189190421e-05,1.7648670094595210e-05,4.7579357196245808e-01,2,9.5717908911553173e-01
ghz_purity_low_egamma_ty_lepton_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_muon_Ty_proton_unpolarized,low_Egamma_Ty_lepton_region_0,0,2.7923911003824087e-01,5.0000178355689018e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\mu},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,0,-1,-1,-1,2.7439942327476985e-02,4.1945776924043566e-03,2.7758690836436783e-02,1.5168968314818940e-01,7.7054491695287947e-04,3.8527245847643974e-04,2.7980928631255819e-01,1,9.9962163128099846e-01
ghz_purity_low_egamma_ty_lepton_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_muon_Ty_proton_unpolarized,low_Egamma_Ty_lepton_region_0,0,2.7923911003824087e-01,5.0000178355689018e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\mu},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,7,1,1,1,4.0692490655988307e-03,2.7446373757071568e-02,2.7746391123364925e-02,1.4236067519328168e+00,7.6986222037074385e-04,3.8493111018537193e-04,2.7956137754148902e-01,2,9.9962163128099846e-01
ghz_purity_low_egamma_ty_lepton_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_muon_Ty_proton_unpolarized,low_Egamma_Ty_lepton_region_0,0,2.7923911003824087e-01,5.0000178355689018e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\mu},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-3.7167810124010838e-03,-2.4343772070209817e-02,2.4625874597676175e-02,-1.7223052172304971e+00,6.0643369970047266e-04,3.0321684985023633e-04,2.2021530085500537e-01,3,9.9962163128099846e-01
ghz_purity_low_egamma_ty_lepton_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_muon_Ty_proton_unpolarized,low_Egamma_Ty_lepton_region_0,0,2.7923911003824087e-01,5.0000178355689018e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\mu},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,-2.4349022755113789e-02,-3.6144307662260948e-03,2.4615828624949654e-02,-2.9942262418862233e+00,6.0593901889289072e-04,3.0296950944644536e-04,2.2003566657194581e-01,4,9.9962163128099846e-01
ghz_purity_low_egamma_ty_lepton_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_muon_Ty_proton_unpolarized,low_Egamma_Ty_lepton_region_1,1,2.7923911003824081e-01,5.0000178355689029e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\mu},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,0,-1,-1,-1,-2.7439942327476999e-02,4.1945776924043497e-03,2.7758690836436794e-02,2.9899029704416042e+00,7.7054491695288001e-04,3.8527245847644001e-04,2.7980928631255808e-01,1,9.9962163128099824e-01
ghz_purity_low_egamma_ty_lepton_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_muon_Ty_proton_unpolarized,low_Egamma_Ty_lepton_region_1,1,2.7923911003824081e-01,5.0000178355689029e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\mu},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,7,1,1,1,4.0692490655988237e-03,-2.7446373757071582e-02,2.7746391123364935e-02,-1.4236067519328173e+00,7.6986222037074450e-04,3.8493111018537225e-04,2.7956137754148891e-01,2,9.9962163128099824e-01
ghz_purity_low_egamma_ty_lepton_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_muon_Ty_proton_unpolarized,low_Egamma_Ty_lepton_region_1,1,2.7923911003824081e-01,5.0000178355689029e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\mu},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-3.7167810124010782e-03,2.4343772070209831e-02,2.4625874597676189e-02,1.7223052172304969e+00,6.0643369970047342e-04,3.0321684985023671e-04,2.2021530085500540e-01,3,9.9962163128099824e-01
ghz_purity_low_egamma_ty_lepton_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_muon_Ty_proton_unpolarized,low_Egamma_Ty_lepton_region_1,1,2.7923911003824081e-01,5.0000178355689029e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\mu},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,2.4349022755113803e-02,-3.6144307662260896e-03,2.4615828624949668e-02,-1.4736641170356943e-01,6.0593901889289148e-04,3.0296950944644574e-04,2.2003566657194584e-01,4,9.9962163128099824e-01
