detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
ghz_purity_LTy_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_0,0,4.8000599406048983e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,k,2.2256210070511226e+00,4.0837897529420274e-16,2.2231115974474278e+00,-2.9496131222404812e-06,2.2231115974493845e+00,1.5707963267948963e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.0346847743434459e-01,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.0799224746714913e+00,1.5930248428574368e+01,8.3847708576396018e-01,-3.2544056178464769e+00,3.9486221388122211e+00,9.2117223545215821e-01
ghz_purity_LTy_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_0,0,4.8000599406048983e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,p,2.4128964285095109e+00,-4.0837897529420274e-16,-2.2231115974474278e+00,2.9496131222404812e-06,2.2231115974493845e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.0346847743434459e-01,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.0799224746714913e+00,1.5930248428574368e+01,8.3847708576396018e-01,-3.2544056178464769e+00,3.9486221388122211e+00,9.2117223545215821e-01
ghz_purity_LTy_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_0,0,4.8000599406048983e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,kp,1.8948280132288071e+00,-8.4851412628679612e-01,-1.6909267532613836e+00,0.0000000000000000e+00,1.8918798871501672e+00,4.2472990629107388e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.0346847743434459e-01,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.0799224746714913e+00,1.5930248428574368e+01,8.3847708576396018e-01,-3.2544056178464769e+00,3.9486221388122211e+00,9.2117223545215821e-01
ghz_purity_LTy_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_0,0,4.8000599406048983e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,pp,9.4368942233267683e-01,0.0000000000000000e+00,1.0346847743434459e-01,0.0000000000000000e+00,1.0346847743434459e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.0346847743434459e-01,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.0799224746714913e+00,1.5930248428574368e+01,8.3847708576396018e-01,-3.2544056178464769e+00,3.9486221388122211e+00,9.2117223545215821e-01
ghz_purity_LTy_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_0,0,4.8000599406048983e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,8.4851412628679612e-01,1.5874582758270390e+00,0.0000000000000000e+00,1.8000000000000003e+00,1.0799224746714913e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.0346847743434459e-01,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.0799224746714913e+00,1.5930248428574368e+01,8.3847708576396018e-01,-3.2544056178464769e+00,3.9486221388122211e+00,9.2117223545215821e-01
ghz_purity_LTy_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_1,1,4.7490792258982689e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,k,2.2256210070511226e+00,-4.3370755742380807e-01,2.1803951314701489e+00,-2.9496131222404812e-06,2.2231115974493845e+00,1.7671458676442588e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.3422952239110594e-01,1.5707949999999999e+00,4.9087385212340520e+00,1.8000000000000000e+00,2.4543692606170260e+00,1.5166706911275062e+01,8.3008128531329828e-01,-3.3983657119843964e+00,3.9844885570942998e+00,8.8589073851508771e-01
ghz_purity_LTy_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_1,1,4.7490792258982689e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,p,2.4128964285095109e+00,4.3370755742380807e-01,-2.1803951314701489e+00,2.9496131222404812e-06,2.2231115974493845e+00,4.9087385212340520e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.3422952239110594e-01,1.5707949999999999e+00,4.9087385212340520e+00,1.8000000000000000e+00,2.4543692606170260e+00,1.5166706911275062e+01,8.3008128531329828e-01,-3.3983657119843964e+00,3.9844885570942998e+00,8.8589073851508771e-01
ghz_purity_LTy_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_1,1,4.7490792258982689e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,kp,1.8909618621600288e+00,1.3914188160529266e+00,-1.2761374338856677e+00,0.0000000000000000e+00,1.8880076990919357e+00,5.5409763716654084e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.3422952239110594e-01,1.5707949999999999e+00,4.9087385212340520e+00,1.8000000000000000e+00,2.4543692606170260e+00,1.5166706911275062e+01,8.3008128531329828e-01,-3.3983657119843964e+00,3.9844885570942998e+00,8.8589073851508771e-01
ghz_purity_LTy_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_1,1,4.7490792258982689e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,pp,9.4755557339996910e-01,0.0000000000000000e+00,1.3422952239110594e-01,0.0000000000000000e+00,1.3422952239110594e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.3422952239110594e-01,1.5707949999999999e+00,4.9087385212340520e+00,1.8000000000000000e+00,2.4543692606170260e+00,1.5166706911275062e+01,8.3008128531329828e-01,-3.3983657119843964e+00,3.9844885570942998e+00,8.8589073851508771e-01
ghz_purity_LTy_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_1,1,4.7490792258982689e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,-1.3914188160529266e+00,1.1419079114945618e+00,0.0000000000000000e+00,1.8000000000000000e+00,2.4543692606170260e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.3422952239110594e-01,1.5707949999999999e+00,4.9087385212340520e+00,1.8000000000000000e+00,2.4543692606170260e+00,1.5166706911275062e+01,8.3008128531329828e-01,-3.3983657119843964e+00,3.9844885570942998e+00,8.8589073851508771e-01
ghz_purity_LTy_region_2,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_2,2,4.7204875965969262e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,k,2.2256210070511226e+00,6.4533523256567904e-01,2.1273851584315087e+00,-2.9496131222404812e-06,2.2231115974493845e+00,1.2762720155208533e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.0206241878057125e+00,1.5707949999999999e+00,4.4178646691106467e+00,1.8000000000000000e+00,5.0069132916587327e+00,4.6393228996258369e+00,2.3645694299301245e-01,-1.7588151258748862e+01,1.5860680444830093e+01,9.5128800305404926e-01
ghz_purity_LTy_region_2,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_2,2,4.7204875965969262e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,p,2.4128964285095109e+00,-6.4533523256567904e-01,-2.1273851584315087e+00,2.9496131222404812e-06,2.2231115974493845e+00,4.4178646691106467e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.0206241878057125e+00,1.5707949999999999e+00,4.4178646691106467e+00,1.8000000000000000e+00,5.0069132916587327e+00,4.6393228996258369e+00,2.3645694299301245e-01,-1.7588151258748862e+01,1.5860680444830093e+01,9.5128800305404926e-01
ghz_purity_LTy_region_2,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_2,2,4.7204875965969262e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,kp,6.1079076733041759e-01,-5.2251241905803170e-01,-2.9813158348773650e-01,0.0000000000000000e+00,6.0158263700241654e-01,3.6600937125125372e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.0206241878057125e+00,1.5707949999999999e+00,4.4178646691106467e+00,1.8000000000000000e+00,5.0069132916587327e+00,4.6393228996258369e+00,2.3645694299301245e-01,-1.7588151258748862e+01,1.5860680444830093e+01,9.5128800305404926e-01
ghz_purity_LTy_region_2,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_2,2,4.7204875965969262e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,pp,2.2277266682305292e+00,0.0000000000000000e+00,2.0206241878057125e+00,0.0000000000000000e+00,2.0206241878057125e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.0206241878057125e+00,1.5707949999999999e+00,4.4178646691106467e+00,1.8000000000000000e+00,5.0069132916587327e+00,4.6393228996258369e+00,2.3645694299301245e-01,-1.7588151258748862e+01,1.5860680444830093e+01,9.5128800305404926e-01
ghz_purity_LTy_region_2,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_2,2,4.7204875965969262e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,5.2251241905803170e-01,-1.7224926043179760e+00,0.0000000000000000e+00,1.8000000000000000e+00,5.0069132916587327e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.0206241878057125e+00,1.5707949999999999e+00,4.4178646691106467e+00,1.8000000000000000e+00,5.0069132916587327e+00,4.6393228996258369e+00,2.3645694299301245e-01,-1.7588151258748862e+01,1.5860680444830093e+01,9.5128800305404926e-01
ghz_purity_low_egamma_lty_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_0,0,2.7919343231469734e-01,9.9999999999999956e-01,nan,high_s_high_theta_in_low_Egamma,k,2.2256210070511226e+00,4.0837897529420274e-16,2.2231115974474278e+00,-2.9496131222404812e-06,2.2231115974493845e+00,1.5707963267948963e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9754791639288403e+00,1.5707949999999999e+00,4.7123889803846897e+00,2.5000000000000000e-01,1.0799224746714913e+00,1.9541503307418637e+01,9.8875106124155621e-01,-1.7577072458964683e+01,1.1021660612042163e+00,9.5825368375200370e-01
ghz_purity_low_egamma_lty_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_0,0,2.7919343231469734e-01,9.9999999999999956e-01,nan,high_s_high_theta_in_low_Egamma,p,2.4128964285095109e+00,-4.0837897529420274e-16,-2.2231115974474278e+00,2.9496131222404812e-06,2.2231115974493845e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9754791639288403e+00,1.5707949999999999e+00,4.7123889803846897e+00,2.5000000000000000e-01,1.0799224746714913e+00,1.9541503307418637e+01,9.8875106124155621e-01,-1.7577072458964683e+01,1.1021660612042163e+00,9.5825368375200370e-01
ghz_purity_low_egamma_lty_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_0,0,2.7919343231469734e-01,9.9999999999999956e-01,nan,high_s_high_theta_in_low_Egamma,kp,2.2016562312048777e+00,-1.1784918420649945e-01,-2.1959594800159290e+00,0.0000000000000000e+00,2.1991194756288177e+00,4.6587740380168148e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9754791639288403e+00,1.5707949999999999e+00,4.7123889803846897e+00,2.5000000000000000e-01,1.0799224746714913e+00,1.9541503307418637e+01,9.8875106124155621e-01,-1.7577072458964683e+01,1.1021660612042163e+00,9.5825368375200370e-01
ghz_purity_low_egamma_lty_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_0,0,2.7919343231469734e-01,9.9999999999999956e-01,nan,high_s_high_theta_in_low_Egamma,pp,2.1868612043559117e+00,0.0000000000000000e+00,1.9754791639288403e+00,0.0000000000000000e+00,1.9754791639288403e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9754791639288403e+00,1.5707949999999999e+00,4.7123889803846897e+00,2.5000000000000000e-01,1.0799224746714913e+00,1.9541503307418637e+01,9.8875106124155621e-01,-1.7577072458964683e+01,1.1021660612042163e+00,9.5825368375200370e-01
ghz_purity_low_egamma_lty_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_0,0,2.7919343231469734e-01,9.9999999999999956e-01,nan,high_s_high_theta_in_low_Egamma,qout,2.5000000000000000e-01,1.1784918420649945e-01,2.2048031608708873e-01,0.0000000000000000e+00,2.5000000000000000e-01,1.0799224746714913e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9754791639288403e+00,1.5707949999999999e+00,4.7123889803846897e+00,2.5000000000000000e-01,1.0799224746714913e+00,1.9541503307418637e+01,9.8875106124155621e-01,-1.7577072458964683e+01,1.1021660612042163e+00,9.5825368375200370e-01
ghz_purity_low_egamma_lty_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_1,1,2.7917257122095257e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,k,2.2256210070511226e+00,4.0837897529420274e-16,2.2231115974474278e+00,-2.9496131222404812e-06,2.2231115974493845e+00,1.5707963267948963e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.0050908556144287e+00,1.5707949999999999e+00,4.7123889803846897e+00,2.5000000000000000e-01,2.4543692606170260e+00,1.9278791976886687e+01,9.7616076931841078e-01,-1.7837995676207850e+01,1.3506594472549385e+00,9.5756432339689002e-01
ghz_purity_low_egamma_lty_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_1,1,2.7917257122095257e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,p,2.4128964285095109e+00,-4.0837897529420274e-16,-2.2231115974474278e+00,2.9496131222404812e-06,2.2231115974493845e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.0050908556144287e+00,1.5707949999999999e+00,4.7123889803846897e+00,2.5000000000000000e-01,2.4543692606170260e+00,1.9278791976886687e+01,9.7616076931841078e-01,-1.7837995676207850e+01,1.3506594472549385e+00,9.5756432339689002e-01
ghz_purity_low_egamma_lty_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_1,1,2.7917257122095257e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,kp,2.1748703681028361e+00,1.9325261334068425e-01,-2.1636891766553399e+00,0.0000000000000000e+00,2.1723023329496440e+00,4.8014688616946843e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.0050908556144287e+00,1.5707949999999999e+00,4.7123889803846897e+00,2.5000000000000000e-01,2.4543692606170260e+00,1.9278791976886687e+01,9.7616076931841078e-01,-1.7837995676207850e+01,1.3506594472549385e+00,9.5756432339689002e-01
ghz_purity_low_egamma_lty_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_1,1,2.7917257122095257e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,pp,2.2136470674587221e+00,0.0000000000000000e+00,2.0050908556144287e+00,0.0000000000000000e+00,2.0050908556144287e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.0050908556144287e+00,1.5707949999999999e+00,4.7123889803846897e+00,2.5000000000000000e-01,2.4543692606170260e+00,1.9278791976886687e+01,9.7616076931841078e-01,-1.7837995676207850e+01,1.3506594472549385e+00,9.5756432339689002e-01
ghz_purity_low_egamma_lty_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_1,1,2.7917257122095257e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,qout,2.5000000000000000e-01,-1.9325261334068425e-01,1.5859832104091137e-01,0.0000000000000000e+00,2.5000000000000000e-01,2.4543692606170260e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.0050908556144287e+00,1.5707949999999999e+00,4.7123889803846897e+00,2.5000000000000000e-01,2.4543692606170260e+00,1.9278791976886687e+01,9.7616076931841078e-01,-1.7837995676207850e+01,1.3506594472549385e+00,9.5756432339689002e-01
ghz_purity_low_egamma_lty_region_2,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_2,2,2.7909220292986064e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,k,2.2256210070511226e+00,4.0837897529420274e-16,2.2231115974474278e+00,-2.9496131222404812e-06,2.2231115974493845e+00,1.5707963267948963e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1232579402473863e+00,1.5707949999999999e+00,4.7123889803846897e+00,2.5000000000000000e-01,5.9886609959055432e+00,1.8297519156954586e+01,9.2569246953071826e-01,-1.8882523827334509e+01,2.3486292683482888e+00,9.5837388139348023e-01
ghz_purity_low_egamma_lty_region_2,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_2,2,2.7909220292986064e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,p,2.4128964285095109e+00,-4.0837897529420274e-16,-2.2231115974474278e+00,2.9496131222404812e-06,2.2231115974493845e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1232579402473863e+00,1.5707949999999999e+00,4.7123889803846897e+00,2.5000000000000000e-01,5.9886609959055432e+00,1.8297519156954586e+01,9.2569246953071826e-01,-1.8882523827334509e+01,2.3486292683482888e+00,9.5837388139348023e-01
ghz_purity_low_egamma_lty_region_2,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_2,2,2.7909220292986064e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,kp,2.0672961447699092e+00,-2.3923508393305221e-01,-2.0506867709337708e+00,0.0000000000000000e+00,2.0645943083005993e+00,4.5962529851909917e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1232579402473863e+00,1.5707949999999999e+00,4.7123889803846897e+00,2.5000000000000000e-01,5.9886609959055432e+00,1.8297519156954586e+01,9.2569246953071826e-01,-1.8882523827334509e+01,2.3486292683482888e+00,9.5837388139348023e-01
ghz_purity_low_egamma_lty_region_2,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_2,2,2.7909220292986064e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,pp,2.3212212907914602e+00,0.0000000000000000e+00,2.1232579402473863e+00,0.0000000000000000e+00,2.1232579402473863e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1232579402473863e+00,1.5707949999999999e+00,4.7123889803846897e+00,2.5000000000000000e-01,5.9886609959055432e+00,1.8297519156954586e+01,9.2569246953071826e-01,-1.8882523827334509e+01,2.3486292683482888e+00,9.5837388139348023e-01
ghz_purity_low_egamma_lty_region_2,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_2,2,2.7909220292986064e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,qout,2.5000000000000000e-01,2.3923508393305221e-01,-7.2571169313615624e-02,0.0000000000000000e+00,2.5000000000000000e-01,5.9886609959055432e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1232579402473863e+00,1.5707949999999999e+00,4.7123889803846897e+00,2.5000000000000000e-01,5.9886609959055432e+00,1.8297519156954586e+01,9.2569246953071826e-01,-1.8882523827334509e+01,2.3486292683482888e+00,9.5837388139348023e-01
