detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
w_purity_L_lepton_region_0,enhanced_cluster,W_purity,P_W,lepton_muon_L_proton_unpolarized,enhanced_region_0,0,3.3333333292269690e-01,9.9999912023854631e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,1.7825377618235325e-16,6.1229300283680619e+00,6.1229300283680619e+00,1.5707963267948966e+00,3.7490272132291317e+01,1.8745136066145658e+01,9.9999956011848967e-01,1,9.9999956011848967e-01
w_purity_L_lepton_region_1,enhanced_cluster,W_purity,P_W,lepton_muon_L_proton_unpolarized,enhanced_region_1,1,3.3333333166124685e-01,9.9999931032370948e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,5.3300472505872767e-18,3.7448370872312259e-01,3.7448370872312259e-01,1.5707963267948966e+00,1.4023804809902451e-01,7.0119024049512257e-02,9.9999965516166112e-01,1,9.9999965516166112e-01
w_purity_L_lepton_region_2,enhanced_cluster,W_purity,P_W,lepton_muon_L_proton_unpolarized,enhanced_region_2,2,3.3333329661214711e-01,9.9999913670198426e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,3.3755288973477210e-19,9.7538083927101504e-02,9.7538083927101504e-02,1.5707963267948966e+00,9.5136778161702962e-03,4.7568389080851481e-03,9.9999956835075465e-01,1,9.9999956835075465e-01
w_purity_L_lepton_region_3,enhanced_cluster,W_purity,P_W,lepton_muon_L_proton_unpolarized,enhanced_region_3,3,3.2309024574654549e-01,9.0191162471065867e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,-9.3474914888752609e-03,1.9414639432910002e-01,1.9437128910444823e-01,1.6189057895272760e+00,3.7780198028124996e-02,1.8890099014062498e-02,9.1844428591793936e-01,1,9.4570748947798311e-01
w_purity_L_lepton_region_3,enhanced_cluster,W_purity,P_W,lepton_muon_L_proton_unpolarized,enhanced_region_3,3,3.2309024574654549e-01,9.0191162471065867e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,3,-1,1,1,2.8706927463588473e-02,-1.7244824332918747e-02,3.3488380830863661e-02,-5.4094871487095475e-01,1.1214716506729567e-03,5.6073582533647834e-04,2.7263203560043782e-02,2,9.4570748947798311e-01
w_purity_low_egamma_l_lepton_region_0,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_unpolarized,low_Egamma_L_lepton_region_0,0,3.3333329661214711e-01,9.9999913670198426e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,3.3755288973477210e-19,9.7538083927101504e-02,9.7538083927101504e-02,1.5707963267948966e+00,9.5136778161702962e-03,4.7568389080851481e-03,9.9999956835075465e-01,1,9.9999956835075465e-01
w_purity_low_egamma_l_lepton_region_1,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_unpolarized,low_Egamma_L_lepton_region_1,1,3.2309024574654549e-01,9.0191162471065867e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,-9.3474914888752609e-03,1.9414639432910002e-01,1.9437128910444823e-01,1.6189057895272760e+00,3.7780198028124996e-02,1.8890099014062498e-02,9.1844428591793936e-01,1,9.4570748947798311e-01
w_purity_low_egamma_l_lepton_region_1,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_unpolarized,low_Egamma_L_lepton_region_1,1,3.2309024574654549e-01,9.0191162471065867e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,3,-1,1,1,2.8706927463588473e-02,-1.7244824332918747e-02,3.3488380830863661e-02,-5.4094871487095475e-01,1.1214716506729567e-03,5.6073582533647834e-04,2.7263203560043782e-02,2,9.4570748947798311e-01
w_purity_low_egamma_l_lepton_region_2,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_unpolarized,low_Egamma_L_lepton_region_2,2,3.0004998966942709e-01,9.0191162471066444e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,9.3474914888703239e-03,1.9414639432902697e-01,1.9437128910437504e-01,1.5226868640625244e+00,3.7780198028096540e-02,1.8890099014048270e-02,9.1844428591794169e-01,1,9.4570748947798622e-01
w_purity_low_egamma_l_lepton_region_2,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_unpolarized,low_Egamma_L_lepton_region_2,2,3.0004998966942709e-01,9.0191162471066444e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,3,-1,1,1,-2.8706927463578464e-02,-1.7244824332911798e-02,3.3488380830851497e-02,-2.6006439387188625e+00,1.1214716506721420e-03,5.6073582533607100e-04,2.7263203560044580e-02,2,9.4570748947798622e-01
w_purity_low_egamma_l_lepton_region_3,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_unpolarized,low_Egamma_L_lepton_region_3,3,2.7665287861725973e-01,5.5326496521935664e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,-1.2871511928491602e-01,2.2811964171692733e+00,2.2848248676076817e+00,1.6271609525544271e+00,5.2204246756384602e+00,2.6102123378192301e+00,5.2805378965586647e-01,1,9.6046986955894154e-01
w_purity_low_egamma_l_lepton_region_3,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_unpolarized,low_Egamma_L_lepton_region_3,3,2.7665287861725973e-01,5.5326496521935664e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,3,-1,1,1,1.1961007092066871e+00,5.7639998534991843e-01,1.3277401288189365e+00,4.4906240130743752e-01,1.7628938496761262e+00,8.8144692483806308e-01,1.7831935827493728e-01,2,9.6046986955894154e-01
w_purity_low_egamma_l_lepton_region_3,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_unpolarized,low_Egamma_L_lepton_region_3,3,2.7665287861725973e-01,5.5326496521935664e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,3,-1,1,1,-4.8053389541408587e-02,8.5162746774936027e-01,8.5298210536423691e-01,1.6271619217897690e+00,7.2757847207160620e-01,3.6378923603580310e-01,7.3595654246739750e-02,3,9.6046986955894154e-01
w_purity_low_egamma_l_lepton_region_3,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_unpolarized,low_Egamma_L_lepton_region_3,3,2.7665287861725973e-01,5.5326496521935664e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,1,-1,-1,1,-7.5818779783479839e-01,-3.6537032630357735e-01,8.4163187447289789e-01,-2.6925300099038512e+00,7.0834421212876375e-01,3.5417210606438188e-01,7.1650079990790580e-02,4,9.6046986955894154e-01
w_purity_low_egamma_l_lepton_region_3,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_unpolarized,low_Egamma_L_lepton_region_3,3,2.7665287861725973e-01,5.5326496521935664e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,7,1,1,1,-6.4545927157209715e-01,-2.2506234818752011e-01,6.8357203850805859e-01,-2.8060892786250484e+00,4.6727073183006274e-01,2.3363536591503137e-01,4.7265135706216814e-02,5,9.6046986955894154e-01
w_purity_low_egamma_l_lepton_region_3,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_unpolarized,low_Egamma_L_lepton_region_3,3,2.7665287861725973e-01,5.5326496521935664e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,6,1,1,-1,6.0257615894727057e-01,2.1120176929144449e-01,6.3851719999032353e-01,3.3711844846210948e-01,4.0770421468348284e-01,2.0385210734174142e-01,4.1239893111943433e-02,6,9.6046986955894154e-01
w_purity_low_egamma_l_lepton_region_3,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_unpolarized,low_Egamma_L_lepton_region_3,3,2.7665287861725973e-01,5.5326496521935664e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,5,1,-1,1,-2.5595492526743164e-02,-4.4775918621691935e-01,4.4849015382650759e-01,-1.6278977077443288e+00,2.0114341807932443e-01,1.0057170903966221e-01,2.0345958572447271e-02,7,9.6046986955894154e-01
w_purity_mid_egamma_l_lepton_region_0,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_unpolarized,mid_Egamma_L_lepton_region_0,0,3.3333333166124685e-01,9.9999931032370948e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\mu},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,5.3300472505872767e-18,3.7448370872312259e-01,3.7448370872312259e-01,1.5707963267948966e+00,1.4023804809902451e-01,7.0119024049512257e-02,9.9999965516166112e-01,1,9.9999965516166112e-01
