local_minimum_id,contour_point_count,original_contour_cut,target_covariance_cut,covariance_rank,covariance_min_eigenvalue,covariance_max_eigenvalue,requested_samples,attempted_samples,accepted_samples,rejected_samples,rejection_fraction
0,779,0.05,0.02,8,1.1600497360605989e-11,0.0003143711800066883,2000,3947,2000,1947,0.49328604003040283
1,763,0.05,0.02,8,1.7542088486767558e-11,0.0001523496180176287,2000,4101,2000,2101,0.512314069739088
2,755,0.05,0.02,8,1.4466044296363989e-11,0.00024601459629222563,2000,4000,2000,2000,0.5
3,777,0.05,0.02,8,1.5921517255295423e-11,6.685619442496819e-05,2000,3965,2000,1965,0.49558638083228246
4,802,0.05,0.02,8,1.751041150450861e-11,0.0002535432316541146,2000,4046,2000,2046,0.5056846267918932
5,498,0.05,0.02,8,2.9865082696186697e-05,0.00031955479467590597,2000,4587,2000,2587,0.5639851754959668
6,399,0.05,0.02,8,1.945074893896832e-11,0.00032287054365530914,2000,9973,2000,7973,0.7994585380527424
7,788,0.05,0.02,8,1.631971652067476e-11,0.00013562502653506812,2000,3900,2000,1900,0.48717948717948717
8,774,0.05,0.02,8,3.1923653477023065e-11,1.0540046323212717e-05,2000,4075,2000,2075,0.50920245398773
9,742,0.05,0.02,8,5.7471464536215353e-08,6.473462126692742e-06,2000,3963,2000,1963,0.49533181932879133
10,778,0.05,0.02,8,2.3411397629857878e-11,5.189130938955488e-05,2000,4000,2000,2000,0.5
11,763,0.05,0.02,8,1.7076861613995487e-11,0.0004304894619409417,2000,5885,2000,3885,0.6601529311809685
12,765,0.05,0.02,8,4.677826985275738e-11,2.5667301534137445e-05,2000,3975,2000,1975,0.4968553459119497
13,765,0.05,0.02,8,3.0195901175820776e-11,9.820691399939682e-06,2000,3924,2000,1924,0.49031600407747195
14,790,0.05,0.02,8,1.7007500184446383e-11,0.00010225348038756242,2000,4000,2000,2000,0.5
15,752,0.05,0.02,8,2.2699147355865945e-11,8.965599218695626e-05,2000,4022,2000,2022,0.5027349577324715
16,763,0.05,0.02,8,3.629026364984194e-11,1.0706498313221562e-05,2000,4000,2000,2000,0.5
17,742,0.05,0.02,8,3.085867426047226e-11,8.419569454396008e-06,2000,3930,2000,1930,0.4910941475826972
18,810,0.05,0.02,8,1.937122035124594e-11,2.9020422265425985e-05,2000,4118,2000,2118,0.5143273433705683
19,759,0.05,0.02,8,2.5606862842745196e-11,1.4377288391821904e-05,2000,3992,2000,1992,0.49899799599198397
20,490,0.05,0.02,8,2.759757736399172e-11,5.350557561227704e-05,2000,10235,2000,8235,0.8045920859794822
21,744,0.05,0.02,8,2.280166136294703e-11,0.00017764404926100293,2000,4054,2000,2054,0.506660088801184
22,762,0.05,0.02,8,1.4202617315919885e-11,0.00011928445139290724,2000,4008,2000,2008,0.500998003992016
23,792,0.05,0.02,8,3.459690207789128e-11,1.1746574621941293e-05,2000,3988,2000,1988,0.49849548645937813
24,786,0.05,0.02,8,1.5219143663212225e-11,0.00020788472648299494,2000,3968,2000,1968,0.4959677419354839
25,768,0.05,0.02,8,1.8760753831658192e-10,3.7023641610322785e-06,2000,3908,2000,1908,0.4882292732855681
26,735,0.05,0.02,8,5.5743602075220766e-11,1.0484351612300075e-05,2000,3950,2000,1950,0.4936708860759494
27,777,0.05,0.02,8,3.6865484130652656e-11,3.4644774691875986e-05,2000,4006,2000,2006,0.5007488766849726
28,1525,0.05,0.02,8,1.0227674423669646e-06,9.728839292331363e-05,2000,3482,2000,1482,0.42561746122917865
29,724,0.05,0.02,8,2.1537809414628934e-11,0.00010280931075363264,2000,3941,2000,1941,0.49251459020553157
30,760,0.05,0.02,8,2.3791863902340455e-11,1.053369837236467e-05,2000,4005,2000,2005,0.5006242197253433
31,748,0.05,0.02,8,6.351629810619603e-11,1.8597000215529053e-05,2000,3945,2000,1945,0.49302915082382764
32,810,0.05,0.02,8,2.9047804416108717e-10,8.429567454352769e-06,2000,4056,2000,2056,0.5069033530571992
33,1530,0.05,0.02,8,2.5276502611463264e-07,2.8646469468201052e-05,2000,3404,2000,1404,0.41245593419506466
34,1513,0.05,0.02,8,4.495155027464049e-05,0.000157444271262878,2000,2000,2000,0,0.0
35,819,0.05,0.02,8,6.892462784481431e-11,6.8493631042201905e-06,2000,4089,2000,2089,0.5108828564441183
36,783,0.05,0.02,8,1.225997647274845e-10,7.652663615450952e-06,2000,4048,2000,2048,0.5059288537549407
37,759,0.05,0.02,8,1.823864387216061e-11,0.0002324202808514593,2000,4062,2000,2062,0.5076317085179715
38,789,0.05,0.02,8,5.262995336318157e-11,8.105706823577083e-06,2000,3929,2000,1929,0.49096462204123187
39,789,0.05,0.02,8,9.84796517628064e-11,2.2242569797902646e-05,2000,4081,2000,2081,0.509924038225925
40,763,0.05,0.02,8,1.6062938656332894e-11,0.00019322336121046195,2000,6092,2000,4092,0.6717005909389363
41,806,0.05,0.02,8,2.0502842620131466e-11,7.721146151420733e-05,2000,4039,2000,2039,0.5048279277048775
42,780,0.05,0.02,8,1.7502145564127496e-11,0.00022274167568271227,2000,5186,2000,3186,0.6143463170073274
43,749,0.05,0.02,8,1.9931750977729582e-11,5.0474083200462644e-05,2000,4121,2000,2121,0.514680902693521
44,773,0.05,0.02,8,1.4697788954716968e-11,7.702171743397215e-05,2000,3966,2000,1966,0.4957135653050933
45,761,0.05,0.02,8,2.000298957806693e-11,4.684096603991643e-05,2000,3944,2000,1944,0.49290060851926976
46,399,0.05,0.02,8,3.170896290984472e-11,0.00014672959493849803,2000,10780,2000,8780,0.8144712430426716
47,1535,0.05,0.02,8,4.513145930955416e-09,1.8926795225767016e-05,2000,2015,2000,15,0.007444168734491315
48,1521,0.05,0.02,8,6.264411272750979e-11,7.109498900025389e-05,2000,3928,2000,1928,0.4908350305498982
49,730,0.05,0.02,8,2.7799644029508964e-10,0.00035672671244569513,2000,4092,2000,2092,0.5112414467253177
50,753,0.05,0.02,8,2.9998722939014945e-11,0.00010427611204802956,2000,2000,2000,0,0.0
51,778,0.05,0.02,8,3.961873907513467e-11,1.6126136179958634e-05,2000,4051,2000,2051,0.5062947420390027
52,792,0.05,0.02,8,1.591970630811709e-11,0.0001138192247420702,2000,3997,2000,1997,0.49962471853890417
