lepton,kinematic_point,s_regime,theta_p_gamma_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,qOut,theta_p_out,phi_p_out,theta_gamma_out,phi_gamma_out,theta_lepton_out,phi_lepton_out,cos_p_gamma_out,Q2,xB,t,F1,F2,W2,y,theta_lepton_gamma_rad,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,reference_name,search_stage,sample_id,alpha_e,alpha_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_trace,lepton_electron_alpha_e_mix_proton_alpha_p_mix_spin_signal_M2,lepton_electron_alpha_e_mix_proton_alpha_p_mix_cross_section_ratio,lepton_electron_alpha_e_mix_proton_alpha_p_mix_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M2_magic,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_out_mean,lepton_electron_alpha_e_mix_proton_alpha_p_mix_lambda_mean,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_lambda,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_lambda_connected,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_p_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_p_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_gamma_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_D_W,lepton_electron_alpha_e_mix_proton_alpha_p_mix_dGHZ,lepton_electron_alpha_e_mix_proton_alpha_p_mix_F3,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_e,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_plus_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_minus_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_phase_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_abs,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_phase_rad,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_visibility,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_subspace_max_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_max_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_one_minus_C_e_gamma,optimization_run,start_source,screening_one_minus_C_e_gamma,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_one_minus_C_e_gamma,lbfgs_one_minus_C_e_gamma,final_one_minus_C_e_gamma,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_one_minus_C_e_gamma,local_minimum_verified,initial_C_e_gamma,lbfgs_C_e_gamma,final_C_e_gamma,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7,local_minimum_id,one_minus_C_e_gamma_above_global_minimum,within_polarization_cluster_cut,polarization_cluster_id,polarization_cluster_size,polarization_cluster_distance,polarization_cluster_representative,polarization_configuration,polarization_alpha_e_region,polarization_clustering_scheme
electron,gradient_local_minimum_0003,gradient,gradient,gradient,0.00051099895,15.6459557843782,3.9554969073908017,1.8665305317961582,1.8625355250211704,0.0,0.0,3.141592653589793,0.0,1.3691086765447023,0.054316582040478026,3.1268003673649116,3.141592653589793,3.3109921139526244,2.9383627431163624,6.268393020954705,-0.9985252170977837,0.0384902226243915,0.0035503434398879426,-0.010257328275771155,0.9725563953511118,1.7343079072310235,11.682621186031245,0.734199209560312,0.20322991047343134,11.644216140949181,9.57663277567633e-08,0.014116542940635024,9.57663277567633e-08,0.014116542940635024,False,,gradient,1554001186,2.3544150327542073,1.6068303759307943,1.0,16100554809827.209,0.9999477874353968,0.9999999999999999,0.13130185546910622,-1.4300542117096082e-05,1.428440262818409e-05,-0.9999066566182955,-0.9999066564140208,8.460879528341959e-10,0.9999999998817204,0.0,0.9999999998970908,7.840942312340873e-06,0.9999999998970908,0.9999999993965147,1.4142071602013608,9.05394030843578e-06,3.0740743284241034e-11,6.148037562959262e-11,3.0740743284241034e-11,1.0483628564996938e-05,1.2856229902338046e-05,1.2917245978054779e-05,2.3339858467334984e-05,1.2473167443872868e-06,-2.827516293331585,0.10688297413053759,1.0483628564996938e-05,0.6421928160980028,0.9970883726253257,0.9970883726253257,0.002088442383061317,0.0028882875162070743,0.0028882875162070747,0.6421928160980028,1.1827960832988538e-10,1554,sobol_screened,0.5035654600163858,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4,1332,396,77600.04241584051,0.5035654600163858,0.22384252651371805,1.1827960832988538e-10,43,29,False,1e-05,1.7372958627248636e-10,True,0.4964345399836142,0.776157473486282,0.9999999998817204,0.4570417469367385,0.27310609817504883,0.9689125530421734,0.43146338034421206,0.5206619314849377,0.520512044429779,0.6722742663696408,0.1473656203597784,0.7398215010595109,0.01728950504719709,1.0,0.7195293808994843,0.49764573452767996,0.5269607614738442,0.7494335811053976,0.5114699940791887,3,7.502543031279174e-11,True,2,649,0.011469994079188715,True,alpha_p~pi/2,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
electron,gradient_local_minimum_0006,gradient,gradient,gradient,0.00051099895,24.999912555161565,4.99999125550851,2.412011045861167,2.4092158514134,0.0,0.0,3.141592653589793,0.0,1.7947483445254675,0.03926455398652549,6.243949804075469,3.141592653589793,2.898339309369544,2.98842559925292,3.1023571504856764,-0.9992292464306521,0.03500794423940823,0.0019496070164889711,-0.008958810557638698,0.9759025364000423,1.7415554700653297,18.801246728950364,0.7444593628130619,0.15316705433687242,8.775825773953741,9.714809401373259e-08,0.013024663988980167,9.714809401373259e-08,0.013024663988980167,True,,gradient,410002748,0.7855617423530096,1.5368724758457775,0.9999999999999999,54474244055750.18,0.9999837468334,0.9999999999999998,0.15335717251529235,6.35679915461651e-06,-6.1845200397536715e-06,-0.9998955493291354,-0.9998955492898216,2.734591163401764e-10,0.9999999996441734,0.0,0.9999999999087417,3.2531115395216566e-05,0.9999999999087418,0.999999999699085,1.414187000826437,3.756369645244886e-05,5.291365123838432e-10,1.0582734687821164e-09,5.291367344284481e-10,1.1874936764066174e-05,1.4194854928844129e-05,1.4396511099321884e-05,2.6069791692910303e-05,1.3616152528667335e-06,2.5903976515283262,0.10445923534072776,1.1874936764066174e-05,0.027281024669586373,0.9972207702007696,0.9972207702007696,9.222202840724461e-05,0.0027531600075375888,0.0027531600075375888,0.027281024669586373,3.5582659041466513e-10,410,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,23,2779,1314,56172.79667683216,0.9207741774856045,8.590087764903664e-05,3.5582659041466513e-10,72,58,False,1e-05,3.4562896988887815e-10,True,0.07922582251439543,0.999914099122351,0.9999999996441734,0.9336374846010702,0.5913208614274142,0.4299538520004093,0.10305342107736193,0.9279654077481657,0.5666400176110399,0.7866768886789101,0.0990119056797843,0.999997821807627,0.012498295710508233,1.0,0.7306507898146298,0.9937554757362823,0.46128502784371306,0.25005206879872677,0.48920170286547,6,3.125724123975715e-10,True,2,649,0.01079829713452998,False,alpha_p~pi/2,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
electron,gradient_local_minimum_0008,gradient,gradient,gradient,0.00051099895,6.021338467531404,2.4538415734377397,1.0476418226624857,1.043512890485673,0.0,0.0,3.141592653589793,0.0,0.7238201948915826,0.07853981633974483,3.052418809008983,3.141592653589793,4.9975706855954325,2.88844040167269,6.194011462598777,-0.996917333733128,0.021830902018671883,0.0061339511295931065,-0.0067477147679413695,0.9816806462630344,1.7540008793288078,4.417040804176963,0.6922166131700597,0.2531522519171035,14.504555609082633,9.020442903739934e-08,0.007541683829795337,9.020442903739934e-08,0.007541683829795337,False,,gradient,991001767,2.3530414971125304,1.585710164280414,1.0000000000000002,5295401851458.289,0.9998599826543003,1.0000000000000004,0.29549727744959103,-4.133975991582606e-06,3.852516662905536e-06,-0.9998410208926788,-0.9998410208767525,2.8593175445749476e-09,0.9999999995771284,2.0452867065491225e-09,0.9999999998575223,3.143961743464408e-05,0.9999999998575223,0.9999999965893066,1.414187891966924,3.630334316847766e-05,5.607878605928818e-10,9.884495320778812e-10,5.60787856409684e-10,2.163266446387115e-05,1.818214507686725e-05,2.1826956638197732e-05,3.98148095407384e-05,1.919551867828533e-06,0.4538118644563102,0.0964240135753734,2.163266446387115e-05,0.08888648516750801,0.9975826800511771,0.9975826800511771,0.00026302647757185443,0.0023775051392820844,0.0023775051392820844,0.08888648516750801,4.228716266041488e-10,991,latin_hypercube,nan,True,False,2,ABNORMAL: ,5,1942,900,86368.39561678088,0.7726802747592064,0.13606453622648995,4.228716266041488e-10,48,34,False,1e-05,3.8959024895035554e-10,True,0.2273197252407936,0.86393546377351,0.9999999995771284,0.37708558545938203,0.20290120647061682,0.9717104863047352,0.5286365588066783,0.3861875197855334,0.5826340185867599,0.5819251413145096,0.44179953304677827,0.3657695394344755,0.025,1.0,0.6747723821279898,0.4858075418404557,0.7953880780636654,0.748996371131626,0.5047472219125786,8,3.7961744858705515e-10,True,2,649,0.004747221912578574,False,alpha_p~pi/2,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
electron,gradient_local_minimum_0014,gradient,gradient,gradient,0.00051099895,22.972840104696406,4.792999072052529,2.304715220121826,2.289894954876159,0.0,0.0,3.141592653589793,0.0,1.7548808097959758,0.08836001122376413,0.002579263915285954,3.141592653589793,2.505586619135607,2.774860700142319,3.1441719175050795,-0.9960987934192271,0.17273470226817045,0.010243115221427707,-0.0412090553095484,0.900874092301102,1.5737784175122882,17.570602340046186,0.7632958953014697,0.36673195344747406,21.012193145128442,9.941235656896197e-08,0.06576292289166807,9.941235656896197e-08,0.06576292289166807,False,,gradient,1096001627,2.344806685938577,1.4955320227536273,1.0,1749389064842.0405,0.9995505488494533,1.0000000000000002,0.12090302733938568,6.958602503048805e-06,-7.2074224164997425e-06,-0.9999791344757727,-0.9999791344256191,6.608797054690914e-10,0.9999999991910319,0.0,0.9999999992330988,1.0146629474754645e-05,0.9999999992330986,0.9999999992897575,1.414205277137064,1.1716318507951397e-05,8.413381102911899e-11,1.0295408926119773e-10,8.413336693990914e-11,2.798106597761056e-06,2.479158126608179e-06,3.1726936760214673e-06,5.277264724369235e-06,5.340613138368498e-07,-1.2675640132263835,0.2024008048603942,2.798106597761056e-06,0.4251069863379932,0.9893936821699727,0.9893936821699727,0.004696744474420221,0.010601040565303022,0.010601040565303024,0.4251069863379932,8.089681147183114e-10,1096,sobol_screened,0.2754477418613478,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7,1828,558,0.7905114886094465,0.2754477418613478,0.09584269505652476,8.089681147183114e-10,59,45,False,1e-05,7.835767590336218e-10,True,0.7245522581386522,0.9041573049434752,0.9999999991910319,0.5896691931411624,0.15649039670825005,0.9080799194052815,0.6702666934579611,0.31015508715063334,0.3811382753774524,0.8539107153192163,0.5535074463114142,0.9484375000000004,0.028125865115834828,1.0,0.7489099362965248,0.00041050260165631514,0.39877649578034197,0.7463751493240999,0.47604262794692137,14,7.657139367012178e-10,True,2,649,0.02395737205307864,False,alpha_p~pi/2,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
electron,gradient_local_minimum_0015,gradient,gradient,gradient,0.00051099895,20.753805146771203,4.5556344395452975,2.181250616820204,2.1745981874464984,0.0,0.0,3.141592653589793,0.0,1.6500628963740442,0.061463577384222874,3.160589618561057,3.141592653589793,2.4759529831117995,2.8903536013620235,0.018996964971262718,-0.998111708900871,0.07358893547398271,0.0048889522848385505,-0.017920551564133812,0.9534603477973961,1.6924169577484685,15.858342134836391,0.7573773117958472,0.25123905222776954,14.394937341518059,9.876542694797763e-08,0.027834290720348598,9.876542694797763e-08,0.027834290720348598,False,,gradient,1493001572,0.791736819600917,1.621217060622679,1.0,8438160876020.289,0.9998955399749032,0.9999999999999999,0.05823465281043593,9.191710410583198e-06,-9.565957513668621e-06,-0.9999501670362738,-0.9999501669483463,0.0,0.9999999991436612,5.887259844362112e-10,0.999999999253328,2.0944397073590183e-05,0.9999999992533282,0.9999999993220697,1.4141964608423745,2.418450655761671e-05,2.193336623435016e-10,4.386677684296147e-10,2.1933388404150823e-10,6.506986923283752e-06,6.043924411576581e-06,7.136399622136735e-06,1.2550911334860332e-05,8.609439547065691e-07,-1.2985172912955274,0.13719226145997626,6.506986923283752e-06,0.2652325957925249,0.9951765402573303,0.9951765402573303,0.0013771008997344523,0.0048109088313348924,0.0048109088313348924,0.2652325957925249,8.563387776661102e-10,1493,sobol_screened,0.4873088700899654,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,1821,837,90904.38585628543,0.4873088700899654,0.09067457885930197,8.563387776661102e-10,46,32,False,1e-05,8.134424245298533e-10,True,0.5126911299100346,0.909325421140698,0.9999999991436612,0.838808516971767,0.2489526765421033,0.9084551613777876,0.5602148324251175,0.8610386876389384,0.7294913707301021,0.2693831892684102,0.5799165312200785,0.8893116111210876,0.019564464321620595,1.0,0.7436977328351544,0.5030234608789202,0.39406015612536693,0.2520176569346843,0.5160494180460247,15,8.130845996490166e-10,True,2,649,0.016049418046024635,False,alpha_p~pi/2,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
electron,gradient_local_minimum_0016,gradient,gradient,gradient,0.00051099895,23.688103342686407,4.867042566352426,2.343133304309092,2.3039810445542654,0.0,0.0,3.141592653589793,0.0,1.9250956515796507,0.11913085237260562,0.0006174246235488011,3.141592653589793,3.4332376276743344,2.494728722665326,3.1422100782133415,-0.9929123084291677,0.43014083985571316,0.02286063643720363,-0.07674111477001286,0.8315977545308937,1.4160534637716924,19.26548902145555,0.8249549338256195,0.6468639309244673,37.06257316121399,1.0726680077510764e-07,0.17669996980966118,1.0726680077510764e-07,0.17669996980966118,False,,gradient,1034001555,2.33080652958818,1.479223469604747,0.9999999999999999,346439881998.9219,0.997503661488679,1.0000000000000002,0.31407036608912753,-4.5138531296062823e-07,2.796231963753115e-07,-0.9999913959070695,-0.9999913959069433,6.608578591891861e-10,0.9999999990651256,3.1898595117349374e-10,0.9999999991426329,1.4034892643680943e-05,0.9999999991426329,0.999999999035146,1.4142021023166151,1.6206098077391468e-05,1.5501466776868256e-10,1.969782109811643e-10,1.5501466766693053e-10,1.3511248717888195e-06,8.410716584413481e-07,1.401847725084162e-06,2.1921965302301675e-06,3.057494599690782e-07,0.5842913145699703,0.2789434758725545,1.3511248717888195e-06,0.5989680972993208,0.9793589290123644,0.9793589290123645,0.012804596475588778,0.020638878791105528,0.02063887879110553,0.5989680972993208,9.348744001158593e-10,1034,sobol_screened,0.14380502860070843,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6,1654,522,0.7298510251491671,0.14380502860070843,0.06701593873901734,9.348744001158593e-10,52,38,False,1e-05,8.888687563768372e-10,True,0.8561949713992916,0.9329840612609827,0.9999999990651256,0.8400878785178065,0.014133276417851448,0.9313664631918073,0.7454685987904668,0.31257238518446684,0.5442592743784189,0.7748525720089674,0.8009916450828314,0.9668812225122358,0.037920528059702065,1.0,0.8122375462110673,9.826618082444435e-05,0.5464167392534625,0.7419187611496497,0.470851454250279,16,8.916202220987657e-10,True,2,649,0.02914854574972101,False,alpha_p~pi/2,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
electron,gradient_local_minimum_0018,gradient,gradient,gradient,0.00051099895,14.090836257432217,3.75377626629934,1.7596935757915437,1.7468529562987594,0.0,0.0,3.141592653589793,0.0,1.3204998525996783,0.0958754210733474,3.142660413434762,3.141592653589793,0.3756134103518396,2.761309792318901,0.0010677598449686198,-0.9954074713482718,0.1132719685630923,0.011393286240462059,-0.02827087724809441,0.9291970195469887,1.6381186416994784,10.70856472541652,0.7525545921725503,0.38028286127089206,21.788602971981103,9.797410793765948e-08,0.042500643631610324,9.797410793765948e-08,0.042500643631610324,False,,gradient,1711001685,2.3454320977468583,1.624831843733419,1.0,1461243352139.618,0.999446439551494,1.0,0.31818369210191716,1.0339372878087616e-05,-1.0649062466172587e-05,-0.9999687587975139,-0.9999687586874093,0.0,0.9999999990336034,2.5806835562229287e-10,0.9999999991774388,2.2781190369364513e-05,0.9999999991774386,0.9999999995058222,1.414194961048038,2.630545276081791e-05,2.87670776089044e-10,5.189826345786271e-10,2.8767055397783983e-10,3.4275724823680662e-06,4.4588558038148555e-06,4.649869996296113e-06,7.886428286182922e-06,7.066558532046519e-07,-2.388668842362803,0.17920808446143308,3.4275724823680662e-06,0.5724519805675468,0.9917283780663189,0.9917283780663191,0.004975493076298597,0.0082637355053949,0.008263735505394899,0.5724519805675468,9.66396629387134e-10,1711,sobol_screened,0.551131054184654,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7,1807,729,1.103379724238038,0.551131054184654,0.0887188585308818,9.66396629387134e-10,50,36,False,1e-05,9.032122827434819e-10,True,0.448868945815346,0.9112811414691182,0.9999999990336034,0.6838838504627347,0.12270439229905605,0.8363907663151622,0.46745592169463634,0.311879126355052,0.2382297869771719,0.7811655970290303,0.833983862772584,0.6895742840087843,0.030518094369680216,1.0,0.7373366839743628,0.5001699392573619,0.05978073094909976,0.7465742240856119,0.5172000392465834,18,9.231424513700404e-10,True,2,649,0.017200039246583386,False,alpha_p~pi/2,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
electron,gradient_local_minimum_0020,gradient,gradient,gradient,0.00051099895,24.9988574091385,4.999885739608307,2.411956431114078,2.3750452481048763,0.0,0.0,3.141592653589793,0.0,1.9515209207498871,0.11890693511294302,3.137814520991051,3.141592653589793,3.2638840639406426,2.5358062407359006,6.279407174580844,-0.9929388959388723,0.4247351493956413,0.021674757083943324,-0.08108054429014318,0.8238275724815364,1.3985638878824076,20.050952428029518,0.8124645671514547,0.6057864128538929,34.709004742897704,1.0563644359251612e-07,0.1718274081892004,1.0563644359251612e-07,0.1718274081892004,False,,gradient,1925001618,2.3333825952762006,1.6681871992748112,1.0,366311475375.9446,0.9978423884249314,0.9999999999999999,0.13757433032142583,-1.0470849706845087e-05,1.0317243271940058e-05,-0.9999914149962597,-0.9999914148882294,0.0,0.9999999989246181,0.0,0.9999999992588292,3.6084241018209705e-05,0.9999999992588291,0.9999999996415393,1.414184099260187,4.166649249305537e-05,6.684222064734513e-10,1.3020724498602478e-09,6.684219844288464e-10,7.946538075012578e-07,1.38841330555315e-06,1.397047182743541e-06,2.183067113054408e-06,3.0551362621633694e-07,-2.903288972854844,0.279893938568734,7.946538075012578e-07,0.6423498275514619,0.979299154298235,0.979299154298235,0.013771608281409789,0.020698662634651976,0.020698662634651976,0.6423498275514619,1.0753818946440674e-09,1925,sobol_screened,0.5953222449198499,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7,1715,729,90784.05762952952,0.5953222449198499,0.09193248944328514,1.0753818946440674e-09,47,33,False,1e-05,1.0947154294171924e-09,True,0.40467775508015014,0.9080675105567149,0.9999999989246181,0.8225823817774653,0.13452659361064434,0.8278337772935629,0.433798941783607,0.5829715924337506,0.5746200047433376,0.7191422153264284,0.6687780655920506,0.9999715385263962,0.03784925298226428,1.0,0.7990903674343267,0.49939869152125355,0.519463282455017,0.7427387483256056,0.5310004775344217,20,1.0321277166269738e-09,True,2,649,0.031000477534421696,False,alpha_p~pi/2,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
electron,gradient_local_minimum_0022,gradient,gradient,gradient,0.00051099895,23.362120105254878,4.833437710910825,2.325702447033343,2.299160307510716,0.0,0.0,3.141592653589793,0.0,1.760749264800584,0.11943780234827095,3.143930910497475,3.141592653589793,3.4689016131133923,2.6583141846216343,0.002338256907681875,-0.99287578087552,0.31405103497862985,0.018368531098652108,-0.07628825802790257,0.832416478602666,1.4178999072798666,17.6630248172556,0.760476028795566,0.4832784689681592,27.689816601419647,9.884469776011429e-08,0.11888148732004022,9.884469776011429e-08,0.11888148732004022,False,,gradient,313001959,0.8044422258600117,1.6700932744804695,1.0000000000000002,468000659116.21173,0.9986379321661767,1.0,0.3327410829239367,-8.260386840153178e-06,8.04268566834132e-06,-0.999988976488812,-0.9999889764223763,0.0,0.9999999988166159,0.0,0.9999999988918367,1.7345982134658683e-05,0.9999999988918367,0.9999999996055386,1.4141993986721377,2.0029414886651894e-05,1.504414370856466e-10,3.008830962158982e-10,1.504414370856466e-10,1.6953404536211142e-06,1.1129843458621894e-06,1.7723609549696812e-06,2.8083247994833036e-06,3.6819855522802934e-07,0.6586519526671786,0.26221935247359796,1.6953404536211142e-06,0.06670287566209282,0.9818069048227411,0.9818069048227411,0.0012574605689803316,0.018190286852459197,0.018190286852459193,0.06670287566209282,1.1833840574126953e-09,313,latin_hypercube,nan,True,False,2,ABNORMAL: ,6,2106,693,90868.45729726575,0.8819713926275714,0.0909163605098936,1.1833840574126953e-09,65,51,False,1e-05,1.1833840574126953e-09,True,0.11802860737242861,0.9090836394901064,0.9999999988166159,0.8321479704690325,0.14785725340579614,0.5859251692316498,0.36302718191866323,0.9576018174740201,0.9240106572193201,0.17166441201402355,0.824008679923123,0.9585104853571482,0.038018233271520215,1.0,0.7443324239032987,0.5003721451450763,0.5520928388264459,0.25606191335493556,0.5316072001161926,22,1.1401298793956016e-09,True,2,649,0.031607200116192544,False,alpha_p~pi/2,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
electron,gradient_local_minimum_0023,gradient,gradient,gradient,0.00051099895,20.160823741509112,4.4900805940995205,2.147063850245289,2.11781310687103,0.0,0.0,3.141592653589793,0.0,1.729695110778544,0.11288184242687575,3.1385044454292728,3.141592653589793,2.6055234756576713,2.574581593826041,6.280097099019065,-0.9936356072220155,0.29845953384954216,0.019143116786083974,-0.05801752061670932,0.866744258634385,1.4958258611200101,16.172342677642245,0.8086185780836216,0.5670110597637522,32.487340661703094,1.0518034931905618e-07,0.12022111179673955,1.0518034931905618e-07,0.12022111179673955,False,,gradient,1969001617,0.8066990326437106,1.6497209298945272,1.0,508049069206.7977,0.9982718118151944,1.0000000000000002,0.2594078421675622,8.387172960089284e-06,-8.610015928223191e-06,-0.9999876800618388,-0.9999876799896251,0.0,0.9999999988089668,0.0,0.9999999989561086,2.286821936042562e-05,0.9999999989561086,0.9999999996029889,1.4141948898312608,2.6405945177905776e-05,2.9428348646831637e-10,5.229554567165451e-10,2.9428348646831637e-10,1.7517218241588198e-06,1.3821526396279145e-06,1.9568723891855357e-06,3.1338744637867343e-06,3.899351572921684e-07,-1.0770984324976414,0.24885180424298206,1.7517218241588198e-06,0.16925234906497771,0.9836939749373919,0.9836939749373919,0.002859076343330315,0.01630289118814448,0.01630289118814448,0.16925234906497771,1.1910331609854552e-09,1969,sobol_screened,0.6042254218412355,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,1648,666,0.7353449545098515,0.6042254218412355,0.052811020894693805,1.1910331609854552e-09,45,31,False,1e-05,1.1739661465171025e-09,True,0.39577457815876443,0.9471889791053062,0.9999999988089668,0.9824240682646632,0.04192124493420124,0.9323927601799369,0.3675498375669122,0.6907695084810257,0.4830210590735078,0.16058522555977106,0.6238086726516485,0.8729826014431427,0.03593140641511541,1.0,0.7954214589482568,0.49950849640595646,0.41468194049289403,0.25678027726539354,0.5251224814297443,23,1.1477789829683616e-09,True,2,649,0.025122481429744294,False,alpha_p~pi/2,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
