detail_id,selected_observable,selected_region,incoming_state,alpha_e,alpha_p,final_state_order,final_ket,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction,decomposition_rank,retained_fraction_total
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_0,C_e_gamma,polarization_cluster_05_local_minimum_0,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3559088660759024e+00,3.0689812385619017e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,1.5032470082340406e+06,2.0040907882486464e+05,1.5165471857611369e+06,1.3253594007322350e-01,2.2999153666400249e+12,4.9683188144548668e-01,1,9.9366131257574342e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_0,C_e_gamma,polarization_cluster_05_local_minimum_0,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3559088660759024e+00,3.0689812385619017e+00,p_gamma_lepton,|+1+1-1>,3,-1,1,1,1.5032433013124887e+06,-2.0040858462777632e+05,1.5165434460421430e+06,-1.3253594007341438e-01,2.2999040237333784e+12,4.9682943113025679e-01,2,9.9366131257574342e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_1,C_e_gamma,polarization_cluster_05_local_minimum_1,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3567349156643584e+00,3.0995485923294956e+00,p_gamma_lepton,|+1+1-1>,3,-1,1,1,-2.2301676841045334e+06,1.1426034597632063e+05,2.2330927714465437e+06,3.0904034406870826e+00,4.9867033258868076e+12,4.9848729999614794e-01,1,9.9697334888736711e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_1,C_e_gamma,polarization_cluster_05_local_minimum_1,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3567349156643584e+00,3.0995485923294956e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-2.2301592178349043e+06,-1.1437077139623310e+05,2.2330899691332998e+06,-3.0903538618659478e+00,4.9866908102437617e+12,4.9848604889121911e-01,2,9.9697334888736711e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_2,C_e_gamma,polarization_cluster_05_local_minimum_2,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3574598668775248e+00,3.0890484581237336e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-2.0776160843693833e+06,-6.7607658383364428e+05,2.1848496839001393e+06,-2.8269901711291889e+00,4.7735681412385410e+12,4.9785609428535149e-01,1,9.9570631721556713e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_2,C_e_gamma,polarization_cluster_05_local_minimum_2,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3574598668775248e+00,3.0890484581237336e+00,p_gamma_lepton,|+1+1-1>,3,-1,1,1,-2.0776738642227319e+06,6.7585735118439246e+05,2.1848368005927131e+06,2.8270937724158158e+00,4.7735118452242021e+12,4.9785022293021564e-01,2,9.9570631721556713e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_4,C_e_gamma,polarization_cluster_05_local_minimum_4,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3589813622695233e+00,3.0785341935375015e+00,p_gamma_lepton,|+1+1-1>,3,-1,1,1,-1.1146035149490298e+06,1.1513017101111691e+06,1.6024470734603482e+06,2.3400000851663840e+00,2.5678366232416348e+12,4.9709575805116102e-01,1,9.9417963800735976e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_4,C_e_gamma,polarization_cluster_05_local_minimum_4,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3589813622695233e+00,3.0785341935375015e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-1.1146283724398317e+06,-1.1512509961689026e+06,1.6024279281227468e+06,-2.3400332435949620e+00,2.5677752648277588e+12,4.9708387995619868e-01,2,9.9417963800735976e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_7,C_e_gamma,polarization_cluster_05_local_minimum_7,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3603793159540314e+00,3.0877769028243423e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,9.5256572665604413e+04,1.4426750394321401e+06,1.4458164074447781e+06,1.5048642892890720e+00,2.0903850840365239e+12,4.9734403000079291e-01,1,9.9468294411539226e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_7,C_e_gamma,polarization_cluster_05_local_minimum_7,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3603793159540314e+00,3.0877769028243423e+00,p_gamma_lepton,|+1+1-1>,3,-1,1,1,9.5418652501468678e+04,-1.4426568761235685e+06,1.4458089712931681e+06,-1.5047516019560283e+00,2.0903635814718091e+12,4.9733891411459935e-01,2,9.9468294411539226e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_9,C_e_gamma,polarization_cluster_05_local_minimum_9,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,7.7165254108098169e-01,3.0756463364633388e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,8.9715470861444948e+05,-1.6603569402144957e+05,9.1238940309402009e+05,-1.8299866444248322e-01,8.3245442287826233e+11,4.9441752578270115e-01,1,9.8883465977452989e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_9,C_e_gamma,polarization_cluster_05_local_minimum_9,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,7.7165254108098169e-01,3.0756463364633388e+00,p_gamma_lepton,|+1+1-1>,3,-1,1,1,-8.9715944207285077e+05,-1.6600812846551026e+05,9.1238904159195721e+05,-2.9586246412776491e+00,8.3245376321709021e+11,4.9441713399182874e-01,2,9.8883465977452989e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_10,C_e_gamma,polarization_cluster_05_local_minimum_10,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3669574449546147e+00,3.0693453801307604e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-9.1308831973045401e+05,-2.0515984283186489e+05,9.3585300167226011e+05,-2.9205753489138706e+00,8.7582084073897925e+11,4.9455635795170827e-01,1,9.8910062076102756e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_10,C_e_gamma,polarization_cluster_05_local_minimum_10,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3669574449546147e+00,3.0693453801307604e+00,p_gamma_lepton,|+1+1-1>,3,-1,1,1,-9.1309007998730044e+05,2.0509979768741256e+05,9.3584155773433798e+05,2.9206383621768643e+00,8.7579942118263220e+11,4.9454426280931935e-01,2,9.8910062076102756e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_11,C_e_gamma,polarization_cluster_05_local_minimum_11,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3592499004740053e+00,3.0614968962689990e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-6.2990166616764734e+05,-1.3899898206013404e+06,1.5260562933313190e+06,-1.9962832855118702e+00,2.3288478104161240e+12,4.9614619359752093e-01,1,9.9228084424759833e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_11,C_e_gamma,polarization_cluster_05_local_minimum_11,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3592499004740053e+00,3.0614968962689990e+00,p_gamma_lepton,|+1+1-1>,3,-1,1,1,-6.2980871690626070e+05,1.3900124493622289e+06,1.5260385412148323e+06,1.9962216867721199e+00,2.3287936292730928e+12,4.9613465065007734e-01,2,9.9228084424759833e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_13,C_e_gamma,polarization_cluster_05_local_minimum_13,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3693518885862108e+00,3.0835200315195643e+00,p_gamma_lepton,|+1+1-1>,3,-1,1,1,-6.8274702952005074e+05,-3.7308358966224559e+05,7.7803269288232352e+05,-2.6414830308735100e+00,6.0533487119371973e+11,4.9506003123252701e-01,1,9.9011535273858975e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_13,C_e_gamma,polarization_cluster_05_local_minimum_13,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3693518885862108e+00,3.0835200315195643e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-6.8271843709515850e+05,3.7312819248075527e+05,7.7802899198783806e+05,2.6414151015273797e+00,6.0532911237361157e+11,4.9505532150606274e-01,2,9.9011535273858975e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_17,C_e_gamma,polarization_cluster_05_local_minimum_17,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3655578177786687e+00,3.1116431709449621e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-9.6594281676106609e+05,-1.7408263886442446e+05,9.8150409597021248e+05,-2.9632862022659467e+00,9.6335029040630408e+11,4.9726040249625697e-01,1,9.9451931670416438e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_17,C_e_gamma,polarization_cluster_05_local_minimum_17,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.3655578177786687e+00,3.1116431709449621e+00,p_gamma_lepton,|+1+1-1>,3,-1,1,1,-9.6593741689215868e+05,1.7410431864231455e+05,9.8150262716011133e+05,2.9632634883246980e+00,9.6334740712220056e+11,4.9725891420790735e-01,2,9.9451931670416438e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_28,C_e_gamma,polarization_cluster_05_local_minimum_28,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0351019645932971e+00,2.9830182689796296e+00,p_gamma_lepton,|+1+1+1>,7,1,1,1,-3.4820086069540030e+03,1.3424357145721080e-01,3.4820086095417819e+03,3.1415541001034168e+00,1.2124383956923090e+07,3.8646057948541462e-01,1,9.8555817051103423e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_28,C_e_gamma,polarization_cluster_05_local_minimum_28,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0351019645932971e+00,2.9830182689796296e+00,p_gamma_lepton,|+1-1-1>,2,-1,1,-1,-3.4819107811584045e+03,-1.1042066590148934e-01,3.4819107829092713e+03,-3.1415609409260279e+00,1.2123702700139852e+07,3.8643886465914684e-01,2,9.8555817051103423e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_28,C_e_gamma,polarization_cluster_05_local_minimum_28,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0351019645932971e+00,2.9830182689796296e+00,p_gamma_lepton,|-1-1-1>,0,-1,-1,-1,-1.3628789709396472e+03,-1.3096462937532832e-01,1.3628789772321113e+03,-3.1414965594891688e+00,1.8574391065812458e+06,5.9205234347463560e-02,3,9.8555817051103423e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_28,C_e_gamma,polarization_cluster_05_local_minimum_28,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0351019645932971e+00,2.9830182689796296e+00,p_gamma_lepton,|-1+1+1>,5,1,-1,1,-1.3627967913170464e+03,-1.0412157486354002e-02,1.3627967913568223e+03,-3.1415850133036165e+00,1.8572150945324502e+06,5.9198094040253162e-02,4,9.8555817051103423e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_28,C_e_gamma,polarization_cluster_05_local_minimum_28,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0351019645932971e+00,2.9830182689796296e+00,p_gamma_lepton,|+1+1-1>,3,-1,1,1,-1.2159935882622626e+03,-1.1305863518011355e-01,1.2159935935181518e+03,-3.1414996772485151e+00,1.4786404194771883e+06,4.7131156138899538e-02,5,9.8555817051103423e-01
