detail_id,selected_observable,selected_region,alpha_e,alpha_p,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,theta_p_out,theta_gamma_out,phi_p_out,qOut,phi_gamma_out
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_0,C_e_gamma,polarization_cluster_05_local_minimum_0,2.3559088660759024e+00,3.0689812385619017e+00,k,1.9601391994570168e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.9601391328495199e+00,1.9601391328495199e+00,0.0000000000000000e+00,1.7082954563588832e+01,4.1331531018810370e+00,1.9601391328495199e+00,1.9574915390312873e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,8.8956897973694743e-02,3.1415926535897931e+00,0.0000000000000000e+00,7.7253928305812247e-01,1.3253594007331940e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_0,C_e_gamma,polarization_cluster_05_local_minimum_0,2.3559088660759024e+00,3.0689812385619017e+00,p,2.1730139024240200e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9601391328495199e+00,1.9601391328495199e+00,0.0000000000000000e+00,1.7082954563588832e+01,4.1331531018810370e+00,1.9601391328495199e+00,1.9574915390312873e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,8.8956897973694743e-02,3.1415926535897931e+00,0.0000000000000000e+00,7.7253928305812247e-01,1.3253594007331940e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_0,C_e_gamma,polarization_cluster_05_local_minimum_0,2.3559088660759024e+00,3.0689812385619017e+00,kp,1.1899878433537507e+00,-1.7390280482486431e-01,-1.2502385569802557e-17,-1.1772122241481480e+00,1.1899877336383700e+00,3.1415926535897931e+00,1.7082954563588832e+01,4.1331531018810370e+00,1.9601391328495199e+00,1.9574915390312873e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,8.8956897973694743e-02,3.1415926535897931e+00,0.0000000000000000e+00,7.7253928305812247e-01,1.3253594007331940e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_0,C_e_gamma,polarization_cluster_05_local_minimum_0,2.3559088660759024e+00,3.0689812385619017e+00,pp,2.1706259754686150e+00,1.7390280482486423e-01,0.0000000000000000e+00,1.9497515072062703e+00,1.9574915390312873e+00,0.0000000000000000e+00,1.7082954563588832e+01,4.1331531018810370e+00,1.9601391328495199e+00,1.9574915390312873e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,8.8956897973694743e-02,3.1415926535897931e+00,0.0000000000000000e+00,7.7253928305812247e-01,1.3253594007331940e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_0,C_e_gamma,polarization_cluster_05_local_minimum_0,2.3559088660759024e+00,3.0689812385619017e+00,qout,7.7253928305812247e-01,9.3779053393107028e-17,1.2502385569802557e-17,-7.7253928305812247e-01,7.7253928305812247e-01,1.3253594007331940e-01,1.7082954563588832e+01,4.1331531018810370e+00,1.9601391328495199e+00,1.9574915390312873e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,8.8956897973694743e-02,3.1415926535897931e+00,0.0000000000000000e+00,7.7253928305812247e-01,1.3253594007331940e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_1,C_e_gamma,polarization_cluster_05_local_minimum_1,2.3567349156643584e+00,3.0995485923294956e+00,k,1.6335665695368573e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.6335664896135966e+00,1.6335664896135966e+00,0.0000000000000000e+00,1.2371272019647982e+01,3.5172819079010402e+00,1.6335664896135966e+00,1.6305975598636291e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.8420291351454013e-02,3.1415926535897931e+00,6.2559580231445127e+00,9.6746176139220996e-01,3.1655801966290014e+00
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_1,C_e_gamma,polarization_cluster_05_local_minimum_1,2.3567349156643584e+00,3.0995485923294956e+00,p,1.8837153383641831e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6335664896135966e+00,1.6335664896135966e+00,0.0000000000000000e+00,1.2371272019647982e+01,3.5172819079010402e+00,1.6335664896135966e+00,1.6305975598636291e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.8420291351454013e-02,3.1415926535897931e+00,6.2559580231445127e+00,9.6746176139220996e-01,3.1655801966290014e+00
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_1,C_e_gamma,polarization_cluster_05_local_minimum_1,2.3567349156643584e+00,3.0995485923294956e+00,kp,6.6867889656774948e-01,-1.1143761569171749e-01,3.0348935991910890e-03,-6.5932059942407595e-01,6.6867870131710949e-01,3.1143653695547195e+00,1.2371272019647982e+01,3.5172819079010402e+00,1.6335664896135966e+00,1.6305975598636291e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.8420291351454013e-02,3.1415926535897931e+00,6.2559580231445127e+00,9.6746176139220996e-01,3.1655801966290014e+00
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_1,C_e_gamma,polarization_cluster_05_local_minimum_1,2.3567349156643584e+00,3.0995485923294956e+00,pp,1.8811412499419657e+00,1.1143761569171762e-01,-3.0348935991910859e-03,1.6267823608162859e+00,1.6305975598636293e+00,6.2559580231445127e+00,1.2371272019647982e+01,3.5172819079010402e+00,1.6335664896135966e+00,1.6305975598636291e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.8420291351454013e-02,3.1415926535897931e+00,6.2559580231445127e+00,9.6746176139220996e-01,3.1655801966290014e+00
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_1,C_e_gamma,polarization_cluster_05_local_minimum_1,2.3567349156643584e+00,3.0995485923294956e+00,qout,9.6746176139220996e-01,-1.1844580977573071e-16,-2.8417690341233304e-18,-9.6746176139220996e-01,9.6746176139220996e-01,3.1655801966290009e+00,1.2371272019647982e+01,3.5172819079010402e+00,1.6335664896135966e+00,1.6305975598636291e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.8420291351454013e-02,3.1415926535897931e+00,6.2559580231445127e+00,9.6746176139220996e-01,3.1655801966290014e+00
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_2,C_e_gamma,polarization_cluster_05_local_minimum_2,2.3574598668775248e+00,3.0890484581237336e+00,k,1.9760212266896573e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.9760211606175100e+00,1.9760211606175100e+00,0.0000000000000000e+00,1.7333666832377563e+01,4.1633720506793006e+00,1.9760211606175100e+00,1.9724044994050767e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.7471161886910061e-02,3.1415926535897931e+00,6.2691382492234142e+00,1.1960365671925692e+00,3.4420968136080003e+00
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_2,C_e_gamma,polarization_cluster_05_local_minimum_2,2.3574598668775248e+00,3.0890484581237336e+00,p,2.1873508239896431e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9760211606175100e+00,1.9760211606175100e+00,0.0000000000000000e+00,1.7333666832377563e+01,4.1633720506793006e+00,1.9760211606175100e+00,1.9724044994050767e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.7471161886910061e-02,3.1415926535897931e+00,6.2691382492234142e+00,1.1960365671925692e+00,3.4420968136080003e+00
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_2,C_e_gamma,polarization_cluster_05_local_minimum_2,2.3574598668775248e+00,3.0890484581237336e+00,kp,7.8325134836827470e-01,-1.3296635512322669e-01,1.8679089567502818e-03,-7.7188008973037170e-01,7.8325118167851715e-01,3.1275455956336207e+00,1.7333666832377563e+01,4.1633720506793006e+00,1.9760211606175100e+00,1.9724044994050767e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.7471161886910061e-02,3.1415926535897931e+00,6.2691382492234142e+00,1.1960365671925692e+00,3.4420968136080003e+00
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_2,C_e_gamma,polarization_cluster_05_local_minimum_2,2.3574598668775248e+00,3.0890484581237336e+00,pp,2.1840841351178280e+00,1.3296635512322683e-01,-1.8679089567502384e-03,1.9679166569229409e+00,1.9724044994050767e+00,6.2691382492234142e+00,1.7333666832377563e+01,4.1633720506793006e+00,1.9760211606175100e+00,1.9724044994050767e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.7471161886910061e-02,3.1415926535897931e+00,6.2691382492234142e+00,1.1960365671925692e+00,3.4420968136080003e+00
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_2,C_e_gamma,polarization_cluster_05_local_minimum_2,2.3574598668775248e+00,3.0890484581237336e+00,qout,1.1960365671925692e+00,-1.3990843048667208e-16,-4.3356047009904022e-17,-1.1960365671925692e+00,1.1960365671925692e+00,3.4420968136080003e+00,1.7333666832377563e+01,4.1633720506793006e+00,1.9760211606175100e+00,1.9724044994050767e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.7471161886910061e-02,3.1415926535897931e+00,6.2691382492234142e+00,1.1960365671925692e+00,3.4420968136080003e+00
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_4,C_e_gamma,polarization_cluster_05_local_minimum_4,2.3589813622695233e+00,3.0785341935375015e+00,k,2.0165340839042689e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.0165340191595336e+00,2.0165340191595336e+00,0.0000000000000000e+00,1.7982276992368515e+01,4.2405514962524062e+00,2.0165340191595336e+00,2.0117318517238472e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,7.8539816339744828e-02,3.1415926535897931e+00,2.5170877834124897e-03,1.2020688128000778e+00,3.9456855681713421e+00
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_4,C_e_gamma,polarization_cluster_05_local_minimum_4,2.3589813622695233e+00,3.0785341935375015e+00,p,2.2240174123481369e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0165340191595336e+00,2.0165340191595336e+00,0.0000000000000000e+00,1.7982276992368515e+01,4.2405514962524062e+00,2.0165340191595336e+00,2.0117318517238472e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,7.8539816339744828e-02,3.1415926535897931e+00,2.5170877834124897e-03,1.2020688128000778e+00,3.9456855681713421e+00
