panel_index,mode,x_name,y_name,x_label,y_label,retained_minima,polarization_clusters,representative_minima,example_polarization_cluster,objective_name,objective_cut_above_global_minimum,global_minimum,plot_path,contour_version,example_configuration_path
0,clustered,,,,,559,4,4,,one_minus_C_e_p,0.05,3.5035629952773206e-10,Output\GradientPhaseSpaceScan\electron\Plots\CEP\polarization_correlations\with_contours\clustered\00_summary_CEP.pdf,with_contours,
1,clustered,sqrt_s,qOut,$\sqrt{s}$ [GeV],$E_\gamma$ [GeV],559,4,4,,one_minus_C_e_p,0.05,3.5035629952773206e-10,Output\GradientPhaseSpaceScan\electron\Plots\CEP\polarization_correlations\with_contours\clustered\01_qOut_vs_sqrt_s_clustered_CEP.pdf,with_contours,
2,clustered,sqrt_s,theta_gamma_out,$\sqrt{s}$ [GeV],$\theta_\gamma$,559,4,4,,one_minus_C_e_p,0.05,3.5035629952773206e-10,Output\GradientPhaseSpaceScan\electron\Plots\CEP\polarization_correlations\with_contours\clustered\02_theta_gamma_out_vs_sqrt_s_clustered_CEP.pdf,with_contours,
3,clustered,theta_p_out,theta_gamma_out,$\theta_{p'}$,$\theta_\gamma$,559,4,4,,one_minus_C_e_p,0.05,3.5035629952773206e-10,Output\GradientPhaseSpaceScan\electron\Plots\CEP\polarization_correlations\with_contours\clustered\03_theta_gamma_out_vs_theta_p_out_clustered_CEP.pdf,with_contours,
4,clustered,theta_p_out,qOut,$\theta_{p'}$,$E_\gamma$ [GeV],559,4,4,,one_minus_C_e_p,0.05,3.5035629952773206e-10,Output\GradientPhaseSpaceScan\electron\Plots\CEP\polarization_correlations\with_contours\clustered\04_qOut_vs_theta_p_out_clustered_CEP.pdf,with_contours,
5,clustered,theta_gamma_out,qOut,$\theta_\gamma$,$E_\gamma$ [GeV],559,4,4,,one_minus_C_e_p,0.05,3.5035629952773206e-10,Output\GradientPhaseSpaceScan\electron\Plots\CEP\polarization_correlations\with_contours\clustered\05_qOut_vs_theta_gamma_out_clustered_CEP.pdf,with_contours,
6,clustered,phi_p_out,phi_gamma_out,$\phi_{p'}$,$\phi_\gamma$,559,4,4,,one_minus_C_e_p,0.05,3.5035629952773206e-10,Output\GradientPhaseSpaceScan\electron\Plots\CEP\polarization_correlations\with_contours\clustered\06_phi_gamma_out_vs_phi_p_out_clustered_CEP.pdf,with_contours,
7,clustered,alpha_e,alpha_p,$\alpha_e$,$\alpha_p$,559,4,4,,one_minus_C_e_p,0.05,3.5035629952773206e-10,Output\GradientPhaseSpaceScan\electron\Plots\CEP\polarization_correlations\with_contours\clustered\07_alpha_p_vs_alpha_e_clustered_CEP.pdf,with_contours,
8,clustered,sqrt_s,alpha_e,$\sqrt{s}$ [GeV],$\alpha_e$,559,4,4,,one_minus_C_e_p,0.05,3.5035629952773206e-10,Output\GradientPhaseSpaceScan\electron\Plots\CEP\polarization_correlations\with_contours\clustered\08_alpha_e_vs_sqrt_s_clustered_CEP.pdf,with_contours,
9,clustered,sqrt_s,alpha_p,$\sqrt{s}$ [GeV],$\alpha_p$,559,4,4,,one_minus_C_e_p,0.05,3.5035629952773206e-10,Output\GradientPhaseSpaceScan\electron\Plots\CEP\polarization_correlations\with_contours\clustered\09_alpha_p_vs_sqrt_s_clustered_CEP.pdf,with_contours,
