detail_id,selected_observable,selected_region,incoming_state,alpha_e,alpha_p,final_state_order,final_ket,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction,decomposition_rank,retained_fraction_total
max_c_ep_mixing_angles_polarization_01_local_minimum_7,C_e_p,polarization_cluster_01_local_minimum_7,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.1709559046078374e-01,9.6202978940480688e-01,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,-1.6394140997524289e+03,-2.2173152256179404e+02,1.6543407927523997e+03,-3.0071579498896388e+00,2.7368434585646382e+06,4.7712752514548884e-01,1,9.5424504904729590e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_7,C_e_p,polarization_cluster_01_local_minimum_7,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.1709559046078374e-01,9.6202978940480688e-01,p_gamma_lepton,|+1+1+1>,7,1,1,1,-1.6393365406435719e+03,2.2217514960888445e+02,1.6543234540418521e+03,3.0068859235356946e+00,2.7367860905929632e+06,4.7711752390180706e-01,2,9.5424504904729590e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_8,C_e_p,polarization_cluster_01_local_minimum_8,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.5340636912778000e-01,1.4090536344609135e+00,p_gamma_lepton,|+1+1+1>,7,1,1,1,3.9164457550080942e+02,8.5352327546241284e-12,3.9164457550080942e+02,2.1793312836542755e-14,1.5338547351920922e+05,2.6345195702309260e-01,1,9.9999995619380977e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_8,C_e_p,polarization_cluster_01_local_minimum_8,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.5340636912778000e-01,1.4090536344609135e+00,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,3.9163090907992648e+02,-5.5393043457678244e-04,3.9163090908031825e+02,-1.4144196020630319e-06,1.5337476894707649e+05,2.6343357105463833e-01,2,9.9999995619380977e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_8,C_e_p,polarization_cluster_01_local_minimum_8,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.5340636912778000e-01,1.4090536344609135e+00,p_gamma_lepton,|-1-1-1>,0,-1,-1,-1,3.7113182632000917e+02,3.3931507280651720e-10,3.7113182632000917e+02,9.1427101838995094e-13,1.3773883250762546e+05,2.3657758554081992e-01,3,9.9999995619380977e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_8,C_e_p,polarization_cluster_01_local_minimum_8,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.5340636912778000e-01,1.4090536344609135e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,3.7109986711671382e+02,-1.4217725544190906e-05,3.7109986711671411e+02,-3.8312397292557673e-08,1.3771511137404284e+05,2.3653684257525895e-01,4,9.9999995619380977e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_10,C_e_p,polarization_cluster_01_local_minimum_10,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.3223901045184844e-01,1.7087908689972591e+00,p_gamma_lepton,|+1+1+1>,7,1,1,1,-1.3557181374058493e+02,6.4658968552701168e-01,1.3557335563868472e+02,3.1368233378658514e+00,1.8380134759133285e+04,2.6331940624537187e-01,1,9.9999785054490387e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_10,C_e_p,polarization_cluster_01_local_minimum_10,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.3223901045184844e-01,1.7087908689972591e+00,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,1.3555237916367750e+02,6.4248894524606259e-01,1.3555390178441252e+02,4.7397481179303523e-03,1.8374860288978147e+04,2.6324384258015882e-01,2,9.9999785054490387e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_10,C_e_p,polarization_cluster_01_local_minimum_10,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.3223901045184844e-01,1.7087908689972591e+00,p_gamma_lepton,|-1-1-1>,0,-1,-1,-1,1.2854305877443431e+02,6.0696919403660210e-01,1.2854449179443742e+02,4.7218783246215151e-03,1.6523686370690190e+04,2.3672336145157052e-01,3,9.9999785054490387e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_10,C_e_p,polarization_cluster_01_local_minimum_10,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.3223901045184844e-01,1.7087908689972591e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-1.2853973907925740e+02,6.1300019255734406e-01,1.2854120075602083e+02,3.1368237350446666e+00,1.6522840291799650e+04,2.3671124026780266e-01,4,9.9999785054490387e-01
