lepton,kinematic_point,s_regime,theta_p_gamma_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,qOut,theta_p_out,phi_p_out,theta_gamma_out,phi_gamma_out,theta_lepton_out,phi_lepton_out,cos_p_gamma_out,Q2,xB,t,F1,F2,W2,y,theta_lepton_gamma_rad,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,reference_name,search_stage,sample_id,alpha_e,alpha_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_trace,lepton_electron_alpha_e_mix_proton_alpha_p_mix_spin_signal_M2,lepton_electron_alpha_e_mix_proton_alpha_p_mix_cross_section_ratio,lepton_electron_alpha_e_mix_proton_alpha_p_mix_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M2_magic,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_out_mean,lepton_electron_alpha_e_mix_proton_alpha_p_mix_lambda_mean,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_lambda,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_lambda_connected,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_p_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_p_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_gamma_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_D_W,lepton_electron_alpha_e_mix_proton_alpha_p_mix_dGHZ,lepton_electron_alpha_e_mix_proton_alpha_p_mix_F3,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_e,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_plus_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_minus_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_phase_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_abs,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_phase_rad,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_visibility,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_subspace_max_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_max_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_one_minus_C_e_p,optimization_run,start_source,screening_one_minus_C_e_p,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_one_minus_C_e_p,lbfgs_one_minus_C_e_p,final_one_minus_C_e_p,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_one_minus_C_e_p,local_minimum_verified,initial_C_e_p,lbfgs_C_e_p,final_C_e_p,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7,local_minimum_id,one_minus_C_e_p_above_global_minimum,within_polarization_cluster_cut,polarization_cluster_id,polarization_cluster_size,polarization_cluster_distance,polarization_cluster_representative,polarization_configuration,polarization_alpha_e_region,polarization_clustering_scheme
electron,gradient_local_minimum_0003,gradient,gradient,gradient,0.00051099895,2.446919760152473,1.5642633282642897,0.5008987865095036,0.4665898066682691,0.0,0.0,3.141592653589793,0.0,0.02502962315718469,3.09533927070686,6.2716092259184295,3.140859541091755,3.141349992217983,0.043861930965642525,3.130006924663597,0.9988963398743633,0.984480117616422,0.9712776932728084,-0.9352870186612251,0.25187149001422554,0.2993044671414175,0.9089567245079827,0.6468053662699462,3.0969976565138357,177.4448948801494,9.893116865652973e-09,0.02459655937072048,9.893116865652973e-09,0.02459655937072048,False,,gradient,150009296,2.6848388029614156,2.063150516839525,1.0,584160916.7742022,0.6946064902055141,1.0,0.008157119453541372,-9.818805491890181e-06,0.08746971949262485,0.00013191059417963502,0.0001327694423417633,0.9999999887300464,5.802419376969301e-06,5.98936979641361e-06,0.9999999943468935,0.9999999943468347,0.0001393495280766378,0.9999921350544082,1.4140997805929758,0.00016090697379261238,1.1200026015439554e-08,1.1197704073911584e-08,1.9348750353997247e-08,0.49904128863103464,0.0010246159801087784,0.49910804105629314,0.5000659046111434,0.24907508875072146,-0.023152243174331087,0.9961690507350422,0.49904128863103464,0.09060135986902139,0.2718369153763256,0.2718369153763255,0.07600973721262216,0.22809718001253107,0.2280971800125311,0.09060135986902139,1.1269953636983132e-08,150,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,9336,162,0.0512103962392278,0.6777530186852972,0.0013153293376412245,1.1269953636983132e-08,428,414,False,1e-05,1.1293825874503227e-08,True,0.32224698131470275,0.9986846706623588,0.9999999887300464,0.9220254478321596,0.3326167688226826,0.4311337559037969,0.47175992815129325,0.704313100353775,0.7980268801596611,0.7456753709476001,0.7609786495938656,0.14418174887927834,0.9852770909589182,0.9997666430441895,0.0,0.9981576094456535,0.4999613792431789,0.8546107337924731,0.6567212061952182,3,1.09195973374554e-08,True,3,118,0.10466017728855029,True,"alpha_e in [pi/2,pi],alpha_p~3pi/4","[pi/2,pi]",CEP alpha_e boundary regions
electron,gradient_local_minimum_0006,gradient,gradient,gradient,0.00051099895,8.36450053473182,2.892144625486737,1.293962989655363,1.2221499187509637,0.0,0.0,3.141592653589793,0.0,0.06468986348082623,3.141415171984815,0.09372513857576563,3.1402427646418927,3.14218668725398,0.00010119124912419356,3.2977222221012648,0.9999988346080617,6.660491819667127,0.9938518384486835,-6.327510206324284,0.019855408175868852,0.009197625395155942,0.9210471030525185,0.8953911412535164,3.140142710164171,179.9169243611791,8.279195751192958e-08,0.16649088946337504,8.279195751192958e-08,0.16649088946337504,False,,gradient,532001877,3.0034284504966577,1.4251165359645839,1.0000000000000002,62074.59494470798,0.0824930754038658,1.0000000000000004,0.036943834971802855,-3.8125194369575954e-05,0.05353457576673831,-0.00013601167563747837,-0.0001339706595308787,0.9999999871099176,7.044410499128446e-07,5.112057934894275e-07,0.9999999920285276,0.9999999920285281,0.00013755661500345305,0.999999185272124,1.4141012432135713,0.00015883669576029354,9.836723912384972e-09,9.836959706392896e-09,1.8921064762652106e-08,0.004729969001238538,0.4952020227632955,0.49957395284693223,0.49993199176453407,0.2496079569646652,-2.9541543563927983,0.9985676495063334,0.004729969001238538,0.08782063263455529,0.26342717822945305,0.26342717822945316,0.07886836049389712,0.23664083000601283,0.23664083000601283,0.08782063263455529,1.2890082445871087e-08,532,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25,1981,531,0.22087219855279,0.7864820956050259,0.0004984517632784513,1.2890082445871087e-08,67,53,False,1e-05,1.2827243711655001e-08,True,0.21351790439497406,0.9995015482367215,0.9999999871099176,0.5668785047996893,0.24477528763198944,0.9293803363247023,0.2884158618386854,0.06819849917551944,0.44471860429855375,0.7381649909047797,0.06035105062891477,0.4749477993841665,0.9999435058505197,0.9995703170026331,0.0,0.014916819096305984,0.5000945433940184,0.9560209682387499,0.4536286823615247,6,1.2539726146343355e-08,True,3,118,0.28704527320487416,False,"alpha_e in [pi/2,pi],alpha_p~3pi/4","[pi/2,pi]",CEP alpha_e boundary regions
electron,gradient_local_minimum_0009,gradient,gradient,gradient,0.00051099895,2.374384494367571,1.5409037914054113,0.4849556260871529,0.4514689931897302,0.0,0.0,3.141592653589793,0.0,0.024232233179451043,3.0965551371150593,3.1412523203930904,3.1411135229856555,6.282986832788443,0.04271957963921422,6.282844892906151,0.9989642962493357,0.9223088158898444,0.9699299657733459,-0.876223421979442,0.26697542556885917,0.3237839751038238,0.9084376703061233,0.6362508449368747,3.0983939433512107,177.52489622292066,7.872690322568987e-09,0.023042704827884147,7.872690322568987e-09,0.023042704827884147,False,,gradient,1572006942,2.116126809632342,2.5397331269287338,0.9999999999999999,534344368.3211073,0.8714839147468976,0.9999999999999997,0.015001729125583911,-2.1887830798983376e-05,-0.1229532040264886,0.00036922093217606894,0.00036652975325014427,0.999999932688458,4.604539110756821e-06,4.598861546315584e-06,0.9999999997202224,0.9999999997202135,0.0003729812767776806,0.9999938419645984,1.4139090096463045,0.0004306816734910064,1.3404232239046846e-07,1.340423568798004e-07,1.390726815187641e-07,0.4982876743580734,0.0018969123505760133,0.4982877318419476,0.5001845867086494,0.24819543848762288,-0.0006805987130440743,0.9924153805730654,0.4982876743580734,0.07305002831809312,0.21917488293852372,0.21917488293852366,0.09355402886256496,0.28064053035282704,0.280640530352827,0.07305002831809312,6.731154200689815e-08,1572,sobol_screened,0.1269471572904518,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,7000,351,0.09686113926965506,0.1269471572904518,0.0012180433333830454,6.731154200689815e-08,308,294,False,1e-05,6.917424166807962e-08,True,0.8730528427095482,0.998781956666617,0.999999932688458,0.27595421485602856,0.7712224163115025,0.9862994607537985,0.36737380735576153,0.7277857651934028,0.9120601741597056,0.7650961773470044,0.7172733647748828,0.1383630497496224,0.9856641132569269,0.9998474879919298,0.0,0.4999458342894465,0.9999684118195724,0.6735840839245388,0.8084221625698881,9,6.696118570737042e-08,True,3,118,0.17273930922167421,False,"alpha_e in [pi/2,pi],alpha_p~3pi/4","[pi/2,pi]",CEP alpha_e boundary regions
electron,gradient_local_minimum_0014,gradient,gradient,gradient,0.00051099895,2.033455467160734,1.4259928005290678,0.4044939102453056,0.3753152890365387,0.0,0.0,3.141592653589793,0.0,0.02020789606341199,3.077415806355523,3.1418324004841893,3.1406708956345404,3.1415070063271058,0.06094688206589279,0.00023949528013748737,0.998000063816893,0.6392907945160525,0.9613619042452325,-0.607351921871673,0.3585170961396851,0.4794922666344156,0.9055377359641321,0.5764373014045271,3.081567529429685,176.56081372087706,9.995029937384659e-09,0.01596944631723044,9.995029937384659e-09,0.01596944631723044,False,,gradient,585008043,2.6878581509125077,2.0569713305733335,1.0,1352081347.818521,0.6882335822026492,0.9999999999999998,0.007461062077495979,3.242137350112362e-05,0.08652782393415503,0.00018399529641498907,0.00018118994551698036,0.9999998405891344,5.6227181537716475e-06,5.594020636532873e-06,0.9999998513510726,0.999999851351593,0.00018903664773488196,0.9999924690402937,1.4140591103333262,0.00021828068549079185,2.14922581688229e-08,2.149362078444098e-08,3.5671946160523146e-08,0.4991535676334715,0.0009382078573836328,0.4991535963772098,0.5000917754908552,0.24910770863178222,0.0004803889878804511,0.9962479722337985,0.4991535676334715,0.09044469760494872,0.2715778271180925,0.27157782711809253,0.0760119938681946,0.22833039739105238,0.22833039739105238,0.09044469760494872,1.5941086561888085e-07,585,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,8130,153,0.05105418862797933,0.7754563752093915,0.0013167664057420758,1.5941086561888085e-07,372,358,False,1e-05,1.621132443840878e-07,True,0.2245436247906085,0.9986832335942579,0.9999998405891344,0.7015940882685272,0.33923203945685954,0.6476770497845897,0.7390125307038162,0.9507393079516372,0.5150086915245732,0.7804064088073652,0.7134897657994618,0.10973951638766104,0.979571875061225,0.9997065953301745,0.0,0.5000381569033341,0.49998636881478103,0.8555718220951344,0.6547543101181182,14,1.5906050931935312e-07,True,3,118,0.10557921955482814,False,"alpha_e in [pi/2,pi],alpha_p~3pi/4","[pi/2,pi]",CEP alpha_e boundary regions
electron,gradient_local_minimum_0015,gradient,gradient,gradient,0.00051099895,3.035310926477598,1.7422143744320324,0.6185996636855553,0.5783509913312113,0.0,0.0,3.141592653589793,0.0,0.030947500499595024,3.141592653589793,4.3972404878090785,3.1406916499306456,3.141090704201913,4.5763787757671474e-05,6.282683357794121,0.9999995940962305,1.5076473382892503,0.9789557733759345,-1.432222307378003,0.1645161245215516,0.16739300180167985,0.9122533009296183,0.7144887295036487,3.1407374137204522,179.95099836501544,1.4302362006529679e-08,0.03771252975799221,1.4302362006529679e-08,0.03771252975799221,False,,gradient,1498009061,2.7815702153171484,1.9543412865802328,1.0,161626557.93459648,0.4818761848553727,1.0000000000000004,0.004801259084026279,2.0738362295324997e-05,0.06937159610567147,0.00013432908355594242,0.00013289043026289805,0.9999998384016947,4.389420434957657e-06,4.404612258853816e-06,0.9999998437028986,0.9999998437029023,0.00013862436773568,0.9999940834472798,1.4141002663358262,0.00016006960665385501,1.0583139163475958e-08,1.05830128935519e-08,1.917804770921137e-08,0.4994645480862842,0.0006025591905143846,0.4994645480862842,0.5000671072767986,0.2494309944478849,-1.0816438484648937e-11,0.9975900866833824,0.4994645480862842,0.0891977314230601,0.2673041306551772,0.2673041306551772,0.0776328040105933,0.23262876206802427,0.23262876206802438,0.0891977314230601,1.6159830529272057e-07,1498,sobol_screened,0.11549189741037835,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,9092,171,0.054111601669764094,0.11549189741037835,0.0013275649678283763,1.6159830529272057e-07,437,423,False,1e-05,1.6157711746345171e-07,True,0.8845081025896216,0.9986724350321716,0.9999998384016947,0.3303086319938302,0.8970413077622652,0.8391508422791958,0.18847458623349667,0.6322548650205135,0.8963241688907146,0.8162172632291913,0.7559078484773636,0.18850812417143442,1.0,0.9997132016278056,5.323427754842822e-05,0.6998425595986321,0.49992011227373695,0.8854012986498236,0.6220861524956369,15,1.6124794899319284e-07,True,3,118,0.13899865230409114,False,"alpha_e in [pi/2,pi],alpha_p~3pi/4","[pi/2,pi]",CEP alpha_e boundary regions
electron,gradient_local_minimum_0021,gradient,gradient,gradient,0.00051099895,3.023632047091504,1.738859409811933,0.6164349916788368,0.576335972207421,0.0,0.0,3.141592653589793,0.0,0.030822260944876282,3.09494810826364,0.0022037495704909796,3.140548545187687,3.141646213137581,0.044224423450750526,3.143798981189368,0.9988631117498586,1.496280457774722,0.9788195752565799,-1.4214669621272684,0.16587672207969847,0.16929589606763906,0.9122216275343082,0.7130640893246033,3.096324124100585,177.40630431550485,1.688460327456398e-08,0.03740676470833364,1.688460327456398e-08,0.03740676470833364,False,,gradient,133010324,2.814225980594107,1.916945738358958,0.9999999999999999,134477900.982655,0.41071225172760945,1.0,0.004252138700966448,4.800575119517925e-05,0.06504680952146398,0.00039268699155520226,0.0003895643706012746,0.9999997887605376,3.311215923153212e-06,3.1543611613221256e-06,0.9999998631696521,0.9999998631689945,0.0003910425340979505,0.9999956192030066,1.4138941641859835,0.00045153695423715457,1.4880723883206903e-07,1.4880693781842774e-07,1.5289334932852097e-07,0.49966261844268345,0.0005324658399120663,0.4996650516065512,0.5001950842825955,0.24956750946525347,0.004415775722754949,0.9978806961815528,0.49966261844268345,0.08863409632008085,0.2661518239691616,0.2661518239691617,0.07779397722202781,0.23365309174824317,0.23365309174824306,0.08863409632008085,2.1123946236656366e-07,133,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,10415,9,0.0,1000.0,1000.0,2.1123946236656366e-07,476,462,False,1e-05,2.128814120538891e-07,True,nan,nan,0.9999997887605376,0.7994651759641124,0.654724025251171,0.893582127618414,0.8300916174833319,0.10193870773802705,0.21269285475279334,0.8828871436621301,0.6128761779233931,0.18767242567993891,0.9851525800861375,0.999667649973362,2.44140625e-05,0.00035073763748028064,0.5000085242667802,0.8957959515783769,0.6101827797975425,21,2.1088910606703593e-07,True,3,118,0.15209612902210506,False,"alpha_e in [pi/2,pi],alpha_p~3pi/4","[pi/2,pi]",CEP alpha_e boundary regions
electron,gradient_local_minimum_0024,gradient,gradient,gradient,0.00051099895,8.323792920510236,2.8850984247526528,1.2900683965923807,1.2184467399456191,0.0,0.0,3.141592653589793,0.0,0.06449511359389946,3.116661557699205,2.997751382991993,3.1405983944793183,3.1422423134910056,0.023727339296922296,6.139647387539496,0.9997132693209263,6.619308595800084,0.9938108698738977,-6.288382085952553,0.02006981312985343,0.009334255926529532,0.9210668961124489,0.8947578491840456,3.118848807331531,178.69687359950717,4.765241905235751e-08,0.1654633025762416,4.765241905235751e-08,0.1654633025762416,False,,gradient,251001204,2.9566031853906654,1.3782656290091968,1.0,181746.01698550722,0.14481225888856675,0.9999999999999999,0.08089851429672155,-5.60570510833025e-05,0.055012797252972756,0.00015843612292439427,0.00016151997811023953,0.9999997323633372,1.5700955482508204e-06,1.7141292427415513e-06,0.9999997393222178,0.9999997393223907,0.00016535841203143675,0.9999977213047263,1.4140783650123705,0.0001909393969718748,1.3915292302004862e-08,1.391516520846915e-08,2.7338000990466945e-08,0.010771249682576756,0.48930443575216925,0.4996979061955461,0.500075685434746,0.2496600634781731,2.852032336995967,0.9984891117476689,0.010771249682576756,0.08878511571135078,0.2637285998276779,0.26372859982767805,0.07786179733861553,0.23619571473757608,0.23619571473757606,0.08878511571135078,2.67636662831805e-07,251,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,1269,666,0.30048913188054666,0.6131134271041516,1.5917807270060536e-05,2.67636662831805e-07,30,16,False,1e-05,2.678852564219625e-07,True,0.3868865728958484,0.9999840821927299,0.9999997323633372,0.42854779518562325,0.6335218814123375,0.935194097307086,0.4365385136023915,0.7510161003105962,0.44369280367566666,0.7887042659228779,0.4377470659299184,0.4731926394969439,0.9920641857046297,0.9996835174957076,0.0,0.47710695076374116,0.5001033965846066,0.9411160234323357,0.4387155755009481,24,2.6728630653227725e-07,True,3,118,0.2875058678771441,False,"alpha_e in [pi/2,pi],alpha_p~3pi/4","[pi/2,pi]",CEP alpha_e boundary regions
electron,gradient_local_minimum_0026,gradient,gradient,gradient,0.00051099895,3.4183028781779394,1.8488652947626931,0.6864909096507653,0.6427836974022388,0.0,0.0,3.141592653589793,0.0,0.03448666148647828,3.141592653589793,4.019560652581662,3.140017228399672,3.1417583438457397,8.022074972125615e-05,0.00016569025706113352,0.9999987590179918,1.8597596645319685,0.9819969032971638,-1.7663326065264715,0.12947810875682586,0.12045726406453013,0.91393925322553,0.746064917123767,3.14009744914951,179.91433109606254,3.59388047724285e-08,0.046713564941559205,3.59388047724285e-08,0.046713564941559205,False,,gradient,1028004220,2.9254974996267524,1.7990594283071046,1.0,22030350.765424855,0.19439834238511033,1.0,0.003194192847660933,1.3299194014770865e-05,0.05655432378528889,0.00034406622140720905,0.0003433140944828143,0.9999997123369238,3.496842390530902e-07,5.238045044964551e-07,0.9999997695499703,0.9999997695500029,0.00034451545844489884,0.9999993217864885,1.4139320912806412,0.0003978120877681778,1.1442594112321719e-07,1.1442585431223914e-07,1.1869050445727284e-07,0.49977176121287736,0.0004001724637184012,0.49977176121287736,0.5001719336765957,0.24968579437457947,1.0724411893335715e-11,0.998399860380902,0.49977176121287736,0.08813274192304087,0.26404923478710407,0.2640492347871041,0.07870283891309651,0.2357788315363002,0.2357788315363002,0.08813274192304087,2.87663076248279e-07,1028,sobol_screened,0.00604031532843019,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,4303,162,0.0553330559179777,0.00604031532843019,0.0013548925391629885,2.87663076248279e-07,191,177,False,1e-05,2.876636518989173e-07,True,0.9939596846715698,0.998645107460837,0.9999997123369238,0.8539637867361307,0.9301306791603565,0.846329472027719,0.024162528105080128,0.6392133636400104,0.5018502343446016,0.9523659320548177,0.5531390532851219,0.21507413106849102,1.0,0.9994985265870414,0.00026855468750000013,0.6397329469160561,0.500026370423256,0.9312147761371559,0.57265840186231,26,2.873127199487513e-07,True,3,118,0.198431069950008,False,"alpha_e in [pi/2,pi],alpha_p~3pi/4","[pi/2,pi]",CEP alpha_e boundary regions
electron,gradient_local_minimum_0028,gradient,gradient,gradient,0.00051099895,1.8800091246379869,1.3711342474892774,0.36472154566028914,0.337750909824438,0.0,0.0,3.141592653589793,0.0,0.018235508818889457,3.0699557507955313,6.279175145936165,3.140676107533964,0.0,0.06801680261977938,3.1375852629272196,0.9975003571072701,0.5186802172755818,0.9556471386863693,-0.49274621690269016,0.4143682185094144,0.579158645970592,0.9039166423087192,0.5426633941880126,3.0744923895659944,176.1554380672228,9.321350583763044e-09,0.012967009507794624,9.321350583763044e-09,0.012967009507794624,False,,gradient,527003492,2.048158254399849,2.6297736451875715,1.0,1886922180.210817,0.738560770033108,1.0000000000000002,0.008733515710770324,-1.1767769326431754e-05,-0.0931850887048602,0.00021601720089445275,0.00021492062026591088,0.9999996998733898,7.046952527965019e-06,7.209765063036542e-06,0.9999997126408118,0.9999997126419724,0.00022599113544810042,0.9999903954841444,1.4140288412639344,0.0002609520091180877,2.548517703859101e-08,2.5485177120558106e-08,5.0970353048926095e-08,0.49900931256330144,0.0010959270811773947,0.499017366392405,0.5001052396444788,0.2489647465701656,-0.008043562596378253,0.9956494226981217,0.49900931256330144,0.07541491880167707,0.22665494446137532,0.22665494446137535,0.09096537833468517,0.2732398158941459,0.27323981589414603,0.07541491880167707,3.00126610230933e-07,527,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,3603,477,2.25054173145705,0.9288646151277679,0.00038136399356536455,3.00126610230933e-07,145,131,False,1e-05,3.038282523348812e-07,True,0.07113538487223214,0.9996186360064346,0.9999996998733898,0.6716622982302155,0.025232125818753302,0.6430886709692085,0.736328787453592,0.004307870115683372,0.21031609174829458,0.5914125437581197,0.7888839555494476,0.0960746301035185,0.9771972656249992,0.9997082543292869,4.8828125e-05,0.9993617630155139,0.0,0.6519490208444074,0.8370829496887883,28,2.997762539314053e-07,True,3,118,0.20812264470460237,False,"alpha_e in [pi/2,pi],alpha_p~3pi/4","[pi/2,pi]",CEP alpha_e boundary regions
electron,gradient_local_minimum_0031,gradient,gradient,gradient,0.00051099895,3.1955223265225112,1.78760239609442,0.6477049572199033,0.604454500823647,0.0,0.0,3.141592653589793,0.0,0.033635368662203076,3.114572516281441,5.646067574082914,3.1403879042272558,3.1417044100080536,0.025544985112477204,2.5029956181933986,0.9996080920675355,1.65287386086095,0.9796001567678106,-1.5670411161025748,0.1488161858344088,0.14585507412263754,0.9142645412904393,0.728639454404492,3.1150706914382673,178.48040350431185,2.2590166546404555e-08,0.04291639496934362,2.2590166546404555e-08,0.04291639496934362,False,,gradient,1241002158,2.860335994686853,1.2711960700029943,1.0,65694920.93081512,0.31631675613554466,0.9999999999999999,0.08635068683266389,-4.169945239662631e-06,0.06367140524306887,5.0085920020565e-05,5.0351426293760965e-05,0.9999996378133066,3.6958287227735825e-06,3.6585697037685366e-06,0.9999996387141015,0.9999996387139647,5.412562463991744e-05,0.999994976339787,1.414169113589064,6.249886530908897e-05,1.7879299501774332e-09,1.7879304088949107e-09,2.902538960435827e-09,0.17663464802588782,0.32338922874826015,0.49951671786692053,0.500023876774148,0.2495047794798466,1.8693014037722326,0.9979714612410141,0.17663464802588782,0.08824306448947611,0.265907142707324,0.2659071427073241,0.07839480699521142,0.2340689805185279,0.23406898051852787,0.08824306448947611,3.6218669341447907e-07,1241,sobol_screened,0.06924767540911314,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25,2187,396,0.19294195182908316,0.06924767540911314,1.3119465982036616e-05,3.6218669341447907e-07,81,67,False,1e-05,3.6208751919009075e-07,True,0.9307523245908869,0.999986880534018,0.9999996378133066,0.20489566307514906,0.9002796923741698,0.9965137410908937,0.2570540979504585,0.8293322110548615,0.7279163245111704,0.9453133661299944,0.434469822794199,0.1998139665663087,0.991399223168708,0.9996165163675308,0.0020542966771796814,0.8985995634461618,0.5000177865863884,0.9104732249161719,0.40463427635993515,31,3.6183633711495133e-07,True,3,118,0.2961216859562271,False,"alpha_e in [pi/2,pi],alpha_p~3pi/4","[pi/2,pi]",CEP alpha_e boundary regions
