detail_id,selected_observable,selected_observable_label,selected_spin_case,selected_region,qOut_regime,cluster_id,energy_band_cluster_id,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,theta_p_out,theta_gamma_out,phi_p_out,qOut,phi_gamma_out
dghz_mixing_angles_polarization_04_local_minimum_8,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_8,gradient_local_minimum,0,0,2.4276006430169041e-08,1.0000000000000000e+00,2.3320370191272888e+00,2.3320298437675402e+00,4.998351692112615,3.141592653589793,3.141592653589793,4.054730027679435,1.672123357219725,1.2574048429190714
dghz_mixing_angles_polarization_04_local_minimum_9,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_9,gradient_local_minimum,1,1,2.4308350027689875e-08,1.0000000000000000e+00,2.3800639984753986e+00,2.3800831418079946e+00,4.944170963609132,3.141592653589793,3.141592653589793,3.1492824059465576,1.4326008822045726,4.992480569844177
dghz_mixing_angles_polarization_04_local_minimum_10,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_10,gradient_local_minimum,2,2,2.4390972947530108e-08,9.9999999999999967e-01,2.4620393733343304e+00,2.4620172799138369e+00,4.836158658049141,2.711839084603682,3.141592653589793,6.245519731808237,1.9490214443503011,2.0195503680759375
dghz_mixing_angles_polarization_04_local_minimum_18,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_18,gradient_local_minimum,3,3,2.5161189511475634e-08,9.9999999999999967e-01,2.5703728830969723e+00,2.5703846646631447e+00,5.0,3.141592653589793,3.141592653589793,0.5298035916835999,0.8590977117487878,5.041780648294497
dghz_mixing_angles_polarization_04_local_minimum_22,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_22,gradient_local_minimum,4,4,2.5660527037544512e-08,9.9999999999999933e-01,2.4937433512705987e+00,2.2186530037456400e+00,4.9891421341149425,3.141592653589793,0.0,1.8755718744782974,0.2089572342473751,0.06069643895480126
dghz_mixing_angles_polarization_04_local_minimum_29,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_29,gradient_local_minimum,5,5,2.6036820078558334e-08,1.0000000000000000e+00,2.3616845480552051e+00,2.3617041233968545e+00,4.9999404671507275,3.1409533155923084,3.141592653589793,3.1261038533199463,1.9613624671146654,0.3977306883138638
dghz_mixing_angles_polarization_04_local_minimum_30,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_30,gradient_local_minimum,6,6,2.6235789493360746e-08,1.0000000000000000e+00,2.3547843718860069e+00,2.3547912970497795e+00,4.999861830694263,0.008509504038679425,3.141592653589793,1.7409808635024342,2.036545266584997,1.5896979026076599
dghz_mixing_angles_polarization_04_local_minimum_39,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_39,gradient_local_minimum,7,7,2.6442060626521577e-08,1.0000000000000000e+00,2.4732875492575075e+00,2.4732932881823122e+00,5.0,0.009817477042468103,3.141592653589793,0.019634954084936207,2.0320719964985305,3.4540770921477733
dghz_mixing_angles_polarization_04_local_minimum_50,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_50,gradient_local_minimum,8,8,2.6832682687639853e-08,1.0000000000000002e+00,2.2455923768472754e+00,2.2455941512867947e+00,4.999735567719616,7.882905049226195e-06,3.141592653589793,2.993887672655685,2.0698154722382633,4.741824418905438
dghz_mixing_angles_polarization_04_local_minimum_59,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_59,gradient_local_minimum,9,9,2.7259881540110859e-08,9.9999999999999967e-01,2.4105854759942260e+00,2.4105852321035708e+00,5.0,0.0008341897097653881,3.141592653589793,0.0772728368209946,2.068973807909614,3.20129017400325
