canonical_index,state,lepton,retained_component_count,polarization_cluster_number,detail_id,selected_observable,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,qOut,theta_p_out,theta_gamma_out,phi_p_out,phi_gamma_out
1,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_379,D_W,0.001213950788075346,1.0,0.7911709382400339,1.7484035573398669,1.0691003249387685,0.06363100524265203,2.9523118868249525,1.5720959265168775,5.116623973978414,2.2520503212511773
2,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_442,D_W,0.0017618063151288673,0.9999999999999997,0.8058038256886679,1.3763217145534843,1.0881769434668043,0.07504837942327443,2.7809724978425483,1.7023126141909841,1.8153248754615567,5.655619074764433
3,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_590,D_W,0.003923539429657831,1.0000000000000004,0.7808770415247843,1.6435265896829985,1.1658801179248122,0.13379253513356507,0.036252013763557855,2.394421849967086,5.727032612352585,2.2060562858898365
4,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_592,D_W,0.0039298394587042205,0.9999999999999997,0.7795977072962296,1.6772067138736648,1.0929556661243458,0.08113477822082317,2.932107285904212,1.3000829670548546,5.7664588805854,2.659365509686574
5,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_693,D_W,0.006871470157452754,1.0,0.7819971257504091,1.6520512697506438,1.0910614787265318,0.09878913020353106,0.0,2.7265513802243446,0.4202114476835066,2.2728002267856464
6,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_713,D_W,0.007880430744289013,1.0,0.8073939613845447,1.376210880583866,1.1161909221749111,0.08899889338639419,2.698089895678638,1.8209800522512691,1.6064597813523203,6.253776603082339
7,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_726,D_W,0.008156661918720819,0.9999999999999998,0.8069090357548682,1.3699191516439855,1.0839828664914268,0.07277644712071824,3.141592653589793,1.3423302826181205,4.509337893538843,7.326166627695247e-06
8,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_729,D_W,0.008335456792585535,1.0,0.8070638494218214,1.371529233661301,1.1147742217641645,0.0878639524617148,3.0927333253852423,1.773173247683019,0.46433272252184143,6.27730512688662
9,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_739,D_W,0.008562795019190309,1.0,0.788865496584873,1.363702504727326,1.1279685916864142,0.09497824064972234,3.1412610180126386,1.649466130903266,0.055242554476745614,1.07417887585311e-06
10,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_767,D_W,0.009466052655905735,0.9999999999999998,0.8206694155497748,1.3944255904259804,1.0657882804326615,0.06198398372391581,3.141592653589793,1.325822810957683,0.0,0.0
11,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_788,D_W,0.010056444924280287,0.9999999999999997,0.7739452520584601,1.3656880582538833,1.1458507523703887,0.10392352928943503,0.011991931004677882,1.6563515649470297,0.302165674303839,6.280126239738421
12,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_790,D_W,0.010113876116051504,1.0000000000000002,0.7778216209990673,1.773006632027458,1.1249709417803715,0.09335540198081137,3.0520699539910487,1.5674377174223264,1.8560777941675821,3.169339656402681
13,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_797,D_W,0.010318392589869028,1.0000000000000002,0.7699288641660578,1.3669543028319737,1.131143088198677,0.09657078921916394,0.07789366465562395,1.4780472734543304,0.00922161908324879,6.283155690132079
14,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_798,D_W,0.010380427352517966,1.0,0.8178871342761574,1.3602032303729088,1.1049203749442817,0.08203253753252626,2.6751061118563695,1.8172130709497352,1.2032542688114547,6.026855467940639
15,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_834,D_W,0.01148136129875,0.9999999999999998,0.8214826486241958,1.4392388268668477,1.0354391115441781,0.04871683064625291,3.1340338231367166,1.0058204242134932,5.09593201162069,0.18204859790317818
16,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_837,D_W,0.01159006992381984,0.9999999999999993,0.7852356662912733,1.7803764924742471,1.1345762157848038,0.0981988721630016,0.19018706380581604,1.7672508568095342,3.00612759250886,3.151129264339269
17,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_872,D_W,0.012498239929476344,1.0,0.7587254920897042,1.3797862698420267,1.1309750366621332,0.09617109920063584,0.02857986106343302,1.3794156565265805,0.3670667152182296,6.28093137922604
