lepton,kinematic_point,s_regime,theta_out_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,qOut,theta_out,theta_p_out,phi_p_out,theta_gamma_out,phi_gamma_out,theta_lepton_out,phi_lepton_out,cos_p_gamma_out,Q2,xB,t,F1,F2,W2,y,theta_lepton_gamma_rad,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,search_stage,sample_id,theta_e,theta_p,lepton_electron_theta_mix_proton_theta_p_mix_trace,lepton_electron_theta_mix_proton_theta_p_mix_spin_signal_M2,lepton_electron_theta_mix_proton_theta_p_mix_cross_section_ratio,lepton_electron_theta_mix_proton_theta_p_mix_purity,lepton_electron_theta_mix_proton_theta_p_mix_M2_magic,lepton_electron_theta_mix_proton_theta_p_mix_h_out_mean,lepton_electron_theta_mix_proton_theta_p_mix_lambda_mean,lepton_electron_theta_mix_proton_theta_p_mix_h_lambda,lepton_electron_theta_mix_proton_theta_p_mix_h_lambda_connected,lepton_electron_theta_mix_proton_theta_p_mix_C_e_p,lepton_electron_theta_mix_proton_theta_p_mix_C_e_gamma,lepton_electron_theta_mix_proton_theta_p_mix_C_p_gamma,lepton_electron_theta_mix_proton_theta_p_mix_C_e_rest,lepton_electron_theta_mix_proton_theta_p_mix_C_p_rest,lepton_electron_theta_mix_proton_theta_p_mix_C_gamma_rest,lepton_electron_theta_mix_proton_theta_p_mix_D_W,lepton_electron_theta_mix_proton_theta_p_mix_dGHZ,lepton_electron_theta_mix_proton_theta_p_mix_F3,lepton_electron_theta_mix_proton_theta_p_mix_M_e,lepton_electron_theta_mix_proton_theta_p_mix_M_p,lepton_electron_theta_mix_proton_theta_p_mix_M_gamma,lepton_electron_theta_mix_proton_theta_p_mix_GHZ_plus_fidelity,lepton_electron_theta_mix_proton_theta_p_mix_GHZ_minus_fidelity,lepton_electron_theta_mix_proton_theta_p_mix_GHZ_phase_fidelity,lepton_electron_theta_mix_proton_theta_p_mix_GHZ_subspace_population,lepton_electron_theta_mix_proton_theta_p_mix_GHZ_coherence_abs,lepton_electron_theta_mix_proton_theta_p_mix_GHZ_coherence_phase_rad,lepton_electron_theta_mix_proton_theta_p_mix_GHZ_coherence_visibility,lepton_electron_theta_mix_proton_theta_p_mix_GHZ_purity,lepton_electron_theta_mix_proton_theta_p_mix_W_fidelity,lepton_electron_theta_mix_proton_theta_p_mix_W_subspace_population,lepton_electron_theta_mix_proton_theta_p_mix_W_subspace_max_fidelity,lepton_electron_theta_mix_proton_theta_p_mix_Wbar_fidelity,lepton_electron_theta_mix_proton_theta_p_mix_Wbar_subspace_population,lepton_electron_theta_mix_proton_theta_p_mix_Wbar_subspace_max_fidelity,lepton_electron_theta_mix_proton_theta_p_mix_W_purity,optimization_run,start_source,screening_D_W,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_D_W,lbfgs_D_W,final_D_W,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_D_W,local_minimum_verified,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,local_minimum_id,D_W_above_global_minimum,within_polarization_cluster_cut,polarization_cluster_id,polarization_cluster_size,polarization_cluster_distance,polarization_cluster_representative,polarization_configuration,selected_observable,selected_observable_label,selected_spin_case,selected_spin_label,selected_concurrence_key,selected_concurrence,selected_purity,pair_delta_xy,scan_phi_p_out,scan_phi_gamma_out,cluster_id,energy_band_cluster_id,selected_region,detail_id,detail_source
electron,gradient_local_minimum_0000,gradient,gradient,gradient_local_minimum,0.00051099895,5.32552733226412,2.3077104090990535,0.9632237542152142,0.49994886520619086,0.0,0.0,3.141592653589793,0.0,0.6735651210774386,1.9786954612674086,1.9786954612674086,5.058103823584203,1.9786954612674086,1.3648077842148942,0.6181856114777131,3.693058673811485,-0.5602667031376629,1.9972241745558028,0.5246947739406078,-1.4805217206959203,0.15861163731474398,0.15920218966904254,2.689069353340345,0.8562125250454425,2.3306254945998353,133.5350044661606,0.39142933751589026,0.6497805644459292,0.39142933751589026,0.6497805644459292,False,gradient,709001117,1.6971122236601608,3.0476415744353686,1.0,0.24347719328429973,0.08554635783345907,0.9999999999999999,1.1782287131143674,-0.27931234488934364,0.17333727328247578,0.43994678489137246,0.48836202514862576,0.666632943031524,0.6666585289677883,0.6666510888390556,0.9427850554324408,0.942779380792354,0.9427979140522023,3.802860007085256e-05,1.1600049470747147,0.8888481758712586,1.0585766384019202e-05,9.805862044964808e-06,1.0638245389993362e-05,0.14125732396929688,0.35227401333197494,0.4827022999539235,0.49353133730127186,0.23593663130328757,-2.0344168091993393,0.9561161104518157,0.14125732396929688,0.08145130687006855,0.3874104982681439,0.38741049826814383,0.059093921985079054,0.11905816443058419,0.11905816443058417,0.08145130687006855,709,sobol_screened,0.5681705824923382,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,31,1159,792,3.4827976678194257,0.5681705824923382,8.555910257309514e-05,3.802860007085256e-05,20,6,False,1e-05,3.851423989791321e-05,True,0.14836096670478582,0.5730888405814767,0.6023238161578774,0.9758352115750313,0.3121514739468694,0.6138296648859978,0.941018789075315,0.3293692767113754,0.629838327068412,0.6836142936820067,0.8050222261954421,0.21721590522809728,0.5402075987543857,0.9700944426875109,0,0.0,True,3,284,0.05053395506247788,True,"theta_e~pi/2,theta_p~0",D_W,D_W,mixing_angles,"theta_e=1.6971122, theta_p=3.0476416",lepton_electron_theta_mix_proton_theta_p_mix_D_W,3.802860007085256e-05,0.9999999999999999,nan,5.058103823584203,1.3648077842148942,0,0,polarization_cluster_04_local_minimum_0,dw_mixing_angles_polarization_04_local_minimum_0,polarization_cluster_member
electron,gradient_local_minimum_0005,gradient,gradient,gradient_local_minimum,0.00051099895,3.7452323497548505,1.9352602795889888,0.7403107371389028,0.41406769680985334,0.0,0.0,3.141592653589793,0.0,0.3752957928453832,2.264593781208342,2.264593781208342,1.1644894682070848,2.264593781208342,4.8872215381683795,0.33584778713354607,3.1886574776392056,-0.08514377533446438,1.5389645000666112,0.6590772928544356,-1.0827797826778944,0.21954736316644816,0.24840209483667133,1.675908360359487,0.8149084131701374,2.2601276607653897,129.4957761226323,0.10017050211745399,0.32826286081166633,0.10017050211745399,0.32826286081166633,False,gradient,738001388,1.4992147145300083,0.022219062185962656,1.0,0.7723409412014153,0.02888878998239085,1.0000000000000002,1.1661868969363156,-0.2970167061150154,0.2419445676791902,0.18991722058461152,0.261778799139106,0.6666319910579211,0.6666608077488707,0.6666211915047388,0.942783302799814,0.9427552373428338,0.9427756740625489,5.748665159822554e-05,1.1599914274284548,0.8888179211649568,5.511947900826986e-06,5.413072297177912e-06,5.52605251918914e-06,0.027527437115916875,0.3375489449891519,0.33761964639962083,0.36507638210506876,0.15508145534708648,3.111395528104429,0.8495836101632788,0.027527437115916875,0.16950959989430697,0.49071205299149523,0.49071205299149534,0.09396874366423855,0.1442115649034361,0.1442115649034361,0.16950959989430697,738,sobol_screened,0.583361783926037,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66,1427,992,8.67546825190104,0.583361783926037,0.00011086050695543425,5.748665159822554e-05,21,7,False,1e-05,5.76734281967703e-05,True,0.6710971286520362,0.40532776806503534,0.5832298574969172,0.19395960122346878,0.805627184920013,0.3396314727142453,0.12129200901836157,0.23659452447579155,0.7208425887489476,0.4811723309120476,0.18533425504361004,0.7778254657846737,0.4772148651471112,0.007072547155524341,5,1.945805152737298e-05,True,3,284,0.023921140604813127,False,"theta_e~pi/2,theta_p~0",D_W,D_W,mixing_angles,"theta_e=1.4992147, theta_p=0.022219062",lepton_electron_theta_mix_proton_theta_p_mix_D_W,5.748665159822554e-05,1.0000000000000002,nan,1.1644894682070848,4.8872215381683795,1,1,polarization_cluster_04_local_minimum_5,dw_mixing_angles_polarization_04_local_minimum_5,polarization_cluster_member
electron,gradient_local_minimum_0007,gradient,gradient,gradient_local_minimum,0.00051099895,5.537728808888988,2.3532379414094504,0.9896756225024065,0.5095666781982244,0.0,0.0,3.141592653589793,0.0,0.6867447894585652,2.0008127384828156,2.0008127384828156,4.340119928830191,2.0008127384828156,1.744817659048593,0.5870633960869212,5.697746665128902,-0.5321645627062486,2.172819868837979,0.5416559715721131,-1.5719239334226895,0.14829087883915662,0.14514845574783275,2.718463094036452,0.8612147685789567,2.3374850925394464,133.92803047725695,0.3963163798932872,0.6967643476009281,0.3963163798932872,0.6967643476009281,False,gradient,490001424,1.6896982402943856,0.08930799629330208,1.0,0.18308847075521656,0.07700955183474702,0.9999999999999998,1.171770641376339,-0.28671701704101726,0.1640520880881244,0.4374100362285346,0.4844465615645118,0.6666113302283259,0.666652323171924,0.6666303553933873,0.9427607995849272,0.9427457118352867,0.9427744440345245,6.772271271026402e-05,1.1599819479562485,0.8887970176966578,1.939654709681715e-06,2.7808631293257946e-06,2.301602169352268e-06,0.3244596190326927,0.1642069617903138,0.4782907699202509,0.4886665808230065,0.23395747950874765,-1.2212384656456894,0.9575341907552557,0.3244596190326927,0.21423265370048822,0.39507938293948575,0.39507938293948575,0.015056527460013028,0.1162540362375076,0.1162540362375076,0.21423265370048822,490,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,1482,968,7.707508494099094,0.8755828187309871,0.00021307720251737024,6.772271271026402e-05,25,11,False,1e-05,6.920601527376352e-05,True,0.3865092667199702,0.29965757222068085,0.5379529596320912,0.5925920209153723,0.41489310653851696,0.07769957425046554,0.26864465472305143,0.3407098702441277,0.6368784750615436,0.6779499714417051,0.6907515402849699,0.2776963552316129,0.5378476545530573,0.028427618135423386,7,2.9694112639411454e-05,True,3,284,0.04626286808411264,False,"theta_e~pi/2,theta_p~0",D_W,D_W,mixing_angles,"theta_e=1.6896982, theta_p=0.089307996",lepton_electron_theta_mix_proton_theta_p_mix_D_W,6.772271271026402e-05,0.9999999999999998,nan,4.340119928830191,1.744817659048593,2,2,polarization_cluster_04_local_minimum_7,dw_mixing_angles_polarization_04_local_minimum_7,polarization_cluster_member
electron,gradient_local_minimum_0008,gradient,gradient,gradient_local_minimum,0.00051099895,4.022187888123774,2.0055393010668663,0.7834160814268548,0.43093128394229513,0.0,0.0,3.141592653589793,0.0,0.3955178337897771,2.289804669380089,2.289804669380089,4.955075050973437,2.289804669380089,1.185615391354294,0.34187618924815993,2.939123117315668,-0.024406440001765284,1.7581423048065592,0.6806562019564949,-1.2081027505165913,0.19690714595939104,0.21412191440826697,1.7047124717836073,0.8220013732403315,2.3001092182898284,131.78655062714213,0.1057725469020773,0.38079232404696284,0.1057725469020773,0.38079232404696284,False,gradient,432001757,1.6372977406158842,0.01692953293490212,1.0,0.4770919064643664,0.024883375636316128,1.0000000000000004,1.0772356943736445,-0.296676527782098,0.24829452340628233,0.1811322285613824,0.2547953856328691,0.6666298591977582,0.6666626690226518,0.6666085814469206,0.9427813408975652,0.9427429250592554,0.9427660423146362,6.888151913293398e-05,1.1599854655598147,0.8888028956810662,2.173302182328918e-06,1.8527165821513591e-06,1.695414520996863e-06,0.31343077293814703,0.04902492415622736,0.3343725986601206,0.3624556970943744,0.1531447501129334,-0.5291138818909787,0.8450398288155936,0.31343077293814703,0.17404108006041225,0.4854772137070543,0.4854772137070544,0.006055352016690753,0.15206708919857131,0.1520670891985713,0.17404108006041225,432,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,77,1793,1128,2.746877739761836,0.7235855438699381,0.000491495551634286,6.888151913293398e-05,32,18,False,1e-05,7.185973401252572e-05,True,0.7142808356374264,0.7136497039356737,0.6678977723787376,0.8811302094043603,0.11276756083126793,0.6913568850240386,0.14523041385280885,0.25410054283466876,0.7288674636934885,0.47896586614237335,0.7886246877537477,0.18869655013986789,0.5211680574644197,0.00538883770165343,8,3.085291906208142e-05,True,3,284,0.021163491966479164,False,"theta_e~pi/2,theta_p~0",D_W,D_W,mixing_angles,"theta_e=1.6372977, theta_p=0.016929533",lepton_electron_theta_mix_proton_theta_p_mix_D_W,6.888151913293398e-05,1.0000000000000004,nan,4.955075050973437,1.185615391354294,3,3,polarization_cluster_04_local_minimum_8,dw_mixing_angles_polarization_04_local_minimum_8,polarization_cluster_member
electron,gradient_local_minimum_0010,gradient,gradient,gradient_local_minimum,0.00051099895,4.3593963238128035,2.087916742548132,0.8332592626256077,0.44919246125984624,0.0,0.0,3.141592653589793,0.0,0.4218163847982372,2.321298503221174,2.321298503221174,4.552531021188124,2.321298503221174,0.7825877893531096,0.3213930147726288,2.571132120234063,0.0324253805340608,2.0333607953504496,0.7015318167483585,-1.3605620765281883,0.1739192468863465,0.18065378355142023,1.7449416163794658,0.8329975696603762,2.3419922392321015,134.18627096039245,0.11176932450117472,0.4481686839121898,0.11176932450117472,0.4481686839121898,False,gradient,715001564,1.511059690650195,0.013796981969176,0.9999999999999998,0.2681171492348704,0.020322100410264405,1.0,1.135890285335727,-0.30365883384999015,0.2521762982581891,0.17646675781428997,0.253042318467979,0.6666270045889903,0.6666086100062222,0.6666544738893733,0.9427468829282991,0.9427796691609525,0.9427665708955654,7.136049359199674e-05,1.1599789619961065,0.8888046649578755,1.3083089306809015e-05,1.3753779228242724e-05,1.3580707038440831e-05,0.20363625612737762,0.15195648444921678,0.32587647157151034,0.3555927405765944,0.14808010128321314,1.3953990022848335,0.8328634664650405,0.20363625612737762,0.06766347822282415,0.49651678330566523,0.49651678330566523,0.09966475150719077,0.14789047611774042,0.14789047611774045,0.06766347822282415,715,sobol_screened,0.5728772163100434,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66,1624,1136,13.201242499882023,0.5728772163100434,0.00031045903186701485,7.136049359199674e-05,24,10,False,1e-05,7.16998695608231e-05,True,0.327298054471612,0.44495728611946106,0.5230913106352091,0.7735062325373292,0.010643044486641884,0.3661259990185499,0.1778333429247141,0.2746201939709942,0.7388922623589357,0.4803838152540098,0.7245578156012841,0.12455271507890633,0.48098523814777755,0.004391715760288225,10,3.3331893521144176e-05,True,3,284,0.019683015596217785,False,"theta_e~pi/2,theta_p~0",D_W,D_W,mixing_angles,"theta_e=1.5110597, theta_p=0.013796982",lepton_electron_theta_mix_proton_theta_p_mix_D_W,7.136049359199674e-05,1.0,nan,4.552531021188124,0.7825877893531096,4,4,polarization_cluster_04_local_minimum_10,dw_mixing_angles_polarization_04_local_minimum_10,polarization_cluster_member
electron,gradient_local_minimum_0011,gradient,gradient,gradient_local_minimum,0.00051099895,12.115251050919607,3.4806969202904767,1.6139593601797246,0.6774867000848905,0.0,0.0,3.141592653589793,0.0,0.9169017187233653,2.6056604750525705,2.6056604750525705,2.7201114867081024,2.6056604750525705,5.1218643808816475,0.2263166248389937,1.1488548353222126,0.5466557038649013,8.965737664045008,0.8613910477327704,-4.44049536671086,0.03577599302083613,0.02062370841038181,2.3225470640579053,0.9263964289706405,2.7264956620839165,156.21669429813548,0.20748430787205718,2.470105456539655,0.20748430787205718,2.470105456539655,False,gradient,968002037,1.5482564348611951,0.030574738976253957,1.0,0.00045483100068487625,0.0029852710988994098,1.0,1.0203205376611237,-0.32355867278796935,0.18599907355366355,0.2839008683450933,0.3440824817239086,0.6666342736956554,0.6666330653947926,0.6666115173744799,0.9427942201422814,0.9427791075146931,0.942778164203605,7.224814510549238e-05,1.1599689905602208,0.8888413511165255,6.004279030080717e-05,6.0275604160719976e-05,6.0107925155372666e-05,0.32802214502782784,0.07300981186908168,0.3832391841935575,0.4010319568969095,0.18272320574510276,0.7984601932307698,0.9112650630586736,0.32802214502782784,0.10941104576664534,0.4566311813329663,0.4566311813329662,0.016988604769086993,0.14233686177012417,0.14233686177012417,0.10941104576664534,968,sobol_screened,0.6464118491434703,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,56,2101,1048,3.869560083633243,0.6464118491434703,0.0010666828725633874,7.224814510549238e-05,52,38,False,1e-05,7.23642807164882e-05,True,0.8523025950416923,0.4293976975604892,0.5082083167508245,0.4841075586155057,0.5539610469713807,0.2475428143516183,0.25100454688072205,0.6215521069190513,0.8294074892475857,0.545427460087053,0.43291918887063885,0.8151700340636243,0.49282532956398856,0.009732241683630505,11,3.4219545034639815e-05,True,3,284,0.011387408541707665,False,"theta_e~pi/2,theta_p~0",D_W,D_W,mixing_angles,"theta_e=1.5482564, theta_p=0.030574739",lepton_electron_theta_mix_proton_theta_p_mix_D_W,7.224814510549238e-05,1.0,nan,2.7201114867081024,5.1218643808816475,5,5,polarization_cluster_04_local_minimum_11,dw_mixing_angles_polarization_04_local_minimum_11,polarization_cluster_member
electron,gradient_local_minimum_0012,gradient,gradient,gradient_local_minimum,0.00051099895,13.066556009609823,3.6147691502514823,1.685683262780129,0.6948968817153662,0.0,0.0,3.141592653589793,0.0,0.9548416377441197,2.6585157524293606,2.6585157524293606,2.7717534405051145,2.6585157524293606,5.153371914037871,0.206172789648453,1.1967365197165096,0.6278352087465211,9.95742457705806,0.8770317070438655,-4.81885179634029,0.031367401341938245,0.017222507548379562,2.275970836288995,0.9316337046171557,2.770777307969777,158.75384571728813,0.18418228699144668,2.753468677349627,0.18418228699144668,2.753468677349627,False,gradient,431004185,1.5889871438537768,0.02814404160346587,0.9999999999999999,0.00025041598557728307,0.0019766176738588537,0.9999999999999998,0.9876797518920523,-0.3259212176035589,0.18496652065421737,0.2682394495610354,0.32852396318855176,0.6666192656965709,0.6666238208455918,0.6666291798585513,0.9427672426670408,0.9427710260113499,0.9427740416441357,7.408020742590804e-05,1.1599675633427224,0.8888167249458938,4.150992940399334e-05,4.1498649773263896e-05,4.111164035808246e-05,0.09220278617799782,0.3027872676939174,0.3773522171963651,0.3949900538719152,0.17985719026040747,-2.196196015572078,0.9106922490697975,0.09220278617799782,0.12505810849556515,0.4561284714021876,0.4561284714021875,0.07110876149033893,0.14888147472589724,0.14888147472589727,0.12505810849556515,431,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26,4225,480,3.328296971933971,0.8692998051036016,0.22313295853694118,7.408020742590804e-05,184,170,False,1e-05,7.409268163328892e-05,True,0.9666536316465438,0.47421841643076984,0.0741019000852117,0.5000640645542918,0.870210178443746,0.8582693882960998,0.36232738220410143,0.6549485724610733,0.8462318465736044,0.5436705342171707,0.44113826108835663,0.8201846137100691,0.5057903169076023,0.00895852667955109,12,3.605160735505548e-05,True,3,284,0.009403895613241864,False,"theta_e~pi/2,theta_p~0",D_W,D_W,mixing_angles,"theta_e=1.5889871, theta_p=0.028144042",lepton_electron_theta_mix_proton_theta_p_mix_D_W,7.408020742590804e-05,0.9999999999999998,nan,2.7717534405051145,5.153371914037871,6,6,polarization_cluster_04_local_minimum_12,dw_mixing_angles_polarization_04_local_minimum_12,polarization_cluster_member
electron,gradient_local_minimum_0014,gradient,gradient,gradient_local_minimum,0.00051099895,2.413388761683973,1.5535085328648741,0.4935744376344339,0.3003124588093392,0.0,0.0,3.141592653589793,0.0,0.24528235970862533,2.1565379844440398,2.1565379844440398,3.8010835343221956,2.1565379844440398,1.1374526716124198,0.36853789040493895,6.003366766735754,-0.31096787065148496,0.6169072432064787,0.538370813604934,-0.4920579765742388,0.4147467386138918,0.5798436333025798,1.4088147048859603,0.7472088013559296,2.059850852550491,118.02076027756758,0.054138253009479595,0.11656288632559958,0.054138253009479595,0.11656288632559958,False,gradient,913001597,1.6856611691302434,3.0584694585733088,1.0,18.514622493247238,0.07074286661542611,1.0,1.065687170774229,-0.27085002157901306,0.2263672469141636,0.22105210658406332,0.2823636802955463,0.6666209256597654,0.6666079146671929,0.6666189975484239,0.942737074500101,0.9427448124799466,0.9427357072097631,8.841030476440668e-05,1.1599592319845504,0.8887571955167605,3.6212125830159536e-06,3.435037901566851e-06,3.6138588829226492e-06,0.23606571601090195,0.16072863476922414,0.37357487902178876,0.3967943507801261,0.1751777036317257,1.3540733166458314,0.8829647059607264,0.23606571601090195,0.05559464088203775,0.46693574216569256,0.4669357421656924,0.038564017349337884,0.13626990705418132,0.1362699070541813,0.05559464088203775,913,sobol_screened,0.6341094389992948,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,75,1635,1016,5.653415869740507,0.6341094389992948,0.0005197173301578987,8.841030476440668e-05,30,16,False,1e-05,8.84511062982922e-05,True,0.9690840858966112,0.5224492512643337,0.5104866828769445,0.43211900908499956,0.3692634887993336,0.6517067309468985,0.8617988424375653,0.14150280370120116,0.6864473603794037,0.47080243900798313,0.6049612335925895,0.181031215220199,0.5365626148902833,0.9735410652550698,14,5.038170469355412e-05,True,3,284,0.045541685361271116,False,"theta_e~pi/2,theta_p~0",D_W,D_W,mixing_angles,"theta_e=1.6856612, theta_p=3.0584695",lepton_electron_theta_mix_proton_theta_p_mix_D_W,8.841030476440668e-05,1.0,nan,3.8010835343221956,1.1374526716124198,7,7,polarization_cluster_04_local_minimum_14,dw_mixing_angles_polarization_04_local_minimum_14,polarization_cluster_member
electron,gradient_local_minimum_0018,gradient,gradient,gradient_local_minimum,0.00051099895,1.0347514831763704,1.0172273507807241,0.07614043000545781,0.039030822320273065,0.0,0.0,3.141592653589793,0.0,0.022903046266497716,2.651716289227248,2.651716289227248,5.810672056441871,2.651716289227248,2.232088293198037,0.17629172538079355,3.156631058083904,0.578031719121276,0.016775307871836693,0.285560633439881,-0.012560222348744656,0.9667041022738836,1.7215625943757678,0.9218138618308646,0.37922808841860367,2.5305001057030116,144.98697611419126,0.00020513140061159348,0.0023126741621597568,0.00020513140061159348,0.0023126741621597568,False,gradient,395001248,1.3318553462829041,0.4232305191334103,1.0,226509.35292050033,0.2958270860473955,1.0000000000000002,1.2091176665846672,-0.22355918871246006,0.17092844545971633,0.1966274590602531,0.23484008365510928,0.6665978514964854,0.6666059051472556,0.666597239945991,0.9427204914512505,0.9427142759282178,0.9427200528619732,0.00011509804269396925,1.1599360971288901,0.8887177430042562,5.796605164865021e-06,5.630115520349754e-06,5.7849872766579935e-06,0.38881469383053036,0.011473725248017264,0.3890155987798152,0.4002884190785476,0.18887138924054134,-0.0461281176655987,0.9436765104287445,0.38881469383053036,0.23672655806948917,0.4452863897105101,0.44528638971051004,0.030565438656108217,0.1544251912109424,0.15442519121094242,0.23672655806948917,395,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47,1305,784,22.608856667480655,1.0038895318230623,0.0008093055756761656,0.00011509804269396925,25,11,False,1e-05,0.00011677665921452321,True,0.10960936329551214,0.9305031184904968,0.14818685089348113,0.761487639147729,0.48745474059098864,0.3079399445925418,0.4313237824953858,0.007918868955600518,0.8440675102156291,0.2659659045879722,0.9247971804686724,0.3552478852800194,0.4239427236885843,0.1347184583748625,18,7.706944262311668e-05,True,3,284,0.15383034818166386,False,"theta_e~pi/2,theta_p~0",D_W,D_W,mixing_angles,"theta_e=1.3318553, theta_p=0.42323052",lepton_electron_theta_mix_proton_theta_p_mix_D_W,0.00011509804269396925,1.0000000000000002,nan,5.810672056441871,2.232088293198037,8,8,polarization_cluster_04_local_minimum_18,dw_mixing_angles_polarization_04_local_minimum_18,polarization_cluster_member
electron,gradient_local_minimum_0021,gradient,gradient,gradient_local_minimum,0.00051099895,7.328205144261797,2.7070657812956442,1.1910240335568751,0.5686207636874208,0.0,0.0,3.141592653589793,0.0,0.7691096348917478,2.1701216295244388,2.1701216295244388,4.115874713064445,2.1701216295244388,1.593054839486418,0.4574291345595009,5.557628623289865,-0.23720178832508743,3.800933164951501,0.6673377480780838,-2.3302256225186126,0.09149651059897382,0.07474103379750799,2.7745771987422883,0.8832735119686196,2.4250535434501854,138.94533313294082,0.3993100040929547,1.1346637753093143,0.3993100040929547,1.1346637753093143,False,gradient,735001219,1.6508277108340033,0.06518477571851175,0.9999999999999999,0.026341733630838075,0.036375618078096174,0.9999999999999996,1.127473955364403,-0.3047484902246834,0.16023083410940472,0.3849835982615003,0.4338137030437831,0.6666049620191898,0.6665904553415117,0.6665926988404868,0.9427136897239395,0.9427154602503014,0.9427049753018156,0.00012282861601383208,1.1599299428540013,0.8887047366648819,4.090251914723453e-06,4.4374588881734844e-06,4.00915894899212e-06,0.1326437476739717,0.32711966569200723,0.4490502554093586,0.4597634133659789,0.21916854872636918,-2.0304831763150246,0.9533970836079014,0.1326437476739717,0.2060717770076686,0.40900217591305865,0.40900217591305854,0.0240404950774707,0.13123441072096248,0.13123441072096248,0.2060717770076686,735,sobol_screened,0.5823320300794061,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,41,1264,808,6.2923488594991275,0.5823320300794061,0.0003154240228824202,0.00012282861601383208,22,8,False,1e-05,0.00012626953956569706,True,0.5130916927009821,0.5743140419945121,0.3744150595739484,0.6406075982376933,0.38448602706193924,0.6588105652481318,0.19290163647383451,0.4288459388841747,0.6907711688989064,0.6272121672313985,0.6550618057311427,0.2535425523207293,0.5254747807446193,0.020748958539875396,21,8.480001594297952e-05,True,3,284,0.03175699710413817,False,"theta_e~pi/2,theta_p~0",D_W,D_W,mixing_angles,"theta_e=1.6508277, theta_p=0.065184776",lepton_electron_theta_mix_proton_theta_p_mix_D_W,0.00012282861601383208,0.9999999999999996,nan,4.115874713064445,1.593054839486418,9,9,polarization_cluster_04_local_minimum_21,dw_mixing_angles_polarization_04_local_minimum_21,polarization_cluster_member
