detail_id,selected_observable,selected_region,incoming_state,theta_e,theta_p,final_state_order,final_ket,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction,decomposition_rank,retained_fraction_total
dw_mixing_angles_polarization_04_local_minimum_0,D_W,polarization_cluster_04_local_minimum_0,cos(theta_e)|+>+sin(theta_e)|-> tensor cos(theta_p)|+>+sin(theta_p)|->,1.6971122236601608e+00,3.0476415744353686e+00,p_gamma_lepton,|+1+1+1>,7,1,1,1,5.7538812897869211e-02,2.7271660936188086e-01,2.7872040472763510e-01,1.3628619799116926e+00,7.7685064011536742e-02,3.1906505477425401e-01,1,9.8104003109540561e-01
dw_mixing_angles_polarization_04_local_minimum_0,D_W,polarization_cluster_04_local_minimum_0,cos(theta_e)|+>+sin(theta_e)|-> tensor cos(theta_p)|+>+sin(theta_p)|->,1.6971122236601608e+00,3.0476415744353686e+00,p_gamma_lepton,|+1-1-1>,2,-1,1,-1,-8.8244461502413107e-02,2.0936459320044190e-01,2.2720171185939023e-01,1.9696877020177614e+00,5.1620617871837395e-02,2.1201418159754210e-01,2,9.8104003109540561e-01
dw_mixing_angles_polarization_04_local_minimum_0,D_W,polarization_cluster_04_local_minimum_0,cos(theta_e)|+>+sin(theta_e)|-> tensor cos(theta_p)|+>+sin(theta_p)|->,1.6971122236601608e+00,3.0476415744353686e+00,p_gamma_lepton,|-1-1-1>,0,-1,-1,-1,1.6134902041534868e-01,-1.2823827199175519e-01,2.0610327700554396e-01,-6.7155482928764676e-01,4.2478560792423993e-02,1.7446628252701790e-01,3,9.8104003109540561e-01
dw_mixing_angles_polarization_04_local_minimum_0,D_W,polarization_cluster_04_local_minimum_0,cos(theta_e)|+>+sin(theta_e)|-> tensor cos(theta_p)|+>+sin(theta_p)|->,1.6971122236601608e+00,3.0476415744353686e+00,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,2.0294250228910299e-01,-2.0393180296481146e-02,2.0396455828885410e-01,-1.0015128094931378e-01,4.1601541037967364e-02,1.7086422131287962e-01,4,9.8104003109540561e-01
dw_mixing_angles_polarization_04_local_minimum_0,D_W,polarization_cluster_04_local_minimum_0,cos(theta_e)|+>+sin(theta_e)|-> tensor cos(theta_p)|+>+sin(theta_p)|->,1.6971122236601608e+00,3.0476415744353686e+00,p_gamma_lepton,|+1+1-1>,3,-1,1,1,8.7670600237387070e-02,-1.1115230850321663e-01,1.4156613236073795e-01,-9.0295722724045024e-01,2.0040969831577975e-02,8.2311487007232079e-02,5,9.8104003109540561e-01
dw_mixing_angles_polarization_04_local_minimum_0,D_W,polarization_cluster_04_local_minimum_0,cos(theta_e)|+>+sin(theta_e)|-> tensor cos(theta_p)|+>+sin(theta_p)|->,1.6971122236601608e+00,3.0476415744353686e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,5.3599366392356934e-02,5.0608572867113642e-02,7.3716482046473658e-02,7.5670579335577037e-01,5.4341197253080734e-03,2.2318803876479890e-02,6,9.8104003109540561e-01
dw_mixing_angles_polarization_04_local_minimum_5,D_W,polarization_cluster_04_local_minimum_5,cos(theta_e)|+>+sin(theta_e)|-> tensor cos(theta_p)|+>+sin(theta_p)|->,1.4992147145300083e+00,2.2219062185962656e-02,p_gamma_lepton,|+1+1+1>,7,1,1,1,1.4997899999565098e-01,-4.3914619968533281e-01,4.6405073552119891e-01,-1.2416923061394098e+00,2.1534308513776565e-01,2.7881868440482860e-01,1,9.9094868427610205e-01
dw_mixing_angles_polarization_04_local_minimum_5,D_W,polarization_cluster_04_local_minimum_5,cos(theta_e)|+>+sin(theta_e)|-> tensor cos(theta_p)|+>+sin(theta_p)|->,1.4992147145300083e+00,2.2219062185962656e-02,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,-4.0508375498522659e-01,1.9473954729650475e-01,4.4946227854423854e-01,2.6934722579706079e+00,2.0201633983417866e-01,2.6156368134509622e-01,2,9.9094868427610205e-01
dw_mixing_angles_polarization_04_local_minimum_5,D_W,polarization_cluster_04_local_minimum_5,cos(theta_e)|+>+sin(theta_e)|-> tensor cos(theta_p)|+>+sin(theta_p)|->,1.4992147145300083e+00,2.2219062185962656e-02,p_gamma_lepton,|+1-1-1>,2,-1,1,-1,1.1771830711109062e-01,3.9988887465910578e-01,4.1685574471899395e-01,1.2845056920706721e+00,1.7376871190522700e-01,2.2498964205486896e-01,3,9.9094868427610205e-01
dw_mixing_angles_polarization_04_local_minimum_5,D_W,polarization_cluster_04_local_minimum_5,cos(theta_e)|+>+sin(theta_e)|-> tensor cos(theta_p)|+>+sin(theta_p)|->,1.4992147145300083e+00,2.2219062185962656e-02,p_gamma_lepton,|-1-1-1>,0,-1,-1,-1,-7.6006895185856987e-02,2.4666435354926500e-01,2.5810918508970315e-01,1.8697032219650194e+00,6.6620351427670643e-02,8.6257697700240180e-02,4,9.9094868427610205e-01
