detail_id,selected_observable,selected_region,alpha_e,alpha_p,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,theta_p_out,theta_gamma_out,phi_p_out,qOut,phi_gamma_out
dw_mixing_angles_polarization_04_local_minimum_1,D_W,polarization_cluster_04_local_minimum_1,1.4456911528280285e+00,3.0471871972127218e+00,k,4.4063506006153735e-01,0.0000000000000000e+00,0.0000000000000000e+00,-4.4063476376190264e-01,4.4063476376190264e-01,0.0000000000000000e+00,2.1814587476800136e+00,1.4769762177096875e+00,4.4063476376190264e-01,3.1310947935378625e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.2322769959198743e+00,1.8597198045237178e+00,3.8054297671263710e+00,2.1339059039734001e-01,1.1026558503842583e+00
dw_mixing_angles_polarization_04_local_minimum_1,D_W,polarization_cluster_04_local_minimum_1,1.4456911528280285e+00,3.0471871972127218e+00,p,1.0363411576481500e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.4063476376190264e-01,4.4063476376190264e-01,0.0000000000000000e+00,2.1814587476800136e+00,1.4769762177096875e+00,4.4063476376190264e-01,3.1310947935378625e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.2322769959198743e+00,1.8597198045237178e+00,3.8054297671263710e+00,2.1339059039734001e-01,1.1026558503842583e+00
dw_mixing_angles_polarization_04_local_minimum_1,D_W,polarization_cluster_04_local_minimum_1,1.4456911528280285e+00,3.0471871972127218e+00,kp,2.7470669333614012e-01,1.0230361283671127e-01,-3.0308169982184163e-02,2.5313808855373099e-01,2.7470621806531653e-01,5.9951659084904714e+00,2.1814587476800136e+00,1.4769762177096875e+00,4.4063476376190264e-01,3.1310947935378625e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.2322769959198743e+00,1.8597198045237178e+00,3.8054297671263710e+00,2.1339059039734001e-01,1.1026558503842583e+00
dw_mixing_angles_polarization_04_local_minimum_1,D_W,polarization_cluster_04_local_minimum_1,1.4456911528280285e+00,3.0471871972127218e+00,pp,9.8887893397584259e-01,-1.9460032403941116e-01,-1.5223031925189734e-01,-1.9233873724609060e-01,3.1310947935378625e-01,3.8054297671263706e+00,2.1814587476800136e+00,1.4769762177096875e+00,4.4063476376190264e-01,3.1310947935378625e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.2322769959198743e+00,1.8597198045237178e+00,3.8054297671263710e+00,2.1339059039734001e-01,1.1026558503842583e+00
dw_mixing_angles_polarization_04_local_minimum_1,D_W,polarization_cluster_04_local_minimum_1,1.4456911528280285e+00,3.0471871972127218e+00,qout,2.1339059039734001e-01,9.2296711202699888e-02,1.8253848923408150e-01,-6.0799351307640387e-02,2.1339059039734004e-01,1.1026558503842583e+00,2.1814587476800136e+00,1.4769762177096875e+00,4.4063476376190264e-01,3.1310947935378625e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.2322769959198743e+00,1.8597198045237178e+00,3.8054297671263710e+00,2.1339059039734001e-01,1.1026558503842583e+00
dw_mixing_angles_polarization_04_local_minimum_2,D_W,polarization_cluster_04_local_minimum_2,1.4888396327071283e+00,3.1123051595805618e+00,k,6.6356466593373553e-01,0.0000000000000000e+00,0.0000000000000000e+00,-6.6356446917825784e-01,6.6356446917825784e-01,0.0000000000000000e+00,3.2853288369402018e+00,1.8125476095651121e+00,6.6356446917825784e-01,4.4663298100279741e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.3152290144159871e+00,1.9598399035001377e+00,2.1021713372549229e+00,3.1720124199309235e-01,4.6957078988876013e+00
dw_mixing_angles_polarization_04_local_minimum_2,D_W,polarization_cluster_04_local_minimum_2,1.4888396327071283e+00,3.1123051595805618e+00,p,1.1489829436313765e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6356446917825784e-01,6.6356446917825784e-01,0.0000000000000000e+00,3.2853288369402018e+00,1.8125476095651121e+00,6.6356446917825784e-01,4.4663298100279741e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.3152290144159871e+00,1.9598399035001377e+00,2.1021713372549229e+00,3.1720124199309235e-01,4.6957078988876013e+00
dw_mixing_angles_polarization_04_local_minimum_2,D_W,polarization_cluster_04_local_minimum_2,1.4888396327071283e+00,3.1123051595805618e+00,kp,4.5644068382552228e-01,1.7134592046828531e-01,1.0265034871075329e-02,4.2293384982660720e-01,4.5644039778615508e-01,5.9836737405671275e-02,3.2853288369402018e+00,1.8125476095651121e+00,6.6356446917825784e-01,4.4663298100279741e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.3152290144159871e+00,1.9598399035001377e+00,2.1021713372549229e+00,3.1720124199309235e-01,4.6957078988876013e+00
dw_mixing_angles_polarization_04_local_minimum_2,D_W,polarization_cluster_04_local_minimum_2,1.4888396327071283e+00,3.1123051595805618e+00,pp,1.0389056837458563e+00,-1.6645029164444297e-01,2.8319164135590857e-01,-3.0261826514120316e-01,4.4663298100279741e-01,2.1021713372549229e+00,3.2853288369402018e+00,1.8125476095651121e+00,6.6356446917825784e-01,4.4663298100279741e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.3152290144159871e+00,1.9598399035001377e+00,2.1021713372549229e+00,3.1720124199309235e-01,4.6957078988876013e+00
dw_mixing_angles_polarization_04_local_minimum_2,D_W,polarization_cluster_04_local_minimum_2,1.4888396327071283e+00,3.1123051595805618e+00,qout,3.1720124199309235e-01,-4.8956288238423502e-03,-2.9345667622698390e-01,-1.2031558468540407e-01,3.1720124199309235e-01,4.6957078988876013e+00,3.2853288369402018e+00,1.8125476095651121e+00,6.6356446917825784e-01,4.4663298100279741e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.3152290144159871e+00,1.9598399035001377e+00,2.1021713372549229e+00,3.1720124199309235e-01,4.6957078988876013e+00
