optimization_run,start_source,screening_D_W,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_D_W,lbfgs_D_W,final_D_W,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_D_W,local_minimum_verified,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6
0,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,309,8,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,0.2325946238048107,0.9407934203064081,0.8073233582725754,0.5042719618715196,0.3142490934430991,0.07517609978241316,0.8838771132321629,0.2325946238048107,0.9407934203064081,0.8073233582725754,0.5042719618715196,0.3142490934430991,0.07517609978241316,0.8838771132321629
1,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64,2124,1440,7.479164550221793,0.9434504928775749,0.000927086152073332,0.0006437184946835205,35,21,False,1e-05,0.000643989233444489,True,0.7048395558641712,0.4016384868942671,0.170710089930671,0.9283119879501661,0.22525505143150418,0.058843612739162277,0.5360918283316337,0.5604693087138012,0.7832156438386513,0.5673004888828539,0.9031633055688956,0.2837495807261082,0.5119051430597381,0.9873846202173278
2,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,55,1608,904,3.3316874338876032,0.9595996686886411,0.0020921735321998832,0.0008457500832737901,34,20,False,1e-05,0.0008469151054801701,True,0.013472466059739084,0.586789156172671,0.0003637032798712999,0.45455316360605613,0.5486613429029112,0.3841128062705075,0.7706659953009023,0.48425773916540243,0.7227577447053636,0.6077549155252506,0.36590861672423364,0.7558293772540764,0.020180609846456973,0.5174359745346231
3,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,1865,840,4.933171929487675,0.847480450433099,0.003839288579189869,0.0024622906665723167,51,37,False,1e-05,0.0024629766800894747,True,0.4388034436813771,0.58334572823896,0.056154865390509796,0.8307731715189705,0.13358903756787952,0.6047610105774119,0.1139903864913967,0.2466337892397534,0.7234785994668658,0.48828283997993954,0.8069732241837735,0.20123609355160474,0.5218824000910697,0.005658511756418813
4,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,5773,456,1.4737277706705085,0.8286873653114273,0.3813023174897582,0.021521787164034852,265,251,False,1e-05,0.02152234517480555,True,0.5022839033815029,0.2903741318052371,0.4539707333873991,0.26472595967808876,0.9682864743492223,0.6648597951595934,0.9251489856992674,0.30291610294238275,0.6059904627808634,0.6736129160269783,0.1964549166558959,0.8078267802856854,0.5512683286961022,0.9610298648980167
5,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,1233,8,0.0,1000.0,1000.0,0.0108553418098994,59,45,False,1e-05,0.010855457875003126,True,0.06767985243280795,0.6560640162996397,0.5666403037303719,0.3857532219344665,0.6098516052957356,0.7381677816360138,0.20319869773018095,0.03573845770508618,0.5359529382835242,0.5214808727733068,0.6042133606378498,0.4945613209383758,0.7494902631286792,0.0659015279793483
6,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,1780,480,3.202187800921275,1.0564953339412744,0.5475137603643424,0.022284378811840727,63,49,False,1e-05,0.022284483639810348,True,0.23748971345739575,0.22619226909703877,0.3034998109901412,0.9590307848703234,0.4123221337695456,0.004166900357975592,0.46088600630371973,0.023016266560368294,0.26101271808990634,0.5013788998277133,0.8411525653899982,0.1423776707229145,0.22664003724701265,0.42051563094886507
7,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,308,8,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,0.49600932525690866,0.41558892985228046,0.983152799865925,0.5245243418732114,0.1394491514573188,0.6605370312605809,0.4914779351512822,0.49600932525690866,0.41558892985228046,0.983152799865925,0.5245243418732114,0.1394491514573188,0.6605370312605809,0.4914779351512822
8,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26,3816,536,5.446647393835776,0.9878879150418761,0.2259092766619537,0.0012161275143656605,162,148,False,1e-05,0.0012165207481641277,True,0.9731166309468501,0.35404221189367774,0.05177403765453887,0.8954405542111187,0.40976536305493705,0.6509533836174722,0.27259731771668494,0.2661017384901299,0.7307086260115793,0.4903259415983348,0.7402286425500011,0.34360705514564455,0.4798265272726073,0.9953288961033824
9,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,309,8,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,0.9393131103646977,0.37570853086249395,0.9065167688159569,0.11132214552010888,0.27660973423579976,0.2587129219124664,0.17771798422464144,0.9393131103646977,0.37570853086249395,0.9065167688159569,0.11132214552010888,0.27660973423579976,0.2587129219124664,0.17771798422464144
10,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,29,1404,800,2.0172232706214754,1.0054067928472878,0.014612989396552123,0.014184542321028639,31,17,False,1e-05,0.014184885372107396,True,0.11417579302439014,0.8266069284547051,0.5043933005358593,0.7004745585399205,0.26999122227324895,0.9902323705626352,0.2000071754024084,0.026322654282857263,0.674687829297758,0.5128234687899894,0.621389620107887,0.44220465824712885,0.7559240353942679,0.04010050215276398
11,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66,2214,1520,3.3520422347297285,0.7546012274596906,0.00118302918554699,0.0008593473340468155,35,21,False,1e-05,0.0008598924587180037,True,0.740323063216734,0.6657670362251487,0.330406233839707,0.3180815310384189,0.7480459716021486,0.22188116508611308,0.1873673388532974,0.5746106731011713,0.7938748424572822,0.5620402345165784,0.40964219217634845,0.7881730470659913,0.4892588446356519,0.01192991904891088
12,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,309,8,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,0.09469218238120142,0.4670235326655546,0.6846005801378222,0.06423333933256063,0.4020285898492824,0.9294787776209734,0.3963121073562524,0.09469218238120142,0.4670235326655546,0.6846005801378222,0.06423333933256063,0.4020285898492824,0.9294787776209734,0.3963121073562524
13,latin_hypercube,nan,True,False,2,ABNORMAL: ,45,2030,1104,7.1231864231097495,1.126034725794849,0.0012730096847989986,0.0011409061262048477,48,34,False,1e-05,0.001141052390524133,True,0.8066621990655031,0.9874556424473377,0.46685872536607376,0.2276120948086653,0.6316833238487263,0.02295981561322656,0.13304351465538802,0.5694806975538481,0.7859403021240798,0.5718870414223031,0.40783576468630506,0.7985115106880063,0.9887326566383002,0.5120349852677712
14,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,309,8,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,0.6184905460674773,0.37051857675335054,0.8812643790788177,0.3924937469662892,0.0001236355856660163,0.3466980854486361,0.5529419618793593,0.6184905460674773,0.37051857675335054,0.8812643790788177,0.3924937469662892,0.0001236355856660163,0.3466980854486361,0.5529419618793593
15,latin_hypercube,nan,True,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,80,1953,1200,1.684898180283863,0.9451457931427577,0.002667971931778175,0.0021224661670896515,36,22,False,1e-05,0.002122975390415441,True,0.9888323910378568,0.9107913119607582,0.6316777752922819,0.7063041242226517,0.812085488231288,0.7578443461684156,0.37484117770307246,0.40072089796548266,0.7981264082454192,0.47177084655102325,0.5329098315743552,0.9307731445779269,0.9894177970427875,0.5061078616240934
16,latin_hypercube,nan,True,False,2,ABNORMAL: ,37,1127,800,7.327098136724536,0.7827090356469434,0.0007986392456359369,0.0007849212253092536,19,5,False,1e-05,0.0007852916560999057,True,0.01050409463171458,0.7101810559780734,0.09403899316150031,0.3640186630302118,0.6761502090361989,0.22947826567542967,0.15442835515078296,0.0,0.8868800625834455,0.4575094760644494,0.29614457768022656,0.6496683440499009,0.2133463635971956,0.0904508477480953
17,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,307,8,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,0.180734589453373,0.2920514312383523,0.9929217314267366,0.6773947755214571,0.1352664020597709,0.7271216162869467,0.5134817692962848,0.180734589453373,0.2920514312383523,0.9929217314267366,0.6773947755214571,0.1352664020597709,0.7271216162869467,0.5134817692962848
18,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,309,8,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,0.03989919041629484,0.2778992763876495,0.9431426621059797,0.14321032350303892,0.9510810724292306,0.7601534765165876,0.38753701554804104,0.03989919041629484,0.2778992763876495,0.9431426621059797,0.14321032350303892,0.9510810724292306,0.7601534765165876,0.38753701554804104
19,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,309,8,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,0.060048949123387006,0.6087265515120547,0.7264278964828372,0.8329939428351799,0.9576189118277816,0.5946531464936038,0.881980284423695,0.060048949123387006,0.6087265515120547,0.7264278964828372,0.8329939428351799,0.9576189118277816,0.5946531464936038,0.881980284423695
20,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,51,2285,952,100.24664391913015,0.8863975351502911,0.005094235362028861,0.002520755126107607,65,51,False,1e-05,0.0025211816811394616,True,0.6568922897807097,0.2712261703104519,0.12054202343193225,0.40922479477669,0.32217389672084445,0.7999749268615872,0.25316260424932996,0.695623532546696,0.9218924207648574,0.48368037980499806,0.5002820420133438,0.11754469824677459,0.9984040373360773,0.5048781692314632
21,latin_hypercube,nan,True,False,2,ABNORMAL: ,1,2306,312,3.366393670384781,0.9207333902088449,0.7094342351701813,0.019312966271510003,97,83,False,1e-05,0.019313120989252076,True,0.09871655996668748,0.9785325150146981,0.5606116315307957,0.5770388102673137,0.47741990719212546,0.20846675525689634,0.6055096817641593,0.03754457792775351,0.4478642004830353,0.5184989169430013,0.6406877852896183,0.46919344307646504,0.239381082866978,0.5720619964536371
22,latin_hypercube,nan,True,False,2,ABNORMAL: ,52,10991,960,5.2853274773724594,0.9841454442161967,0.018594371881004913,0.0012843397912385567,494,480,False,1e-05,0.0012847681032151852,True,0.7756824872658417,0.6804323067996375,0.5396475435134637,0.900988250361964,0.639587039847867,0.010130784700967108,0.7049930395878208,0.6346105480883864,0.9048617621372776,0.46659745696120825,0.0034440714032615005,0.6225883869817019,0.0024095465734475644,0.494361934435869
