detail_id,selected_observable,selected_region,alpha_e,alpha_p,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,theta_p_out,theta_gamma_out,phi_p_out,qOut,phi_gamma_out
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1024,C_e_gamma,polarization_cluster_02_local_minimum_1024,1.0699292796945796e+00,4.6695473848074370e-01,k,2.2413692919961914e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2388775336740081e+00,2.2388775336740081e+00,0.0000000000000000e+00,2.1797687224943221e+01,4.6687993344052838e+00,2.2388775336740081e+00,2.1021437241165692e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.9401582668755278e-03,2.9186550557306674e+00,6.1994172819219111e+00,1.8639016006955724e+00,2.3400305111473041e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1024,C_e_gamma,polarization_cluster_02_local_minimum_1024,1.0699292796945796e+00,4.6695473848074370e-01,p,2.4274300424090924e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2388775336740081e+00,2.2388775336740081e+00,0.0000000000000000e+00,2.1797687224943221e+01,4.6687993344052838e+00,2.2388775336740081e+00,2.1021437241165692e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.9401582668755278e-03,2.9186550557306674e+00,6.1994172819219111e+00,1.8639016006955724e+00,2.3400305111473041e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1024,C_e_gamma,polarization_cluster_02_local_minimum_1024,1.0699292796945796e+00,4.6695473848074370e-01,kp,5.0297413879131558e-01,2.7211288541344097e-01,-2.9485007073109487e-01,-2.8431902040033563e-01,4.9175125010473192e-01,5.4577051463603308e+00,2.1797687224943221e+01,4.6687993344052838e+00,2.2388775336740081e+00,2.1021437241165692e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.9401582668755278e-03,2.9186550557306674e+00,6.1994172819219111e+00,1.8639016006955724e+00,2.3400305111473041e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1024,C_e_gamma,polarization_cluster_02_local_minimum_1024,1.0699292796945796e+00,4.6695473848074370e-01,pp,2.3019235949185366e+00,1.4537936521715110e-02,-1.2206707525865589e-03,2.1020930986060735e+00,2.1021437241165692e+00,6.1994172819219111e+00,2.1797687224943221e+01,4.6687993344052838e+00,2.2388775336740081e+00,2.1021437241165692e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.9401582668755278e-03,2.9186550557306674e+00,6.1994172819219111e+00,1.8639016006955724e+00,2.3400305111473041e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1024,C_e_gamma,polarization_cluster_02_local_minimum_1024,1.0699292796945796e+00,4.6695473848074370e-01,qout,1.8639016006955724e+00,-2.8665082193515606e-01,2.9607074148368145e-01,-1.8177740782057379e+00,1.8639016006955724e+00,2.3400305111473041e+00,2.1797687224943221e+01,4.6687993344052838e+00,2.2388775336740081e+00,2.1021437241165692e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.9401582668755278e-03,2.9186550557306674e+00,6.1994172819219111e+00,1.8639016006955724e+00,2.3400305111473041e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1032,C_e_gamma,polarization_cluster_02_local_minimum_1032,2.0739295733276433e+00,1.1208552232055076e+00,k,2.0920536131535711e-01,0.0000000000000000e+00,0.0000000000000000e+00,-1.8056353698847982e-01,1.8056353698847982e-01,0.0000000000000000e+00,1.3558887899939989e+00,1.1644263780909461e+00,1.8056353698847982e-01,1.7496737363625331e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,1.7549527646734642e+00,1.3246722111278972e+00,3.1415756133490360e+00,3.4067468095269393e-02,6.2831660889578380e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1032,C_e_gamma,polarization_cluster_02_local_minimum_1032,2.0739295733276433e+00,1.1208552232055076e+00,p,9.5522101677558890e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.8056353698847982e-01,1.8056353698847982e-01,0.0000000000000000e+00,1.3558887899939989e+00,1.1644263780909461e+00,1.8056353698847982e-01,1.7496737363625331e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,1.7549527646734642e+00,1.3246722111278972e+00,3.1415756133490360e+00,3.4067468095269393e-02,6.2831660889578380e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1032,C_e_gamma,polarization_cluster_02_local_minimum_1032,2.0739295733276433e+00,1.1208552232055076e+00,kp,1.7617990067107309e-01,1.3896805015196975e-01,-2.2960867705832233e-06,2.3739126328864414e-02,1.4098108060009393e-01,6.2831687847719691e+00,1.3558887899939989e+00,1.1644263780909461e+00,1.8056353698847982e-01,1.7496737363625331e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,1.7549527646734642e+00,1.3246722111278972e+00,3.1415756133490360e+00,3.4067468095269393e-02,6.2831660889578380e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1032,C_e_gamma,polarization_cluster_02_local_minimum_1032,2.0739295733276433e+00,1.1208552232055076e+00,pp,9.5417900932538235e-01,-1.7200886275035213e-01,2.9310724339265321e-06,-3.2039553116540359e-02,1.7496737363625331e-01,3.1415756133490360e+00,1.3558887899939989e+00,1.1644263780909461e+00,1.8056353698847982e-01,1.7496737363625331e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,1.7549527646734642e+00,1.3246722111278972e+00,3.1415756133490360e+00,3.4067468095269393e-02,6.2831660889578380e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1032,C_e_gamma,polarization_cluster_02_local_minimum_1032,2.0739295733276433e+00,1.1208552232055076e+00,qout,3.4067468095269393e-02,3.3040812598382367e-02,-6.3498566334330885e-07,8.3004267876759432e-03,3.4067468095269393e-02,6.2831660889578380e+00,1.3558887899939989e+00,1.1644263780909461e+00,1.8056353698847982e-01,1.7496737363625331e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,1.7549527646734642e+00,1.3246722111278972e+00,3.1415756133490360e+00,3.4067468095269393e-02,6.2831660889578380e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1044,C_e_gamma,polarization_cluster_02_local_minimum_1044,1.8656920616995560e+00,8.8934129192429923e-01,k,2.2873532860321458e-01,0.0000000000000000e+00,0.0000000000000000e+00,-2.0286980612679048e-01,2.0286980612679048e-01,0.0000000000000000e+00,1.4123488945661875e+00,1.1884228601664424e+00,2.0286980612679048e-01,1.1875610693860789e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.9860007842164751e-01,2.2814631729287358e+00,3.0992439221301260e+00,1.3422293876005018e-01,6.2483255204725578e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1044,C_e_gamma,polarization_cluster_02_local_minimum_1044,1.8656920616995560e+00,8.8934129192429923e-01,p,9.5968753156322784e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.0286980612679048e-01,2.0286980612679048e-01,0.0000000000000000e+00,1.4123488945661875e+00,1.1884228601664424e+00,2.0286980612679048e-01,1.1875610693860789e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.9860007842164751e-01,2.2814631729287358e+00,3.0992439221301260e+00,1.3422293876005018e-01,6.2483255204725578e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1044,C_e_gamma,polarization_cluster_02_local_minimum_1044,1.8656920616995560e+00,8.8934129192429923e-01,kp,1.0871220972766293e-01,-2.5360310982778453e-02,3.1208365012878447e-04,-3.3777893990684510e-03,2.5586172644074187e-02,3.1292872880101190e+00,1.4123488945661875e+00,1.1884228601664424e+00,2.0286980612679048e-01,1.1875610693860789e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.9860007842164751e-01,2.2814631729287358e+00,3.0992439221301260e+00,1.3422293876005018e-01,6.2483255204725578e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1044,C_e_gamma,polarization_cluster_02_local_minimum_1044,1.8656920616995560e+00,8.8934129192429923e-01,pp,9.4548771167858858e-01,-7.6309077109117052e-02,3.2335258635715841e-03,9.0936692244981687e-02,1.1875610693860789e-01,3.0992439221301260e+00,1.4123488945661875e+00,1.1884228601664424e+00,2.0286980612679048e-01,1.1875610693860789e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.9860007842164751e-01,2.2814631729287358e+00,3.0992439221301260e+00,1.3422293876005018e-01,6.2483255204725578e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1044,C_e_gamma,polarization_cluster_02_local_minimum_1044,1.8656920616995560e+00,8.8934129192429923e-01,qout,1.3422293876005018e-01,1.0166938809189550e-01,-3.5456095137003686e-03,-8.7558902845913236e-02,1.3422293876005018e-01,6.2483255204725578e+00,1.4123488945661875e+00,1.1884228601664424e+00,2.0286980612679048e-01,1.1875610693860789e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.9860007842164751e-01,2.2814631729287358e+00,3.0992439221301260e+00,1.3422293876005018e-01,6.2483255204725578e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1057,C_e_gamma,polarization_cluster_02_local_minimum_1057,1.7693326681619594e+00,7.4399554762849995e-01,k,2.1286206613614664e-01,0.0000000000000000e+00,0.0000000000000000e+00,-1.8478789702372359e-01,1.8478789702372359e-01,0.0000000000000000e+00,1.3663052461690817e+00,1.1688906048767274e+00,1.8478789702372359e-01,1.0093821932427041e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,8.2096646955494956e-01,2.0877045992151513e+00,2.9684161931127626e+00,1.1582907840982570e-01,6.1370018571713549e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1057,C_e_gamma,polarization_cluster_02_local_minimum_1057,1.7693326681619594e+00,7.4399554762849995e-01,p,9.5602853874058069e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.8478789702372359e-01,1.8478789702372359e-01,0.0000000000000000e+00,1.3663052461690817e+00,1.1688906048767274e+00,1.8478789702372359e-01,1.0093821932427041e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,8.2096646955494956e-01,2.0877045992151513e+00,2.9684161931127626e+00,1.1582907840982570e-01,6.1370018571713549e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1057,C_e_gamma,polarization_cluster_02_local_minimum_1057,1.7693326681619594e+00,7.4399554762849995e-01,kp,1.0964617566893728e-01,-2.6859947875453122e-02,1.9395443419209183e-03,-1.1548718257803202e-02,2.9301732466263032e-02,3.0695082329514110e+00,1.3663052461690817e+00,1.1688906048767274e+00,1.8478789702372359e-01,1.0093821932427041e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,8.2096646955494956e-01,2.0877045992151513e+00,2.9684161931127626e+00,1.1582907840982570e-01,6.1370018571713549e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1057,C_e_gamma,polarization_cluster_02_local_minimum_1057,1.7693326681619594e+00,7.4399554762849995e-01,pp,9.4341535079749173e-01,-7.2762202263626119e-02,1.2728195665191989e-02,6.8790835706584244e-02,1.0093821932427041e-01,2.9684161931127626e+00,1.3663052461690817e+00,1.1688906048767274e+00,1.8478789702372359e-01,1.0093821932427041e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,8.2096646955494956e-01,2.0877045992151513e+00,2.9684161931127626e+00,1.1582907840982570e-01,6.1370018571713549e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1057,C_e_gamma,polarization_cluster_02_local_minimum_1057,1.7693326681619594e+00,7.4399554762849995e-01,qout,1.1582907840982570e-01,9.9622150139079241e-02,-1.4667740007112908e-02,-5.7242117448781042e-02,1.1582907840982570e-01,6.1370018571713549e+00,1.3663052461690817e+00,1.1688906048767274e+00,1.8478789702372359e-01,1.0093821932427041e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,8.2096646955494956e-01,2.0877045992151513e+00,2.9684161931127626e+00,1.1582907840982570e-01,6.1370018571713549e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1066,C_e_gamma,polarization_cluster_02_local_minimum_1066,2.8803967492380331e+00,1.0096950472961626e+00,k,1.6500073679662070e-01,0.0000000000000000e+00,0.0000000000000000e+00,-1.2673417388427125e-01,1.2673417388427125e-01,0.0000000000000000e+00,1.2354847371527438e+00,1.1115236107041289e+00,1.2673417388427125e-01,9.3129209970895493e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.6546884394582406e-01,1.8917468463120892e+00,1.2066739631882681e+00,4.7632334973468006e-02,4.3154143058142616e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1066,C_e_gamma,polarization_cluster_02_local_minimum_1066,2.8803967492380331e+00,1.0096950472961626e+00,p,9.4652287390750811e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2673417388427125e-01,1.2673417388427125e-01,0.0000000000000000e+00,1.2354847371527438e+00,1.1115236107041289e+00,1.2673417388427125e-01,9.3129209970895493e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.6546884394582406e-01,1.8917468463120892e+00,1.2066739631882681e+00,4.7632334973468006e-02,4.3154143058142616e+00
max_c_e_gamma_mixing_angles_polarization_02_local_minimum_1066,C_e_gamma,polarization_cluster_02_local_minimum_1066,2.8803967492380331e+00,1.0096950472961626e+00,kp,1.2127945225843048e-01,-3.0019515058910748e-03,-1.2045601740590217e-02,-5.8231477678909072e-02,5.9540013661452222e-02,4.4681487403090738e+00,1.2354847371527438e+00,1.1115236107041289e+00,1.2673417388427125e-01,9.3129209970895493e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.6546884394582406e-01,1.8917468463120892e+00,1.2066739631882681e+00,4.7632334973468006e-02,4.3154143058142616e+00
