detail_id,selected_observable,selected_observable_label,selected_spin_case,selected_region,qOut_regime,cluster_id,energy_band_cluster_id,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,theta_p_out,theta_gamma_out,phi_p_out,qOut,phi_gamma_out
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_1,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_1,gradient_local_minimum,0,0,9.9999999952576946e-01,9.9999999999999989e-01,2.1432521219703422e+00,1.3421770053950071e+00,4.8796547642361805,0.8243357019936493,3.1401318323112166,6.283037851640351,0.9455779608841117,6.283026229038089
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_5,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_5,gradient_local_minimum,1,1,9.9999999894498037e-01,1.0000000000000000e+00,2.1670130582343736e+00,1.4001384746967966e+00,4.895707344314008,0.3705854136699396,3.140321774307444,6.283184465691716,1.9110998512367405,0.000666552915522235
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_6,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_6,gradient_local_minimum,2,2,9.9999999894038727e-01,1.0000000000000002e+00,2.1052479943368558e+00,1.3817317294625957e+00,4.267375011551706,0.6259681271774408,3.1400754279336716,0.00015759494676103114,1.3691164578216803,0.000885312680941801
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_9,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_9,gradient_local_minimum,3,3,9.9999999789722516e-01,1.0000000000000002e+00,1.0934459210322793e+00,1.4185632493990814e+00,4.340387982573516,0.6454052085364699,3.140895631908527,6.141492502244894e-05,1.5971504140069088,0.002177880517893305
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_10,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_10,gradient_local_minimum,4,4,9.9999999775374870e-01,1.0000000000000004e+00,1.9748613653503080e+00,1.7336844087953511e+00,3.8159236799946594,1.2885236309873975,3.1404060051710556,3.1416256434245264,0.80296908283735,3.141359851917533
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_11,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_11,gradient_local_minimum,5,5,9.9999999773710246e-01,9.9999999999999967e-01,1.0940925236081125e+00,1.7591636182726047e+00,2.9643466053619756,1.0821500739273275,3.1374069999384027,3.1413695100191723,0.2919423198207389,3.1413950432219937
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_15,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_15,gradient_local_minimum,6,6,9.9999999720410870e-01,1.0000000000000002e+00,9.2834844405471184e-01,1.7306452763558859e+00,4.999996037893489,0.28530093764803527,3.1398996941032435,3.1426824398998385,1.981613638566391,3.1440981457967956
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_18,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_18,gradient_local_minimum,7,7,9.9999999662230099e-01,9.9999999999999989e-01,2.2405131773379448e+00,1.4387692180292382e+00,4.841701792485319,0.2247428892171785,3.1390721158241592,0.00016099263439205418,1.9408671872770857,0.0006740685635586066
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_20,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_20,gradient_local_minimum,8,8,9.9999999557297203e-01,1.0000000000000002e+00,2.3139829357803365e+00,1.5938323786233688e+00,4.454264704728104,0.013546231907839915,3.1021224871845114,6.272667264469603,1.3982518536061366,6.272265526627539
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_22,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_22,gradient_local_minimum,9,9,9.9999999537528772e-01,1.0000000000000000e+00,2.2201895694814411e+00,1.4503503249768299e+00,4.275101287631154,0.2598476210816821,3.1386957357637786,0.0017500389980214764,1.661997982305903,0.0025521396582280113
