detail_id,selected_observable,selected_region,alpha_e,alpha_p,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,theta_p_out,theta_gamma_out,phi_p_out,qOut,phi_gamma_out
max_c_ep_mixing_angles_polarization_01_local_minimum_32,C_e_p,polarization_cluster_01_local_minimum_32,4.3736430905363027e-01,1.1013039600318744e+00,k,1.7905130621894962e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.7873928872964411e+00,1.7873928872964411e+00,0.0000000000000000e+00,1.4509099600598992e+01,3.8090812016284179e+00,1.7873928872964411e+00,1.6937489413891553e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,3.1409790612746389e+00,3.0953225527647650e+00,3.3917679705672756e+00,8.8078174797839498e-02,6.2828308697423392e+00
max_c_ep_mixing_angles_polarization_01_local_minimum_32,C_e_p,polarization_cluster_01_local_minimum_32,4.3736430905363027e-01,1.1013039600318744e+00,p,2.0185681394389214e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7873928872964411e+00,1.7873928872964411e+00,0.0000000000000000e+00,1.4509099600598992e+01,3.8090812016284179e+00,1.7873928872964411e+00,1.6937489413891553e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,3.1409790612746389e+00,3.0953225527647650e+00,3.3917679705672756e+00,8.8078174797839498e-02,6.2828308697423392e+00
max_c_ep_mixing_angles_polarization_01_local_minimum_32,C_e_p,polarization_cluster_01_local_minimum_32,4.3736430905363027e-01,1.1013039600318744e+00,kp,1.7848652537218563e+00,-3.0670139982453097e-03,2.5874031441405103e-04,1.7817325299014080e+00,1.7817351884133308e+00,3.0574296518703203e+00,1.4509099600598992e+01,3.8090812016284179e+00,1.7873928872964411e+00,1.6937489413891553e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,3.1409790612746389e+00,3.0953225527647650e+00,3.3917679705672756e+00,8.8078174797839498e-02,6.2828308697423392e+00
max_c_ep_mixing_angles_polarization_01_local_minimum_32,C_e_p,polarization_cluster_01_local_minimum_32,4.3736430905363027e-01,1.1013039600318744e+00,pp,1.9361377731083302e+00,-1.0069177491383939e-03,-2.5729636042552190e-04,-1.6937486225447134e+00,1.6937489413891553e+00,3.3917679705672756e+00,1.4509099600598992e+01,3.8090812016284179e+00,1.7873928872964411e+00,1.6937489413891553e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,3.1409790612746389e+00,3.0953225527647650e+00,3.3917679705672756e+00,8.8078174797839498e-02,6.2828308697423392e+00
max_c_ep_mixing_angles_polarization_01_local_minimum_32,C_e_p,polarization_cluster_01_local_minimum_32,4.3736430905363027e-01,1.1013039600318744e+00,qout,8.8078174797839498e-02,4.0739317473837038e-03,-1.4439539885291089e-06,-8.7983907356694646e-02,8.8078174797839512e-02,6.2828308697423392e+00,1.4509099600598992e+01,3.8090812016284179e+00,1.7873928872964411e+00,1.6937489413891553e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,3.1409790612746389e+00,3.0953225527647650e+00,3.3917679705672756e+00,8.8078174797839498e-02,6.2828308697423392e+00
max_c_ep_mixing_angles_polarization_01_local_minimum_33,C_e_p,polarization_cluster_01_local_minimum_33,1.2215927916044669e+00,3.7866650922647144e-01,k,1.5192373585827554e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5155587944386086e+00,1.5155587944386086e+00,0.0000000000000000e+00,1.0900462298054006e+01,3.3015848161230097e+00,1.5155587944386086e+00,1.4349653698332858e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,3.0655398404291301e+00,3.0616319127288496e+00,3.1494950944780808e+00,7.4291893436981782e-02,3.1411887739428019e+00
max_c_ep_mixing_angles_polarization_01_local_minimum_33,C_e_p,polarization_cluster_01_local_minimum_33,1.2215927916044669e+00,3.7866650922647144e-01,p,1.7823474575402543e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5155587944386086e+00,1.5155587944386086e+00,0.0000000000000000e+00,1.0900462298054006e+01,3.3015848161230097e+00,1.5155587944386086e+00,1.4349653698332858e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,3.0655398404291301e+00,3.0616319127288496e+00,3.1494950944780808e+00,7.4291893436981782e-02,3.1411887739428019e+00
max_c_ep_mixing_angles_polarization_01_local_minimum_33,C_e_p,polarization_cluster_01_local_minimum_33,1.2215927916044669e+00,3.7866650922647144e-01,kp,1.5129505961301326e+00,1.1495868050204179e-01,8.5918152435761797e-04,1.5048719472438719e+00,1.5092567091178442e+00,7.4736898833558784e-03,1.0900462298054006e+01,3.3015848161230097e+00,1.5155587944386086e+00,1.4349653698332858e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,3.0655398404291301e+00,3.0616319127288496e+00,3.1494950944780808e+00,7.4291893436981782e-02,3.1411887739428019e+00
max_c_ep_mixing_angles_polarization_01_local_minimum_33,C_e_p,polarization_cluster_01_local_minimum_33,1.2215927916044669e+00,3.7866650922647144e-01,pp,1.7143423265558075e+00,-1.0902457436970901e-01,-8.6157818917786716e-04,-1.4308174280764498e+00,1.4349653698332860e+00,3.1494950944780804e+00,1.0900462298054006e+01,3.3015848161230097e+00,1.5155587944386086e+00,1.4349653698332858e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,3.0655398404291301e+00,3.0616319127288496e+00,3.1494950944780808e+00,7.4291893436981782e-02,3.1411887739428019e+00
max_c_ep_mixing_angles_polarization_01_local_minimum_33,C_e_p,polarization_cluster_01_local_minimum_33,1.2215927916044669e+00,3.7866650922647144e-01,qout,7.4291893436981782e-02,-5.9341061323327721e-03,2.3966648202491485e-06,-7.4054519167421951e-02,7.4291893436981782e-02,3.1411887739428019e+00,1.0900462298054006e+01,3.3015848161230097e+00,1.5155587944386086e+00,1.4349653698332858e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,3.0655398404291301e+00,3.0616319127288496e+00,3.1494950944780808e+00,7.4291893436981782e-02,3.1411887739428019e+00
