detail_id,selected_observable,selected_region,incoming_state,alpha_e,alpha_p,final_state_order,final_ket,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction,decomposition_rank,retained_fraction_total
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_0,C_p_gamma,polarization_cluster_01_local_minimum_0,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,0.0000000000000000e+00,8.6490895591441386e-01,p_gamma_lepton,|+1-1+1>,6,1,1,-1,1.1936417780458715e+00,0.0000000000000000e+00,1.1936417780458715e+00,0.0000000000000000e+00,1.4247806942965096e+00,5.0000001296205421e-01,1,1.0000000000000000e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_0,C_p_gamma,polarization_cluster_01_local_minimum_0,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,0.0000000000000000e+00,8.6490895591441386e-01,p_gamma_lepton,|-1+1+1>,5,1,-1,1,-1.1936417471017731e+00,0.0000000000000000e+00,1.1936417471017731e+00,3.1415926535897931e+00,1.4247806204241731e+00,4.9999998703794574e-01,2,1.0000000000000000e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_1,C_p_gamma,polarization_cluster_01_local_minimum_1,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,0.0000000000000000e+00,2.2968027783156519e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-2.4202705791975103e+00,2.9639766178847416e-16,2.4202705791975103e+00,3.1415926535897931e+00,5.8577096765290522e+00,5.0000051327413753e-01,1,1.0000000000000000e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_1,C_p_gamma,polarization_cluster_01_local_minimum_1,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,0.0000000000000000e+00,2.2968027783156519e+00,p_gamma_lepton,|-1+1+1>,5,1,-1,1,-2.4202680946741975e+00,-2.9639735752212190e-16,2.4202680946741975e+00,-3.1415926535897931e+00,5.8576976500978697e+00,4.9999948672586247e-01,2,1.0000000000000000e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_3,C_p_gamma,polarization_cluster_01_local_minimum_3,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0712526846498855e-04,2.3528343153149627e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-1.8846249402381147e+01,3.1277440648126152e+01,3.6516563502523148e+01,2.1130893638422510e+00,1.3334594100338061e+03,5.0000008964028586e-01,1,9.9999998852758676e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_3,C_p_gamma,polarization_cluster_01_local_minimum_3,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0712526846498855e-04,2.3528343153149627e+00,p_gamma_lepton,|-1+1+1>,5,1,-1,1,-3.6516556536880252e+01,-1.6815037375708483e-07,3.6516556536880252e+01,-3.1415926489850223e+00,1.3334589013111718e+03,4.9999989888730084e-01,2,9.9999998852758676e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_4,C_p_gamma,polarization_cluster_01_local_minimum_4,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,0.0000000000000000e+00,2.3261676861073051e+00,p_gamma_lepton,|-1+1+1>,5,1,-1,1,-2.1374414734956346e+00,-2.6176108588812311e-16,2.1374414734956346e+00,-3.1415926535897931e+00,4.5686560526191897e+00,5.0000087511457980e-01,1,1.0000000000000000e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_4,C_p_gamma,polarization_cluster_01_local_minimum_4,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,0.0000000000000000e+00,2.3261676861073051e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-2.1374377324865148e+00,2.6176062774663872e-16,2.1374377324865148e+00,3.1415926535897931e+00,4.5686400602570938e+00,4.9999912488542025e-01,2,1.0000000000000000e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_5,C_p_gamma,polarization_cluster_01_local_minimum_5,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.9748284665453952e-06,2.3074238633004742e+00,p_gamma_lepton,|-1+1+1>,5,1,-1,1,-9.0745022998923186e-01,-1.7242881638526478e-01,9.2368696896055280e-01,-2.9538165903754208e+00,8.5319761662753302e-01,5.0000082890969277e-01,1,9.9999999994268363e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_5,C_p_gamma,polarization_cluster_01_local_minimum_5,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.9748284665453952e-06,2.3074238633004742e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,3.6697810238057550e-02,-9.2295615191787561e-01,9.2368543760271604e-01,-1.5310560971533898e+00,8.5319478763932144e-01,4.9999917103299085e-01,2,9.9999999994268363e-01
