detail_id,selected_observable,selected_region,alpha_e,alpha_p,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,theta_p_out,theta_gamma_out,phi_p_out,qOut,phi_gamma_out
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_0,C_p_gamma,polarization_cluster_01_local_minimum_0,0.0000000000000000e+00,8.6490895591441386e-01,k,1.5054925661191452e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5017803349114376e+00,1.5017803349114376e+00,0.0000000000000000e+00,1.0733085601112634e+01,3.2761388250671910e+00,1.5017803349114376e+00,2.6086895855931647e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.8883851363029036e+00,1.0186575123397381e+00,5.2375537950495907e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_0,C_p_gamma,polarization_cluster_01_local_minimum_0,0.0000000000000000e+00,8.6490895591441386e-01,p,1.7706462589480456e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5017803349114376e+00,1.5017803349114376e+00,0.0000000000000000e+00,1.0733085601112634e+01,3.2761388250671910e+00,1.5017803349114376e+00,2.6086895855931647e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.8883851363029036e+00,1.0186575123397381e+00,5.2375537950495907e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_0,C_p_gamma,polarization_cluster_01_local_minimum_0,0.0000000000000000e+00,8.6490895591441386e-01,kp,1.2838814906542926e+00,-0.0000000000000000e+00,0.0000000000000000e+00,-1.2795264708990546e+00,1.2795264708990546e+00,3.1415926535897931e+00,1.0733085601112634e+01,3.2761388250671910e+00,1.5017803349114376e+00,2.6086895855931647e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.8883851363029036e+00,1.0186575123397381e+00,5.2375537950495907e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_0,C_p_gamma,polarization_cluster_01_local_minimum_0,0.0000000000000000e+00,8.6490895591441386e-01,pp,9.7359982207261231e-01,0.0000000000000000e+00,-0.0000000000000000e+00,2.6086895855931647e-01,2.6086895855931647e-01,0.0000000000000000e+00,1.0733085601112634e+01,3.2761388250671910e+00,1.5017803349114376e+00,2.6086895855931647e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.8883851363029036e+00,1.0186575123397381e+00,5.2375537950495907e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_0,C_p_gamma,polarization_cluster_01_local_minimum_0,0.0000000000000000e+00,8.6490895591441386e-01,qout,1.0186575123397381e+00,0.0000000000000000e+00,-0.0000000000000000e+00,1.0186575123397381e+00,1.0186575123397381e+00,0.0000000000000000e+00,1.0733085601112634e+01,3.2761388250671910e+00,1.5017803349114376e+00,2.6086895855931647e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.8883851363029036e+00,1.0186575123397381e+00,5.2375537950495907e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_1,C_p_gamma,polarization_cluster_01_local_minimum_1,0.0000000000000000e+00,2.2968027783156519e+00,k,1.4488724895898597e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4450148091895181e+00,1.4450148091895181e+00,0.0000000000000000e+00,1.0059270656339963e+01,3.1716353283976333e+00,1.4450148091895181e+00,4.2877279960966830e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0781630449953585e+00,8.5358177316960870e-01,4.4175375610885013e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_1,C_p_gamma,polarization_cluster_01_local_minimum_1,0.0000000000000000e+00,2.2968027783156519e+00,p,1.7227628388077736e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4450148091895181e+00,1.4450148091895181e+00,0.0000000000000000e+00,1.0059270656339963e+01,3.1716353283976333e+00,1.4450148091895181e+00,4.2877279960966830e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0781630449953585e+00,8.5358177316960870e-01,4.4175375610885013e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_1,C_p_gamma,polarization_cluster_01_local_minimum_1,0.0000000000000000e+00,2.2968027783156519e+00,kp,1.2867000204559031e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2823545727792771e+00,1.2823545727792771e+00,0.0000000000000000e+00,1.0059270656339963e+01,3.1716353283976333e+00,1.4450148091895181e+00,4.2877279960966830e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0781630449953585e+00,8.5358177316960870e-01,4.4175375610885013e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_1,C_p_gamma,polarization_cluster_01_local_minimum_1,0.0000000000000000e+00,2.2968027783156519e+00,pp,1.0313535347712310e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,4.2877279960966830e-01,4.2877279960966830e-01,3.1415926535897931e+00,1.0059270656339963e+01,3.1716353283976333e+00,1.4450148091895181e+00,4.2877279960966830e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0781630449953585e+00,8.5358177316960870e-01,4.4175375610885013e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_1,C_p_gamma,polarization_cluster_01_local_minimum_1,0.0000000000000000e+00,2.2968027783156519e+00,qout,8.5358177316960870e-01,-0.0000000000000000e+00,-0.0000000000000000e+00,8.5358177316960870e-01,8.5358177316960870e-01,3.1415926535897931e+00,1.0059270656339963e+01,3.1716353283976333e+00,1.4450148091895181e+00,4.2877279960966830e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0781630449953585e+00,8.5358177316960870e-01,4.4175375610885013e+00
