lepton,kinematic_point,s_regime,theta_p_gamma_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,qOut,theta_p_out,phi_p_out,theta_gamma_out,phi_gamma_out,theta_lepton_out,phi_lepton_out,cos_p_gamma_out,Q2,xB,t,F1,F2,W2,y,theta_lepton_gamma_rad,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,reference_name,search_stage,sample_id,alpha_e,alpha_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_trace,lepton_muon_alpha_e_mix_proton_alpha_p_mix_spin_signal_M2,lepton_muon_alpha_e_mix_proton_alpha_p_mix_cross_section_ratio,lepton_muon_alpha_e_mix_proton_alpha_p_mix_purity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M2_magic,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_out_mean,lepton_muon_alpha_e_mix_proton_alpha_p_mix_lambda_mean,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_lambda,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_lambda_connected,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_p_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_p_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_gamma_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_D_W,lepton_muon_alpha_e_mix_proton_alpha_p_mix_dGHZ,lepton_muon_alpha_e_mix_proton_alpha_p_mix_F3,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_e,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_plus_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_minus_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_phase_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_abs,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_phase_rad,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_visibility,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_purity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_subspace_max_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_max_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_purity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_one_minus_C_p_gamma,optimization_run,start_source,screening_one_minus_C_p_gamma,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_one_minus_C_p_gamma,lbfgs_one_minus_C_p_gamma,final_one_minus_C_p_gamma,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_one_minus_C_p_gamma,local_minimum_verified,initial_C_p_gamma,lbfgs_C_p_gamma,final_C_p_gamma,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7,local_minimum_id,one_minus_C_p_gamma_above_global_minimum,within_polarization_cluster_cut,polarization_cluster_id,polarization_cluster_size,polarization_cluster_distance,polarization_cluster_representative,polarization_configuration,polarization_alpha_e_region,polarization_clustering_scheme
muon,gradient_local_minimum_0008,gradient,gradient,gradient,0.1056583755,14.288007845824657,3.7799481273986624,1.7719203117913467,0.45346136354147076,0.0,0.0,3.141592653589793,0.0,1.1405646889769903,0.0,1.264888867924691,0.0,1.9932873361384191,3.141592653589793,0.0,1.0,0.00012458742270921724,9.281382875114935e-05,-0.8109246524728925,0.28542717592432165,0.3542192799539458,2.222056264591645,0.1001968229180417,3.141592653589793,180.0,4.045569260504679,3.6401692279796842,4.045569260504679,3.6401692279796842,False,,gradient,1192000477,1.5707933467425512,2.4088937194557056,1.0000000000000002,4.013957289545337,0.9889324521057355,1.0000000000000002,4.049560686862746e-11,-0.9999999999818411,2.0438532968524824e-06,-2.043849517939833e-06,3.778875535122799e-12,1.8261125076340337e-16,0.0,0.9999999999978118,6.306202402561554e-07,0.9999999999979112,0.9999999999979112,0.9999999999992704,1.4142130474723715,7.281775306710133e-07,3.976818874207311e-13,1.9895196601282805e-13,1.9895196601282805e-13,8.336818796884423e-33,8.33672937929397e-33,8.336818796884423e-33,1.6673548176178393e-32,4.470879522552432e-38,2.449293598294707e-16,5.36284116051556e-06,8.336818796884423e-33,0.6666666666599175,0.9999999999909204,0.9999999999909202,5.986733109930547e-12,9.079487348089813e-12,9.079487348089813e-12,0.6666666666599175,2.1882495815361835e-12,1192,sobol_screened,0.046683440620508,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,575,144,0.0010067268738108456,0.046683440620508,9.709360648813004e-09,2.1882495815361835e-12,20,6,False,1e-05,2.1882495815361835e-12,True,0.953316559379492,0.9999999902906394,0.9999999999978118,0.6615947196260095,0.08935448806732893,0.23365392349660397,0.5186168430373073,0.16807302925735712,0.300782123580575,0.5676295598968863,0.7436180533841252,0.6874994167598076,0.0,0.0,0.6350361097171764,0.20131331579212614,0.31724153254890575,0.49999905141987716,0.7667746856687938,8,2.187916514628796e-12,True,1,784,9.48580122865656e-07,True,alpha_e~pi/2,around pi/2,CPGAMMA nearest fixed alpha_e quarter-pi center
muon,gradient_local_minimum_0012,gradient,gradient,gradient,0.1056583755,23.78772821835718,4.8772664698945025,2.3472023401797824,0.5666689129799873,0.0,0.0,3.141592653589793,0.0,1.6060739527031025,0.0,5.837978110224832,5.665897549553135e-06,6.143069983918171,3.1415884654090838,3.0014773303283775,0.9999999999839488,6.647948549047891e-05,3.9106094365794375e-05,-1.1202334066892008,0.21237223469144095,0.2374064265936914,2.5797551472403253,0.07424546344059077,3.141591175893395,179.99991533423298,7.543378527673935,6.983295064070681,7.543378527673935,6.983295064070681,False,,gradient,1096000520,1.5708213521792522,2.3947311014134365,1.0,1.4404204143551593,0.9940711600212526,1.0,0.07326291503544523,-0.9999999987368885,1.5614546312962275e-08,-1.5421587683169535e-08,1.9295861006982597e-10,5.1101774704327825e-09,5.111676893539926e-09,0.9999999999962241,3.850443905687283e-06,0.9999999999999306,0.9999999999999306,0.9999999931841718,1.4142104184996356,4.446109650922472e-06,1.4825866027689897e-11,7.41295913542217e-12,7.41295913542217e-12,7.904707264244545e-18,5.3014940171872235e-18,7.957542390776668e-18,1.320620128143177e-17,1.3544417500607829e-18,-0.2802322985566584,0.20512208184577044,7.904707264244545e-18,0.653663885921546,0.9999999993683749,0.9999999993683751,4.0453981845973873e-10,6.316251261165939e-10,6.31625126116594e-10,0.653663885921546,3.775868506750157e-12,1096,sobol_screened,0.026023817059201315,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,572,180,0.002303358588134779,0.026023817059201315,1.9944149454165228e-07,3.775868506750157e-12,18,4,False,1e-05,3.2029934260435766e-13,True,0.9739761829407987,0.9999998005585055,0.9999999999962241,0.9675604477524757,0.04321030154824257,0.04621580429375172,0.673860770650208,0.9305088445544243,0.9800484916195273,0.47734359093010426,0.7279746644198895,0.9685633860310232,0.0,1.803511204127277e-06,0.6738951141134398,0.9291430739045639,0.9776999537000269,0.5000079658272459,0.7622665843316947,12,3.77553543984277e-12,True,1,784,7.965827245959015e-06,False,alpha_e~pi/2,around pi/2,CPGAMMA nearest fixed alpha_e quarter-pi center
muon,gradient_local_minimum_0016,gradient,gradient,gradient,0.1056583755,15.028326488417424,3.8766385552972853,1.8232199067321178,1.4327565604238168,0.0,0.0,3.141592653589793,0.0,0.36414219825537425,0.0,3.890034638080028,0.0,3.2314519189629407,3.141592653589793,0.0,1.0,2.352758761424412e-06,1.1548376561940868e-05,-0.03830833848293255,0.907053003167971,1.587868641581487,1.0835723403655209,0.014410843814346442,3.141592653589793,180.0,1.3289365080475124,1.3097835151853123,1.3289365080475124,1.3097835151853123,False,,gradient,1304000538,1.5707228989355133,2.363451094413619,1.0,1299.7647434735898,0.9997893319712544,1.0000000000000002,2.1587376563963388e-08,-0.9999999892121546,-3.4182662344128672e-06,3.4185793268293324e-06,3.131292921928054e-10,0.0,0.0,0.9999999999930211,2.131907835299281e-06,0.9999999999941577,0.9999999999941577,0.9999999999976736,1.4142118216737731,2.4617151252710118e-06,4.545031018210466e-12,2.2730706206175455e-12,2.2730706206175455e-12,1.4541423827596436e-31,1.4537214994466722e-31,1.4541423827596436e-31,2.907863882206316e-31,2.1044165648568572e-35,-2.449293598294706e-16,0.0001447396886583391,1.4541423827596436e-31,0.6666666630687708,0.9999999946060774,0.9999999946060772,3.5951910744594315e-09,5.393922699442871e-09,5.393922699442871e-09,0.6666666630687708,6.978861932793734e-12,1304,sobol_screened,0.06805055788005965,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,687,234,0.010582920545324432,0.06805055788005965,1.6433615235289523e-07,6.978861932793734e-12,21,7,False,1e-05,3.2621683132560975e-12,True,0.9319494421199404,0.9999998356638476,0.9999999999930211,0.5285474080592394,0.023650621064007282,0.3552260249853134,0.517650100402534,0.6038038888946176,0.4966284818947315,0.22496094275265932,0.7560669928789139,0.7122654253129018,0.0,0.0,0.16057382417135005,0.6191182414491285,0.5143015462667428,0.499976627186437,0.7523098488637546,16,6.9785288658863465e-12,True,1,784,2.337281356300043e-05,False,alpha_e~pi/2,around pi/2,CPGAMMA nearest fixed alpha_e quarter-pi center
muon,gradient_local_minimum_0017,gradient,gradient,gradient,0.1056583755,10.302618531880267,3.2097692334310057,1.4657632136833882,0.4104318870908714,0.0,0.0,3.141592653589793,0.0,0.8855865742087357,3.699459061124101e-06,0.5093319208087929,0.0,5.62298689411394,3.14159148197563,3.650924574398586,0.999999999993157,0.0001683337754478445,0.00015490882659692065,-0.6005835170794772,0.3614609202556449,0.4846710687528124,1.9663392163000823,0.11545988976798024,3.141591482070394,179.9999328768828,2.5994885229365847,2.299280931284633,2.5994885229365847,2.299280931284633,False,,gradient,1203000452,1.5708175340565758,2.4174007072054864,1.0,9.464484687104385,0.9850899011363936,1.0000000000000002,1.9285193460782644e-09,-0.9999999990749211,5.725159508644616e-07,-5.722933069714266e-07,2.2264336341259405e-10,4.027901720782448e-09,4.028693985097156e-09,0.9999999999929512,5.214576144206186e-06,0.9999999999998154,0.9999999999998153,0.9999999946265866,1.4142093046909274,6.0212738809995645e-06,2.7191771909356757e-11,1.372835178869991e-11,1.3728129744094986e-11,4.6474673023375856e-12,4.655484801975351e-12,4.66038829078451e-12,9.302952104312937e-12,8.912238628042212e-15,2.0373408476891437,0.0019160022599515295,4.6474673023375856e-12,0.6666666663945093,0.9999999995179533,0.9999999995179533,2.511107845573479e-10,4.727438703714382e-10,4.72743870371438e-10,0.6666666663945093,7.048805983345119e-12,1203,sobol_screened,0.04898046540882817,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,552,153,0.0006623936127182591,0.04898046540882817,3.887088328990984e-08,7.048805983345119e-12,18,4,False,1e-05,1.8217649611074194e-12,True,0.9510195345911718,0.9999999611291167,0.9999999999929512,0.3335567433387041,0.047516485676169395,0.3077196255326271,0.5527878347784281,0.005702436901628971,0.9464259389787912,0.48287244513630867,0.8075441680848598,0.541455432141161,1.1775743926880057e-06,0.0,0.5968875099284561,0.08106269287120918,0.8949261591391775,0.5000067504810514,0.7694825439711935,17,7.048472916437731e-12,True,1,784,6.750481051376461e-06,False,alpha_e~pi/2,around pi/2,CPGAMMA nearest fixed alpha_e quarter-pi center
muon,gradient_local_minimum_0021,gradient,gradient,gradient,0.1056583755,13.780700331299194,3.71223656725958,1.7359034451613269,0.8193085313426713,0.0,0.0,3.141592653589793,0.0,0.8220474718134826,1.958765969888105e-05,4.468385805055778,0.0,3.614483908330285,3.1415828761113755,1.326793151465985,0.9999999998081618,3.48885435092882e-05,4.9796054792089664e-05,-0.31062119722967585,0.5396476549613876,0.8120134720037555,1.5804377788269508,0.054355731125143636,3.1415828761113755,179.9994397917524,2.8566309498183085,2.701337795475446,2.8566309498183085,2.701337795475446,False,,gradient,1581000557,1.5707487659943358,2.384125939915274,1.0000000000000002,46.9804353769449,0.9968825982945766,1.0000000000000002,1.981499450834549e-08,-0.9999999954544662,3.6246141974754304e-07,-3.6195538179768155e-07,5.060363022808228e-10,1.7070632474535686e-08,1.70620198718402e-08,0.9999999999907315,5.3156433434843925e-06,0.999999999998074,0.9999999999980739,0.9999999772418089,1.4142092221685862,6.137976230404436e-06,2.8255481636114745e-11,1.4684586879809558e-11,1.4684364835204633e-11,6.454260679154956e-10,6.450134110949615e-10,6.455882801400955e-10,1.2904394790104572e-09,3.68540634866928e-13,-0.976588502826597,0.0005711862367222903,6.454260679154956e-10,0.6666666637410387,0.9999999950464993,0.9999999950465,1.5745936073931694e-09,3.6630610255000707e-09,3.6630610255000707e-09,0.6666666637410387,9.268474876478194e-12,1581,sobol_screened,0.12134787220238508,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,679,198,0.001279832406084121,0.12134787220238508,3.6742705655790076e-08,9.268474876478194e-12,22,8,False,1e-05,9.088174657279069e-12,True,0.8786521277976149,0.9999999632572943,0.9999999999907315,0.5923158759251237,0.15119515359401703,0.04176865890622139,0.4526140224188566,0.7679529599845409,0.579831282608211,0.710150308907032,0.8005748875439167,0.6701559721811353,6.234945729357651e-06,0.0,0.45357426820598523,0.7111656885162854,0.575262980736878,0.4999848609269867,0.7588908565822539,21,9.268141809570807e-12,True,1,784,1.5139073013313879e-05,False,alpha_e~pi/2,around pi/2,CPGAMMA nearest fixed alpha_e quarter-pi center
muon,gradient_local_minimum_0022,gradient,gradient,gradient,0.1056583755,17.950274934157857,4.236776479135742,2.013100730712258,1.5851072756478481,0.0,0.0,3.141592653589793,0.0,0.4035074585456756,0.0,0.7804902267013103,0.0,2.929191825982403,3.141592653589793,0.0,1.0,1.6673156139096913e-06,8.047031336875067e-06,-0.03949530120927636,0.9045134118240894,1.5820798238662135,1.087038694188447,0.012145677687481954,3.141592653589793,180.0,1.6257203793734099,1.60597356242681,1.6257203793734099,1.60597356242681,False,,gradient,1785000737,1.5707683909888261,0.779285699575383,1.0,1252.3381170418493,0.9998506118544153,1.0,3.1415605721782746e-09,-0.9999999984387151,4.357879904123805e-06,-4.357841744387394e-06,3.815293251923019e-11,3.0541594563485988e-15,3.0541564917332834e-15,0.9999999999903878,6.828569911354541e-07,0.9999999999905045,0.9999999999905045,0.9999999999967918,1.4142130048160093,7.884953355938837e-07,4.662936703425656e-13,2.333688797762079e-13,2.333688797762079e-13,2.3317505098878914e-30,2.3320079154330056e-30,2.3320079154330056e-30,4.663758425320897e-30,1.2870277255716247e-34,-3.141592653589793,5.519272690386269e-05,2.3317505098878914e-30,3.1651324829870452e-12,0.9999999992193576,0.9999999992193571,7.77342106731469e-14,7.806424633117376e-10,7.806424633117376e-10,3.1651324829870452e-12,9.612199924902143e-12,1785,sobol_screened,0.15305832973973588,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,23,900,378,0.14622883104204348,0.15305832973973588,5.5655573313107e-05,9.612199924902143e-12,24,10,False,1e-05,5.171640893308904e-12,True,0.8469416702602641,0.9999443444266869,0.9999999999903878,0.4806241514161229,0.04912521969527006,0.060762894339859486,0.7342070499435067,0.10249671898782253,0.5376754095777869,0.20286070182919502,0.17328311316668987,0.8045101189802869,0.0,0.0,0.1608248221359343,0.12421887761442753,0.46619535836947434,0.49999110775674926,0.24805434233649584,22,9.611866857994755e-12,True,1,784,8.892243250725156e-06,False,alpha_e~pi/2,around pi/2,CPGAMMA nearest fixed alpha_e quarter-pi center
muon,gradient_local_minimum_0023,gradient,gradient,gradient,0.1056583755,16.678442407635014,4.083924877814847,1.9327229098135954,0.6136610524721178,0.0,0.0,3.141592653589793,0.0,1.173119713366721,0.0,4.280480847374774,3.977641244716027e-05,3.6846040148907067,3.14156653819202,0.5430113613009133,0.9999999992089185,6.863403136923504e-05,5.766693099250267e-05,-0.684346932928638,0.3276222863018099,0.4257204384881238,2.069955425631565,0.07538780562670273,3.1415789925972493,179.99921728278326,4.538016218707996,4.195877069258517,4.538016218707996,4.195877069258517,False,,gradient,1789000555,1.5708202276843866,2.3953473751622454,0.9999999999999998,6.6140452348587715,0.9938832677102561,0.9999999999999996,0.18633473346005874,-0.999999998816448,1.0489644609447245e-06,-1.0487771441446293e-06,1.8731555859118134e-10,4.4293233428689505e-08,4.4306742212781265e-08,0.9999999999899698,3.862908694853773e-06,0.9999999999937006,0.9999999999937007,0.9999999409300063,1.4142104083177793,4.460502749823754e-06,1.4918138606843805e-11,7.459588502456427e-12,7.459810547061352e-12,5.897073079447688e-16,4.2397217204118205e-16,6.846519643561553e-16,1.0136794799859508e-15,1.7781222436317995e-16,1.0859868850040295,0.35082534050239306,5.897073079447688e-16,0.4886698308945789,0.9999999994024477,0.9999999994024477,3.1384831363485953e-10,5.975514269451102e-10,5.975514269451098e-10,0.4886698308945789,1.0030198893673514e-11,1789,sobol_screened,0.1536359873464357,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,657,180,0.0015841898073296753,0.1536359873464357,3.353734810973563e-07,1.0030198893673514e-11,22,8,False,1e-05,4.400368958101808e-12,True,0.8463640126535643,0.9999996646265189,0.9999999999899698,0.7567561492323875,0.1317378180101514,0.04736447334289551,0.5050615482032299,0.6939278626814485,0.582237059250474,0.6371405813843012,0.8340970054268837,0.7653591487349544,0.0,1.26612253188551e-05,0.5943657877168743,0.68125968566988,0.5864229423060995,0.5000076078894132,0.7624627503585361,23,1.0029865826766127e-11,True,1,784,7.607889413254149e-06,False,alpha_e~pi/2,around pi/2,CPGAMMA nearest fixed alpha_e quarter-pi center
muon,gradient_local_minimum_0026,gradient,gradient,gradient,0.1056583755,20.782979247551587,4.558835295067325,2.1815861594318826,0.863999078791351,0.0,0.0,3.141592653589793,0.0,1.2084324233453927,0.0,0.026341461353261732,0.0,4.68810859500606,3.141592653589793,0.0,1.0,2.9347296882214005e-05,2.9523281835948824e-05,-0.5273283562496118,0.3960671390806219,0.5461857331691921,1.8738537654713827,0.04997187483442274,3.141592653589793,180.0,5.275689004992509,5.012039500515625,5.275689004992509,5.012039500515625,False,,gradient,541000529,1.5707651260296638,2.3818143717199463,1.0,13.451584027379965,0.9973765706332511,1.0,3.93182598364098e-09,-0.9999999980427821,-4.170037970071714e-06,4.1702379406070485e-06,1.9997869700746565e-10,0.0,0.0,0.9999999999887446,3.200455846468077e-06,0.9999999999913053,0.9999999999913053,0.9999999999962481,1.4142109492062946,3.6955680887928674e-06,1.0242917625191696e-11,5.121458812595847e-12,5.121458812595847e-12,4.953917249561527e-34,4.953329915282581e-34,4.953917249561527e-34,9.907247164844108e-34,2.9366713947257427e-38,-2.4492935982947054e-16,5.928329728456818e-05,4.953917249561527e-34,0.6666666660113625,0.999999999021391,0.999999999021391,6.506988964577242e-10,9.786089385866964e-10,9.786089385866964e-10,0.6666666660113625,1.1255441023649837e-11,541,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,649,198,0.0023188358699030207,0.6042212417436867,1.7181690692424922e-07,1.1255441023649837e-11,21,7,False,1e-05,3.8088421305815245e-12,True,0.39577875825631326,0.9999998281830931,0.9999999999887446,0.5064216615877669,0.2798738764618961,0.006760085000762188,0.3735950275214787,0.004015784879447469,0.7548487275799087,0.4076368432353313,0.5987755012830952,0.8870013392934674,0.0,0.0,0.5362859963412288,0.0041923737826357315,0.7461356566468149,0.4999900684879699,0.758155061573093,26,1.125510795674245e-11,True,1,784,9.931512030091797e-06,False,alpha_e~pi/2,around pi/2,CPGAMMA nearest fixed alpha_e quarter-pi center
muon,gradient_local_minimum_0027,gradient,gradient,gradient,0.1056583755,10.246045993488352,3.2009445470811193,1.4609653542934222,0.8406611450054017,0.0,0.0,3.141592653589793,0.0,0.5483426443706693,0.0,2.679454214890576,0.0,3.5689100004419836,3.141592653589793,0.0,1.0,2.8332282889637767e-05,6.166480385029716e-05,-0.1576505251475052,0.7050982883803268,1.1411149107373928,1.3392719721338024,0.04911324674736841,3.141592653589793,180.0,1.604311507794518,1.5255004113625463,1.604311507794518,1.5255004113625463,False,,gradient,1970000392,1.5708648101010456,2.381369741084904,1.0,172.74581298277974,0.9974669479141987,1.0,1.8855303718493633e-08,-0.9999999905724333,-4.1231994855589523e-07,4.132665190784142e-07,9.465744096928215e-10,8.240326146045571e-16,8.241753396561694e-16,0.9999999999880049,6.902197919538402e-06,0.999999999999915,0.999999999999915,0.9999999999960005,1.41420792675484,7.969971653522354e-06,4.764033612048024e-11,2.382005703793766e-11,2.382005703793766e-11,1.6976877964213347e-31,1.698130061766583e-31,1.698130061766583e-31,3.3958178581879177e-31,2.2113267262412348e-35,3.141592653589793,0.00013023824118889857,1.6976877964213347e-31,0.6666666635241161,0.9999999952862166,0.9999999952862169,3.134582202460452e-09,4.713783393779111e-09,4.713783393779111e-09,0.6666666635241161,1.1995071602655116e-11,1970,sobol_screened,0.18474291556393885,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,545,153,0.0007491494976610391,0.18474291556393885,9.563956848701594e-09,1.1995071602655116e-11,18,4,False,1e-05,1.1995071602655116e-11,True,0.8152570844360612,0.9999999904360432,0.9999999999880049,0.26169839780777693,0.058423941023647785,0.44004461634904146,0.5005783308297396,0.4451123485341668,0.4920714385807514,0.12552942615002394,0.6100687123835087,0.5391951023197974,0.0,0.0,0.35091357108170873,0.4264483830882487,0.5680096680204401,0.5000217989133858,0.7580135312462588,27,1.1994738535747729e-11,True,1,784,2.1798913385796543e-05,False,alpha_e~pi/2,around pi/2,CPGAMMA nearest fixed alpha_e quarter-pi center
muon,gradient_local_minimum_0028,gradient,gradient,gradient,0.1056583755,7.429128658107262,2.7256427972328403,1.1988210000629922,0.008975112988698757,0.0,0.0,3.141592653589793,0.0,0.8862054358548631,7.170686744997632e-07,3.0807209187722018,0.0,3.495150943686348,3.141592653589793,6.222313572361995,0.9999999999997429,0.0009490140799569835,0.0005759842550989539,-1.0745233294736747,0.22118007361936143,0.2509202458612129,2.5265339127756787,0.25200496220178964,3.141592653589793,180.0,2.1289216644153752,1.5921345067185322,2.1289216644153752,1.5921345067185322,False,,gradient,518003106,1.5708082930400926,0.6421302062743145,1.0,1.5917134447255272,0.92011947779992,1.0,6.733352766510152e-10,-0.9999999996638836,-7.525966379983613e-07,7.527725768397646e-07,1.7593909436336614e-10,5.3750869832285124e-11,5.360869849318121e-11,0.9999999999872854,7.051635059000942e-06,0.9999999999997168,0.9999999999997167,0.9999999999241886,1.4142078047399094,8.142526798883491e-06,4.9725556999568166e-11,2.4862778502665606e-11,2.486255645806068e-11,3.3403094224742616e-14,3.3385682420894525e-14,3.340315914305222e-14,6.678877664563714e-14,8.770820233647589e-18,-0.12174376606315704,0.0002626435360594534,3.3403094224742616e-14,9.43850076792745e-14,0.9999999998318079,0.999999999831807,9.17020139245389e-12,1.681253880007204e-10,1.6812538800072034e-10,9.43850076792745e-14,1.271460714491468e-11,518,latin_hypercube,nan,True,False,2,ABNORMAL: ,5,3158,702,1.5121745960101038,0.8537186505579009,0.23506084539612748,1.271460714491468e-11,112,98,False,1e-05,1.2713941011099905e-11,True,0.14628134944209917,0.7649391546038725,0.9999999999872854,0.5179802922790679,0.7052901493577598,0.7432132056888665,0.6289644009693289,0.4987168949485213,0.34341626011708565,0.7351834144744535,0.06759005521743212,0.41745267695391675,2.2825004816598125e-07,0.0,0.7494662820586379,0.49031196250920134,0.556270549539985,0.5000038089741464,0.20439639287435107,28,1.2714274078007293e-11,True,1,784,3.8089741464052044e-06,False,alpha_e~pi/2,around pi/2,CPGAMMA nearest fixed alpha_e quarter-pi center
