optimization_run,start_source,screening_one_minus_C_p_gamma,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_one_minus_C_p_gamma,lbfgs_one_minus_C_p_gamma,final_one_minus_C_p_gamma,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_one_minus_C_p_gamma,local_minimum_verified,initial_C_p_gamma,lbfgs_C_p_gamma,final_C_p_gamma,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7
0,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,1442,459,0.002557048013879567,0.9027012612987408,1.9069693658613218e-06,4.209636069729683e-07,45,31,False,1e-05,4.2096086794174425e-07,True,0.09729873870125921,0.9999980930306341,0.999999579036393,0.8822867138792567,0.7241563954231865,0.3950711175221526,0.08006788381523192,0.7216912246765648,0.709036548707292,0.11868755589089122,0.42963009404888364,0.9024729216321651,0.23389337092247672,0.06512445939898867,0.7916805248455033,0.5215820636756235,0.5993682715342472,0.9989088435819286,0.27747193628335437
1,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,923,171,0.0020895954157665662,0.8725723739404516,4.1228681002536405e-07,1.137201632861462e-08,34,20,False,1e-05,1.1368363361796696e-08,True,0.12742762605954833,0.99999958771319,0.9999999886279837,0.9819948723401494,0.4108665771777773,0.3126645314394852,0.4217993329931204,0.7611763781981268,0.8340713364125377,0.6392496954436058,0.523225826834143,0.9734808413684357,0.05624617321370989,0.0,0.7773196816985033,0.006784720159468549,0.8583413469330264,7.454452886956019e-06,0.7293790227623732
2,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,1050,9,0.0,1000.0,1000.0,2.1433385066771393e-09,47,33,False,1e-05,2.1433385066771393e-09,True,nan,nan,0.9999999978566615,0.27327077111888964,0.8332698101161703,0.26524864962181516,0.7381589584484399,0.9133490260353403,0.7799278154276712,0.26768382649802225,0.9466585791537104,0.23277749500609848,0.9988769912213787,0.0,0.7313039740919951,0.9381404077415008,0.8019744317856817,0.5000008203805438,0.8142196490880895
3,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,619,144,0.0018498153275118697,0.9182138661136395,6.712110200979282e-08,2.4022450695326825e-11,22,8,False,1e-05,1.2816303573970345e-11,True,0.08178613388636047,0.999999932878898,0.9999999999759775,0.49031340543345125,0.11946802960642872,0.17247593400752184,0.3578551445643768,0.6551575594935322,0.24564442883775672,0.934447310254221,0.9755244194497723,0.3692927357509476,0.0,0.0,0.4115993597819693,0.9161191605118134,0.1489267034969162,9.60572637054291e-06,0.2653566169484423
4,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,11966,648,0.6489536717346228,0.6577683663028986,0.01873473368516032,2.2672662407408062e-05,512,503,True,9.765625e-05,2.265810757184905e-05,False,0.34223163369710136,0.9812652663148397,0.9999773273375926,0.7457507351227447,0.699424323479345,0.3625201137793205,0.7327405563093901,0.29669402278787865,0.7143462670991733,0.10301658337892018,0.6113177980512424,0.7023049084480083,0.5006116611893057,0.18317904689717188,0.7945898460888261,0.931199194370037,0.6668967312376594,0.9985347984894098,0.6939571942726154
5,latin_hypercube,nan,True,False,2,ABNORMAL: ,1,1808,513,1.9493076870134434,0.5506247277325049,0.42310739212286796,2.531361573687718e-07,58,44,False,1e-05,2.5306934758884125e-07,True,0.4493752722674951,0.576892607877132,0.9999997468638426,0.3908743855549598,0.5858186714488914,0.5855704704668951,0.7163911556604419,0.12845499356104984,0.04225455601400358,0.6457265740967016,0.37710284448350134,0.4466429462330913,0.4847161055099146,0.0,0.7544216550204741,0.9998943526561634,0.06790884594888368,0.50042826280689,0.20561231553638581
6,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,1409,9,0.0,1000.0,1000.0,5.879021847121635e-08,63,49,False,1e-05,5.877461861647504e-08,True,nan,nan,0.9999999412097815,0.8994394830740573,0.987874476181594,0.23010135484845465,0.88680102661437,0.6381492683373841,0.806789662120048,0.8038011962281855,0.2552390425626712,0.8926813924496336,0.7205516950462546,3.3158761644044627e-06,0.8324072317551384,0.5145470764924202,0.7641881724171454,0.9999771453317015,0.2803630149066851
7,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,1030,225,0.0016144125025272914,0.9842086260225342,9.129035988819645e-06,8.57365317186165e-06,35,21,False,1e-05,8.573664733613207e-06,True,0.015791373977465724,0.9999908709640112,0.9999914263468281,0.8036030592214982,0.6490150947662369,0.8240924903345681,0.1404616304463294,0.49494569770039204,0.11719740372534834,0.9519651620497106,0.9134473888191129,0.9395786236044145,0.19742422138485896,0.21655352908314765,0.7710659712029735,0.142429722854194,0.7248915610744561,0.9998934719666668,0.2796688558790306
8,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,1029,333,0.003682371142403086,0.9718932424950512,1.2098237419655433e-06,1.0490870239188155e-07,30,16,False,1e-05,1.0523626747804826e-07,True,0.028106757504948815,0.999998790176258,0.9999998950912976,0.6476476127327401,0.5801365579066893,0.7825489363294366,0.10327381720974112,0.049335220456439496,0.2279453758045169,0.07409269454546966,0.4724825447469888,0.6421279139968498,0.32821116372486964,0.02080688029390154,0.7850523580271402,0.6050943776288843,0.1386703811628199,0.00021757090565783556,0.7163650931620106
9,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,991,279,0.0031932924107161737,0.7108689001319513,1.5080532081990228e-06,7.622118491923402e-10,31,17,False,1e-05,7.378162525384369e-10,True,0.2891310998680488,0.9999984919467918,0.9999999992377882,0.7374689173377832,0.34672695429382877,0.026481698885197986,0.18156765281086146,0.19247746996650814,0.797614516034284,0.20436365160708964,0.7594614322875041,0.8406301272363371,0.00878813345101699,0.008791287281795577,0.5508081230100749,0.2791792395281901,0.67937884946505,0.99990234375,0.7403234785829526
