Q2,xB,t,phi,theta_e_gamma_rad,theta_e_gamma_deg,aligned,squared_amplitude_M2,unpolarized_trace,unpolarized_h_out_mean,unpolarized_lambda_mean,unpolarized_h_lambda,unpolarized_h_lambda_connected,unpolarized_C13,polarized_trace,polarized_spin_signal_M2,polarized_h_lambda,polarized_delta_C13
5.0000000000000000e-01,1.0000000000000001e-01,-7.0000000000000018e-01,3.1415926535897931e+00,7.7824771290077241e-02,4.4590309364923248e+00,True,2.8896299779033706e+07,1.0000000000000000e+00,0.0000000000000000e+00,1.3877787807814457e-17,2.3965484285257815e-01,2.3965484285257815e-01,4.6385014861481890e-17,-1.3877787807814457e-17,0.0000000000000000e+00,1.3877787807814457e-17,-1.1415356600652976e-16
5.0000000000000000e-01,2.0000000000000001e-01,-5.0000000000000022e-01,3.1415926535897931e+00,1.7233504939840183e-01,9.8740709927069812e+00,True,2.8877073424572623e+08,1.0000000000000000e+00,0.0000000000000000e+00,4.1633363423443370e-17,1.0297905835400388e-01,1.0297905835400388e-01,3.1169513249034755e-17,1.3877787807814457e-17,0.0000000000000000e+00,4.1633363423443370e-17,-6.1343886363310469e-19
5.0000000000000000e-01,3.0000000000000004e-01,-5.0000000000000022e-01,3.1415926535897931e+00,1.6677081513186243e-01,9.5552638530122032e+00,True,9.2376044137810683e+08,9.9999999999999989e-01,0.0000000000000000e+00,0.0000000000000000e+00,5.8902800324571930e-02,5.8902800324571930e-02,6.3874851830613843e-18,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-8.4298332349218952e-19
5.0000000000000000e-01,4.0000000000000002e-01,-5.0000000000000022e-01,3.1415926535897931e+00,1.6413586028573898e-01,9.4042920611217866e+00,True,2.3309509177855239e+09,1.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-17,3.7488277298782208e-02,3.7488277298782208e-02,4.0631921567873292e-18,-2.7755575615628914e-17,0.0000000000000000e+00,2.7755575615628914e-17,-5.4202959186658453e-18
5.0000000000000000e-01,5.0000000000000000e-01,-5.0000000000000022e-01,3.1415926535897931e+00,1.6259887722925009e-01,9.3162294188018553e+00,True,5.3773526762123880e+09,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4840797062523345e-02,2.4840797062523345e-02,7.5699090999281065e-18,-5.5511151231257827e-17,0.0000000000000000e+00,0.0000000000000000e+00,5.8348698742757960e-18
5.0000000000000000e-01,5.9999999999999998e-01,-5.0000000000000022e-01,3.1415926535897931e+00,1.6159188650836145e-01,9.2585331004860993e+00,True,1.2301492402045464e+10,1.0000000000000000e+00,0.0000000000000000e+00,-2.7755575615628914e-17,1.6493206104590097e-02,1.6493206104590097e-02,2.8479904760686420e-18,2.7755575615628914e-17,0.0000000000000000e+00,-2.7755575615628914e-17,-8.3454868619504889e-20
1.0000000000000000e+00,1.0000000000000001e-01,-2.1000000000000001e+00,3.1415926535897931e+00,1.2812264497087317e-01,7.3408868168840744e+00,True,3.4442232514241734e+05,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.1144415675587118e-01,5.1144415675587118e-01,3.9970279905330665e-18,-4.1633363423443370e-17,-1.4551915228366852e-11,0.0000000000000000e+00,-1.5013629076901081e-16
1.0000000000000000e+00,1.0000000000000001e-01,-1.8999999999999999e+00,3.1415926535897931e+00,5.0643873675886138e-02,2.9016802198219662e+00,True,3.0498645741291847e+06,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.1509732396909613e-01,5.1509732396909613e-01,8.0486259213312219e-17,0.0000000000000000e+00,1.1641532182693481e-10,0.0000000000000000e+00,-1.1741299635934758e-16
1.0000000000000000e+00,1.0000000000000001e-01,-1.7000000000000002e+00,3.1415926535897931e+00,3.0038990596733407e-02,1.7211073820259906e+00,True,1.2578309257952221e+07,1.0000000000000000e+00,0.0000000000000000e+00,-5.5511151231257827e-17,5.1894939151333452e-01,5.1894939151333452e-01,3.2767549432896494e-16,-5.5511151231257827e-17,-4.6566128730773926e-10,-5.5511151231257827e-17,-2.3142978028015886e-17
1.0000000000000000e+00,1.0000000000000001e-01,-1.5000000000000000e+00,3.1415926535897931e+00,1.1447169605554723e-01,6.5587450576872097e+00,True,1.3419838638162068e+06,1.0000000000000000e+00,0.0000000000000000e+00,-1.1102230246251565e-16,5.2301874133884663e-01,5.2301874133884663e-01,1.0683465111907090e-16,-5.5511151231257827e-17,-5.8207660913467407e-11,-1.1102230246251565e-16,2.8134572666358368e-17
1.0000000000000000e+00,2.0000000000000001e-01,-1.3000000000000000e+00,3.1415926535897931e+00,6.3556190272633692e-02,3.6415014645523276e+00,True,1.7114896342748389e+07,1.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-17,2.1070119049586553e-01,2.1070119049586553e-01,1.5882820456139549e-17,2.7755575615628914e-17,9.3132257461547852e-10,2.7755575615628914e-17,-3.2679794553672874e-17
1.0000000000000000e+00,2.0000000000000001e-01,-1.1000000000000001e+00,3.1415926535897931e+00,1.5380132191803156e-01,8.8121666294361312e+00,True,8.8738105793827586e+06,1.0000000000000000e+00,0.0000000000000000e+00,-1.3877787807814457e-17,2.1580121121797036e-01,2.1580121121797036e-01,3.3739087757543196e-17,-4.1633363423443370e-17,0.0000000000000000e+00,-1.3877787807814457e-17,2.0144518147473975e-17
1.0000000000000000e+00,3.0000000000000004e-01,-1.1000000000000001e+00,3.1415926535897931e+00,5.3128125120246152e-02,3.0440173428330737e+00,True,1.4724204771696752e+08,1.0000000000000000e+00,0.0000000000000000e+00,-2.7755575615628914e-17,1.2013472329657121e-01,1.2013472329657121e-01,6.0496256413569624e-17,-2.7755575615628914e-17,-7.4505805969238281e-09,-2.7755575615628914e-17,4.3044879256672012e-17
1.0000000000000000e+00,4.0000000000000002e-01,-1.1000000000000001e+00,3.1415926535897931e+00,6.6115801937209132e-02,3.7881564101249556e+00,True,1.4730814346099210e+08,9.9999999999999978e-01,0.0000000000000000e+00,0.0000000000000000e+00,7.4753482918615666e-02,7.4753482918615666e-02,5.1679050813813975e-17,0.0000000000000000e+00,-7.4505805969238281e-09,0.0000000000000000e+00,2.8307247787743721e-17
1.5000000000000000e+00,2.0000000000000001e-01,-2.2999999999999998e+00,3.1415926535897931e+00,1.0281997410210859e-01,5.8911505656952485e+00,True,9.0774061145230429e+05,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2636717413143235e-01,3.2636717413143235e-01,7.8885695771716428e-17,0.0000000000000000e+00,-2.9103830456733704e-11,0.0000000000000000e+00,-1.5370718119225524e-17
1.5000000000000000e+00,2.0000000000000001e-01,-2.1000000000000001e+00,3.1415926535897931e+00,8.4021935031039739e-03,4.8141022638009806e-01,True,2.0280649280091375e+08,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3099842777421506e-01,3.3099842777421506e-01,4.9759278214330467e-16,0.0000000000000000e+00,-7.4505805969238281e-09,0.0000000000000000e+00,-2.1297522092158600e-16
1.5000000000000000e+00,2.0000000000000001e-01,-1.8999999999999999e+00,3.1415926535897931e+00,1.2271391302820532e-01,7.0309893040516123e+00,True,1.5247806713969125e+06,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3584346482660898e-01,3.3584346482660898e-01,1.0076894814846621e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.1586690920736070e-17
1.5000000000000000e+00,3.0000000000000004e-01,-1.8999999999999999e+00,3.1415926535897931e+00,9.6337448907048970e-02,5.5197292314311115e+00,True,4.1888400909754019e+06,1.0000000000000000e+00,5.5511151231257827e-17,-6.9388939039072284e-17,1.8137029139996685e-01,1.8137029139996685e-01,1.0513047290739930e-16,1.3877787807814457e-17,0.0000000000000000e+00,-6.9388939039072284e-17,5.4651582107393033e-17
1.5000000000000000e+00,3.0000000000000004e-01,-1.7000000000000002e+00,3.1415926535897931e+00,1.1062385488971280e-01,6.3382799986481979e+00,True,6.9576714078677054e+06,1.0000000000000000e+00,0.0000000000000000e+00,-1.3877787807814457e-17,1.8649488454368157e-01,1.8649488454368157e-01,3.7407324454591414e-17,1.3877787807814457e-17,0.0000000000000000e+00,-1.3877787807814457e-17,-9.7819181075252843e-19
1.5000000000000000e+00,4.0000000000000002e-01,-1.7000000000000002e+00,3.1415926535897931e+00,2.7293232659945738e-02,1.5637870406835084e+00,True,1.8394436350297320e+08,1.0000000000000004e+00,-1.1102230246251565e-16,2.7755575615628914e-17,1.1450826979931836e-01,1.1450826979931836e-01,9.3882759522817218e-17,2.7755575615628914e-17,1.4901161193847656e-08,2.7755575615628914e-17,6.4865926875718924e-17
2.0000000000000000e+00,3.0000000000000004e-01,-2.5000000000000000e+00,3.1415926535897931e+00,5.6141855421807441e-02,3.2166913697032244e+00,True,5.5839104271982629e+06,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5301019591580076e-01,2.5301019591580076e-01,2.3527162372131166e-17,1.3877787807814457e-17,2.3283064365386963e-10,0.0000000000000000e+00,-1.0447328153159465e-16
2.0000000000000000e+00,4.0000000000000002e-01,-2.5000000000000000e+00,3.1415926535897931e+00,1.7166055316666570e-01,9.8354252053310240e+00,True,8.8434852966407861e+05,1.0000000000000000e+00,0.0000000000000000e+00,-1.3877787807814457e-17,1.5174176717967114e-01,1.5174176717967114e-01,6.3706747191132366e-18,1.3877787807814457e-17,0.0000000000000000e+00,-1.3877787807814457e-17,-5.5259857731690714e-17
2.0000000000000000e+00,4.0000000000000002e-01,-2.2999999999999998e+00,3.1415926535897931e+00,4.3288955364410076e-02,2.4802744419109017e+00,True,2.6269123250405960e+07,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5685906347973244e-01,1.5685906347973244e-01,1.6968031942022460e-16,0.0000000000000000e+00,9.3132257461547852e-10,0.0000000000000000e+00,3.5525757427773086e-17
2.0000000000000000e+00,5.0000000000000000e-01,-2.2999999999999998e+00,3.1415926535897931e+00,1.4150101819807331e-01,8.1074111395534576e+00,True,3.5725812328461837e+06,1.0000000000000000e+00,0.0000000000000000e+00,-2.7755575615628914e-17,9.9362909604605976e-02,9.9362909604605976e-02,3.5914435335022383e-17,2.7755575615628914e-17,1.1641532182693481e-10,-2.7755575615628914e-17,1.4061310835518770e-17
2.0000000000000000e+00,5.9999999999999998e-01,-2.1000000000000001e+00,3.1415926535897931e+00,9.5651521059568714e-02,5.4804284607199998e+00,True,3.8821763595645651e+07,1.0000000000000000e+00,1.1102230246251565e-16,2.7755575615628914e-17,6.7701792197171429e-02,6.7701792197171429e-02,1.8657201754174960e-17,2.7755575615628914e-17,0.0000000000000000e+00,2.7755575615628914e-17,-8.0306712983181531e-18
