Q2,t,phi,squared_amplitude_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,0,-1,-1,-1,0,-1,-1,-1,1.6528259592451125e-01,8.8882985582031262e-19,1.6528259592451125e-01,5.3776373177625051e-18
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,0,-1,-1,-1,1,-1,-1,1,7.0012013334682960e-02,2.9217309581448202e-02,7.5863912305878412e-02,3.9534641395624165e-01
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,0,-1,-1,-1,2,-1,1,-1,3.7952043529171101e-02,-1.1482785003069164e-01,1.2093714380086502e-01,-1.2515866377576661e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,0,-1,-1,-1,3,-1,1,1,-5.3074988865553713e-04,9.8015218936385140e-04,1.1146271836908592e-03,2.0670882225760128e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,0,-1,-1,-1,4,1,-1,-1,-2.5895656016359049e-17,-7.8216648464967265e-18,2.7051126436592531e-17,-2.8482603655951482e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,0,-1,-1,-1,5,1,-1,1,8.0391718139395390e-18,-3.8418535483153491e-19,8.0483465283812788e-18,-4.7752840180932087e-02
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,0,-1,-1,-1,6,1,1,-1,7.0797132973241914e-19,9.7434866927698628e-18,9.7691737795939771e-18,1.4982628134320084e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,0,-1,-1,-1,7,1,1,1,-2.9957481272973236e-18,-1.2940837591933738e-18,3.2633050145540292e-18,-2.7338302599025184e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,1,-1,-1,1,0,-1,-1,-1,7.0012013334682960e-02,-2.9217309581448199e-02,7.5863912305878412e-02,-3.9534641395624159e-01
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,1,-1,-1,1,1,-1,-1,1,9.1198613245131260e-02,-1.3903121215277487e-18,9.1198613245131260e-02,-1.5244882263623368e-17
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,1,-1,-1,1,2,-1,1,-1,2.4396399373818101e-02,-1.2916362077328896e-02,2.7604650182885715e-02,-4.8691912112901231e-01
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,1,-1,-1,1,3,-1,1,1,-2.5251255677630332e-03,7.8701539474473059e-02,7.8742038167582448e-02,1.6028701544997075e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,1,-1,-1,1,4,1,-1,-1,7.7625127672485437e-19,-2.8855885307638336e-18,2.9881745620851449e-18,-1.3080077436833706e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,1,-1,-1,1,5,1,-1,1,1.0111710977478416e-17,2.6837828349401660e-18,1.0461806211031487e-17,2.5943189505824177e-01
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,1,-1,-1,1,6,1,1,-1,-6.7316685942414692e-19,-1.5620788928481932e-17,1.5635287025469364e-17,-1.6138639727015909e+00
