Q2,t,squared_amplitude_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,0,-1,-1,-1,0,-1,-1,-1,2.8931252878434510e-01,6.1171672810476581e-18,2.8931252878434510e-01,2.1143803577229187e-17
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,0,-1,-1,-1,1,-1,-1,1,4.6620207400455374e-02,6.0581000866921975e-02,7.6442798248752483e-02,9.1489915598038396e-01
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,0,-1,-1,-1,2,-1,1,-1,6.9750425721936474e-02,-1.1256957361353526e-01,1.3242745482687684e-01,-1.0160747063260678e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,0,-1,-1,-1,3,-1,1,1,-1.3870266880934392e-02,3.5471034713770427e-03,1.4316642287387099e-02,2.8912242940077406e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,0,-1,-1,-1,4,1,-1,-1,-7.5040345961992767e-18,-7.1531856888568968e-18,1.0367188660395005e-17,-2.3801268535000801e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,0,-1,-1,-1,5,1,-1,1,2.7030830572892716e-19,-3.3246411272175675e-18,3.3356116687846835e-18,-1.4896702655784797e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,0,-1,-1,-1,6,1,1,-1,1.0551896603143827e-18,4.6261904718605235e-18,4.7450040570232899e-18,1.3465423460346302e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,0,-1,-1,-1,7,1,1,1,8.1694740924445338e-19,3.0884051789166704e-18,3.1946282441984600e-18,1.3121984055442331e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,1,-1,-1,1,0,-1,-1,-1,4.6620207400455374e-02,-6.0581000866921975e-02,7.6442798248752483e-02,-9.1489915598038396e-01
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,1,-1,-1,1,1,-1,-1,1,3.9806316349579776e-02,4.2037261502290700e-19,3.9806316349579776e-02,1.0560450038410670e-17
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,1,-1,-1,1,2,-1,1,-1,1.7255645939054355e-02,-4.5585767741428918e-02,4.8742379274605625e-02,-1.2089332068694059e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,1,-1,-1,1,3,-1,1,1,7.3827092281052364e-03,3.5556394066975562e-02,3.6314756705681031e-02,1.3660714654000208e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,1,-1,-1,1,4,1,-1,-1,-8.0856767169242442e-18,-2.4517019756288384e-18,8.4492017698663803e-18,-2.8471885364492082e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,1,-1,-1,1,5,1,-1,1,1.9445779762769092e-18,-3.8863754846853980e-18,4.3457217943380663e-18,-1.1068625828069876e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,1,-1,-1,1,6,1,1,-1,-2.2190183205983227e-19,3.2707853148775007e-18,3.2783039821056592e-18,1.6385361185371530e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,1,-1,-1,1,7,1,1,1,-2.0505685886483494e-18,-7.8529315173914350e-19,2.1957952707207659e-18,-2.7758585315652260e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,2,-1,1,-1,0,-1,-1,-1,6.9750425721936474e-02,1.1256957361353526e-01,1.3242745482687684e-01,1.0160747063260678e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,2,-1,1,-1,1,-1,-1,1,1.7255645939054355e-02,4.5585767741428918e-02,4.8742379274605625e-02,1.2089332068694059e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,2,-1,1,-1,2,-1,1,-1,1.1367047466919386e-01,6.7570881834932737e-19,1.1367047466919386e-01,5.9444532128135210e-18
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,2,-1,1,-1,3,-1,1,1,-1.2340401225635050e-02,4.9677122633507313e-02,5.1186932077964778e-02,1.8142799927517972e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,2,-1,1,-1,4,1,-1,-1,4.5145979481677379e-18,-1.6395482499823290e-18,4.8030941170895735e-18,-3.4835546547551105e-01
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,2,-1,1,-1,5,1,-1,1,-1.5313665365705512e-17,3.2531697773226072e-18,1.5655397169439481e-17,2.9322687486154058e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,2,-1,1,-1,6,1,1,-1,-2.3945434353089293e-18,-7.7128366954652780e-18,8.0759945613216476e-18,-1.8718235223623994e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,2,-1,1,-1,7,1,1,1,7.0607513907618267e-18,-2.1904632677070921e-17,2.3014498537216669e-17,-1.2589716846019965e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,3,-1,1,1,0,-1,-1,-1,-1.3870266880934392e-02,-3.5471034713770427e-03,1.4316642287387099e-02,-2.8912242940077406e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,3,-1,1,1,1,-1,-1,1,7.3827092281052364e-03,-3.5556394066975562e-02,3.6314756705681031e-02,-1.3660714654000208e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,3,-1,1,1,2,-1,1,-1,-1.2340401225635050e-02,-4.9677122633507313e-02,5.1186932077964778e-02,-1.8142799927517972e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,3,-1,1,1,3,-1,1,1,5.7210680196881268e-02,2.1080449898362305e-19,5.7210680196881268e-02,3.6847053427467320e-18
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,3,-1,1,1,4,1,-1,-1,-2.0487474304892068e-19,-5.8482431111489231e-19,6.1967179636511586e-19,-1.9077548103250077e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,3,-1,1,1,5,1,-1,1,-5.7106133116099800e-18,2.4032369679691624e-18,6.1956962739429631e-18,2.7432534424835642e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,3,-1,1,1,6,1,1,-1,-3.7556221675373557e-18,-3.1733303392717919e-18,4.9167797700772413e-18,-2.4400349889778807e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,3,-1,1,1,7,1,1,1,4.2538948695645336e-18,-1.2374729045591785e-17,1.3085470588141660e-17,-1.2396943412875263e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,4,1,-1,-1,0,-1,-1,-1,-7.5040345961992767e-18,7.1531856888568952e-18,1.0367188660395002e-17,2.3801268535000801e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,4,1,-1,-1,1,-1,-1,1,-8.0856767169242442e-18,2.4517019756288384e-18,8.4492017698663803e-18,2.8471885364492082e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,4,1,-1,-1,2,-1,1,-1,4.5145979481677379e-18,1.6395482499823288e-18,4.8030941170895735e-18,3.4835546547551099e-01
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,4,1,-1,-1,3,-1,1,1,-2.0487474304892068e-19,5.8482431111489240e-19,6.1967179636511596e-19,1.9077548103250077e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,4,1,-1,-1,4,1,-1,-1,5.7210680196881254e-02,-1.2259118813973947e-19,5.7210680196881254e-02,-2.1428024927838966e-18
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,4,1,-1,-1,5,1,-1,1,-1.2340401225635076e-02,4.9677122633507292e-02,5.1186932077964764e-02,1.8142799927517979e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,4,1,-1,-1,6,1,1,-1,-7.3827092281052321e-03,-3.5556394066975569e-02,3.6314756705681031e-02,-1.7755211881897721e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,4,1,-1,-1,7,1,1,1,1.3870266880934399e-02,-3.5471034713770743e-03,1.4316642287387115e-02,-2.5036835958205450e-01
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,5,1,-1,1,0,-1,-1,-1,2.7030830572892716e-19,3.3246411272175675e-18,3.3356116687846835e-18,1.4896702655784797e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,5,1,-1,1,1,-1,-1,1,1.9445779762769092e-18,3.8863754846853980e-18,4.3457217943380663e-18,1.1068625828069876e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,5,1,-1,1,2,-1,1,-1,-1.5313665365705512e-17,-3.2531697773226072e-18,1.5655397169439481e-17,-2.9322687486154058e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,5,1,-1,1,3,-1,1,1,-5.7106133116099800e-18,-2.4032369679691624e-18,6.1956962739429631e-18,-2.7432534424835642e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,5,1,-1,1,4,1,-1,-1,-1.2340401225635076e-02,-4.9677122633507292e-02,5.1186932077964764e-02,-1.8142799927517979e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,5,1,-1,1,5,1,-1,1,1.1367047466919383e-01,-1.3426455824680776e-18,1.1367047466919383e-01,-1.1811735513337765e-17
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,5,1,-1,1,6,1,1,-1,-1.7255645939054338e-02,4.5585767741428897e-02,4.8742379274605604e-02,1.9326594467203873e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,5,1,-1,1,7,1,1,1,-6.9750425721936488e-02,1.1256957361353526e-01,1.3242745482687687e-01,2.1255179472637256e+00
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09,6,1,1,-1,0,-1,-1,-1,1.0551896603143827e-18,-4.6261904718605235e-18,4.7450040570232899e-18,-1.3465423460346302e+00
