spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,2.2272295869712389e+03,-2.2737367544323206e-13,-1.6653345369377348e-16,True,1,1,-1.2632716036423508e-17,6.1656189298257191e-17,5.1267545980704793e-03,6.1722630615993611e-09,5.1267524600138031e-03,5.1267524600146358e-03,8.9239246546526984e-10,2.2204460492503136e-16,-4.6056761703050508e-10,-4.6056739845534711e-10,0,-1,-1,-1,0,-1,-1,-1,-3.0469344039914981e-01,-2.5740066202710377e-18,3.0469344039914981e-01,-3.1415926535897931e+00
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,2.2272295869712389e+03,-2.2737367544323206e-13,-1.6653345369377348e-16,True,1,1,-1.2632716036423508e-17,6.1656189298257191e-17,5.1267545980704793e-03,6.1722630615993611e-09,5.1267524600138031e-03,5.1267524600146358e-03,8.9239246546526984e-10,2.2204460492503136e-16,-4.6056761703050508e-10,-4.6056739845534711e-10,0,-1,-1,-1,1,-1,-1,1,-5.8420465867810648e-02,5.3874627246357776e-02,7.9469656430275482e-02,2.3966535860033029e+00
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,2.2272295869712389e+03,-2.2737367544323206e-13,-1.6653345369377348e-16,True,1,1,-1.2632716036423508e-17,6.1656189298257191e-17,5.1267545980704793e-03,6.1722630615993611e-09,5.1267524600138031e-03,5.1267524600146358e-03,8.9239246546526984e-10,2.2204460492503136e-16,-4.6056761703050508e-10,-4.6056739845534711e-10,0,-1,-1,-1,2,-1,1,-1,4.1252862855169409e-02,5.1943330185579964e-02,6.6331804170515360e-02,8.9960824605805800e-01
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,2.2272295869712389e+03,-2.2737367544323206e-13,-1.6653345369377348e-16,True,1,1,-1.2632716036423508e-17,6.1656189298257191e-17,5.1267545980704793e-03,6.1722630615993611e-09,5.1267524600138031e-03,5.1267524600146358e-03,8.9239246546526984e-10,2.2204460492503136e-16,-4.6056761703050508e-10,-4.6056739845534711e-10,0,-1,-1,-1,3,-1,1,1,1.6494237149042765e-04,-2.9272839255922809e-03,2.9319272103761102e-03,-1.5145092883499327e+00
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,2.2272295869712389e+03,-2.2737367544323206e-13,-1.6653345369377348e-16,True,1,1,-1.2632716036423508e-17,6.1656189298257191e-17,5.1267545980704793e-03,6.1722630615993611e-09,5.1267524600138031e-03,5.1267524600146358e-03,8.9239246546526984e-10,2.2204460492503136e-16,-4.6056761703050508e-10,-4.6056739845534711e-10,0,-1,-1,-1,4,1,-1,-1,-8.4912564701982718e-18,-2.6346948673171488e-18,8.8906160352672603e-18,-2.8407285651511396e+00
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,2.2272295869712389e+03,-2.2737367544323206e-13,-1.6653345369377348e-16,True,1,1,-1.2632716036423508e-17,6.1656189298257191e-17,5.1267545980704793e-03,6.1722630615993611e-09,5.1267524600138031e-03,5.1267524600146358e-03,8.9239246546526984e-10,2.2204460492503136e-16,-4.6056761703050508e-10,-4.6056739845534711e-10,0,-1,-1,-1,5,1,-1,1,-5.0668887286561420e-17,-3.4847034502348663e-17,6.1495137632711612e-17,-2.5391421678484338e+00
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,2.2272295869712389e+03,-2.2737367544323206e-13,-1.6653345369377348e-16,True,1,1,-1.2632716036423508e-17,6.1656189298257191e-17,5.1267545980704793e-03,6.1722630615993611e-09,5.1267524600138031e-03,5.1267524600146358e-03,8.9239246546526984e-10,2.2204460492503136e-16,-4.6056761703050508e-10,-4.6056739845534711e-10,0,-1,-1,-1,6,1,1,-1,2.5001987880027202e-19,-5.0040114354650553e-18,5.0102535251282788e-18,-1.5208739507131810e+00
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,2.2272295869712389e+03,-2.2737367544323206e-13,-1.6653345369377348e-16,True,1,1,-1.2632716036423508e-17,6.1656189298257191e-17,5.1267545980704793e-03,6.1722630615993611e-09,5.1267524600138031e-03,5.1267524600146358e-03,8.9239246546526984e-10,2.2204460492503136e-16,-4.6056761703050508e-10,-4.6056739845534711e-10,0,-1,-1,-1,7,1,1,1,-4.9181685633100117e-19,-4.2384309221472734e-18,4.2668701060596509e-18,-1.6863171740812142e+00
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,2.2272295869712389e+03,-2.2737367544323206e-13,-1.6653345369377348e-16,True,1,1,-1.2632716036423508e-17,6.1656189298257191e-17,5.1267545980704793e-03,6.1722630615993611e-09,5.1267524600138031e-03,5.1267524600146358e-03,8.9239246546526984e-10,2.2204460492503136e-16,-4.6056761703050508e-10,-4.6056739845534711e-10,1,-1,-1,1,0,-1,-1,-1,-5.8420465867810648e-02,-5.3874627246357769e-02,7.9469656430275468e-02,-2.3966535860033029e+00
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,2.2272295869712389e+03,-2.2737367544323206e-13,-1.6653345369377348e-16,True,1,1,-1.2632716036423508e-17,6.1656189298257191e-17,5.1267545980704793e-03,6.1722630615993611e-09,5.1267524600138031e-03,5.1267524600146358e-03,8.9239246546526984e-10,2.2204460492503136e-16,-4.6056761703050508e-10,-4.6056739845534711e-10,1,-1,-1,1,1,-1,-1,1,-2.1166221715913328e-02,-5.8992675217211278e-19,2.1166221715913328e-02,-3.1415926535897931e+00
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,2.2272295869712389e+03,-2.2737367544323206e-13,-1.6653345369377348e-16,True,1,1,-1.2632716036423508e-17,6.1656189298257191e-17,5.1267545980704793e-03,6.1722630615993611e-09,5.1267524600138031e-03,5.1267524600146358e-03,8.9239246546526984e-10,2.2204460492503136e-16,-4.6056761703050508e-10,-4.6056739845534711e-10,1,-1,-1,1,2,-1,1,-1,-7.2432216639495986e-03,1.2539125331908249e-02,1.4480812275642964e-02,2.0946196271113844e+00
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,2.2272295869712389e+03,-2.2737367544323206e-13,-1.6653345369377348e-16,True,1,1,-1.2632716036423508e-17,6.1656189298257191e-17,5.1267545980704793e-03,6.1722630615993611e-09,5.1267524600138031e-03,5.1267524600146358e-03,8.9239246546526984e-10,2.2204460492503136e-16,-4.6056761703050508e-10,-4.6056739845534711e-10,1,-1,-1,1,3,-1,1,1,-2.9186837505497613e-03,-1.0150792860961317e-03,3.0901619363367760e-03,-2.8068909845321945e+00
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,2.2272295869712389e+03,-2.2737367544323206e-13,-1.6653345369377348e-16,True,1,1,-1.2632716036423508e-17,6.1656189298257191e-17,5.1267545980704793e-03,6.1722630615993611e-09,5.1267524600138031e-03,5.1267524600146358e-03,8.9239246546526984e-10,2.2204460492503136e-16,-4.6056761703050508e-10,-4.6056739845534711e-10,1,-1,-1,1,4,1,-1,-1,-4.4209992218919328e-18,-4.4304820479144961e-18,6.2589460212452465e-18,-2.3551231641503443e+00
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,2.2272295869712389e+03,-2.2737367544323206e-13,-1.6653345369377348e-16,True,1,1,-1.2632716036423508e-17,6.1656189298257191e-17,5.1267545980704793e-03,6.1722630615993611e-09,5.1267524600138031e-03,5.1267524600146358e-03,8.9239246546526984e-10,2.2204460492503136e-16,-4.6056761703050508e-10,-4.6056739845534711e-10,1,-1,-1,1,5,1,-1,1,-1.1914410435071368e-17,-1.5909802648235356e-17,1.9876493562022811e-17,-2.2135753141492676e+00
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,2.2272295869712389e+03,-2.2737367544323206e-13,-1.6653345369377348e-16,True,1,1,-1.2632716036423508e-17,6.1656189298257191e-17,5.1267545980704793e-03,6.1722630615993611e-09,5.1267524600138031e-03,5.1267524600146358e-03,8.9239246546526984e-10,2.2204460492503136e-16,-4.6056761703050508e-10,-4.6056739845534711e-10,1,-1,-1,1,6,1,1,-1,4.9162611639089873e-19,-2.7981982103858475e-19,5.6568133305215501e-19,-5.1744335473050718e-01
