spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
polarized,h_in_plus_minus_h_in_minus,4.0000000000000000e+00,-4.0000000000000002e-01,2.6179938779914940e+00,2.9671140480107888e+03,0.0000000000000000e+00,5.5511151231257827e-17,True,1,1,-1.0033284826786183e-17,-1.3900990161236467e-16,2.4863602683696903e-02,-1.4901161193847656e-08,2.4863602857805159e-02,2.4863602857801148e-02,-1.3132835304069415e-09,-2.2204460492503121e-16,5.7210226139803311e-11,5.7209559138626798e-11,0,-1,-1,-1,0,-1,-1,-1,-2.5170407424976515e-01,-2.4685545882752514e-19,2.5170407424976515e-01,-3.1415926535897931e+00
polarized,h_in_plus_minus_h_in_minus,4.0000000000000000e+00,-4.0000000000000002e-01,2.6179938779914940e+00,2.9671140480107888e+03,0.0000000000000000e+00,5.5511151231257827e-17,True,1,1,-1.0033284826786183e-17,-1.3900990161236467e-16,2.4863602683696903e-02,-1.4901161193847656e-08,2.4863602857805159e-02,2.4863602857801148e-02,-1.3132835304069415e-09,-2.2204460492503121e-16,5.7210226139803311e-11,5.7209559138626798e-11,0,-1,-1,-1,1,-1,-1,1,3.5387246363195013e-02,1.0609863096312988e-01,1.1184443078410244e-01,1.2488673411450180e+00
polarized,h_in_plus_minus_h_in_minus,4.0000000000000000e+00,-4.0000000000000002e-01,2.6179938779914940e+00,2.9671140480107888e+03,0.0000000000000000e+00,5.5511151231257827e-17,True,1,1,-1.0033284826786183e-17,-1.3900990161236467e-16,2.4863602683696903e-02,-1.4901161193847656e-08,2.4863602857805159e-02,2.4863602857801148e-02,-1.3132835304069415e-09,-2.2204460492503121e-16,5.7210226139803311e-11,5.7209559138626798e-11,0,-1,-1,-1,2,-1,1,-1,2.8938433923616596e-02,1.5122047995392851e-02,3.2651329123429093e-02,4.8153174943038829e-01
polarized,h_in_plus_minus_h_in_minus,4.0000000000000000e+00,-4.0000000000000002e-01,2.6179938779914940e+00,2.9671140480107888e+03,0.0000000000000000e+00,5.5511151231257827e-17,True,1,1,-1.0033284826786183e-17,-1.3900990161236467e-16,2.4863602683696903e-02,-1.4901161193847656e-08,2.4863602857805159e-02,2.4863602857801148e-02,-1.3132835304069415e-09,-2.2204460492503121e-16,5.7210226139803311e-11,5.7209559138626798e-11,0,-1,-1,-1,3,-1,1,1,-8.2518964841138550e-04,-7.2983620918383636e-04,1.1016346254912009e-03,-2.4174373276455445e+00
polarized,h_in_plus_minus_h_in_minus,4.0000000000000000e+00,-4.0000000000000002e-01,2.6179938779914940e+00,2.9671140480107888e+03,0.0000000000000000e+00,5.5511151231257827e-17,True,1,1,-1.0033284826786183e-17,-1.3900990161236467e-16,2.4863602683696903e-02,-1.4901161193847656e-08,2.4863602857805159e-02,2.4863602857801148e-02,-1.3132835304069415e-09,-2.2204460492503121e-16,5.7210226139803311e-11,5.7209559138626798e-11,0,-1,-1,-1,4,1,-1,-1,1.5487843300309662e-17,5.4712643703046011e-18,1.6425834039850504e-17,3.3957774962912274e-01
polarized,h_in_plus_minus_h_in_minus,4.0000000000000000e+00,-4.0000000000000002e-01,2.6179938779914940e+00,2.9671140480107888e+03,0.0000000000000000e+00,5.5511151231257827e-17,True,1,1,-1.0033284826786183e-17,-1.3900990161236467e-16,2.4863602683696903e-02,-1.4901161193847656e-08,2.4863602857805159e-02,2.4863602857801148e-02,-1.3132835304069415e-09,-2.2204460492503121e-16,5.7210226139803311e-11,5.7209559138626798e-11,0,-1,-1,-1,5,1,-1,1,-1.2638214095535208e-18,5.5246375774905793e-17,5.5260829534285348e-17,1.5936684338208706e+00
polarized,h_in_plus_minus_h_in_minus,4.0000000000000000e+00,-4.0000000000000002e-01,2.6179938779914940e+00,2.9671140480107888e+03,0.0000000000000000e+00,5.5511151231257827e-17,True,1,1,-1.0033284826786183e-17,-1.3900990161236467e-16,2.4863602683696903e-02,-1.4901161193847656e-08,2.4863602857805159e-02,2.4863602857801148e-02,-1.3132835304069415e-09,-2.2204460492503121e-16,5.7210226139803311e-11,5.7209559138626798e-11,0,-1,-1,-1,6,1,1,-1,2.4655616101420505e-18,-5.6952068413517847e-19,2.5304837211616404e-18,-2.2700867868619243e-01
polarized,h_in_plus_minus_h_in_minus,4.0000000000000000e+00,-4.0000000000000002e-01,2.6179938779914940e+00,2.9671140480107888e+03,0.0000000000000000e+00,5.5511151231257827e-17,True,1,1,-1.0033284826786183e-17,-1.3900990161236467e-16,2.4863602683696903e-02,-1.4901161193847656e-08,2.4863602857805159e-02,2.4863602857801148e-02,-1.3132835304069415e-09,-2.2204460492503121e-16,5.7210226139803311e-11,5.7209559138626798e-11,0,-1,-1,-1,7,1,1,1,-5.5646681534437568e-20,-1.5955343615540475e-19,1.6897885120568177e-19,-1.9063706530331737e+00
polarized,h_in_plus_minus_h_in_minus,4.0000000000000000e+00,-4.0000000000000002e-01,2.6179938779914940e+00,2.9671140480107888e+03,0.0000000000000000e+00,5.5511151231257827e-17,True,1,1,-1.0033284826786183e-17,-1.3900990161236467e-16,2.4863602683696903e-02,-1.4901161193847656e-08,2.4863602857805159e-02,2.4863602857801148e-02,-1.3132835304069415e-09,-2.2204460492503121e-16,5.7210226139803311e-11,5.7209559138626798e-11,1,-1,-1,1,0,-1,-1,-1,3.5387246363195013e-02,-1.0609863096312988e-01,1.1184443078410244e-01,-1.2488673411450180e+00
polarized,h_in_plus_minus_h_in_minus,4.0000000000000000e+00,-4.0000000000000002e-01,2.6179938779914940e+00,2.9671140480107888e+03,0.0000000000000000e+00,5.5511151231257827e-17,True,1,1,-1.0033284826786183e-17,-1.3900990161236467e-16,2.4863602683696903e-02,-1.4901161193847656e-08,2.4863602857805159e-02,2.4863602857801148e-02,-1.3132835304069415e-09,-2.2204460492503121e-16,5.7210226139803311e-11,5.7209559138626798e-11,1,-1,-1,1,1,-1,-1,1,-4.9979787897694326e-02,-6.1078449295235992e-19,4.9979787897694326e-02,-3.1415926535897931e+00
