spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
polarized,h_in_plus_minus_h_in_minus,5.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.6386683176479556e+02,-7.1054273576010019e-15,-2.7755575615628914e-17,True,1,1,-1.6188686336934148e-17,-2.4198756283598393e-17,-3.1330425962249342e-01,2.1073424255447017e-08,-3.1330425914534454e-01,-3.1330425914534088e-01,2.7524123652593175e-09,4.4408920985006271e-16,1.0794270859093569e-10,1.0794337472475046e-10,0,-1,-1,-1,0,-1,-1,-1,-3.4877338403724317e-01,-1.0146665156920913e-17,3.4877338403724317e-01,-3.1415926535897931e+00
polarized,h_in_plus_minus_h_in_minus,5.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.6386683176479556e+02,-7.1054273576010019e-15,-2.7755575615628914e-17,True,1,1,-1.6188686336934148e-17,-2.4198756283598393e-17,-3.1330425962249342e-01,2.1073424255447017e-08,-3.1330425914534454e-01,-3.1330425914534088e-01,2.7524123652593175e-09,4.4408920985006271e-16,1.0794270859093569e-10,1.0794337472475046e-10,0,-1,-1,-1,1,-1,-1,1,-5.4900655792317820e-03,-4.3223203058029777e-02,4.3570472830346242e-02,-1.6971364307005468e+00
polarized,h_in_plus_minus_h_in_minus,5.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.6386683176479556e+02,-7.1054273576010019e-15,-2.7755575615628914e-17,True,1,1,-1.6188686336934148e-17,-2.4198756283598393e-17,-3.1330425962249342e-01,2.1073424255447017e-08,-3.1330425914534454e-01,-3.1330425914534088e-01,2.7524123652593175e-09,4.4408920985006271e-16,1.0794270859093569e-10,1.0794337472475046e-10,0,-1,-1,-1,2,-1,1,-1,-5.9359138176793072e-02,7.4077452471477082e-02,9.4926162093258354e-02,2.2463366468686115e+00
polarized,h_in_plus_minus_h_in_minus,5.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.6386683176479556e+02,-7.1054273576010019e-15,-2.7755575615628914e-17,True,1,1,-1.6188686336934148e-17,-2.4198756283598393e-17,-3.1330425962249342e-01,2.1073424255447017e-08,-3.1330425914534454e-01,-3.1330425914534088e-01,2.7524123652593175e-09,4.4408920985006271e-16,1.0794270859093569e-10,1.0794337472475046e-10,0,-1,-1,-1,3,-1,1,1,8.8860731933329065e-03,-8.0564672362860238e-04,8.9225200162601596e-03,-9.0416775715475781e-02
polarized,h_in_plus_minus_h_in_minus,5.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.6386683176479556e+02,-7.1054273576010019e-15,-2.7755575615628914e-17,True,1,1,-1.6188686336934148e-17,-2.4198756283598393e-17,-3.1330425962249342e-01,2.1073424255447017e-08,-3.1330425914534454e-01,-3.1330425914534088e-01,2.7524123652593175e-09,4.4408920985006271e-16,1.0794270859093569e-10,1.0794337472475046e-10,0,-1,-1,-1,4,1,-1,-1,-6.4163691427817351e-18,1.3410081673599907e-18,6.5550054066619821e-18,2.9355603532224461e+00
polarized,h_in_plus_minus_h_in_minus,5.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.6386683176479556e+02,-7.1054273576010019e-15,-2.7755575615628914e-17,True,1,1,-1.6188686336934148e-17,-2.4198756283598393e-17,-3.1330425962249342e-01,2.1073424255447017e-08,-3.1330425914534454e-01,-3.1330425914534088e-01,2.7524123652593175e-09,4.4408920985006271e-16,1.0794270859093569e-10,1.0794337472475046e-10,0,-1,-1,-1,5,1,-1,1,4.6390896618654192e-18,-7.4224693126237830e-19,4.6980935918513829e-18,-1.5865370378557311e-01
polarized,h_in_plus_minus_h_in_minus,5.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.6386683176479556e+02,-7.1054273576010019e-15,-2.7755575615628914e-17,True,1,1,-1.6188686336934148e-17,-2.4198756283598393e-17,-3.1330425962249342e-01,2.1073424255447017e-08,-3.1330425914534454e-01,-3.1330425914534088e-01,2.7524123652593175e-09,4.4408920985006271e-16,1.0794270859093569e-10,1.0794337472475046e-10,0,-1,-1,-1,6,1,1,-1,-8.6056984127019813e-19,3.4287664697518905e-18,3.5351124389188327e-18,1.8167020775436542e+00
polarized,h_in_plus_minus_h_in_minus,5.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.6386683176479556e+02,-7.1054273576010019e-15,-2.7755575615628914e-17,True,1,1,-1.6188686336934148e-17,-2.4198756283598393e-17,-3.1330425962249342e-01,2.1073424255447017e-08,-3.1330425914534454e-01,-3.1330425914534088e-01,2.7524123652593175e-09,4.4408920985006271e-16,1.0794270859093569e-10,1.0794337472475046e-10,0,-1,-1,-1,7,1,1,1,1.8343847413283239e-19,-2.6503760738661965e-19,3.2232686379109912e-19,-9.6537690813643828e-01
polarized,h_in_plus_minus_h_in_minus,5.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.6386683176479556e+02,-7.1054273576010019e-15,-2.7755575615628914e-17,True,1,1,-1.6188686336934148e-17,-2.4198756283598393e-17,-3.1330425962249342e-01,2.1073424255447017e-08,-3.1330425914534454e-01,-3.1330425914534088e-01,2.7524123652593175e-09,4.4408920985006271e-16,1.0794270859093569e-10,1.0794337472475046e-10,1,-1,-1,1,0,-1,-1,-1,-5.4900655792317820e-03,4.3223203058029777e-02,4.3570472830346242e-02,1.6971364307005468e+00
polarized,h_in_plus_minus_h_in_minus,5.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.6386683176479556e+02,-7.1054273576010019e-15,-2.7755575615628914e-17,True,1,1,-1.6188686336934148e-17,-2.4198756283598393e-17,-3.1330425962249342e-01,2.1073424255447017e-08,-3.1330425914534454e-01,-3.1330425914534088e-01,2.7524123652593175e-09,4.4408920985006271e-16,1.0794270859093569e-10,1.0794337472475046e-10,1,-1,-1,1,1,-1,-1,1,-1.1122502602946517e-02,9.1125883931615189e-20,1.1122502602946517e-02,3.1415926535897931e+00
polarized,h_in_plus_minus_h_in_minus,5.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.6386683176479556e+02,-7.1054273576010019e-15,-2.7755575615628914e-17,True,1,1,-1.6188686336934148e-17,-2.4198756283598393e-17,-3.1330425962249342e-01,2.1073424255447017e-08,-3.1330425914534454e-01,-3.1330425914534088e-01,2.7524123652593175e-09,4.4408920985006271e-16,1.0794270859093569e-10,1.0794337472475046e-10,1,-1,-1,1,2,-1,1,-1,-9.2087859606558142e-03,2.2358962231390264e-02,2.4181086223201552e-02,1.9614857562073429e+00
polarized,h_in_plus_minus_h_in_minus,5.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.6386683176479556e+02,-7.1054273576010019e-15,-2.7755575615628914e-17,True,1,1,-1.6188686336934148e-17,-2.4198756283598393e-17,-3.1330425962249342e-01,2.1073424255447017e-08,-3.1330425914534454e-01,-3.1330425914534088e-01,2.7524123652593175e-09,4.4408920985006271e-16,1.0794270859093569e-10,1.0794337472475046e-10,1,-1,-1,1,3,-1,1,1,5.1213211201121161e-04,-1.3416032483991220e-02,1.3425803771531174e-02,-1.5326417105051477e+00
polarized,h_in_plus_minus_h_in_minus,5.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.6386683176479556e+02,-7.1054273576010019e-15,-2.7755575615628914e-17,True,1,1,-1.6188686336934148e-17,-2.4198756283598393e-17,-3.1330425962249342e-01,2.1073424255447017e-08,-3.1330425914534454e-01,-3.1330425914534088e-01,2.7524123652593175e-09,4.4408920985006271e-16,1.0794270859093569e-10,1.0794337472475046e-10,1,-1,-1,1,4,1,-1,-1,1.7452111897549396e-18,6.2583466863495035e-19,1.8540310486373387e-18,3.4431663413736013e-01
polarized,h_in_plus_minus_h_in_minus,5.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.6386683176479556e+02,-7.1054273576010019e-15,-2.7755575615628914e-17,True,1,1,-1.6188686336934148e-17,-2.4198756283598393e-17,-3.1330425962249342e-01,2.1073424255447017e-08,-3.1330425914534454e-01,-3.1330425914534088e-01,2.7524123652593175e-09,4.4408920985006271e-16,1.0794270859093569e-10,1.0794337472475046e-10,1,-1,-1,1,5,1,-1,1,-2.7182629743253393e-18,2.0443068438570113e-18,3.4011974464045241e-18,2.4967721001411336e+00
