spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0967009276499783e+02,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,2.3401120008470367e-17,-4.4171456921476524e-17,-9.8003777634231293e-03,0.0000000000000000e+00,-9.8003817695699880e-03,-9.8003817695704876e-03,0.0000000000000000e+00,7.8176782153232357e-33,-3.7194442248367210e-09,-3.7194446966815065e-09,0,-1,-1,-1,0,-1,-1,-1,-1.5164149622798456e-01,-3.8797476357201512e-20,1.5164149622798456e-01,-3.1415926535897931e+00
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0967009276499783e+02,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,2.3401120008470367e-17,-4.4171456921476524e-17,-9.8003777634231293e-03,0.0000000000000000e+00,-9.8003817695699880e-03,-9.8003817695704876e-03,0.0000000000000000e+00,7.8176782153232357e-33,-3.7194442248367210e-09,-3.7194446966815065e-09,0,-1,-1,-1,1,-1,-1,1,-8.0027401177560187e-02,-7.5542207395588755e-03,8.0383152402827188e-02,-3.0474761067501444e+00
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0967009276499783e+02,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,2.3401120008470367e-17,-4.4171456921476524e-17,-9.8003777634231293e-03,0.0000000000000000e+00,-9.8003817695699880e-03,-9.8003817695704876e-03,0.0000000000000000e+00,7.8176782153232357e-33,-3.7194442248367210e-09,-3.7194446966815065e-09,0,-1,-1,-1,2,-1,1,-1,-1.3514033089186214e-02,1.0853237085532946e-01,1.0937049242741109e-01,1.6946748879397668e+00
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0967009276499783e+02,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,2.3401120008470367e-17,-4.4171456921476524e-17,-9.8003777634231293e-03,0.0000000000000000e+00,-9.8003817695699880e-03,-9.8003817695704876e-03,0.0000000000000000e+00,7.8176782153232357e-33,-3.7194442248367210e-09,-3.7194446966815065e-09,0,-1,-1,-1,3,-1,1,1,1.5366452950244742e-04,-5.9991685857739617e-04,6.1928428434167467e-04,-1.3200443855115214e+00
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0967009276499783e+02,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,2.3401120008470367e-17,-4.4171456921476524e-17,-9.8003777634231293e-03,0.0000000000000000e+00,-9.8003817695699880e-03,-9.8003817695704876e-03,0.0000000000000000e+00,7.8176782153232357e-33,-3.7194442248367210e-09,-3.7194446966815065e-09,0,-1,-1,-1,4,1,-1,-1,1.8991637962872208e-19,-4.7872722811213993e-18,4.7910378964108151e-18,-1.5311460139359412e+00
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0967009276499783e+02,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,2.3401120008470367e-17,-4.4171456921476524e-17,-9.8003777634231293e-03,0.0000000000000000e+00,-9.8003817695699880e-03,-9.8003817695704876e-03,0.0000000000000000e+00,7.8176782153232357e-33,-3.7194442248367210e-09,-3.7194446966815065e-09,0,-1,-1,-1,5,1,-1,1,-1.3781221600121174e-17,8.2050993481061814e-18,1.6038881635074774e-17,2.6045752282642156e+00
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0967009276499783e+02,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,2.3401120008470367e-17,-4.4171456921476524e-17,-9.8003777634231293e-03,0.0000000000000000e+00,-9.8003817695699880e-03,-9.8003817695704876e-03,0.0000000000000000e+00,7.8176782153232357e-33,-3.7194442248367210e-09,-3.7194446966815065e-09,0,-1,-1,-1,6,1,1,-1,2.2127634984837489e-18,2.6924715875379327e-18,3.4850718141698422e-18,8.8288330028497175e-01
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0967009276499783e+02,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,2.3401120008470367e-17,-4.4171456921476524e-17,-9.8003777634231293e-03,0.0000000000000000e+00,-9.8003817695699880e-03,-9.8003817695704876e-03,0.0000000000000000e+00,7.8176782153232357e-33,-3.7194442248367210e-09,-3.7194446966815065e-09,0,-1,-1,-1,7,1,1,1,-3.3496567765204878e-18,-6.4722557557713660e-19,3.4116127368402736e-18,-2.9507233347276971e+00
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0967009276499783e+02,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,2.3401120008470367e-17,-4.4171456921476524e-17,-9.8003777634231293e-03,0.0000000000000000e+00,-9.8003817695699880e-03,-9.8003817695704876e-03,0.0000000000000000e+00,7.8176782153232357e-33,-3.7194442248367210e-09,-3.7194446966815065e-09,1,-1,-1,1,0,-1,-1,-1,-8.0027401177560187e-02,7.5542207395588763e-03,8.0383152402827188e-02,3.0474761067501444e+00
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0967009276499783e+02,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,2.3401120008470367e-17,-4.4171456921476524e-17,-9.8003777634231293e-03,0.0000000000000000e+00,-9.8003817695699880e-03,-9.8003817695704876e-03,0.0000000000000000e+00,7.8176782153232357e-33,-3.7194442248367210e-09,-3.7194446966815065e-09,1,-1,-1,1,1,-1,-1,1,-9.9479638488767716e-02,1.1513943008870069e-18,9.9479638488767716e-02,3.1415926535897931e+00
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0967009276499783e+02,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,2.3401120008470367e-17,-4.4171456921476524e-17,-9.8003777634231293e-03,0.0000000000000000e+00,-9.8003817695699880e-03,-9.8003817695704876e-03,0.0000000000000000e+00,7.8176782153232357e-33,-3.7194442248367210e-09,-3.7194446966815065e-09,1,-1,-1,1,2,-1,1,-1,-1.7818572949406562e-02,1.1308134640822443e-02,2.1103920275822967e-02,2.5761009992377981e+00
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0967009276499783e+02,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,2.3401120008470367e-17,-4.4171456921476524e-17,-9.8003777634231293e-03,0.0000000000000000e+00,-9.8003817695699880e-03,-9.8003817695704876e-03,0.0000000000000000e+00,7.8176782153232357e-33,-3.7194442248367210e-09,-3.7194446966815065e-09,1,-1,-1,1,3,-1,1,1,-7.0446417565511021e-03,-8.5074691461346386e-02,8.5365860299779245e-02,-1.6534132188961621e+00
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0967009276499783e+02,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,2.3401120008470367e-17,-4.4171456921476524e-17,-9.8003777634231293e-03,0.0000000000000000e+00,-9.8003817695699880e-03,-9.8003817695704876e-03,0.0000000000000000e+00,7.8176782153232357e-33,-3.7194442248367210e-09,-3.7194446966815065e-09,1,-1,-1,1,4,1,-1,-1,7.8461188531559200e-18,-1.6307433342337266e-17,1.8096794281657234e-17,-1.1223522089371083e+00
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0967009276499783e+02,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,2.3401120008470367e-17,-4.4171456921476524e-17,-9.8003777634231293e-03,0.0000000000000000e+00,-9.8003817695699880e-03,-9.8003817695704876e-03,0.0000000000000000e+00,7.8176782153232357e-33,-3.7194442248367210e-09,-3.7194446966815065e-09,1,-1,-1,1,5,1,-1,1,-9.9440827498311921e-20,9.0611291587297969e-19,9.1155312214120717e-19,1.6801033123906144e+00
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0967009276499783e+02,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,2.3401120008470367e-17,-4.4171456921476524e-17,-9.8003777634231293e-03,0.0000000000000000e+00,-9.8003817695699880e-03,-9.8003817695704876e-03,0.0000000000000000e+00,7.8176782153232357e-33,-3.7194442248367210e-09,-3.7194446966815065e-09,1,-1,-1,1,6,1,1,-1,-1.9612763145849777e-18,-1.0572287828410790e-18,2.2280793256568898e-18,-2.6471941036113003e+00
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0967009276499783e+02,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,2.3401120008470367e-17,-4.4171456921476524e-17,-9.8003777634231293e-03,0.0000000000000000e+00,-9.8003817695699880e-03,-9.8003817695704876e-03,0.0000000000000000e+00,7.8176782153232357e-33,-3.7194442248367210e-09,-3.7194446966815065e-09,1,-1,-1,1,7,1,1,1,-7.5236965895892155e-18,-4.3969259459561483e-18,8.7142967671762687e-18,-2.6127150255677716e+00
