spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,4.5624999999999999e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.8309810187574240e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.7729518954439989e+00,8.3886520340861737e-01,-7.7046043303676077e+00,2.7570974721560724e+00,6.3027177162149894e-01,8.8579618456615190e+03,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,1.4650491135947701e-17,-7.0440672913856109e-18,8.0783346387618398e-03,0.0000000000000000e+00,8.0782966536945139e-03,8.0782966538575224e-03,0.0000000000000000e+00,2.7418175682590560e-34,-3.0744236551665289e-11,-3.0744458596270214e-11,0,-1,-1,-1,0,-1,-1,-1,-2.5572125585339978e-01,1.8757107876959588e-19,2.5572125585339978e-01,3.1415926535897931e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,4.5624999999999999e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.8309810187574240e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.7729518954439989e+00,8.3886520340861737e-01,-7.7046043303676077e+00,2.7570974721560724e+00,6.3027177162149894e-01,8.8579618456615190e+03,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,1.4650491135947701e-17,-7.0440672913856109e-18,8.0783346387618398e-03,0.0000000000000000e+00,8.0782966536945139e-03,8.0782966538575224e-03,0.0000000000000000e+00,2.7418175682590560e-34,-3.0744236551665289e-11,-3.0744458596270214e-11,0,-1,-1,-1,1,-1,-1,1,-1.9281447113901046e-01,5.4064839932127406e-02,2.0025091060342987e-01,2.8682146932781403e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,4.5624999999999999e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.8309810187574240e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.7729518954439989e+00,8.3886520340861737e-01,-7.7046043303676077e+00,2.7570974721560724e+00,6.3027177162149894e-01,8.8579618456615190e+03,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,1.4650491135947701e-17,-7.0440672913856109e-18,8.0783346387618398e-03,0.0000000000000000e+00,8.0782966536945139e-03,8.0782966538575224e-03,0.0000000000000000e+00,2.7418175682590560e-34,-3.0744236551665289e-11,-3.0744458596270214e-11,0,-1,-1,-1,2,-1,1,-1,1.0596232786168332e-02,-2.9416800158323804e-03,1.0996982794122045e-02,-2.7079632679489579e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,4.5624999999999999e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.8309810187574240e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.7729518954439989e+00,8.3886520340861737e-01,-7.7046043303676077e+00,2.7570974721560724e+00,6.3027177162149894e-01,8.8579618456615190e+03,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,1.4650491135947701e-17,-7.0440672913856109e-18,8.0783346387618398e-03,0.0000000000000000e+00,8.0782966536945139e-03,8.0782966538575224e-03,0.0000000000000000e+00,2.7418175682590560e-34,-3.0744236551665289e-11,-3.0744458596270214e-11,0,-1,-1,-1,3,-1,1,1,6.9865597897097748e-03,-5.4421394445930025e-03,8.8560092270494242e-03,-6.6176945928333430e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,4.5624999999999999e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.8309810187574240e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.7729518954439989e+00,8.3886520340861737e-01,-7.7046043303676077e+00,2.7570974721560724e+00,6.3027177162149894e-01,8.8579618456615190e+03,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,1.4650491135947701e-17,-7.0440672913856109e-18,8.0783346387618398e-03,0.0000000000000000e+00,8.0782966536945139e-03,8.0782966538575224e-03,0.0000000000000000e+00,2.7418175682590560e-34,-3.0744236551665289e-11,-3.0744458596270214e-11,0,-1,-1,-1,4,1,-1,-1,2.5320766274242542e-18,8.1296688340150993e-19,2.6593847409985170e-18,3.1067076081265271e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,4.5624999999999999e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.8309810187574240e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.7729518954439989e+00,8.3886520340861737e-01,-7.7046043303676077e+00,2.7570974721560724e+00,6.3027177162149894e-01,8.8579618456615190e+03,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,1.4650491135947701e-17,-7.0440672913856109e-18,8.0783346387618398e-03,0.0000000000000000e+00,8.0782966536945139e-03,8.0782966538575224e-03,0.0000000000000000e+00,2.7418175682590560e-34,-3.0744236551665289e-11,-3.0744458596270214e-11,0,-1,-1,-1,5,1,-1,1,5.6926607299808689e-18,1.7151387859308381e-18,5.9454257409937123e-18,2.9263938255572736e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,4.5624999999999999e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.8309810187574240e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.7729518954439989e+00,8.3886520340861737e-01,-7.7046043303676077e+00,2.7570974721560724e+00,6.3027177162149894e-01,8.8579618456615190e+03,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,1.4650491135947701e-17,-7.0440672913856109e-18,8.0783346387618398e-03,0.0000000000000000e+00,8.0782966536945139e-03,8.0782966538575224e-03,0.0000000000000000e+00,2.7418175682590560e-34,-3.0744236551665289e-11,-3.0744458596270214e-11,0,-1,-1,-1,6,1,1,-1,1.1777349488587048e-19,1.2287570716320440e-18,1.2343883251162852e-18,1.4752405658293304e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,4.5624999999999999e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.8309810187574240e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.7729518954439989e+00,8.3886520340861737e-01,-7.7046043303676077e+00,2.7570974721560724e+00,6.3027177162149894e-01,8.8579618456615190e+03,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,1.4650491135947701e-17,-7.0440672913856109e-18,8.0783346387618398e-03,0.0000000000000000e+00,8.0782966536945139e-03,8.0782966538575224e-03,0.0000000000000000e+00,2.7418175682590560e-34,-3.0744236551665289e-11,-3.0744458596270214e-11,0,-1,-1,-1,7,1,1,1,1.1346804983542109e-18,6.3225367186033728e-19,1.2989397749419483e-18,5.0836075296329952e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,4.5624999999999999e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.8309810187574240e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.7729518954439989e+00,8.3886520340861737e-01,-7.7046043303676077e+00,2.7570974721560724e+00,6.3027177162149894e-01,8.8579618456615190e+03,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,1.4650491135947701e-17,-7.0440672913856109e-18,8.0783346387618398e-03,0.0000000000000000e+00,8.0782966536945139e-03,8.0782966538575224e-03,0.0000000000000000e+00,2.7418175682590560e-34,-3.0744236551665289e-11,-3.0744458596270214e-11,1,-1,-1,1,0,-1,-1,-1,-1.9281447113901046e-01,-5.4064839932127406e-02,2.0025091060342987e-01,-2.8682146932781403e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,4.5624999999999999e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.8309810187574240e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.7729518954439989e+00,8.3886520340861737e-01,-7.7046043303676077e+00,2.7570974721560724e+00,6.3027177162149894e-01,8.8579618456615190e+03,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,1.4650491135947701e-17,-7.0440672913856109e-18,8.0783346387618398e-03,0.0000000000000000e+00,8.0782966536945139e-03,8.0782966538575224e-03,0.0000000000000000e+00,2.7418175682590560e-34,-3.0744236551665289e-11,-3.0744458596270214e-11,1,-1,-1,1,1,-1,-1,1,-1.5682288053433902e-01,2.8347690128559482e-18,1.5682288053433902e-01,3.1415926535897931e+00
