spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,F1,F2,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,1.3937500000000000e+00,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,9.3816336410222778e-01,1.3937500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2698427550993587e+01,7.7446160824276034e-01,-4.3434579828776476e+00,3.7053018119288121e-02,2.1638958327833874e-02,4.5778748606842905e+00,8.8704229370810517e-01,1.8949169403935087e+00,5.5511151231257827e-16,1.1102230246251565e-16,True,1,1,-8.6260643241016692e-17,-4.7162288699050909e-16,-2.4176750212330275e-01,1.4901161193847656e-08,-2.4176750362670116e-01,-2.4176750362657537e-01,6.0522774522252952e-11,2.2204460492503175e-16,-4.5641520473892791e-09,-4.5641513951332521e-09,0,-1,-1,-1,0,-1,-1,-1,-3.9629037250118987e-01,3.2372431232098550e-18,3.9629037250118987e-01,3.1415926535897931e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,1.3937500000000000e+00,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,9.3816336410222778e-01,1.3937500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2698427550993587e+01,7.7446160824276034e-01,-4.3434579828776476e+00,3.7053018119288121e-02,2.1638958327833874e-02,4.5778748606842905e+00,8.8704229370810517e-01,1.8949169403935087e+00,5.5511151231257827e-16,1.1102230246251565e-16,True,1,1,-8.6260643241016692e-17,-4.7162288699050909e-16,-2.4176750212330275e-01,1.4901161193847656e-08,-2.4176750362670116e-01,-2.4176750362657537e-01,6.0522774522252952e-11,2.2204460492503175e-16,-4.5641520473892791e-09,-4.5641513951332521e-09,0,-1,-1,-1,1,-1,-1,1,-1.2902093387393090e-01,3.1240489213537968e-02,1.3274927323342464e-01,2.9040298920942536e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,1.3937500000000000e+00,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,9.3816336410222778e-01,1.3937500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2698427550993587e+01,7.7446160824276034e-01,-4.3434579828776476e+00,3.7053018119288121e-02,2.1638958327833874e-02,4.5778748606842905e+00,8.8704229370810517e-01,1.8949169403935087e+00,5.5511151231257827e-16,1.1102230246251565e-16,True,1,1,-8.6260643241016692e-17,-4.7162288699050909e-16,-2.4176750212330275e-01,1.4901161193847656e-08,-2.4176750362670116e-01,-2.4176750362657537e-01,6.0522774522252952e-11,2.2204460492503175e-16,-4.5641520473892791e-09,-4.5641513951332521e-09,0,-1,-1,-1,2,-1,1,-1,-1.2083736114064850e-01,3.3546342139384580e-02,1.2540743565821030e-01,2.8707963267948964e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,1.3937500000000000e+00,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,9.3816336410222778e-01,1.3937500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2698427550993587e+01,7.7446160824276034e-01,-4.3434579828776476e+00,3.7053018119288121e-02,2.1638958327833874e-02,4.5778748606842905e+00,8.8704229370810517e-01,1.8949169403935087e+00,5.5511151231257827e-16,1.1102230246251565e-16,True,1,1,-8.6260643241016692e-17,-4.7162288699050909e-16,-2.4176750212330275e-01,1.4901161193847656e-08,-2.4176750362670116e-01,-2.4176750362657537e-01,6.0522774522252952e-11,2.2204460492503175e-16,-4.5641520473892791e-09,-4.5641513951332521e-09,0,-1,-1,-1,3,-1,1,1,-3.8000068101421342e-02,1.7221678471949307e-02,4.1720395313369962e-02,2.7160797545790696e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,1.3937500000000000e+00,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,9.3816336410222778e-01,1.3937500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2698427550993587e+01,7.7446160824276034e-01,-4.3434579828776476e+00,3.7053018119288121e-02,2.1638958327833874e-02,4.5778748606842905e+00,8.8704229370810517e-01,1.8949169403935087e+00,5.5511151231257827e-16,1.1102230246251565e-16,True,1,1,-8.6260643241016692e-17,-4.7162288699050909e-16,-2.4176750212330275e-01,1.4901161193847656e-08,-2.4176750362670116e-01,-2.4176750362657537e-01,6.0522774522252952e-11,2.2204460492503175e-16,-4.5641520473892791e-09,-4.5641513951332521e-09,0,-1,-1,-1,4,1,-1,-1,-3.8858746061636793e-17,2.9329957196829484e-17,4.8685198311710949e-17,2.4950368514415633e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,1.3937500000000000e+00,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,9.3816336410222778e-01,1.3937500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2698427550993587e+01,7.7446160824276034e-01,-4.3434579828776476e+00,3.7053018119288121e-02,2.1638958327833874e-02,4.5778748606842905e+00,8.8704229370810517e-01,1.8949169403935087e+00,5.5511151231257827e-16,1.1102230246251565e-16,True,1,1,-8.6260643241016692e-17,-4.7162288699050909e-16,-2.4176750212330275e-01,1.4901161193847656e-08,-2.4176750362670116e-01,-2.4176750362657537e-01,6.0522774522252952e-11,2.2204460492503175e-16,-4.5641520473892791e-09,-4.5641513951332521e-09,0,-1,-1,-1,5,1,-1,1,9.1208214086142955e-18,2.2782154963497435e-17,2.4540088996347335e-17,1.1899888041145137e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,1.3937500000000000e+00,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,9.3816336410222778e-01,1.3937500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2698427550993587e+01,7.7446160824276034e-01,-4.3434579828776476e+00,3.7053018119288121e-02,2.1638958327833874e-02,4.5778748606842905e+00,8.8704229370810517e-01,1.8949169403935087e+00,5.5511151231257827e-16,1.1102230246251565e-16,True,1,1,-8.6260643241016692e-17,-4.7162288699050909e-16,-2.4176750212330275e-01,1.4901161193847656e-08,-2.4176750362670116e-01,-2.4176750362657537e-01,6.0522774522252952e-11,2.2204460492503175e-16,-4.5641520473892791e-09,-4.5641513951332521e-09,0,-1,-1,-1,6,1,1,-1,-1.5093850279131892e-17,1.3512428073106289e-17,2.0258579137731275e-17,2.4114206234018232e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,1.3937500000000000e+00,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,9.3816336410222778e-01,1.3937500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2698427550993587e+01,7.7446160824276034e-01,-4.3434579828776476e+00,3.7053018119288121e-02,2.1638958327833874e-02,4.5778748606842905e+00,8.8704229370810517e-01,1.8949169403935087e+00,5.5511151231257827e-16,1.1102230246251565e-16,True,1,1,-8.6260643241016692e-17,-4.7162288699050909e-16,-2.4176750212330275e-01,1.4901161193847656e-08,-2.4176750362670116e-01,-2.4176750362657537e-01,6.0522774522252952e-11,2.2204460492503175e-16,-4.5641520473892791e-09,-4.5641513951332521e-09,0,-1,-1,-1,7,1,1,1,-1.1899550212636891e-17,1.1189355950132776e-17,1.6334043646379744e-17,2.3869439075755836e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,1.3937500000000000e+00,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,9.3816336410222778e-01,1.3937500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2698427550993587e+01,7.7446160824276034e-01,-4.3434579828776476e+00,3.7053018119288121e-02,2.1638958327833874e-02,4.5778748606842905e+00,8.8704229370810517e-01,1.8949169403935087e+00,5.5511151231257827e-16,1.1102230246251565e-16,True,1,1,-8.6260643241016692e-17,-4.7162288699050909e-16,-2.4176750212330275e-01,1.4901161193847656e-08,-2.4176750362670116e-01,-2.4176750362657537e-01,6.0522774522252952e-11,2.2204460492503175e-16,-4.5641520473892791e-09,-4.5641513951332521e-09,1,-1,-1,1,0,-1,-1,-1,-1.2902093387393090e-01,-3.1240489213537968e-02,1.3274927323342464e-01,-2.9040298920942536e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,1.3937500000000000e+00,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,9.3816336410222778e-01,1.3937500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2698427550993587e+01,7.7446160824276034e-01,-4.3434579828776476e+00,3.7053018119288121e-02,2.1638958327833874e-02,4.5778748606842905e+00,8.8704229370810517e-01,1.8949169403935087e+00,5.5511151231257827e-16,1.1102230246251565e-16,True,1,1,-8.6260643241016692e-17,-4.7162288699050909e-16,-2.4176750212330275e-01,1.4901161193847656e-08,-2.4176750362670116e-01,-2.4176750362657537e-01,6.0522774522252952e-11,2.2204460492503175e-16,-4.5641520473892791e-09,-4.5641513951332521e-09,1,-1,-1,1,1,-1,-1,1,-4.4496480216685320e-02,6.1931605720294482e-19,4.4496480216685320e-02,3.1415926535897931e+00
