spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,F1,F2,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.5491407679999998e+01,qOut,2.9999999999999999e-01,1.5491407679999998e+01,3.9359125600043505e+00,1.8561849961402406e+00,1.6828073846391449e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,7.4188251104480321e+00,8.6519240697604660e-01,-6.2538072062274583e+00,2.0262039646727580e-02,9.4572378748047151e-03,2.0357879821029909e+00,5.8684814851732725e-01,1.4190506563874804e+01,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,-1.7262274066572254e-17,-3.9205683566294202e-17,-1.9778443625411458e-02,0.0000000000000000e+00,-1.9778448534786344e-02,-1.9778448534716119e-02,0.0000000000000000e+00,3.5067981878675414e-33,-4.0982669941023780e-10,-4.0982603327642303e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.6782358319999997e+01,qOut,2.9999999999999999e-01,1.6782358319999997e+01,4.0966276765163796e+00,1.9409274622587744e+00,1.7690374255446943e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.0873095812001541e+00,8.7066020188654647e-01,-6.8731713220279218e+00,1.7180955776419815e-02,7.5402319028729601e-03,2.0812437955194540e+00,5.8410319209947514e-01,1.0033416216271920e+01,8.8817841970012523e-16,1.1102230246251565e-16,True,1,1,-4.8113299157058228e-17,-4.2077532352118679e-17,-1.7970543076409693e-02,2.1073424255447017e-08,-1.7970543117241437e-02,-1.7970543117231046e-02,8.2604413171316277e-11,4.4408920985006271e-16,-3.1358525071610317e-10,-3.1358480673531353e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.8073308959999999e+01,qOut,2.9999999999999999e-01,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.8515410179402194e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.7549434060180058e+00,8.7546862892926780e-01,-7.4937454313009582e+00,1.4727948060597226e-02,6.1015946341548442e-03,2.1251942843745835e+00,5.8163341209336938e-01,7.2620149785735091e+00,4.4408920985006262e-16,5.5511151231257827e-17,True,1,1,-2.2548674266579773e-17,-1.0385701121014475e-17,-1.6470252932233073e-02,0.0000000000000000e+00,-1.6470254034901002e-02,-1.6470254034933952e-02,0.0000000000000000e+00,1.2330171250844463e-33,-3.5760413395569482e-10,-3.5760435599691161e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,2.9999999999999999e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.9307630924636907e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.4218077742891033e+00,8.7974200188956631e-01,-8.1153718161423498e+00,1.2745037876316954e-02,5.0013393915817233e-03,2.1677758471593913e+00,5.7939292500264350e-01,5.3636041000701224e+00,-8.8817841970012523e-16,0.0000000000000000e+00,True,1,1,-6.1982318262068551e-17,-4.1351596144338373e-17,-1.5205965852216301e-02,0.0000000000000000e+00,-1.5205955310053211e-02,-1.5205955310077171e-02,0.0000000000000000e+00,6.9499403124888669e-33,2.5835102252771882e-11,2.5834214128562290e-11
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,2.0655210239999995e+01,qOut,2.9999999999999999e-01,2.0655210239999995e+01,4.5448003520506806e+00,2.1756034047873034e+00,2.0070665971092763e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0087972679678296e+01,8.8357407715694158e-01,-8.7379243249322673e+00,1.1120699448281335e-02,4.1459917963361714e-03,2.2091060949522152e+00,5.7734631238012990e-01,4.0321974389909840e+00,-2.2204460492503131e-16,5.5511151231257827e-17,True,1,1,-3.9747283534811183e-17,-3.1085708634572627e-17,-1.4126465607098480e-02,0.0000000000000000e+00,-1.4126468301830231e-02,-1.4126468301965889e-02,0.0000000000000000e+00,4.0668818420735282e-33,-1.2232310505155375e-10,-1.2232399322658532e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,2.1946160879999997e+01,qOut,2.9999999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,2.0807521844140568e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0753498756644710e+01,8.8703706145586314e-01,-9.3613002300028629e+00,9.7745897466949769e-03,3.4714252594161884e-03,2.2492871405014645e+00,5.7546565762786428e-01,3.0790184609940505e+00,-2.2204460492503131e-16,-1.1102230246251565e-16,True,1,1,-2.8325845030860373e-17,-9.8278393031800063e-18,-1.3194261118171634e-02,2.1073424255447017e-08,-1.3194263528616934e-02,-1.3194263528492988e-02,7.8196249862022285e-11,4.4408920985006271e-16,-3.3513287201511043e-10,-3.3513153974748088e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,2.3237111519999996e+01,qOut,2.9999999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.1520722128141747e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1418438811976714e+01,8.9018758166121803e-01,-9.9854145818759648e+00,8.6475838366734965e-03,2.9326328483555209e-03,2.2884082233478882e+00,5.7372856606246880e-01,2.3840903356427341e+00,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,-1.5233838947182891e-17,-1.2840087354380099e-17,-1.2381225264533764e-02,2.1073424255447017e-08,-1.2381237391602247e-02,-1.2381237391531750e-02,7.6641127368172834e-11,4.4408920985006271e-16,-3.9759916903760325e-10,-3.9759872495008747e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,2.4528062159999998e+01,qOut,2.9999999999999999e-01,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,2.2212409476235768e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2082839084930187e+01,8.9307075451908147e-01,-1.0610196190282775e+01,7.6954718025769604e-03,2.4973858260244094e-03,2.3265478138704756e+00,5.7211679997461007e-01,1.8691965988487662e+00,2.2204460492503131e-16,1.1102230246251565e-16,True,1,1,-3.7480290407588842e-17,-1.4284185366196800e-17,-1.1665935167540857e-02,0.0000000000000000e+00,-1.1665933870017565e-02,-1.1665933869981561e-02,0.0000000000000000e+00,2.4352025606068763e-33,-1.3996245301452280e-10,-1.3996223096991787e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,2.5819012799999996e+01,qOut,2.9999999999999999e-01,2.5819012799999996e+01,5.0812412656751498e+00,2.4540429686412759e+00,2.2884421503451335e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2746740279672110e+01,8.9572303034623701e-01,-1.1235584697023736e+01,6.8842768873858115e-03,2.1421897800260521e-03,2.3637753094517331e+00,5.7061531213196826e-01,1.4820262486106746e+00,0.0000000000000000e+00,5.5511151231257827e-17,True,1,1,-4.1698480931595907e-18,1.0351813673124252e-17,-1.1031777982101119e-02,0.0000000000000000e+00,-1.1031778645619102e-02,-1.1031778645676888e-02,0.0000000000000000e+00,-1.9183494578735358e-34,-2.4694256869690521e-10,-2.4694256869521114e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.5491407679999998e+01,qOut,4.5624999999999999e-01,1.5491407679999998e+01,3.9359125600043505e+00,1.8561849961402406e+00,1.5787096045608233e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,7.7326424865096959e+00,8.2189507721188892e-01,-5.8785123532048580e+00,2.2532175892602108e-02,1.0941212184851343e-02,2.5555100688123584e+00,6.4389470979070840e-01,7.0908241090476736e+00,-4.4408920985006262e-16,0.0000000000000000e+00,True,1,1,-2.2926725691608070e-17,-6.6022663986238153e-17,-3.5402819504681847e-02,-2.1073424255447017e-08,-3.5402815792291251e-02,-3.5402815792249673e-02,-9.7618036176581366e-10,-4.4408920985006271e-16,3.5000136550935798e-11,3.5000136767776233e-11
