spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,1.2687499999999998e+00,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.2687499999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7245407937374377e+00,5.9204158624366898e-01,-7.4864331152853367e+00,4.1353858617957160e+00,3.8670685479420214e-01,4.9125746538780092e+01,3.5527136788005009e-15,2.7755575615628914e-17,True,1,1,-8.7852191459325314e-18,-1.5951148961376064e-17,4.6539348939922606e-02,0.0000000000000000e+00,4.6539347581429233e-02,4.6539347581428969e-02,0.0000000000000000e+00,6.9052221037036166e-34,-2.6002543868086647e-11,-2.6002764177968096e-11,0,-1,-1,-1,0,-1,-1,-1,-2.5486887690458626e-01,-4.1711108241643357e-18,2.5486887690458626e-01,-3.1415926535897931e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,1.2687499999999998e+00,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.2687499999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7245407937374377e+00,5.9204158624366898e-01,-7.4864331152853367e+00,4.1353858617957160e+00,3.8670685479420214e-01,4.9125746538780092e+01,3.5527136788005009e-15,2.7755575615628914e-17,True,1,1,-8.7852191459325314e-18,-1.5951148961376064e-17,4.6539348939922606e-02,0.0000000000000000e+00,4.6539347581429233e-02,4.6539347581428969e-02,0.0000000000000000e+00,6.9052221037036166e-34,-2.6002543868086647e-11,-2.6002764177968096e-11,0,-1,-1,-1,1,-1,-1,1,1.5449106896009454e-01,-4.7763419196716506e-02,1.6170601288076444e-01,-2.9984480835284755e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,1.2687499999999998e+00,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.2687499999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7245407937374377e+00,5.9204158624366898e-01,-7.4864331152853367e+00,4.1353858617957160e+00,3.8670685479420214e-01,4.9125746538780092e+01,3.5527136788005009e-15,2.7755575615628914e-17,True,1,1,-8.7852191459325314e-18,-1.5951148961376064e-17,4.6539348939922606e-02,0.0000000000000000e+00,4.6539347581429233e-02,4.6539347581428969e-02,0.0000000000000000e+00,6.9052221037036166e-34,-2.6002543868086647e-11,-2.6002764177968096e-11,0,-1,-1,-1,2,-1,1,-1,5.8534175008888205e-03,-1.8238067157536550e-03,6.1309678988019228e-03,-3.0204632679489685e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,1.2687499999999998e+00,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.2687499999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7245407937374377e+00,5.9204158624366898e-01,-7.4864331152853367e+00,4.1353858617957160e+00,3.8670685479420214e-01,4.9125746538780092e+01,3.5527136788005009e-15,2.7755575615628914e-17,True,1,1,-8.7852191459325314e-18,-1.5951148961376064e-17,4.6539348939922606e-02,0.0000000000000000e+00,4.6539347581429233e-02,4.6539347581428969e-02,0.0000000000000000e+00,6.9052221037036166e-34,-2.6002543868086647e-11,-2.6002764177968096e-11,0,-1,-1,-1,3,-1,1,1,-1.1495419924976890e-02,7.3912243931946297e-03,1.3666560550559566e-02,2.5701744455829831e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,1.2687499999999998e+00,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.2687499999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7245407937374377e+00,5.9204158624366898e-01,-7.4864331152853367e+00,4.1353858617957160e+00,3.8670685479420214e-01,4.9125746538780092e+01,3.5527136788005009e-15,2.7755575615628914e-17,True,1,1,-8.7852191459325314e-18,-1.5951148961376064e-17,4.6539348939922606e-02,0.0000000000000000e+00,4.6539347581429233e-02,4.6539347581428969e-02,0.0000000000000000e+00,6.9052221037036166e-34,-2.6002543868086647e-11,-2.6002764177968096e-11,0,-1,-1,-1,4,1,-1,-1,-1.3610129247455240e-18,4.8570059661430727e-18,5.0440919040471265e-18,1.8440057240840022e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,1.2687499999999998e+00,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.2687499999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7245407937374377e+00,5.9204158624366898e-01,-7.4864331152853367e+00,4.1353858617957160e+00,3.8670685479420214e-01,4.9125746538780092e+01,3.5527136788005009e-15,2.7755575615628914e-17,True,1,1,-8.7852191459325314e-18,-1.5951148961376064e-17,4.6539348939922606e-02,0.0000000000000000e+00,4.6539347581429233e-02,4.6539347581428969e-02,0.0000000000000000e+00,6.9052221037036166e-34,-2.6002543868086647e-11,-2.6002764177968096e-11,0,-1,-1,-1,5,1,-1,1,3.6171201354913164e-18,-2.6260806116601848e-18,4.4698833825407852e-18,-6.2797265413040249e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,1.2687499999999998e+00,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.2687499999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7245407937374377e+00,5.9204158624366898e-01,-7.4864331152853367e+00,4.1353858617957160e+00,3.8670685479420214e-01,4.9125746538780092e+01,3.5527136788005009e-15,2.7755575615628914e-17,True,1,1,-8.7852191459325314e-18,-1.5951148961376064e-17,4.6539348939922606e-02,0.0000000000000000e+00,4.6539347581429233e-02,4.6539347581428969e-02,0.0000000000000000e+00,6.9052221037036166e-34,-2.6002543868086647e-11,-2.6002764177968096e-11,0,-1,-1,-1,6,1,1,-1,8.8851876149707591e-19,-1.2440388216474881e-18,1.5287570700730606e-18,-9.5058963478293890e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,1.2687499999999998e+00,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.2687499999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7245407937374377e+00,5.9204158624366898e-01,-7.4864331152853367e+00,4.1353858617957160e+00,3.8670685479420214e-01,4.9125746538780092e+01,3.5527136788005009e-15,2.7755575615628914e-17,True,1,1,-8.7852191459325314e-18,-1.5951148961376064e-17,4.6539348939922606e-02,0.0000000000000000e+00,4.6539347581429233e-02,4.6539347581428969e-02,0.0000000000000000e+00,6.9052221037036166e-34,-2.6002543868086647e-11,-2.6002764177968096e-11,0,-1,-1,-1,7,1,1,1,-2.9165907587778544e-19,8.7417543115878195e-19,9.2154636399018262e-19,1.8928220168993679e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,1.2687499999999998e+00,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.2687499999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7245407937374377e+00,5.9204158624366898e-01,-7.4864331152853367e+00,4.1353858617957160e+00,3.8670685479420214e-01,4.9125746538780092e+01,3.5527136788005009e-15,2.7755575615628914e-17,True,1,1,-8.7852191459325314e-18,-1.5951148961376064e-17,4.6539348939922606e-02,0.0000000000000000e+00,4.6539347581429233e-02,4.6539347581428969e-02,0.0000000000000000e+00,6.9052221037036166e-34,-2.6002543868086647e-11,-2.6002764177968096e-11,1,-1,-1,1,0,-1,-1,-1,1.5449106896009454e-01,4.7763419196716506e-02,1.6170601288076444e-01,2.9984480835284755e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,1.2687499999999998e+00,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.2687499999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7245407937374377e+00,5.9204158624366898e-01,-7.4864331152853367e+00,4.1353858617957160e+00,3.8670685479420214e-01,4.9125746538780092e+01,3.5527136788005009e-15,2.7755575615628914e-17,True,1,1,-8.7852191459325314e-18,-1.5951148961376064e-17,4.6539348939922606e-02,0.0000000000000000e+00,4.6539347581429233e-02,4.6539347581428969e-02,0.0000000000000000e+00,6.9052221037036166e-34,-2.6002543868086647e-11,-2.6002764177968096e-11,1,-1,-1,1,1,-1,-1,1,-1.0332502903281764e-01,-3.7167702850475337e-19,1.0332502903281764e-01,-3.1415926535897931e+00
