Q2,t,squared_amplitude_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
1.0000000000000000e+00,-8.0000000000000004e-01,9.1243618563907546e+01,1.0000000000000000e+00,True,1,1,4.7747783510929100e-17,1.6489707977571095e-16,4.3586732768869724e-01,0.0000000000000000e+00,4.3586733216442652e-01,4.3586733216442652e-01,0.0000000000000000e+00,-2.9470897748763738e-32,3.9016483377452005e-09,3.9016483377452005e-09
1.2500000000000000e+00,-8.0000000000000004e-01,9.2934617693661806e+01,1.0000000000000000e+00,True,1,1,9.8498702611223361e-18,2.3284431327570865e-17,3.8820980722306675e-01,0.0000000000000000e+00,3.8820981262279242e-01,3.8820981262279242e-01,0.0000000000000000e+00,-6.3918468640930569e-34,4.1924529403658539e-09,4.1924529403658539e-09
1.5000000000000000e+00,-8.0000000000000004e-01,1.0081255131546611e+02,9.9999999999999989e-01,True,1,1,6.9914534432047779e-18,4.5110181308397307e-17,3.3871891594462900e-01,0.0000000000000000e+00,3.3871891993153502e-01,3.3871891993153402e-01,0.0000000000000000e+00,-2.0838088789249779e-33,2.7008809910800124e-09,2.7008803110684099e-09
1.7500000000000000e+00,-8.0000000000000004e-01,1.1382511405448925e+02,1.0000000000000000e+00,True,1,1,2.3693874866105207e-17,1.0585553537948500e-16,2.9408686100087700e-01,0.0000000000000000e+00,2.9408686309932819e-01,2.9408686309932819e-01,0.0000000000000000e+00,-1.1766794076648053e-32,1.2342538519005686e-09,1.2342538519005686e-09
2.0000000000000000e+00,-8.0000000000000004e-01,1.3297684653239287e+02,9.9999999999999989e-01,True,1,1,2.0014031065848747e-17,3.5895073523066135e-17,2.5546308572068216e-01,2.1073424255447017e-08,2.5546308624037056e-01,2.5546308624037056e-01,6.2163095532485089e-09,4.4408920985006271e-16,2.6552240961486007e-10,2.6552240961486007e-10
2.2500000000000000e+00,-8.0000000000000004e-01,1.6114084670791618e+02,1.0000000000000000e+00,True,1,1,7.1786716514911784e-17,1.0003085755657977e-16,2.2230882730429502e-01,0.0000000000000000e+00,2.2230882844723754e-01,2.2230882844723754e-01,0.0000000000000000e+00,-1.5159505131497059e-32,5.0817242081002689e-10,5.0817242081002689e-10
2.5000000000000000e+00,-8.0000000000000004e-01,2.0453121535913164e+02,1.0000000000000002e+00,True,1,1,1.4494618015859694e-17,6.3724064989607311e-17,1.9341796594536470e-01,0.0000000000000000e+00,1.9341796882845275e-01,1.9341796882845275e-01,0.0000000000000000e+00,-4.2708504102253805e-33,1.1152820611481928e-09,1.1152820611481928e-09
2.7500000000000000e+00,-8.0000000000000004e-01,2.7799973051404373e+02,1.0000000000000000e+00,True,1,1,4.4246868923574816e-17,1.0206548710558405e-16,1.6698196304604923e-01,0.0000000000000000e+00,1.6698196304604862e-01,1.6698196304604862e-01,0.0000000000000000e+00,-1.2375149067640156e-32,-2.0469737016526324e-16,-2.0469737016526324e-16
3.0000000000000000e+00,-8.0000000000000004e-01,4.2923451012930065e+02,1.0000000000000000e+00,True,1,1,8.3528944737656479e-18,3.5499475853350185e-17,1.3975477427840219e-01,1.4901161193847656e-08,1.3975477580052245e-01,1.3975477580052245e-01,2.4046736189415253e-09,2.2204460492503131e-16,4.2544714973224984e-10,4.2544714973224984e-10
1.0000000000000000e+00,-7.2500000000000009e-01,1.0328692625390133e+02,1.0000000000000000e+00,True,1,1,4.7543331698415544e-18,1.5921468206300081e-17,4.3669918102690075e-01,2.1073424255447017e-08,4.3669918665208429e-01,4.3669918665208479e-01,1.0626417197817068e-08,4.4408920985006271e-16,4.9130261248198082e-09,4.9130265689090180e-09
1.2500000000000000e+00,-7.2500000000000009e-01,1.0574421136806222e+02,1.0000000000000000e+00,True,1,1,1.0580756819923844e-17,2.9540798939847672e-17,3.8858188909646685e-01,0.0000000000000000e+00,3.8858189495962187e-01,3.8858189495962248e-01,0.0000000000000000e+00,-9.8461121688687033e-34,4.5566317385947741e-09,4.5566322104395596e-09
