spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.8847579660929682e+01,4.4423789830464827e+01,4.9999999999999994e-01,True,1,1,2.2955041557887182e-01,8.5881826867090352e-02,1.2385057550867103e-01,3.6011691924750572e-01,3.7100872265956292e-01,3.0385813222352970e-01,1.1658636381533986e-01,6.9615114049852933e-02,6.9615113943218718e-02,6.9615111278514163e-02,0,-1,-1,-1,0,-1,-1,-1,2.2285422685752811e-02,0.0000000000000000e+00,2.2285422685752811e-02,0.0000000000000000e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.8847579660929682e+01,4.4423789830464827e+01,4.9999999999999994e-01,True,1,1,2.2955041557887182e-01,8.5881826867090352e-02,1.2385057550867103e-01,3.6011691924750572e-01,3.7100872265956292e-01,3.0385813222352970e-01,1.1658636381533986e-01,6.9615114049852933e-02,6.9615113943218718e-02,6.9615111278514163e-02,0,-1,-1,-1,1,-1,-1,1,2.9820412829397584e-03,3.4812562924848984e-17,2.9820412829397584e-03,1.1674071423494860e-14
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.8847579660929682e+01,4.4423789830464827e+01,4.9999999999999994e-01,True,1,1,2.2955041557887182e-01,8.5881826867090352e-02,1.2385057550867103e-01,3.6011691924750572e-01,3.7100872265956292e-01,3.0385813222352970e-01,1.1658636381533986e-01,6.9615114049852933e-02,6.9615113943218718e-02,6.9615111278514163e-02,0,-1,-1,-1,2,-1,1,-1,5.4304773462300934e-02,-7.0694103875573168e-17,5.4304773462300934e-02,-1.3018027581801794e-15
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.8847579660929682e+01,4.4423789830464827e+01,4.9999999999999994e-01,True,1,1,2.2955041557887182e-01,8.5881826867090352e-02,1.2385057550867103e-01,3.6011691924750572e-01,3.7100872265956292e-01,3.0385813222352970e-01,1.1658636381533986e-01,6.9615114049852933e-02,6.9615113943218718e-02,6.9615111278514163e-02,0,-1,-1,-1,3,-1,1,1,-4.2806276828441373e-04,-1.0006415310703929e-18,4.2806276828441373e-04,-3.1415926535897909e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.8847579660929682e+01,4.4423789830464827e+01,4.9999999999999994e-01,True,1,1,2.2955041557887182e-01,8.5881826867090352e-02,1.2385057550867103e-01,3.6011691924750572e-01,3.7100872265956292e-01,3.0385813222352970e-01,1.1658636381533986e-01,6.9615114049852933e-02,6.9615113943218718e-02,6.9615111278514163e-02,0,-1,-1,-1,4,1,-1,-1,5.2401105138462798e-03,-3.5768444746681971e-03,6.3444916733562456e-03,-5.9894525376496299e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.8847579660929682e+01,4.4423789830464827e+01,4.9999999999999994e-01,True,1,1,2.2955041557887182e-01,8.5881826867090352e-02,1.2385057550867103e-01,3.6011691924750572e-01,3.7100872265956292e-01,3.0385813222352970e-01,1.1658636381533986e-01,6.9615114049852933e-02,6.9615113943218718e-02,6.9615111278514163e-02,0,-1,-1,-1,5,1,-1,1,-8.8679231019812427e-03,6.0531512961970969e-03,1.0736885058400560e-02,2.5426473998248218e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.8847579660929682e+01,4.4423789830464827e+01,4.9999999999999994e-01,True,1,1,2.2955041557887182e-01,8.5881826867090352e-02,1.2385057550867103e-01,3.6011691924750572e-01,3.7100872265956292e-01,3.0385813222352970e-01,1.1658636381533986e-01,6.9615114049852933e-02,6.9615113943218718e-02,6.9615111278514163e-02,0,-1,-1,-1,6,1,1,-1,3.6575752874909120e-02,-2.4966225279363888e-02,4.4284287315777944e-02,-5.9894525376496788e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.8847579660929682e+01,4.4423789830464827e+01,4.9999999999999994e-01,True,1,1,2.2955041557887182e-01,8.5881826867090352e-02,1.2385057550867103e-01,3.6011691924750572e-01,3.7100872265956292e-01,3.0385813222352970e-01,1.1658636381533986e-01,6.9615114049852933e-02,6.9615113943218718e-02,6.9615111278514163e-02,0,-1,-1,-1,7,1,1,1,4.3930603803090416e-18,6.8336494804807317e-19,4.4458932912589979e-18,1.5431877592611903e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.8847579660929682e+01,4.4423789830464827e+01,4.9999999999999994e-01,True,1,1,2.2955041557887182e-01,8.5881826867090352e-02,1.2385057550867103e-01,3.6011691924750572e-01,3.7100872265956292e-01,3.0385813222352970e-01,1.1658636381533986e-01,6.9615114049852933e-02,6.9615113943218718e-02,6.9615111278514163e-02,1,-1,-1,1,0,-1,-1,-1,2.9820412829397584e-03,-3.4812562924848984e-17,2.9820412829397584e-03,-1.1674071423494860e-14
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.8847579660929682e+01,4.4423789830464827e+01,4.9999999999999994e-01,True,1,1,2.2955041557887182e-01,8.5881826867090352e-02,1.2385057550867103e-01,3.6011691924750572e-01,3.7100872265956292e-01,3.0385813222352970e-01,1.1658636381533986e-01,6.9615114049852933e-02,6.9615113943218718e-02,6.9615111278514163e-02,1,-1,-1,1,1,-1,-1,1,8.8398174046703332e-02,0.0000000000000000e+00,8.8398174046703332e-02,0.0000000000000000e+00
