spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-4.0000000000000002e-01,1.0471975511965976e+00,4.2153578625727727e+02,2.1076789312863860e+02,5.0000000000000000e-01,True,1,1,4.8329021841295977e-02,6.6221330882072618e-02,3.2168114802658077e-01,9.9313654654063208e-02,3.3008589618853568e-01,3.3317603268067891e-01,3.7583661672357396e-02,3.1422429848171228e-03,3.1422435147533262e-03,3.1422430933449041e-03,0,-1,-1,-1,0,-1,-1,-1,9.0924088312064763e-02,0.0000000000000000e+00,9.0924088312064763e-02,0.0000000000000000e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-4.0000000000000002e-01,1.0471975511965976e+00,4.2153578625727727e+02,2.1076789312863860e+02,5.0000000000000000e-01,True,1,1,4.8329021841295977e-02,6.6221330882072618e-02,3.2168114802658077e-01,9.9313654654063208e-02,3.3008589618853568e-01,3.3317603268067891e-01,3.7583661672357396e-02,3.1422429848171228e-03,3.1422435147533262e-03,3.1422430933449041e-03,0,-1,-1,-1,1,-1,-1,1,5.1120858550045126e-02,1.0383341047202238e-02,5.2164700231058903e-02,2.0038759485437910e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-4.0000000000000002e-01,1.0471975511965976e+00,4.2153578625727727e+02,2.1076789312863860e+02,5.0000000000000000e-01,True,1,1,4.8329021841295977e-02,6.6221330882072618e-02,3.2168114802658077e-01,9.9313654654063208e-02,3.3008589618853568e-01,3.3317603268067891e-01,3.7583661672357396e-02,3.1422429848171228e-03,3.1422435147533262e-03,3.1422430933449041e-03,0,-1,-1,-1,2,-1,1,-1,3.3609517529286496e-03,-3.4746679454798708e-02,3.4908848875608099e-02,-1.4743690312232167e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-4.0000000000000002e-01,1.0471975511965976e+00,4.2153578625727727e+02,2.1076789312863860e+02,5.0000000000000000e-01,True,1,1,4.8329021841295977e-02,6.6221330882072618e-02,3.2168114802658077e-01,9.9313654654063208e-02,3.3008589618853568e-01,3.3317603268067891e-01,3.7583661672357396e-02,3.1422429848171228e-03,3.1422435147533262e-03,3.1422430933449041e-03,0,-1,-1,-1,3,-1,1,1,-7.2705311304395161e-05,2.5115149900969535e-04,2.6146345394086344e-04,1.8525812786391418e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-4.0000000000000002e-01,1.0471975511965976e+00,4.2153578625727727e+02,2.1076789312863860e+02,5.0000000000000000e-01,True,1,1,4.8329021841295977e-02,6.6221330882072618e-02,3.2168114802658077e-01,9.9313654654063208e-02,3.3008589618853568e-01,3.3317603268067891e-01,3.7583661672357396e-02,3.1422429848171228e-03,3.1422435147533262e-03,3.1422430933449041e-03,0,-1,-1,-1,4,1,-1,-1,7.6899057651413139e-02,-2.9631719106624699e-02,8.2410580903724176e-02,-3.6779853418765479e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-4.0000000000000002e-01,1.0471975511965976e+00,4.2153578625727727e+02,2.1076789312863860e+02,5.0000000000000000e-01,True,1,1,4.8329021841295977e-02,6.6221330882072618e-02,3.2168114802658077e-01,9.9313654654063208e-02,3.3008589618853568e-01,3.3317603268067891e-01,3.7583661672357396e-02,3.1422429848171228e-03,3.1422435147533262e-03,3.1422430933449041e-03,0,-1,-1,-1,5,1,-1,1,5.3709680828526313e-02,-3.4396829770986094e-03,5.3819710457090983e-02,-6.3954802223250437e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-4.0000000000000002e-01,1.0471975511965976e+00,4.2153578625727727e+02,2.1076789312863860e+02,5.0000000000000000e-01,True,1,1,4.8329021841295977e-02,6.6221330882072618e-02,3.2168114802658077e-01,9.9313654654063208e-02,3.3008589618853568e-01,3.3317603268067891e-01,3.7583661672357396e-02,3.1422429848171228e-03,3.1422435147533262e-03,3.1422430933449041e-03,0,-1,-1,-1,6,1,1,-1,-1.2541168587778651e-02,-2.6050608656239538e-02,2.8912196749946696e-02,-2.0194661613710907e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-4.0000000000000002e-01,1.0471975511965976e+00,4.2153578625727727e+02,2.1076789312863860e+02,5.0000000000000000e-01,True,1,1,4.8329021841295977e-02,6.6221330882072618e-02,3.2168114802658077e-01,9.9313654654063208e-02,3.3008589618853568e-01,3.3317603268067891e-01,3.7583661672357396e-02,3.1422429848171228e-03,3.1422435147533262e-03,3.1422430933449041e-03,0,-1,-1,-1,7,1,1,1,1.3498007017917091e-18,-1.0535029867642607e-18,1.7122588816176742e-18,-6.6272950789299157e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-4.0000000000000002e-01,1.0471975511965976e+00,4.2153578625727727e+02,2.1076789312863860e+02,5.0000000000000000e-01,True,1,1,4.8329021841295977e-02,6.6221330882072618e-02,3.2168114802658077e-01,9.9313654654063208e-02,3.3008589618853568e-01,3.3317603268067891e-01,3.7583661672357396e-02,3.1422429848171228e-03,3.1422435147533262e-03,3.1422430933449041e-03,1,-1,-1,1,0,-1,-1,-1,5.1120858550045126e-02,-1.0383341047202238e-02,5.2164700231058903e-02,-2.0038759485437910e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-4.0000000000000002e-01,1.0471975511965976e+00,4.2153578625727727e+02,2.1076789312863860e+02,5.0000000000000000e-01,True,1,1,4.8329021841295977e-02,6.6221330882072618e-02,3.2168114802658077e-01,9.9313654654063208e-02,3.3008589618853568e-01,3.3317603268067891e-01,3.7583661672357396e-02,3.1422429848171228e-03,3.1422435147533262e-03,3.1422430933449041e-03,1,-1,-1,1,1,-1,-1,1,3.9121327880632453e-02,0.0000000000000000e+00,3.9121327880632453e-02,0.0000000000000000e+00
