spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.3396031725380169e+01,4.1698015862690085e+01,5.0000000000000000e-01,True,1,1,1.9369938855213337e-01,3.4045433059036324e-02,1.7985673222199386e-01,2.5913164721988957e-01,3.1358980081217341e-01,2.4895421483109367e-01,7.2339928840879766e-02,2.8470665953245648e-02,2.8470665922374259e-02,2.8470665444415011e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.8847579660929682e+01,4.4423789830464827e+01,4.9999999999999994e-01,True,1,1,2.2955041557887182e-01,8.5881826867090352e-02,1.2385057550867103e-01,3.6011691924750572e-01,3.7100872265956292e-01,3.0385813222352970e-01,1.1658636381533986e-01,6.9615114049852933e-02,6.9615113943218718e-02,6.9615111278514163e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,1.0505825648680468e+02,5.2529128243402326e+01,4.9999999999999989e-01,True,1,1,2.3368757885450797e-01,2.0064973392991003e-01,2.4479322549941607e-01,4.4265329053067876e-01,4.6433322376717290e-01,4.4861539692387226e-01,2.0392972324834249e-01,1.0107173538061193e-01,1.0107173493272562e-01,1.0107173538061182e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,1.2560172817056961e+02,6.2800864085284793e+01,4.9999999999999994e-01,True,1,1,2.2877026816120094e-01,3.0133783755422444e-01,2.7764722616393273e-01,5.1740888028811205e-01,5.0397960102928752e-01,5.4079949427786955e-01,2.7045515186834751e-01,1.2457162146459390e-01,1.2457162046256605e-01,1.2457161847281729e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,1.4998612999769580e+02,7.4993064998847899e+01,4.9999999999999989e-01,True,1,1,2.2035080958626230e-01,3.9053271065114514e-01,2.7118930114121964e-01,5.8610493016517295e-01,5.1434116006850972e-01,6.0704871941536154e-01,3.1943677497962980e-01,1.4244871179006996e-01,1.4244871260183598e-01,1.4244871260183617e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,1.7944293033106106e+02,8.9721465165530532e+01,4.9999999999999989e-01,True,1,1,2.0956432468847316e-01,4.7007560207029064e-01,2.4589801690035357e-01,6.4829327468218656e-01,5.0968512923250642e-01,6.6093327671598634e-01,3.5475949994730932e-01,1.5539589215427096e-01,1.5539589006309440e-01,1.5539588989325775e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,2.1642790962917491e+02,1.0821395481458742e+02,4.9999999999999989e-01,True,1,1,1.9648323172674553e-01,5.4063867458506831e-01,2.1106577865415665e-01,7.0304270938711144e-01,4.9651549149078444e-01,7.0725677971965795e-01,3.7838384415949156e-01,1.6337321441548508e-01,1.6337321002166380e-01,1.6337321308343591e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,2.6511115768605021e+02,1.3255557884302507e+02,4.9999999999999989e-01,True,1,1,1.8094615979049558e-01,6.0232671834983020e-01,1.7152451959962187e-01,7.4948176884814888e-01,4.7785573962051170e-01,7.4726305146789129e-01,3.9132228428671673e-01,1.6618393345474675e-01,1.6618393432145767e-01,1.6618393162714756e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,3.3287409408925032e+02,1.6643704704462510e+02,4.9999999999999978e-01,True,1,1,1.6275433627700353e-01,6.5516429762110362e-01,1.3021789625588898e-01,7.8707283336481637e-01,4.5519236544254532e-01,7.8099383637616948e-01,3.9431601122273535e-01,1.6375441416659803e-01,1.6375441507490232e-01,1.6375441507490351e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,2.1708309850124522e+02,4.9999999999999989e-01,True,1,1,1.4166659096040041e-01,6.9946120967762293e-01,8.9244666287271512e-02,8.1581554701309156e-01,4.2927104600314159e-01,8.0836266234830290e-01,3.8816339237256781e-01,1.5623959991024483e-01,1.5623959748156344e-01,1.5623959957442637e-01
