spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.7653355288637101e+02,1.3826677644318551e+02,4.9999999999999994e-01,True,1,1,1.4654272111160047e-01,4.4610667534043708e-01,3.1492625248700157e-01,5.5008832964162102e-01,4.5029384259853994e-01,6.1668545163982291e-01,2.7675724261535445e-01,8.2111235513818270e-02,8.2111231065859672e-02,8.2111235975407551e-02,0,-1,-1,-1,0,-1,-1,-1,1.2489828939452728e-01,0.0000000000000000e+00,1.2489828939452728e-01,0.0000000000000000e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.7653355288637101e+02,1.3826677644318551e+02,4.9999999999999994e-01,True,1,1,1.4654272111160047e-01,4.4610667534043708e-01,3.1492625248700157e-01,5.5008832964162102e-01,4.5029384259853994e-01,6.1668545163982291e-01,2.7675724261535445e-01,8.2111235513818270e-02,8.2111231065859672e-02,8.2111235975407551e-02,0,-1,-1,-1,1,-1,-1,1,2.1079980733763957e-02,2.4292038245932485e-02,3.2163157647807319e-02,8.5607404779431173e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.7653355288637101e+02,1.3826677644318551e+02,4.9999999999999994e-01,True,1,1,1.4654272111160047e-01,4.4610667534043708e-01,3.1492625248700157e-01,5.5008832964162102e-01,4.5029384259853994e-01,6.1668545163982291e-01,2.7675724261535445e-01,8.2111235513818270e-02,8.2111231065859672e-02,8.2111235975407551e-02,0,-1,-1,-1,2,-1,1,-1,4.0577888298562084e-02,-5.6451017494179238e-02,6.9521812367764932e-02,-9.4755355336499159e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.7653355288637101e+02,1.3826677644318551e+02,4.9999999999999994e-01,True,1,1,1.4654272111160047e-01,4.4610667534043708e-01,3.1492625248700157e-01,5.5008832964162102e-01,4.5029384259853994e-01,6.1668545163982291e-01,2.7675724261535445e-01,8.2111235513818270e-02,8.2111231065859672e-02,8.2111235975407551e-02,0,-1,-1,-1,3,-1,1,1,-1.3320456833951378e-03,1.0425062279113479e-03,1.6914978385695818e-03,2.4775298732548543e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.7653355288637101e+02,1.3826677644318551e+02,4.9999999999999994e-01,True,1,1,1.4654272111160047e-01,4.4610667534043708e-01,3.1492625248700157e-01,5.5008832964162102e-01,4.5029384259853994e-01,6.1668545163982291e-01,2.7675724261535445e-01,8.2111235513818270e-02,8.2111231065859672e-02,8.2111235975407551e-02,0,-1,-1,-1,4,1,-1,-1,3.9664327823018451e-02,-4.2554655854532691e-02,5.8173513187270966e-02,-8.2053771580675372e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.7653355288637101e+02,1.3826677644318551e+02,4.9999999999999994e-01,True,1,1,1.4654272111160047e-01,4.4610667534043708e-01,3.1492625248700157e-01,5.5008832964162102e-01,4.5029384259853994e-01,6.1668545163982291e-01,2.7675724261535445e-01,8.2111235513818270e-02,8.2111231065859672e-02,8.2111235975407551e-02,0,-1,-1,-1,5,1,-1,1,6.1515205326488312e-02,3.1571334322335325e-02,6.9143832966163263e-02,4.7417403098483246e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.7653355288637101e+02,1.3826677644318551e+02,4.9999999999999994e-01,True,1,1,1.4654272111160047e-01,4.4610667534043708e-01,3.1492625248700157e-01,5.5008832964162102e-01,4.5029384259853994e-01,6.1668545163982291e-01,2.7675724261535445e-01,8.2111235513818270e-02,8.2111231065859672e-02,8.2111235975407551e-02,0,-1,-1,-1,6,1,1,-1,-2.5033854230421627e-02,-3.1026702270885199e-02,3.9866654128935274e-02,-2.2496993734339181e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.7653355288637101e+02,1.3826677644318551e+02,4.9999999999999994e-01,True,1,1,1.4654272111160047e-01,4.4610667534043708e-01,3.1492625248700157e-01,5.5008832964162102e-01,4.5029384259853994e-01,6.1668545163982291e-01,2.7675724261535445e-01,8.2111235513818270e-02,8.2111231065859672e-02,8.2111235975407551e-02,0,-1,-1,-1,7,1,1,1,7.2266147216733390e-18,-4.0147859564851885e-19,7.2377583130600425e-18,-5.5498505245716839e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.7653355288637101e+02,1.3826677644318551e+02,4.9999999999999994e-01,True,1,1,1.4654272111160047e-01,4.4610667534043708e-01,3.1492625248700157e-01,5.5008832964162102e-01,4.5029384259853994e-01,6.1668545163982291e-01,2.7675724261535445e-01,8.2111235513818270e-02,8.2111231065859672e-02,8.2111235975407551e-02,1,-1,-1,1,0,-1,-1,-1,2.1079980733763957e-02,-2.4292038245932485e-02,3.2163157647807319e-02,-8.5607404779431173e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.7653355288637101e+02,1.3826677644318551e+02,4.9999999999999994e-01,True,1,1,1.4654272111160047e-01,4.4610667534043708e-01,3.1492625248700157e-01,5.5008832964162102e-01,4.5029384259853994e-01,6.1668545163982291e-01,2.7675724261535445e-01,8.2111235513818270e-02,8.2111231065859672e-02,8.2111235975407551e-02,1,-1,-1,1,1,-1,-1,1,2.1007644172177323e-02,0.0000000000000000e+00,2.1007644172177323e-02,0.0000000000000000e+00
