spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,7.4658323716675932e+02,3.7329161858337960e+02,4.9999999999999994e-01,True,1,1,1.0356786972494733e-01,7.4154071224584417e-01,1.0263439876525676e-01,8.2264760273656190e-01,3.7067541799848580e-01,8.2253060416406698e-01,3.4303073116811095e-01,1.1614014673077466e-01,1.1614014205908275e-01,1.1614014705852550e-01,0,-1,-1,-1,0,-1,-1,-1,1.6130818868886812e-01,0.0000000000000000e+00,1.6130818868886812e-01,0.0000000000000000e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,7.4658323716675932e+02,3.7329161858337960e+02,4.9999999999999994e-01,True,1,1,1.0356786972494733e-01,7.4154071224584417e-01,1.0263439876525676e-01,8.2264760273656190e-01,3.7067541799848580e-01,8.2253060416406698e-01,3.4303073116811095e-01,1.1614014673077466e-01,1.1614014205908275e-01,1.1614014705852550e-01,0,-1,-1,-1,1,-1,-1,1,1.2185968862709213e-02,1.1346992276421412e-02,1.6650887989656457e-02,7.4976212911617002e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,7.4658323716675932e+02,3.7329161858337960e+02,4.9999999999999994e-01,True,1,1,1.0356786972494733e-01,7.4154071224584417e-01,1.0263439876525676e-01,8.2264760273656190e-01,3.7067541799848580e-01,8.2253060416406698e-01,3.4303073116811095e-01,1.1614014673077466e-01,1.1614014205908275e-01,1.1614014705852550e-01,0,-1,-1,-1,2,-1,1,-1,4.0872758670336892e-02,-5.1212175281998319e-02,6.5523044026034982e-02,-8.9721115945300678e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,7.4658323716675932e+02,3.7329161858337960e+02,4.9999999999999994e-01,True,1,1,1.0356786972494733e-01,7.4154071224584417e-01,1.0263439876525676e-01,8.2264760273656190e-01,3.7067541799848580e-01,8.2253060416406698e-01,3.4303073116811095e-01,1.1614014673077466e-01,1.1614014205908275e-01,1.1614014705852550e-01,0,-1,-1,-1,3,-1,1,1,-2.7501300655029238e-03,9.0359198152280935e-04,2.8947700852149610e-03,2.8241411985051070e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,7.4658323716675932e+02,3.7329161858337960e+02,4.9999999999999994e-01,True,1,1,1.0356786972494733e-01,7.4154071224584417e-01,1.0263439876525676e-01,8.2264760273656190e-01,3.7067541799848580e-01,8.2253060416406698e-01,3.4303073116811095e-01,1.1614014673077466e-01,1.1614014205908275e-01,1.1614014705852550e-01,0,-1,-1,-1,4,1,-1,-1,3.2395478223397147e-03,-2.2656740611157106e-02,2.2887170319077929e-02,-1.4287751091230729e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,7.4658323716675932e+02,3.7329161858337960e+02,4.9999999999999994e-01,True,1,1,1.0356786972494733e-01,7.4154071224584417e-01,1.0263439876525676e-01,8.2264760273656190e-01,3.7067541799848580e-01,8.2253060416406698e-01,3.4303073116811095e-01,1.1614014673077466e-01,1.1614014205908275e-01,1.1614014705852550e-01,0,-1,-1,-1,5,1,-1,1,9.3974522420642234e-02,9.7898499442108360e-03,9.4483077988166506e-02,1.0380115353397676e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,7.4658323716675932e+02,3.7329161858337960e+02,4.9999999999999994e-01,True,1,1,1.0356786972494733e-01,7.4154071224584417e-01,1.0263439876525676e-01,8.2264760273656190e-01,3.7067541799848580e-01,8.2253060416406698e-01,3.4303073116811095e-01,1.1614014673077466e-01,1.1614014205908275e-01,1.1614014705852550e-01,0,-1,-1,-1,6,1,1,-1,-1.6401132983777780e-02,2.8182648068423013e-03,1.6641507734368580e-02,2.9714209950330686e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,7.4658323716675932e+02,3.7329161858337960e+02,4.9999999999999994e-01,True,1,1,1.0356786972494733e-01,7.4154071224584417e-01,1.0263439876525676e-01,8.2264760273656190e-01,3.7067541799848580e-01,8.2253060416406698e-01,3.4303073116811095e-01,1.1614014673077466e-01,1.1614014205908275e-01,1.1614014705852550e-01,0,-1,-1,-1,7,1,1,1,-1.7844863951219523e-18,-1.1896575967479682e-18,2.1446857326600306e-18,-2.5535900500422257e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,7.4658323716675932e+02,3.7329161858337960e+02,4.9999999999999994e-01,True,1,1,1.0356786972494733e-01,7.4154071224584417e-01,1.0263439876525676e-01,8.2264760273656190e-01,3.7067541799848580e-01,8.2253060416406698e-01,3.4303073116811095e-01,1.1614014673077466e-01,1.1614014205908275e-01,1.1614014705852550e-01,1,-1,-1,1,0,-1,-1,-1,1.2185968862709213e-02,-1.1346992276421412e-02,1.6650887989656457e-02,-7.4976212911617002e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,7.4658323716675932e+02,3.7329161858337960e+02,4.9999999999999994e-01,True,1,1,1.0356786972494733e-01,7.4154071224584417e-01,1.0263439876525676e-01,8.2264760273656190e-01,3.7067541799848580e-01,8.2253060416406698e-01,3.4303073116811095e-01,1.1614014673077466e-01,1.1614014205908275e-01,1.1614014705852550e-01,1,-1,-1,1,1,-1,-1,1,3.4356089112503930e-03,0.0000000000000000e+00,3.4356089112503930e-03,0.0000000000000000e+00
