spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,5.5051254297018566e+01,2.7525627148509276e+01,4.9999999999999978e-01,True,1,1,8.1017293452857145e-02,4.9508412769347844e-02,3.7179088401567967e-01,1.1549554978202181e-01,3.8615618731728363e-01,3.8079375248313735e-01,5.0503556120270278e-02,4.3243372460849841e-03,4.3243377278340822e-03,4.3243375580881704e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,5.0992029022650655e+01,2.5496014511325328e+01,4.9999999999999994e-01,True,1,1,1.0734702636464621e-01,1.0375708400389090e-01,3.5818903568737248e-01,1.9226333507111415e-01,3.9306366241784624e-01,3.9209844631821439e-01,8.4501120409316427e-02,1.4676273462344991e-02,1.4676273357348751e-02,1.4676273837517378e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.0000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,5.5148607646099279e+01,2.7574303823049632e+01,4.9999999999999983e-01,True,1,1,1.1889550491429754e-01,1.8403258857498600e-01,3.3077702638838657e-01,2.7070925834419951e-01,3.8578355459163399e-01,4.1056157278486144e-01,1.1656049671525549e-01,2.5279367806830738e-02,2.5279368718187117e-02,2.5279370203625640e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.5000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,6.1638330116279882e+01,3.0819165058139930e+01,4.9999999999999989e-01,True,1,1,1.2431671180911309e-01,2.6923129423946879e-01,3.0044566909864823e-01,3.5033023979379690e-01,3.7485115156054577e-01,4.4445948258027707e-01,1.4681621438512821e-01,3.4791142281089746e-02,3.4791140911102747e-02,3.4791141777533757e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.0000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,6.9651916751637188e+01,3.4825958375818587e+01,4.9999999999999989e-01,True,1,1,1.2627887727064860e-01,3.5419405610588206e-01,2.6855407928972336e-01,4.2949780751541133e-01,3.6212736869185264e-01,4.9055408119920541e-01,1.7430122422749650e-01,4.3068582435073083e-02,4.3068582807798433e-02,4.3068583697308871e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,7.9373335071815546e+01,3.9686667535907766e+01,4.9999999999999989e-01,True,1,1,1.2559531328942825e-01,4.3681914095107538e-01,2.3574169320758809e-01,5.0651022961587067e-01,3.4830416961492000e-01,5.4438274836556999e-01,1.9820082879664272e-01,4.9967468084016975e-02,4.9967465934488746e-02,4.9967468900435456e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.0000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,9.1462793562254319e+01,4.5731396781127152e+01,5.0000000000000000e-01,True,1,1,1.2244844305262645e-01,5.1543886242360282e-01,2.0241686335246092e-01,5.7957729515626244e-01,3.3347444870190185e-01,6.0157194653751345e-01,2.1768186461304348e-01,5.5238998958099306e-02,5.5239000161576221e-02,5.5238999394946378e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.5000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,1.0709268559030235e+02,5.3546342795151162e+01,4.9999999999999978e-01,True,1,1,1.1678357447431292e-01,5.8840403791543650e-01,1.6896578600381915e-01,6.4687405663577324e-01,3.1745262342334468e-01,6.5829862432889752e-01,2.3187980698285679e-01,5.8588330046233705e-02,5.8588328011478091e-02,5.8588330118240065e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.0000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,1.2828761644133223e+02,6.4143808220666088e+01,4.9999999999999972e-01,True,1,1,1.0844472618647483e-01,6.5414033576030683e-01,1.3586889694445453e-01,7.0668641209054806e-01,2.9994409303029507e-01,7.1141112133856232e-01,2.3999010914267704e-01,5.9745847527145457e-02,5.9745843149203989e-02,5.9745847538680896e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.5000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,1.5880842295689857e+02,7.9404211478449284e+01,4.9999999999999994e-01,True,1,1,9.7199667206199630e-02,7.1135816307379629e-01,1.0376822585124326e-01,7.5762845198615991e-01,2.8060341802275829e-01,7.5849913692836135e-01,2.4137783806147831e-01,5.8522659782223374e-02,5.8522658204744241e-02,5.8522659853028750e-02
