spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,1.0471975511965976e+00,8.8759656738023391e+00,9.1671270049869291e-01,-6.2117962694306845e+00,1.6862637332873653e+00,4.6919875010126511e-01,5.8629965425628924e+01,2.9314982712814455e+01,4.9999999999999989e-01,True,1,1,1.4452864813266617e-01,6.1554512072191842e-02,1.1643196401222840e-01,1.6538670445495943e-01,1.9266604974684565e-01,1.4149428938828099e-01,2.6365069388695546e-02,2.6752739229704576e-03,2.6752743502531234e-03,2.6752737293041472e-03,0,-1,-1,-1,0,-1,-1,-1,1.3652358720254218e-01,-3.3763067238728398e-18,1.3652358720254218e-01,-2.4730574350231917e-17
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,1.0471975511965976e+00,8.8759656738023391e+00,9.1671270049869291e-01,-6.2117962694306845e+00,1.6862637332873653e+00,4.6919875010126511e-01,5.8629965425628924e+01,2.9314982712814455e+01,4.9999999999999989e-01,True,1,1,1.4452864813266617e-01,6.1554512072191842e-02,1.1643196401222840e-01,1.6538670445495943e-01,1.9266604974684565e-01,1.4149428938828099e-01,2.6365069388695546e-02,2.6752739229704576e-03,2.6752743502531234e-03,2.6752737293041472e-03,0,-1,-1,-1,1,-1,-1,1,3.6528043634377630e-02,-7.9856101637731269e-02,8.7813979186292787e-02,-1.1417863356444853e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,1.0471975511965976e+00,8.8759656738023391e+00,9.1671270049869291e-01,-6.2117962694306845e+00,1.6862637332873653e+00,4.6919875010126511e-01,5.8629965425628924e+01,2.9314982712814455e+01,4.9999999999999989e-01,True,1,1,1.4452864813266617e-01,6.1554512072191842e-02,1.1643196401222840e-01,1.6538670445495943e-01,1.9266604974684565e-01,1.4149428938828099e-01,2.6365069388695546e-02,2.6752739229704576e-03,2.6752743502531234e-03,2.6752737293041472e-03,0,-1,-1,-1,2,-1,1,-1,4.5578825637121651e-04,1.2819972215957632e-03,1.3606100877272555e-03,1.2292036732051037e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,1.0471975511965976e+00,8.8759656738023391e+00,9.1671270049869291e-01,-6.2117962694306845e+00,1.6862637332873653e+00,4.6919875010126511e-01,5.8629965425628924e+01,2.9314982712814455e+01,4.9999999999999989e-01,True,1,1,1.4452864813266617e-01,6.1554512072191842e-02,1.1643196401222840e-01,1.6538670445495943e-01,1.9266604974684565e-01,1.4149428938828099e-01,2.6365069388695546e-02,2.6752739229704576e-03,2.6752743502531234e-03,2.6752737293041472e-03,0,-1,-1,-1,3,-1,1,1,-7.5734449055916324e-03,4.3400075445758325e-04,7.5858700485113510e-03,3.0843496660775371e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,1.0471975511965976e+00,8.8759656738023391e+00,9.1671270049869291e-01,-6.2117962694306845e+00,1.6862637332873653e+00,4.6919875010126511e-01,5.8629965425628924e+01,2.9314982712814455e+01,4.9999999999999989e-01,True,1,1,1.4452864813266617e-01,6.1554512072191842e-02,1.1643196401222840e-01,1.6538670445495943e-01,1.9266604974684565e-01,1.4149428938828099e-01,2.6365069388695546e-02,2.6752739229704576e-03,2.6752743502531234e-03,2.6752737293041472e-03,0,-1,-1,-1,4,1,-1,-1,7.1677892687562125e-02,2.3359709583846977e-02,7.5388303681481944e-02,3.1504424436089579e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,1.0471975511965976e+00,8.8759656738023391e+00,9.1671270049869291e-01,-6.2117962694306845e+00,1.6862637332873653e+00,4.6919875010126511e-01,5.8629965425628924e+01,2.9314982712814455e+01,4.9999999999999989e-01,True,1,1,1.4452864813266617e-01,6.1554512072191842e-02,1.1643196401222840e-01,1.6538670445495943e-01,1.9266604974684565e-01,1.4149428938828099e-01,2.6365069388695546e-02,2.6752739229704576e-03,2.6752743502531234e-03,2.6752737293041472e-03,0,-1,-1,-1,5,1,-1,1,2.4138762283430697e-02,-3.7352800399324010e-02,4.4473717432296077e-02,-9.9707098758381041e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,1.0471975511965976e+00,8.8759656738023391e+00,9.1671270049869291e-01,-6.2117962694306845e+00,1.6862637332873653e+00,4.6919875010126511e-01,5.8629965425628924e+01,2.9314982712814455e+01,4.9999999999999989e-01,True,1,1,1.4452864813266617e-01,6.1554512072191842e-02,1.1643196401222840e-01,1.6538670445495943e-01,1.9266604974684565e-01,1.4149428938828099e-01,2.6365069388695546e-02,2.6752739229704576e-03,2.6752743502531234e-03,2.6752737293041472e-03,0,-1,-1,-1,6,1,1,-1,-6.2024975727952838e-04,-7.7345154515677614e-03,7.7593452708296061e-03,-1.6508175374863161e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,1.0471975511965976e+00,8.8759656738023391e+00,9.1671270049869291e-01,-6.2117962694306845e+00,1.6862637332873653e+00,4.6919875010126511e-01,5.8629965425628924e+01,2.9314982712814455e+01,4.9999999999999989e-01,True,1,1,1.4452864813266617e-01,6.1554512072191842e-02,1.1643196401222840e-01,1.6538670445495943e-01,1.9266604974684565e-01,1.4149428938828099e-01,2.6365069388695546e-02,2.6752739229704576e-03,2.6752743502531234e-03,2.6752737293041472e-03,0,-1,-1,-1,7,1,1,1,0.0000000000000000e+00,4.2606230231796283e-18,4.2606230231796283e-18,1.5707963267948966e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,1.0471975511965976e+00,8.8759656738023391e+00,9.1671270049869291e-01,-6.2117962694306845e+00,1.6862637332873653e+00,4.6919875010126511e-01,5.8629965425628924e+01,2.9314982712814455e+01,4.9999999999999989e-01,True,1,1,1.4452864813266617e-01,6.1554512072191842e-02,1.1643196401222840e-01,1.6538670445495943e-01,1.9266604974684565e-01,1.4149428938828099e-01,2.6365069388695546e-02,2.6752739229704576e-03,2.6752743502531234e-03,2.6752737293041472e-03,1,-1,-1,1,0,-1,-1,-1,3.6528043634377630e-02,7.9856101637731269e-02,8.7813979186292787e-02,1.1417863356444853e+00
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,1.0471975511965976e+00,8.8759656738023391e+00,9.1671270049869291e-01,-6.2117962694306845e+00,1.6862637332873653e+00,4.6919875010126511e-01,5.8629965425628924e+01,2.9314982712814455e+01,4.9999999999999989e-01,True,1,1,1.4452864813266617e-01,6.1554512072191842e-02,1.1643196401222840e-01,1.6538670445495943e-01,1.9266604974684565e-01,1.4149428938828099e-01,2.6365069388695546e-02,2.6752739229704576e-03,2.6752743502531234e-03,2.6752737293041472e-03,1,-1,-1,1,1,-1,-1,1,5.6924246855842180e-02,1.0625365146499429e-19,5.6924246855842180e-02,1.8665798378338913e-18
