spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
unpolarized,pure_initial_state,4.0000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,1.7005114639129829e+03,1.7005114639129829e+03,1.0000000000000000e+00,True,1,1,4.4713097173567176e-17,1.7033783116506603e-16,1.3643922902487368e-01,0.0000000000000000e+00,1.3643923013190329e-01,1.3643923013190329e-01,0.0000000000000000e+00,-3.1014237784871398e-32,3.0208453447033712e-10,3.0208453447033712e-10,0,-1,-1,-1,0,-1,-1,-1,2.5886580030729556e-01,-7.8350126755104253e-18,2.5886580030729556e-01,-3.0266696744836915e-17
unpolarized,pure_initial_state,4.0000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,1.7005114639129829e+03,1.7005114639129829e+03,1.0000000000000000e+00,True,1,1,4.4713097173567176e-17,1.7033783116506603e-16,1.3643922902487368e-01,0.0000000000000000e+00,1.3643923013190329e-01,1.3643923013190329e-01,0.0000000000000000e+00,-3.1014237784871398e-32,3.0208453447033712e-10,3.0208453447033712e-10,0,-1,-1,-1,1,-1,-1,1,6.8881096333301459e-02,-8.2443374952096596e-02,1.0743144560867429e-01,-8.7478317710522269e-01
unpolarized,pure_initial_state,4.0000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,1.7005114639129829e+03,1.7005114639129829e+03,1.0000000000000000e+00,True,1,1,4.4713097173567176e-17,1.7033783116506603e-16,1.3643922902487368e-01,0.0000000000000000e+00,1.3643923013190329e-01,1.3643923013190329e-01,0.0000000000000000e+00,-3.1014237784871398e-32,3.0208453447033712e-10,3.0208453447033712e-10,0,-1,-1,-1,2,-1,1,-1,-2.6764820471899715e-02,-3.6828102678376884e-02,4.5526528110345653e-02,-2.1992505803358764e+00
unpolarized,pure_initial_state,4.0000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,1.7005114639129829e+03,1.7005114639129829e+03,1.0000000000000000e+00,True,1,1,4.4713097173567176e-17,1.7033783116506603e-16,1.3643922902487368e-01,0.0000000000000000e+00,1.3643923013190329e-01,1.3643923013190329e-01,0.0000000000000000e+00,-3.1014237784871398e-32,3.0208453447033712e-10,3.0208453447033712e-10,0,-1,-1,-1,3,-1,1,1,3.2357116982111597e-04,1.5027293334099023e-03,1.5371706969071375e-03,1.3587121059688874e+00
unpolarized,pure_initial_state,4.0000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,1.7005114639129829e+03,1.7005114639129829e+03,1.0000000000000000e+00,True,1,1,4.4713097173567176e-17,1.7033783116506603e-16,1.3643922902487368e-01,0.0000000000000000e+00,1.3643923013190329e-01,1.3643923013190329e-01,0.0000000000000000e+00,-3.1014237784871398e-32,3.0208453447033712e-10,3.0208453447033712e-10,0,-1,-1,-1,4,1,-1,-1,-2.9584030300471030e-17,-5.6572217729241323e-18,3.0120076477446652e-17,-2.9526481468391519e+00
unpolarized,pure_initial_state,4.0000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,1.7005114639129829e+03,1.7005114639129829e+03,1.0000000000000000e+00,True,1,1,4.4713097173567176e-17,1.7033783116506603e-16,1.3643922902487368e-01,0.0000000000000000e+00,1.3643923013190329e-01,1.3643923013190329e-01,0.0000000000000000e+00,-3.1014237784871398e-32,3.0208453447033712e-10,3.0208453447033712e-10,0,-1,-1,-1,5,1,-1,1,2.1755125024510729e-17,-8.1529838926111674e-19,2.1770396787739646e-17,-3.7458622942800564e-02
unpolarized,pure_initial_state,4.0000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,1.7005114639129829e+03,1.7005114639129829e+03,1.0000000000000000e+00,True,1,1,4.4713097173567176e-17,1.7033783116506603e-16,1.3643922902487368e-01,0.0000000000000000e+00,1.3643923013190329e-01,1.3643923013190329e-01,0.0000000000000000e+00,-3.1014237784871398e-32,3.0208453447033712e-10,3.0208453447033712e-10,0,-1,-1,-1,6,1,1,-1,1.1568162231494274e-18,3.3598742729716446e-18,3.5534460604205667e-18,1.2392053926343958e+00
unpolarized,pure_initial_state,4.0000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,1.7005114639129829e+03,1.7005114639129829e+03,1.0000000000000000e+00,True,1,1,4.4713097173567176e-17,1.7033783116506603e-16,1.3643922902487368e-01,0.0000000000000000e+00,1.3643923013190329e-01,1.3643923013190329e-01,0.0000000000000000e+00,-3.1014237784871398e-32,3.0208453447033712e-10,3.0208453447033712e-10,0,-1,-1,-1,7,1,1,1,9.1703572000068991e-19,2.3276346676886572e-18,2.5017669072044401e-18,1.1954925053184404e+00
unpolarized,pure_initial_state,4.0000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,1.7005114639129829e+03,1.7005114639129829e+03,1.0000000000000000e+00,True,1,1,4.4713097173567176e-17,1.7033783116506603e-16,1.3643922902487368e-01,0.0000000000000000e+00,1.3643923013190329e-01,1.3643923013190329e-01,0.0000000000000000e+00,-3.1014237784871398e-32,3.0208453447033712e-10,3.0208453447033712e-10,1,-1,-1,1,0,-1,-1,-1,6.8881096333301459e-02,8.2443374952096596e-02,1.0743144560867429e-01,8.7478317710522269e-01
unpolarized,pure_initial_state,4.0000000000000000e+00,-4.0000000000000002e-01,2.0943951023931953e+00,1.7005114639129829e+03,1.7005114639129829e+03,1.0000000000000000e+00,True,1,1,4.4713097173567176e-17,1.7033783116506603e-16,1.3643922902487368e-01,0.0000000000000000e+00,1.3643923013190329e-01,1.3643923013190329e-01,0.0000000000000000e+00,-3.1014237784871398e-32,3.0208453447033712e-10,3.0208453447033712e-10,1,-1,-1,1,1,-1,-1,1,4.5485306465473010e-02,-3.1953589223623270e-19,4.5485306465473010e-02,-7.0250354909400477e-18
