spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
unpolarized,pure_initial_state,3.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,8.9064034272192515e+01,8.9064034272192515e+01,1.0000000000000000e+00,True,1,1,4.1419248464974352e-17,1.4975051417626449e-16,2.1378037981251788e-01,0.0000000000000000e+00,2.1378038106715527e-01,2.1378038106715735e-01,0.0000000000000000e+00,-2.4140770639458871e-32,5.3643371689116037e-10,5.3643461200847398e-10,0,-1,-1,-1,0,-1,-1,-1,2.7896793626024124e-01,9.3252695357182392e-20,2.7896793626024124e-01,3.3427746789577139e-19
unpolarized,pure_initial_state,3.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,8.9064034272192515e+01,8.9064034272192515e+01,1.0000000000000000e+00,True,1,1,4.1419248464974352e-17,1.4975051417626449e-16,2.1378037981251788e-01,0.0000000000000000e+00,2.1378038106715527e-01,2.1378038106715735e-01,0.0000000000000000e+00,-2.4140770639458871e-32,5.3643371689116037e-10,5.3643461200847398e-10,0,-1,-1,-1,1,-1,-1,1,1.1271968907557592e-02,6.2154099607900491e-02,6.3167945835856970e-02,1.3913910339075242e+00
unpolarized,pure_initial_state,3.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,8.9064034272192515e+01,8.9064034272192515e+01,1.0000000000000000e+00,True,1,1,4.1419248464974352e-17,1.4975051417626449e-16,2.1378037981251788e-01,0.0000000000000000e+00,2.1378038106715527e-01,2.1378038106715735e-01,0.0000000000000000e+00,-2.4140770639458871e-32,5.3643371689116037e-10,5.3643461200847398e-10,0,-1,-1,-1,2,-1,1,-1,7.6694066774371350e-02,-8.6446145626295878e-02,1.1556347161639999e-01,-8.4510439873424437e-01
unpolarized,pure_initial_state,3.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,8.9064034272192515e+01,8.9064034272192515e+01,1.0000000000000000e+00,True,1,1,4.1419248464974352e-17,1.4975051417626449e-16,2.1378037981251788e-01,0.0000000000000000e+00,2.1378038106715527e-01,2.1378038106715735e-01,0.0000000000000000e+00,-2.4140770639458871e-32,5.3643371689116037e-10,5.3643461200847398e-10,0,-1,-1,-1,3,-1,1,1,-5.8364525855160625e-03,1.6864506699824072e-03,6.0752197199164110e-03,2.8603028318583328e+00
unpolarized,pure_initial_state,3.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,8.9064034272192515e+01,8.9064034272192515e+01,1.0000000000000000e+00,True,1,1,4.1419248464974352e-17,1.4975051417626449e-16,2.1378037981251788e-01,0.0000000000000000e+00,2.1378038106715527e-01,2.1378038106715735e-01,0.0000000000000000e+00,-2.4140770639458871e-32,5.3643371689116037e-10,5.3643461200847398e-10,0,-1,-1,-1,4,1,-1,-1,-2.9754791424653000e-17,2.1197116464329573e-17,3.6533072128236844e-17,2.5225973209371877e+00
unpolarized,pure_initial_state,3.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,8.9064034272192515e+01,8.9064034272192515e+01,1.0000000000000000e+00,True,1,1,4.1419248464974352e-17,1.4975051417626449e-16,2.1378037981251788e-01,0.0000000000000000e+00,2.1378038106715527e-01,2.1378038106715735e-01,0.0000000000000000e+00,-2.4140770639458871e-32,5.3643371689116037e-10,5.3643461200847398e-10,0,-1,-1,-1,5,1,-1,1,-2.3793207555928736e-18,2.7809503301482172e-18,3.6598978123366400e-18,2.2785199801448659e+00
unpolarized,pure_initial_state,3.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,8.9064034272192515e+01,8.9064034272192515e+01,1.0000000000000000e+00,True,1,1,4.1419248464974352e-17,1.4975051417626449e-16,2.1378037981251788e-01,0.0000000000000000e+00,2.1378038106715527e-01,2.1378038106715735e-01,0.0000000000000000e+00,-2.4140770639458871e-32,5.3643371689116037e-10,5.3643461200847398e-10,0,-1,-1,-1,6,1,1,-1,1.3522889363246710e-18,5.7306346298565085e-18,5.8880267176887668e-18,1.3390601920824230e+00
unpolarized,pure_initial_state,3.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,8.9064034272192515e+01,8.9064034272192515e+01,1.0000000000000000e+00,True,1,1,4.1419248464974352e-17,1.4975051417626449e-16,2.1378037981251788e-01,0.0000000000000000e+00,2.1378038106715527e-01,2.1378038106715735e-01,0.0000000000000000e+00,-2.4140770639458871e-32,5.3643371689116037e-10,5.3643461200847398e-10,0,-1,-1,-1,7,1,1,1,-9.9223203055636749e-19,-1.1492581818183481e-17,1.1535335333231693e-17,-1.6569195006364585e+00
unpolarized,pure_initial_state,3.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,8.9064034272192515e+01,8.9064034272192515e+01,1.0000000000000000e+00,True,1,1,4.1419248464974352e-17,1.4975051417626449e-16,2.1378037981251788e-01,0.0000000000000000e+00,2.1378038106715527e-01,2.1378038106715735e-01,0.0000000000000000e+00,-2.4140770639458871e-32,5.3643371689116037e-10,5.3643461200847398e-10,1,-1,-1,1,0,-1,-1,-1,1.1271968907557592e-02,-6.2154099607900491e-02,6.3167945835856970e-02,-1.3913910339075242e+00
unpolarized,pure_initial_state,3.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,8.9064034272192515e+01,8.9064034272192515e+01,1.0000000000000000e+00,True,1,1,4.1419248464974352e-17,1.4975051417626449e-16,2.1378037981251788e-01,0.0000000000000000e+00,2.1378038106715527e-01,2.1378038106715735e-01,0.0000000000000000e+00,-2.4140770639458871e-32,5.3643371689116037e-10,5.3643461200847398e-10,1,-1,-1,1,1,-1,-1,1,3.6003018126593206e-02,-2.7141641775087708e-19,3.6003018126593206e-02,-7.5387129155818895e-18
