spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
unpolarized,pure_initial_state,6.0000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,2.3330404629976647e+02,2.3330404629976647e+02,1.0000000000000002e+00,True,1,1,3.5526952449021277e-17,8.7136476674176847e-17,8.5101497880557056e-02,0.0000000000000000e+00,8.5101499530816568e-02,8.5101499530811350e-02,0.0000000000000000e+00,-8.8549299175043851e-33,2.8087911597279858e-10,2.8087822779437888e-10,0,-1,-1,-1,0,-1,-1,-1,3.6885892629743039e-01,-9.4153928654354700e-19,3.6885892629743039e-01,-2.5525728657148839e-18
unpolarized,pure_initial_state,6.0000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,2.3330404629976647e+02,2.3330404629976647e+02,1.0000000000000002e+00,True,1,1,3.5526952449021277e-17,8.7136476674176847e-17,8.5101497880557056e-02,0.0000000000000000e+00,8.5101499530816568e-02,8.5101499530811350e-02,0.0000000000000000e+00,-8.8549299175043851e-33,2.8087911597279858e-10,2.8087822779437888e-10,0,-1,-1,-1,1,-1,-1,1,2.4178412972616237e-03,2.9784724183226485e-02,2.9882699864798367e-02,1.4897967110396126e+00
unpolarized,pure_initial_state,6.0000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,2.3330404629976647e+02,2.3330404629976647e+02,1.0000000000000002e+00,True,1,1,3.5526952449021277e-17,8.7136476674176847e-17,8.5101497880557056e-02,0.0000000000000000e+00,8.5101499530816568e-02,8.5101499530811350e-02,0.0000000000000000e+00,-8.8549299175043851e-33,2.8087911597279858e-10,2.8087822779437888e-10,0,-1,-1,-1,2,-1,1,-1,4.0549918920884769e-02,-6.6899060071209687e-02,7.8229023788499691e-02,-1.0258773794551115e+00
unpolarized,pure_initial_state,6.0000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,2.3330404629976647e+02,2.3330404629976647e+02,1.0000000000000002e+00,True,1,1,3.5526952449021277e-17,8.7136476674176847e-17,8.5101497880557056e-02,0.0000000000000000e+00,8.5101499530816568e-02,8.5101499530811350e-02,0.0000000000000000e+00,-8.8549299175043851e-33,2.8087911597279858e-10,2.8087822779437888e-10,0,-1,-1,-1,3,-1,1,1,-9.9557940471092562e-03,-1.7273365532537279e-03,1.0104530007707561e-02,-2.9698021714843810e+00
unpolarized,pure_initial_state,6.0000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,2.3330404629976647e+02,2.3330404629976647e+02,1.0000000000000002e+00,True,1,1,3.5526952449021277e-17,8.7136476674176847e-17,8.5101497880557056e-02,0.0000000000000000e+00,8.5101499530816568e-02,8.5101499530811350e-02,0.0000000000000000e+00,-8.8549299175043851e-33,2.8087911597279858e-10,2.8087822779437888e-10,0,-1,-1,-1,4,1,-1,-1,1.0393425674255414e-17,-2.0783995830614935e-17,2.3237852308965441e-17,-1.1070937632135682e+00
unpolarized,pure_initial_state,6.0000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,2.3330404629976647e+02,2.3330404629976647e+02,1.0000000000000002e+00,True,1,1,3.5526952449021277e-17,8.7136476674176847e-17,8.5101497880557056e-02,0.0000000000000000e+00,8.5101499530816568e-02,8.5101499530811350e-02,0.0000000000000000e+00,-8.8549299175043851e-33,2.8087911597279858e-10,2.8087822779437888e-10,0,-1,-1,-1,5,1,-1,1,7.7547979127112458e-18,-2.4177398031496473e-18,8.1229524449380341e-18,-3.0222278640301864e-01
unpolarized,pure_initial_state,6.0000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,2.3330404629976647e+02,2.3330404629976647e+02,1.0000000000000002e+00,True,1,1,3.5526952449021277e-17,8.7136476674176847e-17,8.5101497880557056e-02,0.0000000000000000e+00,8.5101499530816568e-02,8.5101499530811350e-02,0.0000000000000000e+00,-8.8549299175043851e-33,2.8087911597279858e-10,2.8087822779437888e-10,0,-1,-1,-1,6,1,1,-1,3.7996778626464865e-18,-5.1154624459931744e-19,3.8339576706387148e-18,-1.3382419892415165e-01
unpolarized,pure_initial_state,6.0000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,2.3330404629976647e+02,2.3330404629976647e+02,1.0000000000000002e+00,True,1,1,3.5526952449021277e-17,8.7136476674176847e-17,8.5101497880557056e-02,0.0000000000000000e+00,8.5101499530816568e-02,8.5101499530811350e-02,0.0000000000000000e+00,-8.8549299175043851e-33,2.8087911597279858e-10,2.8087822779437888e-10,0,-1,-1,-1,7,1,1,1,6.2059982898830725e-19,-3.3469850301167665e-18,3.4040348029310816e-18,-1.3874579512913998e+00
unpolarized,pure_initial_state,6.0000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,2.3330404629976647e+02,2.3330404629976647e+02,1.0000000000000002e+00,True,1,1,3.5526952449021277e-17,8.7136476674176847e-17,8.5101497880557056e-02,0.0000000000000000e+00,8.5101499530816568e-02,8.5101499530811350e-02,0.0000000000000000e+00,-8.8549299175043851e-33,2.8087911597279858e-10,2.8087822779437888e-10,1,-1,-1,1,0,-1,-1,-1,2.4178412972616237e-03,-2.9784724183226481e-02,2.9882699864798364e-02,-1.4897967110396126e+00
unpolarized,pure_initial_state,6.0000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,2.3330404629976647e+02,2.3330404629976647e+02,1.0000000000000002e+00,True,1,1,3.5526952449021277e-17,8.7136476674176847e-17,8.5101497880557056e-02,0.0000000000000000e+00,8.5101499530816568e-02,8.5101499530811350e-02,0.0000000000000000e+00,-8.8549299175043851e-33,2.8087911597279858e-10,2.8087822779437888e-10,1,-1,-1,1,1,-1,-1,1,4.5811026979830308e-03,-4.0738429111576393e-20,4.5811026979830308e-03,-8.8927124749926961e-18
