spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,F1,F2,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
unpolarized,pure_initial_state,user_frame_independent,s,2.1946160879999997e+01,qOut,2.9999999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,2.0807521844140568e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0753498756644710e+01,8.8703706145586314e-01,-9.3613002300028629e+00,9.7745897466949769e-03,3.4714252594161884e-03,2.2492871405014645e+00,5.7546565762786428e-01,3.0790184609940505e+00,3.0790184609940505e+00,9.9999999999999989e-01,True,1,1,1.9519766660660258e-18,6.2572169140372381e-18,3.2135135503600673e-03,2.1073424255447017e-08,3.2135232527879067e-03,3.2135232528915521e-03,7.8196249862022285e-11,4.4408920985006271e-16,6.2357860804791894e-11,6.2358526938606669e-11,0,-1,-1,-1,0,-1,-1,-1,2.3508907312340455e-01,-4.4974598771215450e-19,2.3508907312340455e-01,-1.9130875873421423e-18
unpolarized,pure_initial_state,user_frame_independent,s,2.1946160879999997e+01,qOut,2.9999999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,2.0807521844140568e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0753498756644710e+01,8.8703706145586314e-01,-9.3613002300028629e+00,9.7745897466949769e-03,3.4714252594161884e-03,2.2492871405014645e+00,5.7546565762786428e-01,3.0790184609940505e+00,3.0790184609940505e+00,9.9999999999999989e-01,True,1,1,1.9519766660660258e-18,6.2572169140372381e-18,3.2135135503600673e-03,2.1073424255447017e-08,3.2135232527879067e-03,3.2135232528915521e-03,7.8196249862022285e-11,4.4408920985006271e-16,6.2357860804791894e-11,6.2358526938606669e-11,0,-1,-1,-1,1,-1,-1,1,1.9633408628483850e-01,-5.4224990509188900e-02,2.0368461658412998e-01,-2.6946974295779597e-01
unpolarized,pure_initial_state,user_frame_independent,s,2.1946160879999997e+01,qOut,2.9999999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,2.0807521844140568e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0753498756644710e+01,8.8703706145586314e-01,-9.3613002300028629e+00,9.7745897466949769e-03,3.4714252594161884e-03,2.2492871405014645e+00,5.7546565762786428e-01,3.0790184609940505e+00,3.0790184609940505e+00,9.9999999999999989e-01,True,1,1,1.9519766660660258e-18,6.2572169140372381e-18,3.2135135503600673e-03,2.1073424255447017e-08,3.2135232527879067e-03,3.2135232528915521e-03,7.8196249862022285e-11,4.4408920985006271e-16,6.2357860804791894e-11,6.2358526938606669e-11,0,-1,-1,-1,2,-1,1,-1,3.4676731188112354e-02,-9.6268031487206102e-03,3.5988206745499574e-02,-2.7079632679489657e-01
unpolarized,pure_initial_state,user_frame_independent,s,2.1946160879999997e+01,qOut,2.9999999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,2.0807521844140568e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0753498756644710e+01,8.8703706145586314e-01,-9.3613002300028629e+00,9.7745897466949769e-03,3.4714252594161884e-03,2.2492871405014645e+00,5.7546565762786428e-01,3.0790184609940505e+00,3.0790184609940505e+00,9.9999999999999989e-01,True,1,1,1.9519766660660258e-18,6.2572169140372381e-18,3.2135135503600673e-03,2.1073424255447017e-08,3.2135232527879067e-03,3.2135232528915521e-03,7.8196249862022285e-11,4.4408920985006271e-16,6.2357860804791894e-11,6.2358526938606669e-11,0,-1,-1,-1,3,-1,1,1,2.6885501062415468e-02,-1.5706780625396249e-02,3.1137326876138006e-02,-5.2872834895999821e-01
unpolarized,pure_initial_state,user_frame_independent,s,2.1946160879999997e+01,qOut,2.9999999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,2.0807521844140568e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0753498756644710e+01,8.8703706145586314e-01,-9.3613002300028629e+00,9.7745897466949769e-03,3.4714252594161884e-03,2.2492871405014645e+00,5.7546565762786428e-01,3.0790184609940505e+00,3.0790184609940505e+00,9.9999999999999989e-01,True,1,1,1.9519766660660258e-18,6.2572169140372381e-18,3.2135135503600673e-03,2.1073424255447017e-08,3.2135232527879067e-03,3.2135232528915521e-03,7.8196249862022285e-11,4.4408920985006271e-16,6.2357860804791894e-11,6.2358526938606669e-11,0,-1,-1,-1,4,1,-1,-1,-3.1017643512436351e-18,3.2117075546644205e-18,4.4649756446518674e-18,2.3387821862066560e+00
unpolarized,pure_initial_state,user_frame_independent,s,2.1946160879999997e+01,qOut,2.9999999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,2.0807521844140568e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0753498756644710e+01,8.8703706145586314e-01,-9.3613002300028629e+00,9.7745897466949769e-03,3.4714252594161884e-03,2.2492871405014645e+00,5.7546565762786428e-01,3.0790184609940505e+00,3.0790184609940505e+00,9.9999999999999989e-01,True,1,1,1.9519766660660258e-18,6.2572169140372381e-18,3.2135135503600673e-03,2.1073424255447017e-08,3.2135232527879067e-03,3.2135232528915521e-03,7.8196249862022285e-11,4.4408920985006271e-16,6.2357860804791894e-11,6.2358526938606669e-11,0,-1,-1,-1,5,1,-1,1,-2.7914317920604838e-18,4.8138985620734234e-18,5.5646842512094591e-18,2.0962822840514148e+00
unpolarized,pure_initial_state,user_frame_independent,s,2.1946160879999997e+01,qOut,2.9999999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,2.0807521844140568e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0753498756644710e+01,8.8703706145586314e-01,-9.3613002300028629e+00,9.7745897466949769e-03,3.4714252594161884e-03,2.2492871405014645e+00,5.7546565762786428e-01,3.0790184609940505e+00,3.0790184609940505e+00,9.9999999999999989e-01,True,1,1,1.9519766660660258e-18,6.2572169140372381e-18,3.2135135503600673e-03,2.1073424255447017e-08,3.2135232527879067e-03,3.2135232528915521e-03,7.8196249862022285e-11,4.4408920985006271e-16,6.2357860804791894e-11,6.2358526938606669e-11,0,-1,-1,-1,6,1,1,-1,-1.6941860618149669e-19,6.8648699066202000e-19,7.0708348337991699e-19,1.8127522005444834e+00
unpolarized,pure_initial_state,user_frame_independent,s,2.1946160879999997e+01,qOut,2.9999999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,2.0807521844140568e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0753498756644710e+01,8.8703706145586314e-01,-9.3613002300028629e+00,9.7745897466949769e-03,3.4714252594161884e-03,2.2492871405014645e+00,5.7546565762786428e-01,3.0790184609940505e+00,3.0790184609940505e+00,9.9999999999999989e-01,True,1,1,1.9519766660660258e-18,6.2572169140372381e-18,3.2135135503600673e-03,2.1073424255447017e-08,3.2135232527879067e-03,3.2135232528915521e-03,7.8196249862022285e-11,4.4408920985006271e-16,6.2357860804791894e-11,6.2358526938606669e-11,0,-1,-1,-1,7,1,1,1,-7.7383600810885316e-21,9.4710999760725168e-19,9.4714161020638980e-19,1.5789666427147808e+00
unpolarized,pure_initial_state,user_frame_independent,s,2.1946160879999997e+01,qOut,2.9999999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,2.0807521844140568e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0753498756644710e+01,8.8703706145586314e-01,-9.3613002300028629e+00,9.7745897466949769e-03,3.4714252594161884e-03,2.2492871405014645e+00,5.7546565762786428e-01,3.0790184609940505e+00,3.0790184609940505e+00,9.9999999999999989e-01,True,1,1,1.9519766660660258e-18,6.2572169140372381e-18,3.2135135503600673e-03,2.1073424255447017e-08,3.2135232527879067e-03,3.2135232528915521e-03,7.8196249862022285e-11,4.4408920985006271e-16,6.2357860804791894e-11,6.2358526938606669e-11,1,-1,-1,1,0,-1,-1,-1,1.9633408628483850e-01,5.4224990509188900e-02,2.0368461658412998e-01,2.6946974295779597e-01
unpolarized,pure_initial_state,user_frame_independent,s,2.1946160879999997e+01,qOut,2.9999999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,2.0807521844140568e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0753498756644710e+01,8.8703706145586314e-01,-9.3613002300028629e+00,9.7745897466949769e-03,3.4714252594161884e-03,2.2492871405014645e+00,5.7546565762786428e-01,3.0790184609940505e+00,3.0790184609940505e+00,9.9999999999999989e-01,True,1,1,1.9519766660660258e-18,6.2572169140372381e-18,3.2135135503600673e-03,2.1073424255447017e-08,3.2135232527879067e-03,3.2135232528915521e-03,7.8196249862022285e-11,4.4408920985006271e-16,6.2357860804791894e-11,6.2358526938606669e-11,1,-1,-1,1,1,-1,-1,1,1.7647756884874763e-01,2.0082052941025765e-19,1.7647756884874763e-01,1.1379379867952140e-18
