spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
unpolarized,pure_initial_state,user_frame_independent,s,2.3237111519999996e+01,qOut,2.9999999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.1520722128141747e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1418438811976714e+01,8.9018758166121803e-01,-9.9854145818759648e+00,2.2884082233478882e+00,5.7372856606246880e-01,2.2311008287530101e+04,2.2311008287530101e+04,1.0000000000000000e+00,True,1,1,1.5082055738462058e-17,1.0116242979479826e-17,4.1050518825958083e-03,1.4901161193847656e-08,4.1050533702561400e-03,4.1050533702831852e-03,7.0633103504571870e-11,2.2204460492503131e-16,1.2213847903848113e-11,1.2214069948453038e-11,0,-1,-1,-1,0,-1,-1,-1,2.3054238831402690e-01,-5.8176899324265752e-19,2.3054238831402690e-01,-2.5234795106321926e-18
unpolarized,pure_initial_state,user_frame_independent,s,2.3237111519999996e+01,qOut,2.9999999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.1520722128141747e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1418438811976714e+01,8.9018758166121803e-01,-9.9854145818759648e+00,2.2884082233478882e+00,5.7372856606246880e-01,2.2311008287530101e+04,2.2311008287530101e+04,1.0000000000000000e+00,True,1,1,1.5082055738462058e-17,1.0116242979479826e-17,4.1050518825958083e-03,1.4901161193847656e-08,4.1050533702561400e-03,4.1050533702831852e-03,7.0633103504571870e-11,2.2204460492503131e-16,1.2213847903848113e-11,1.2214069948453038e-11,0,-1,-1,-1,1,-1,-1,1,1.9337417983987640e-01,-5.3922612159122321e-02,2.0075164141497820e-01,-2.7194305605908864e-01
unpolarized,pure_initial_state,user_frame_independent,s,2.3237111519999996e+01,qOut,2.9999999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.1520722128141747e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1418438811976714e+01,8.9018758166121803e-01,-9.9854145818759648e+00,2.2884082233478882e+00,5.7372856606246880e-01,2.2311008287530101e+04,2.2311008287530101e+04,1.0000000000000000e+00,True,1,1,1.5082055738462058e-17,1.0116242979479826e-17,4.1050518825958083e-03,1.4901161193847656e-08,4.1050533702561400e-03,4.1050533702831852e-03,7.0633103504571870e-11,2.2204460492503131e-16,1.2213847903848113e-11,1.2214069948453038e-11,0,-1,-1,-1,2,-1,1,-1,-9.7689878042822153e-03,2.7120238653381666e-03,1.0138451369236745e-02,2.8707963267948973e+00
unpolarized,pure_initial_state,user_frame_independent,s,2.3237111519999996e+01,qOut,2.9999999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.1520722128141747e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1418438811976714e+01,8.9018758166121803e-01,-9.9854145818759648e+00,2.2884082233478882e+00,5.7372856606246880e-01,2.2311008287530101e+04,2.2311008287530101e+04,1.0000000000000000e+00,True,1,1,1.5082055738462058e-17,1.0116242979479826e-17,4.1050518825958083e-03,1.4901161193847656e-08,4.1050533702561400e-03,4.1050533702831852e-03,7.0633103504571870e-11,2.2204460492503131e-16,1.2213847903848113e-11,1.2214069948453038e-11,0,-1,-1,-1,3,-1,1,1,-7.3889844011788448e-03,4.9837141602633514e-03,8.9126032847913605e-03,2.5482010556436414e+00
unpolarized,pure_initial_state,user_frame_independent,s,2.3237111519999996e+01,qOut,2.9999999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.1520722128141747e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1418438811976714e+01,8.9018758166121803e-01,-9.9854145818759648e+00,2.2884082233478882e+00,5.7372856606246880e-01,2.2311008287530101e+04,2.2311008287530101e+04,1.0000000000000000e+00,True,1,1,1.5082055738462058e-17,1.0116242979479826e-17,4.1050518825958083e-03,1.4901161193847656e-08,4.1050533702561400e-03,4.1050533702831852e-03,7.0633103504571870e-11,2.2204460492503131e-16,1.2213847903848113e-11,1.2214069948453038e-11,0,-1,-1,-1,4,1,-1,-1,-3.7392604148580513e-18,-3.1162143713193550e-18,4.8675312488099843e-18,-2.4468284899455925e+00
unpolarized,pure_initial_state,user_frame_independent,s,2.3237111519999996e+01,qOut,2.9999999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.1520722128141747e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1418438811976714e+01,8.9018758166121803e-01,-9.9854145818759648e+00,2.2884082233478882e+00,5.7372856606246880e-01,2.2311008287530101e+04,2.2311008287530101e+04,1.0000000000000000e+00,True,1,1,1.5082055738462058e-17,1.0116242979479826e-17,4.1050518825958083e-03,1.4901161193847656e-08,4.1050533702561400e-03,4.1050533702831852e-03,7.0633103504571870e-11,2.2204460492503131e-16,1.2213847903848113e-11,1.2214069948453038e-11,0,-1,-1,-1,5,1,-1,1,-5.0557503988574424e-18,-2.2716106402988987e-18,5.5426371878976848e-18,-2.7193107993559096e+00
unpolarized,pure_initial_state,user_frame_independent,s,2.3237111519999996e+01,qOut,2.9999999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.1520722128141747e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1418438811976714e+01,8.9018758166121803e-01,-9.9854145818759648e+00,2.2884082233478882e+00,5.7372856606246880e-01,2.2311008287530101e+04,2.2311008287530101e+04,1.0000000000000000e+00,True,1,1,1.5082055738462058e-17,1.0116242979479826e-17,4.1050518825958083e-03,1.4901161193847656e-08,4.1050533702561400e-03,4.1050533702831852e-03,7.0633103504571870e-11,2.2204460492503131e-16,1.2213847903848113e-11,1.2214069948453038e-11,0,-1,-1,-1,6,1,1,-1,-6.5211534511061351e-19,-5.4229830966910124e-19,8.4814024783563890e-19,-2.4478789361242539e+00
unpolarized,pure_initial_state,user_frame_independent,s,2.3237111519999996e+01,qOut,2.9999999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.1520722128141747e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1418438811976714e+01,8.9018758166121803e-01,-9.9854145818759648e+00,2.2884082233478882e+00,5.7372856606246880e-01,2.2311008287530101e+04,2.2311008287530101e+04,1.0000000000000000e+00,True,1,1,1.5082055738462058e-17,1.0116242979479826e-17,4.1050518825958083e-03,1.4901161193847656e-08,4.1050533702561400e-03,4.1050533702831852e-03,7.0633103504571870e-11,2.2204460492503131e-16,1.2213847903848113e-11,1.2214069948453038e-11,0,-1,-1,-1,7,1,1,1,4.4380374133121797e-21,-5.7994020978111648e-19,5.7995719074518541e-19,-1.5631438986511974e+00
unpolarized,pure_initial_state,user_frame_independent,s,2.3237111519999996e+01,qOut,2.9999999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.1520722128141747e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1418438811976714e+01,8.9018758166121803e-01,-9.9854145818759648e+00,2.2884082233478882e+00,5.7372856606246880e-01,2.2311008287530101e+04,2.2311008287530101e+04,1.0000000000000000e+00,True,1,1,1.5082055738462058e-17,1.0116242979479826e-17,4.1050518825958083e-03,1.4901161193847656e-08,4.1050533702561400e-03,4.1050533702831852e-03,7.0633103504571870e-11,2.2204460492503131e-16,1.2213847903848113e-11,1.2214069948453038e-11,1,-1,-1,1,0,-1,-1,-1,1.9337417983987640e-01,5.3922612159122321e-02,2.0075164141497820e-01,2.7194305605908864e-01
unpolarized,pure_initial_state,user_frame_independent,s,2.3237111519999996e+01,qOut,2.9999999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.1520722128141747e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1418438811976714e+01,8.9018758166121803e-01,-9.9854145818759648e+00,2.2884082233478882e+00,5.7372856606246880e-01,2.2311008287530101e+04,2.2311008287530101e+04,1.0000000000000000e+00,True,1,1,1.5082055738462058e-17,1.0116242979479826e-17,4.1050518825958083e-03,1.4901161193847656e-08,4.1050533702561400e-03,4.1050533702831852e-03,7.0633103504571870e-11,2.2204460492503131e-16,1.2213847903848113e-11,1.2214069948453038e-11,1,-1,-1,1,1,-1,-1,1,1.7481307987488801e-01,-1.1126838899223221e-18,1.7481307987488801e-01,-6.3649922003471309e-18
