spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.2346669766887317e+01,8.7780055213523167e-01,-6.6866369495914189e+00,2.5986356148061631e+00,6.8159824489695120e-01,4.8910277443430419e+02,4.8910277443430419e+02,9.9999999999999989e-01,True,1,1,2.0751129822348254e-17,2.0460627333624913e-17,4.5155117848738734e-02,0.0000000000000000e+00,4.5155117848740232e-02,4.5155117848737776e-02,0.0000000000000000e+00,-8.4924665978943002e-34,1.3530843112619095e-16,-8.6736173798840355e-17,0,-1,-1,-1,0,-1,-1,-1,3.0845618739002600e-01,-1.4530951019619716e-18,3.0845618739002600e-01,-4.7108638483059899e-18
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.2346669766887317e+01,8.7780055213523167e-01,-6.6866369495914189e+00,2.5986356148061631e+00,6.8159824489695120e-01,4.8910277443430419e+02,4.8910277443430419e+02,9.9999999999999989e-01,True,1,1,2.0751129822348254e-17,2.0460627333624913e-17,4.5155117848738734e-02,0.0000000000000000e+00,4.5155117848740232e-02,4.5155117848737776e-02,0.0000000000000000e+00,-8.4924665978943002e-34,1.3530843112619095e-16,-8.6736173798840355e-17,0,-1,-1,-1,1,-1,-1,1,-1.9382367261382069e-01,-3.8669923113482840e-03,1.9386224411949216e-01,-3.1216442164264131e+00
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.2346669766887317e+01,8.7780055213523167e-01,-6.6866369495914189e+00,2.5986356148061631e+00,6.8159824489695120e-01,4.8910277443430419e+02,4.8910277443430419e+02,9.9999999999999989e-01,True,1,1,2.0751129822348254e-17,2.0460627333624913e-17,4.5155117848738734e-02,0.0000000000000000e+00,4.5155117848740232e-02,4.5155117848737776e-02,0.0000000000000000e+00,-8.4924665978943002e-34,1.3530843112619095e-16,-8.6736173798840355e-17,0,-1,-1,-1,2,-1,1,-1,-1.6326811801483513e-03,-6.8632985563321016e-06,1.6326956057017140e-03,-3.1373889803846882e+00
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.2346669766887317e+01,8.7780055213523167e-01,-6.6866369495914189e+00,2.5986356148061631e+00,6.8159824489695120e-01,4.8910277443430419e+02,4.8910277443430419e+02,9.9999999999999989e-01,True,1,1,2.0751129822348254e-17,2.0460627333624913e-17,4.5155117848738734e-02,0.0000000000000000e+00,4.5155117848740232e-02,4.5155117848737776e-02,0.0000000000000000e+00,-8.4924665978943002e-34,1.3530843112619095e-16,-8.6736173798840355e-17,0,-1,-1,-1,3,-1,1,1,7.7051481212751351e-03,2.1964150948058968e-04,7.7082780154504454e-03,2.8498095405069267e-02
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.2346669766887317e+01,8.7780055213523167e-01,-6.6866369495914189e+00,2.5986356148061631e+00,6.8159824489695120e-01,4.8910277443430419e+02,4.8910277443430419e+02,9.9999999999999989e-01,True,1,1,2.0751129822348254e-17,2.0460627333624913e-17,4.5155117848738734e-02,0.0000000000000000e+00,4.5155117848740232e-02,4.5155117848737776e-02,0.0000000000000000e+00,-8.4924665978943002e-34,1.3530843112619095e-16,-8.6736173798840355e-17,0,-1,-1,-1,4,1,-1,-1,1.5177357042480914e-18,-2.5755619825973071e-19,1.5394339424643902e-18,-1.6809629515829258e-01
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.2346669766887317e+01,8.7780055213523167e-01,-6.6866369495914189e+00,2.5986356148061631e+00,6.8159824489695120e-01,4.8910277443430419e+02,4.8910277443430419e+02,9.9999999999999989e-01,True,1,1,2.0751129822348254e-17,2.0460627333624913e-17,4.5155117848738734e-02,0.0000000000000000e+00,4.5155117848740232e-02,4.5155117848737776e-02,0.0000000000000000e+00,-8.4924665978943002e-34,1.3530843112619095e-16,-8.6736173798840355e-17,0,-1,-1,-1,5,1,-1,1,6.8033290230554633e-18,2.4615055640237762e-18,7.2349357590561099e-18,3.4715609447573792e-01
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.2346669766887317e+01,8.7780055213523167e-01,-6.6866369495914189e+00,2.5986356148061631e+00,6.8159824489695120e-01,4.8910277443430419e+02,4.8910277443430419e+02,9.9999999999999989e-01,True,1,1,2.0751129822348254e-17,2.0460627333624913e-17,4.5155117848738734e-02,0.0000000000000000e+00,4.5155117848740232e-02,4.5155117848737776e-02,0.0000000000000000e+00,-8.4924665978943002e-34,1.3530843112619095e-16,-8.6736173798840355e-17,0,-1,-1,-1,6,1,1,-1,-2.1924258574129788e-18,-1.5962968385473744e-18,2.7119909175750160e-18,-2.5122580113590196e+00
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.2346669766887317e+01,8.7780055213523167e-01,-6.6866369495914189e+00,2.5986356148061631e+00,6.8159824489695120e-01,4.8910277443430419e+02,4.8910277443430419e+02,9.9999999999999989e-01,True,1,1,2.0751129822348254e-17,2.0460627333624913e-17,4.5155117848738734e-02,0.0000000000000000e+00,4.5155117848740232e-02,4.5155117848737776e-02,0.0000000000000000e+00,-8.4924665978943002e-34,1.3530843112619095e-16,-8.6736173798840355e-17,0,-1,-1,-1,7,1,1,1,3.7706326151129646e-18,2.7806852019873750e-18,4.6850699579307457e-18,6.3542613468300646e-01
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.2346669766887317e+01,8.7780055213523167e-01,-6.6866369495914189e+00,2.5986356148061631e+00,6.8159824489695120e-01,4.8910277443430419e+02,4.8910277443430419e+02,9.9999999999999989e-01,True,1,1,2.0751129822348254e-17,2.0460627333624913e-17,4.5155117848738734e-02,0.0000000000000000e+00,4.5155117848740232e-02,4.5155117848737776e-02,0.0000000000000000e+00,-8.4924665978943002e-34,1.3530843112619095e-16,-8.6736173798840355e-17,1,-1,-1,1,0,-1,-1,-1,-1.9382367261382069e-01,3.8669923113482879e-03,1.9386224411949216e-01,3.1216442164264131e+00
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.2346669766887317e+01,8.7780055213523167e-01,-6.6866369495914189e+00,2.5986356148061631e+00,6.8159824489695120e-01,4.8910277443430419e+02,4.8910277443430419e+02,9.9999999999999989e-01,True,1,1,2.0751129822348254e-17,2.0460627333624913e-17,4.5155117848738734e-02,0.0000000000000000e+00,4.5155117848740232e-02,4.5155117848737776e-02,0.0000000000000000e+00,-8.4924665978943002e-34,1.3530843112619095e-16,-8.6736173798840355e-17,1,-1,-1,1,1,-1,-1,1,1.2199626082507486e-01,-1.5341199803977150e-18,1.2199626082507486e-01,-1.2575139352815272e-17
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,2.6179938779914940e+00,1.2346669766887317e+01,8.7780055213523167e-01,-6.6866369495914189e+00,2.5986356148061631e+00,6.8159824489695120e-01,4.8910277443430419e+02,4.8910277443430419e+02,9.9999999999999989e-01,True,1,1,2.0751129822348254e-17,2.0460627333624913e-17,4.5155117848738734e-02,0.0000000000000000e+00,4.5155117848740232e-02,4.5155117848737776e-02,0.0000000000000000e+00,-8.4924665978943002e-34,1.3530843112619095e-16,-8.6736173798840355e-17,1,-1,-1,1,2,-1,1,-1,-1.4136790131854154e-03,3.4590202003667631e-05,1.4141021301149164e-03,3.1171293198465375e+00
