spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,F1,F2,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.8812499999999996e+00,phiOut,3.1415926535897931e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.8812499999999996e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1935596092539521e+01,7.8569466806358301e-01,-7.4864331152853367e+00,1.4753843787510152e-02,6.1163365192976040e-03,4.1353858617957160e+00,7.3614741007633466e-01,5.5920902534530037e-01,5.5920902534530037e-01,1.0000000000000000e+00,True,1,1,1.1190468329214591e-17,8.2156618557188361e-17,8.5269594203742274e-03,0.0000000000000000e+00,8.5269594203650958e-03,8.5269594203390559e-03,0.0000000000000000e+00,-6.8749365541785017e-33,-1.5573208955038664e-16,-5.9982129940044926e-16,0,-1,-1,-1,0,-1,-1,-1,3.1254843144371502e-01,-6.3340954266891846e-18,3.1254843144371502e-01,-2.0265964533659335e-17
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.8812499999999996e+00,phiOut,3.1415926535897931e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.8812499999999996e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1935596092539521e+01,7.8569466806358301e-01,-7.4864331152853367e+00,1.4753843787510152e-02,6.1163365192976040e-03,4.1353858617957160e+00,7.3614741007633466e-01,5.5920902534530037e-01,5.5920902534530037e-01,1.0000000000000000e+00,True,1,1,1.1190468329214591e-17,8.2156618557188361e-17,8.5269594203742274e-03,0.0000000000000000e+00,8.5269594203650958e-03,8.5269594203390559e-03,0.0000000000000000e+00,-6.8749365541785017e-33,-1.5573208955038664e-16,-5.9982129940044926e-16,0,-1,-1,-1,1,-1,-1,1,1.8410440363378305e-01,5.7515673628162192e-02,1.9287945497188699e-01,3.0280097748619134e-01
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.8812499999999996e+00,phiOut,3.1415926535897931e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.8812499999999996e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1935596092539521e+01,7.8569466806358301e-01,-7.4864331152853367e+00,1.4753843787510152e-02,6.1163365192976040e-03,4.1353858617957160e+00,7.3614741007633466e-01,5.5920902534530037e-01,5.5920902534530037e-01,1.0000000000000000e+00,True,1,1,1.1190468329214591e-17,8.2156618557188361e-17,8.5269594203742274e-03,0.0000000000000000e+00,8.5269594203650958e-03,8.5269594203390559e-03,0.0000000000000000e+00,-6.8749365541785017e-33,-1.5573208955038664e-16,-5.9982129940044926e-16,0,-1,-1,-1,2,-1,1,-1,5.7356330064796963e-02,1.8401505322612741e-02,6.0235902887232268e-02,3.1045367320510298e-01
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.8812499999999996e+00,phiOut,3.1415926535897931e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.8812499999999996e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1935596092539521e+01,7.8569466806358301e-01,-7.4864331152853367e+00,1.4753843787510152e-02,6.1163365192976040e-03,4.1353858617957160e+00,7.3614741007633466e-01,5.5920902534530037e-01,5.5920902534530037e-01,1.0000000000000000e+00,True,1,1,1.1190468329214591e-17,8.2156618557188361e-17,8.5269594203742274e-03,0.0000000000000000e+00,8.5269594203650958e-03,8.5269594203390559e-03,0.0000000000000000e+00,-6.8749365541785017e-33,-1.5573208955038664e-16,-5.9982129940044926e-16,0,-1,-1,-1,3,-1,1,1,3.1074553736356973e-02,2.0121076037710826e-02,3.7020070108376053e-02,5.7462260201500293e-01
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.8812499999999996e+00,phiOut,3.1415926535897931e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.8812499999999996e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1935596092539521e+01,7.8569466806358301e-01,-7.4864331152853367e+00,1.4753843787510152e-02,6.1163365192976040e-03,4.1353858617957160e+00,7.3614741007633466e-01,5.5920902534530037e-01,5.5920902534530037e-01,1.0000000000000000e+00,True,1,1,1.1190468329214591e-17,8.2156618557188361e-17,8.5269594203742274e-03,0.0000000000000000e+00,8.5269594203650958e-03,8.5269594203390559e-03,0.0000000000000000e+00,-6.8749365541785017e-33,-1.5573208955038664e-16,-5.9982129940044926e-16,0,-1,-1,-1,4,1,-1,-1,9.3038141676049954e-18,8.6579358880722456e-18,1.2709083834301227e-17,7.4945511128881337e-01
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.8812499999999996e+00,phiOut,3.1415926535897931e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.8812499999999996e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1935596092539521e+01,7.8569466806358301e-01,-7.4864331152853367e+00,1.4753843787510152e-02,6.1163365192976040e-03,4.1353858617957160e+00,7.3614741007633466e-01,5.5920902534530037e-01,5.5920902534530037e-01,1.0000000000000000e+00,True,1,1,1.1190468329214591e-17,8.2156618557188361e-17,8.5269594203742274e-03,0.0000000000000000e+00,8.5269594203650958e-03,8.5269594203390559e-03,0.0000000000000000e+00,-6.8749365541785017e-33,-1.5573208955038664e-16,-5.9982129940044926e-16,0,-1,-1,-1,5,1,-1,1,-8.8407277826702301e-18,1.9337578333874746e-19,8.8428424118526028e-18,3.1197228531247982e+00
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.8812499999999996e+00,phiOut,3.1415926535897931e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.8812499999999996e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1935596092539521e+01,7.8569466806358301e-01,-7.4864331152853367e+00,1.4753843787510152e-02,6.1163365192976040e-03,4.1353858617957160e+00,7.3614741007633466e-01,5.5920902534530037e-01,5.5920902534530037e-01,1.0000000000000000e+00,True,1,1,1.1190468329214591e-17,8.2156618557188361e-17,8.5269594203742274e-03,0.0000000000000000e+00,8.5269594203650958e-03,8.5269594203390559e-03,0.0000000000000000e+00,-6.8749365541785017e-33,-1.5573208955038664e-16,-5.9982129940044926e-16,0,-1,-1,-1,6,1,1,-1,5.3038874855772055e-19,-1.3640565956595506e-18,1.4635445400666654e-18,-1.1999545217593663e+00
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.8812499999999996e+00,phiOut,3.1415926535897931e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.8812499999999996e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1935596092539521e+01,7.8569466806358301e-01,-7.4864331152853367e+00,1.4753843787510152e-02,6.1163365192976040e-03,4.1353858617957160e+00,7.3614741007633466e-01,5.5920902534530037e-01,5.5920902534530037e-01,1.0000000000000000e+00,True,1,1,1.1190468329214591e-17,8.2156618557188361e-17,8.5269594203742274e-03,0.0000000000000000e+00,8.5269594203650958e-03,8.5269594203390559e-03,0.0000000000000000e+00,-6.8749365541785017e-33,-1.5573208955038664e-16,-5.9982129940044926e-16,0,-1,-1,-1,7,1,1,1,-1.3792285813273528e-18,-4.3333350407299183e-18,4.5475338431690666e-18,-1.8789413422334906e+00
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.8812499999999996e+00,phiOut,3.1415926535897931e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.8812499999999996e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1935596092539521e+01,7.8569466806358301e-01,-7.4864331152853367e+00,1.4753843787510152e-02,6.1163365192976040e-03,4.1353858617957160e+00,7.3614741007633466e-01,5.5920902534530037e-01,5.5920902534530037e-01,1.0000000000000000e+00,True,1,1,1.1190468329214591e-17,8.2156618557188361e-17,8.5269594203742274e-03,0.0000000000000000e+00,8.5269594203650958e-03,8.5269594203390559e-03,0.0000000000000000e+00,-6.8749365541785017e-33,-1.5573208955038664e-16,-5.9982129940044926e-16,1,-1,-1,1,0,-1,-1,-1,1.8410440363378305e-01,-5.7515673628162206e-02,1.9287945497188699e-01,-3.0280097748619139e-01
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.8812499999999996e+00,phiOut,3.1415926535897931e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.8812499999999996e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1935596092539521e+01,7.8569466806358301e-01,-7.4864331152853367e+00,1.4753843787510152e-02,6.1163365192976040e-03,4.1353858617957160e+00,7.3614741007633466e-01,5.5920902534530037e-01,5.5920902534530037e-01,1.0000000000000000e+00,True,1,1,1.1190468329214591e-17,8.2156618557188361e-17,8.5269594203742274e-03,0.0000000000000000e+00,8.5269594203650958e-03,8.5269594203390559e-03,0.0000000000000000e+00,-6.8749365541785017e-33,-1.5573208955038664e-16,-5.9982129940044926e-16,1,-1,-1,1,1,-1,-1,1,1.1905391998543642e-01,-1.3840827200636769e-20,1.1905391998543642e-01,-1.1625679525991150e-19
