spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,F1,F2,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
unpolarized,pure_initial_state,user_frame_independent,theta_in,3.4999999999999998e-01,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,3.4999999999999998e-01,0.0000000000000000e+00,0.0000000000000000e+00,7.0381894256840827e+00,6.8373549193425998e-01,-7.4864331152853367e+00,1.4753843787510152e-02,6.1163365192976040e-03,4.1353858617957160e+00,4.9882396237060483e-01,2.1700041377514686e-02,2.1700041377514686e-02,1.0000000000000002e+00,True,1,1,2.0029590179760481e-18,7.4537397344125069e-18,6.0664674109222431e-02,0.0000000000000000e+00,6.0664675759409328e-02,6.0664675759409328e-02,0.0000000000000000e+00,-5.9570080856051407e-35,2.0021610324522099e-10,2.0021610324522099e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,6.5625000000000000e-01,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,6.5625000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,6.0275722994953682e+00,6.4930498481094412e-01,-7.4864331152853376e+00,1.4753843787510145e-02,6.1163365192976006e-03,4.1353858617957160e+00,4.4985046333063999e-01,1.8572417458314117e-02,1.8572417458314117e-02,1.0000000000000000e+00,True,1,1,1.3268815827589377e-18,3.8220208638622012e-17,6.9514622968525966e-02,2.1073424255447017e-08,6.9514626049835090e-02,6.9514626049838282e-02,1.6915337590756236e-09,4.4408920985006271e-16,4.2839209350026275e-10,4.2839253758947260e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,9.6249999999999991e-01,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,9.6249999999999991e-01,0.0000000000000000e+00,0.0000000000000000e+00,5.2316675703887796e+00,6.1641787117325997e-01,-7.4864331152853385e+00,1.4753843787510143e-02,6.1163365192975997e-03,4.1353858617957160e+00,4.1128171313163880e-01,1.6790851237949499e-02,1.6790851237949499e-02,1.0000000000000000e+00,True,1,1,2.2288762819244171e-19,9.0915082160353109e-18,7.6428310595905449e-02,0.0000000000000000e+00,7.6428311549869898e-02,7.6428311549871356e-02,0.0000000000000000e+00,-8.2705200537038809e-35,1.4581978333150225e-10,1.4582000624346891e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.2687499999999998e+00,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.2687499999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7245407937374377e+00,5.9204158624366898e-01,-7.4864331152853367e+00,1.4753843787510152e-02,6.1163365192976040e-03,4.1353858617957160e+00,3.8670685479420214e-01,1.5870887107886790e-02,1.5870887107886790e-02,9.9999999999999967e-01,True,1,1,2.7370846087676240e-18,9.8074156968760054e-18,8.0817276763653176e-02,0.0000000000000000e+00,8.0817278569319154e-02,8.0817278569319154e-02,0.0000000000000000e+00,-1.0367703480688248e-34,2.9185801778824905e-10,2.9185801778824905e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.5533843343855960e+00,5.8309993205112798e-01,-7.4864331152853376e+00,1.4753843787510145e-02,6.1163365192976006e-03,4.1353858617957160e+00,3.7841278330012174e-01,1.5590834446181128e-02,1.5590834446181128e-02,1.0000000000000000e+00,True,1,1,1.2497444266431979e-18,1.3604369285909030e-17,8.2296479952570056e-02,0.0000000000000000e+00,8.2296484654075228e-02,8.2296484654075228e-02,0.0000000000000000e+00,-1.8664072479931071e-34,7.7383467429054109e-10,7.7383467429054109e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.8812499999999996e+00,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,1.8812499999999996e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7341257245541275e+00,5.9253099999332504e-01,-7.4864331152853367e+00,1.4753843787510152e-02,6.1163365192976040e-03,4.1353858617957160e+00,3.8717133099194834e-01,1.5886993923865569e-02,1.5886993923865569e-02,1.0000000000000000e+00,True,1,1,5.9495853418666505e-18,3.6969045514381498e-17,8.0734408396291243e-02,0.0000000000000000e+00,8.0734413822454748e-02,8.0734413822456122e-02,0.0000000000000000e+00,-1.4021078919845652e-33,8.7615623003273191e-10,8.7615645207733683e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,2.1875000000000000e+00,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,2.1875000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.2499454744822822e+00,6.1724217166134276e-01,-7.4864331152853385e+00,1.4753843787510143e-02,6.1163365192975997e-03,4.1353858617957160e+00,4.1216744215342127e-01,1.6826781886912577e-02,1.6826781886912577e-02,1.0000000000000000e+00,True,1,1,2.8470104285994251e-18,2.0727018739378897e-17,7.6269917943682292e-02,0.0000000000000000e+00,7.6269924703944267e-02,7.6269924703944267e-02,0.0000000000000000e+00,-4.3771477420311788e-34,1.0312092976402787e-09,1.0312092976402787e-09
unpolarized,pure_initial_state,user_frame_independent,theta_in,2.4937499999999999e+00,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,2.4937499999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0528422658543093e+00,6.5025703525434519e-01,-7.4864331152853367e+00,1.4753843787510152e-02,6.1163365192976040e-03,4.1353858617957160e+00,4.5107502072349437e-01,1.8637220342225241e-02,1.8637220342225241e-02,1.0000000000000000e+00,True,1,1,3.3163212283511444e-18,9.6680023062565852e-18,6.9294454286747187e-02,2.1073424255447017e-08,6.9294457831561157e-02,6.9294457831557951e-02,1.6861762980941932e-09,4.4408920985006271e-16,4.9127191203979237e-10,4.9127146795058252e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6695733924487011e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0680998737433676e+00,6.8465179776739726e-01,-7.4864331152853376e+00,1.4753843787510145e-02,6.1163365192976006e-03,4.1353858617957160e+00,5.0027339288326644e-01,2.1812727188498915e-02,2.1812727188498915e-02,1.0000000000000000e+00,True,1,1,2.6229535193690445e-18,1.7149291649518236e-17,6.0401051122357739e-02,0.0000000000000000e+00,6.0401053793347453e-02,6.0401053793345615e-02,0.0000000000000000e+00,-3.0097808924500637e-34,3.2266117989260268e-10,3.2266095741431688e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,3.4999999999999998e-01,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,3.4999999999999998e-01,0.0000000000000000e+00,5.2359877559829882e-01,7.9488645453259679e+00,8.2221216949210618e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,4.6848498546870226e-01,2.8823927365579836e-02,2.8823927365579836e-02,1.0000000000000000e+00,True,1,1,3.6457494079247626e-19,3.0461016448690655e-18,5.9871328911948019e-02,2.1073424255447017e-08,5.9871330545414471e-02,5.9871330545416324e-02,1.4568786820832961e-09,4.4408920985006271e-16,1.9559561739365683e-10,1.9559583900458088e-10
